epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1548005588417,2019-01-20 18:33:08.416,0.0,-0.012,-1.007,-0.097
1548005588497,2019-01-20 18:33:08.496,0.08,-0.01,-1.02,-0.106
1548005588577,2019-01-20 18:33:08.576,0.16,-0.012,-1.025,-0.095
1548005588657,2019-01-20 18:33:08.656,0.24,-0.012,-1.032,-0.11
1548005588737,2019-01-20 18:33:08.736,0.32,-0.002,-1.032,-0.099
1548005588817,2019-01-20 18:33:08.816,0.4,-0.004,-1.033,-0.108
1548005588897,2019-01-20 18:33:08.896,0.48,-0.003,-1.035,-0.105
1548005588977,2019-01-20 18:33:08.976,0.56,-0.007,-1.042,-0.097
1548005589057,2019-01-20 18:33:09.056,0.64,-0.005,-1.035,-0.108
1548005589137,2019-01-20 18:33:09.136,0.72,-0.005,-1.027,-0.104
1548005589217,2019-01-20 18:33:09.216,0.8,-0.018,-1.018,-0.101
1548005589297,2019-01-20 18:33:09.296,0.88,-0.013,-1.027,-0.102
1548005589377,2019-01-20 18:33:09.376,0.96,-0.029,-1.002,-0.106
1548005589457,2019-01-20 18:33:09.456,1.04,-0.018,-0.97,-0.07
1548005589537,2019-01-20 18:33:09.536,1.12,-0.01,-1.03,-0.138
1548005589617,2019-01-20 18:33:09.616,1.2,-0.009,-1.051,-0.091
1548005589697,2019-01-20 18:33:09.696,1.28,-0.025,-1.134,-0.107
1548005589777,2019-01-20 18:33:09.776,1.36,-0.043,-1.28,-0.203
1548005589857,2019-01-20 18:33:09.856,1.44,0.006,-1.392,-0.11
1548005589937,2019-01-20 18:33:09.936,1.52,0.046,-1.373,-0.03
1548005590017,2019-01-20 18:33:10.016,1.6,0.085,-1.267,0.067
1548005590097,2019-01-20 18:33:10.096,1.68,0.119,-1.078,0.148
1548005590177,2019-01-20 18:33:10.176,1.76,0.089,-0.813,0.159
1548005590257,2019-01-20 18:33:10.256,1.84,0.056,-0.469,0.073
1548005590337,2019-01-20 18:33:10.336,1.92,-0.044,-0.225,0.254
1548005590417,2019-01-20 18:33:10.416,2.0,0.06,-0.47,0.159
1548005590497,2019-01-20 18:33:10.496,2.08,0.001,-0.758,0.092
1548005590577,2019-01-20 18:33:10.576,2.16,0.132,-1.027,0.129
1548005590657,2019-01-20 18:33:10.656,2.24,0.119,-1.159,0.053
1548005590737,2019-01-20 18:33:10.736,2.32,0.069,-1.182,-0.031
1548005590817,2019-01-20 18:33:10.816,2.4,0.056,-1.257,-0.057
1548005590897,2019-01-20 18:33:10.896,2.48,-0.02,-1.252,-0.112
1548005590977,2019-01-20 18:33:10.976,2.56,-0.026,-1.231,-0.113
1548005591057,2019-01-20 18:33:11.056,2.64,-0.017,-1.09,-0.079
1548005591137,2019-01-20 18:33:11.136,2.72,-0.015,-0.987,-0.052
1548005591217,2019-01-20 18:33:11.216,2.8,-0.004,-0.977,-0.039
1548005591297,2019-01-20 18:33:11.296,2.88,-0.031,-1.145,-0.097
1548005591377,2019-01-20 18:33:11.376,2.96,-0.044,-1.327,-0.153
1548005591457,2019-01-20 18:33:11.456,3.04,-0.009,-1.36,-0.098
1548005591537,2019-01-20 18:33:11.536,3.12,0.036,-1.382,-0.055
1548005591617,2019-01-20 18:33:11.616,3.2,0.061,-1.258,0.049
1548005591697,2019-01-20 18:33:11.696,3.28,0.07,-1.004,0.142
1548005591777,2019-01-20 18:33:11.776,3.36,0.074,-0.701,0.135
1548005591857,2019-01-20 18:33:11.856,3.44,-0.037,-0.298,0.154
1548005591937,2019-01-20 18:33:11.936,3.52,-0.014,-0.326,0.306
1548005592017,2019-01-20 18:33:12.016,3.6,0.058,-0.595,0.117
1548005592097,2019-01-20 18:33:12.096,3.68,0.022,-0.94,0.141
1548005592177,2019-01-20 18:33:12.176,3.76,0.13,-1.114,0.073
1548005592257,2019-01-20 18:33:12.256,3.84,0.111,-1.153,-0.002
1548005592337,2019-01-20 18:33:12.336,3.92,0.055,-1.208,-0.07
1548005592417,2019-01-20 18:33:12.416,4.0,-0.05,-1.317,-0.089
1548005592497,2019-01-20 18:33:12.496,4.08,-0.038,-1.287,-0.187
1548005592577,2019-01-20 18:33:12.576,4.16,-0.026,-1.165,-0.112
1548005592657,2019-01-20 18:33:12.656,4.24,-0.023,-1.003,-0.072
