epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547665747087,2019-01-16 20:09:07.087,0.0,4.451,-1.159,-0.061
1547665747127,2019-01-16 20:09:07.127,0.04,3.902,-1.951,-1.22
1547665747167,2019-01-16 20:09:07.167,0.08,-1.159,-1.585,-2.866
1547665747207,2019-01-16 20:09:07.207,0.12,-5.732,-1.646,1.037
1547665747247,2019-01-16 20:09:07.247,0.16,2.195,-4.024,0.061
1547665747287,2019-01-16 20:09:07.287,0.2,13.476,-7.012,-1.707
1547665747327,2019-01-16 20:09:07.327,0.24,11.89,-6.098,1.89
1547665747367,2019-01-16 20:09:07.367,0.28,7.866,-4.695,1.524
1547665747407,2019-01-16 20:09:07.407,0.32,2.744,-3.659,1.585
1547665747447,2019-01-16 20:09:07.447,0.36,0.549,-2.439,0.305
1547665747487,2019-01-16 20:09:07.487,0.4,0.671,-3.049,-0.183
1547665747527,2019-01-16 20:09:07.527,0.44,-6.159,-3.11,1.22
1547665747567,2019-01-16 20:09:07.567,0.48,-5.793,-2.561,2.439
1547665747607,2019-01-16 20:09:07.607,0.52,0.549,-4.573,-0.488
1547665747647,2019-01-16 20:09:07.647,0.56,-2.134,-5.793,-0.915
1547665747687,2019-01-16 20:09:07.687,0.6,-10.61,-3.72,2.134
1547665747727,2019-01-16 20:09:07.727,0.64,-11.28,-3.232,4.085
1547665747767,2019-01-16 20:09:07.767,0.68,-7.378,-2.5,2.683
1547665747807,2019-01-16 20:09:07.807,0.72,0.122,-7.195,2.073
1547665747847,2019-01-16 20:09:07.847,0.76,2.683,-9.085,-1.341
1547665747887,2019-01-16 20:09:07.887,0.8,-7.378,-0.366,1.22
1547665747927,2019-01-16 20:09:07.927,0.84,-10.061,4.573,1.524
1547665747967,2019-01-16 20:09:07.967,0.88,-4.573,-3.72,-2.256
1547665748007,2019-01-16 20:09:08.007,0.92,-3.476,-9.39,-7.134
1547665748047,2019-01-16 20:09:08.047,0.96,-8.598,-4.939,-3.476
1547665748087,2019-01-16 20:09:08.087,1.0,-15.366,-1.707,0.0
1547665748127,2019-01-16 20:09:08.127,1.04,-13.841,0.244,-2.561
1547665748167,2019-01-16 20:09:08.167,1.08,-10.488,-0.488,-7.256
1547665748207,2019-01-16 20:09:08.207,1.12,-10.305,-2.988,-6.707
1547665748247,2019-01-16 20:09:08.247,1.16,-5.061,-10.732,-1.22
1547665748287,2019-01-16 20:09:08.287,1.2,6.28,-5.549,-5.793
1547665748327,2019-01-16 20:09:08.327,1.24,14.634,-7.134,-11.585
1547665748367,2019-01-16 20:09:08.367,1.28,0.183,1.037,-5.549
1547665748407,2019-01-16 20:09:08.407,1.32,-8.537,0.0,-0.854
1547665748447,2019-01-16 20:09:08.447,1.36,-6.524,-0.183,-5.61
1547665748487,2019-01-16 20:09:08.487,1.4,-2.805,-3.659,-5.854
1547665748527,2019-01-16 20:09:08.527,1.44,-6.646,-1.707,-1.22
1547665748567,2019-01-16 20:09:08.567,1.48,-8.232,-4.146,1.768
1547665748607,2019-01-16 20:09:08.607,1.52,-6.524,-4.085,-1.037
1547665748647,2019-01-16 20:09:08.647,1.56,-2.744,0.061,-6.159
1547665748687,2019-01-16 20:09:08.687,1.6,0.671,0.488,-7.5
1547665748727,2019-01-16 20:09:08.727,1.64,-4.878,-5.122,-1.463
1547665748767,2019-01-16 20:09:08.767,1.68,-3.537,-12.195,1.098
1547665748807,2019-01-16 20:09:08.807,1.72,4.329,-6.28,-2.073
1547665748847,2019-01-16 20:09:08.847,1.76,7.134,-8.232,-2.134
1547665748887,2019-01-16 20:09:08.887,1.8,4.939,-3.354,-2.866
