epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547666044129,2019-01-16 20:14:04.129,0.0,-0.016,0.621,0.737
1547666044209,2019-01-16 20:14:04.209,0.08,-0.031,0.586,0.76
1547666044289,2019-01-16 20:14:04.289,0.16,-0.021,0.586,0.723
1547666044369,2019-01-16 20:14:04.369,0.24,-0.025,0.596,0.75
1547666044449,2019-01-16 20:14:04.449,0.32,-0.034,0.61,0.767
1547666044529,2019-01-16 20:14:04.529,0.4,-0.028,0.613,0.753
1547666044609,2019-01-16 20:14:04.609,0.48,-0.029,0.604,0.73
1547666044689,2019-01-16 20:14:04.689,0.56,-0.032,0.581,0.703
1547666044769,2019-01-16 20:14:04.769,0.64,-0.021,0.567,0.658
1547666044849,2019-01-16 20:14:04.849,0.72,-0.038,0.548,0.681
1547666044929,2019-01-16 20:14:04.929,0.8,-0.042,0.544,0.673
1547666045009,2019-01-16 20:14:05.009,0.88,-0.03,0.554,0.68
1547666045089,2019-01-16 20:14:05.089,0.96,-0.05,0.552,0.734
1547666045169,2019-01-16 20:14:05.169,1.04,-0.05,0.573,0.728
1547666045249,2019-01-16 20:14:05.249,1.12,-0.055,0.569,0.76
1547666045329,2019-01-16 20:14:05.329,1.2,-0.042,0.598,0.808
1547666045409,2019-01-16 20:14:05.409,1.28,-0.069,0.594,0.844
1547666045489,2019-01-16 20:14:05.489,1.36,-0.052,0.582,0.827
1547666045569,2019-01-16 20:14:05.569,1.44,-0.046,0.588,0.797
1547666045649,2019-01-16 20:14:05.649,1.52,-0.078,0.548,0.904
1547666045729,2019-01-16 20:14:05.729,1.6,-0.061,0.546,0.843
1547666045809,2019-01-16 20:14:05.809,1.68,-0.065,0.543,0.848
1547666045889,2019-01-16 20:14:05.889,1.76,-0.071,0.521,0.882
1547666045969,2019-01-16 20:14:05.969,1.84,-0.076,0.537,0.902
1547666046049,2019-01-16 20:14:06.049,1.92,-0.084,0.556,0.919
1547666046129,2019-01-16 20:14:06.129,2.0,-0.073,0.572,0.975
1547666046209,2019-01-16 20:14:06.209,2.08,-0.081,0.594,0.977
1547666046289,2019-01-16 20:14:06.289,2.16,-0.069,0.596,0.975
1547666046369,2019-01-16 20:14:06.369,2.24,-0.068,0.572,0.973
1547666046449,2019-01-16 20:14:06.449,2.32,-0.049,0.546,0.927
1547666046529,2019-01-16 20:14:06.529,2.4,-0.06,0.544,0.865
1547666046609,2019-01-16 20:14:06.609,2.48,-0.048,0.528,0.858
1547666046689,2019-01-16 20:14:06.689,2.56,-0.054,0.528,0.84
1547666046769,2019-01-16 20:14:06.769,2.64,-0.063,0.503,0.878
1547666046849,2019-01-16 20:14:06.849,2.72,-0.063,0.522,0.809
1547666046929,2019-01-16 20:14:06.929,2.8,-0.079,0.511,0.867
1547666047009,2019-01-16 20:14:07.009,2.88,-0.073,0.52,0.871
1547666047089,2019-01-16 20:14:07.089,2.96,-0.05,0.553,0.885
1547666047169,2019-01-16 20:14:07.169,3.04,-0.044,0.571,0.896
1547666047249,2019-01-16 20:14:07.249,3.12,-0.014,0.595,0.875
1547666047329,2019-01-16 20:14:07.329,3.2,-0.032,0.583,0.92
1547666047409,2019-01-16 20:14:07.409,3.28,-0.009,0.61,0.8
1547666047489,2019-01-16 20:14:07.489,3.36,0.007,0.561,0.819
1547666047569,2019-01-16 20:14:07.569,3.44,0.004,0.532,0.717
1547666047649,2019-01-16 20:14:07.649,3.52,0.001,0.463,0.552
1547666047729,2019-01-16 20:14:07.729,3.6,0.002,0.385,0.53
1547666047809,2019-01-16 20:14:07.809,3.68,0.066,0.493,0.531
1547666047889,2019-01-16 20:14:07.889,3.76,0.071,0.676,0.694
1547666047969,2019-01-16 20:14:07.969,3.84,0.044,0.735,0.844
1547666048049,2019-01-16 20:14:08.049,3.92,0.058,0.661,0.798
1547666048129,2019-01-16 20:14:08.129,4.0,0.077,0.614,0.599
1547666048209,2019-01-16 20:14:08.209,4.08,0.051,0.559,0.603
1547666048289,2019-01-16 20:14:08.289,4.16,0.03,0.574,0.613
1547666048369,2019-01-16 20:14:08.369,4.24,0.018,0.548,0.617
1547666048449,2019-01-16 20:14:08.449,4.32,0.015,0.537,0.631
1547666048529,2019-01-16 20:14:08.529,4.4,-0.001,0.58,0.673
1547666048609,2019-01-16 20:14:08.609,4.48,-0.035,0.546,0.807
1547666048689,2019-01-16 20:14:08.689,4.56,-0.021,0.617,0.727
1547666048769,2019-01-16 20:14:08.769,4.64,-0.018,0.614,0.786
1547666048849,2019-01-16 20:14:08.849,4.72,-0.022,0.579,0.875
1547666048929,2019-01-16 20:14:08.929,4.8,-0.013,0.568,0.856
1547666049009,2019-01-16 20:14:09.009,4.88,-0.009,0.571,0.829
1547666049089,2019-01-16 20:14:09.089,4.96,-0.031,0.541,0.893
1547666049169,2019-01-16 20:14:09.169,5.04,-0.033,0.526,0.874
1547666049249,2019-01-16 20:14:09.249,5.12,-0.044,0.527,0.873
1547666049329,2019-01-16 20:14:09.329,5.2,-0.036,0.542,0.885
1547666049409,2019-01-16 20:14:09.409,5.28,-0.065,0.534,0.983
1547666049489,2019-01-16 20:14:09.489,5.36,-0.076,0.574,0.996
1547666049569,2019-01-16 20:14:09.569,5.44,-0.063,0.578,1.038
1547666049649,2019-01-16 20:14:09.649,5.52,-0.055,0.579,1.034
1547666049729,2019-01-16 20:14:09.729,5.6,-0.052,0.528,0.991
1547666049809,2019-01-16 20:14:09.809,5.68,-0.036,0.491,0.935
1547666049889,2019-01-16 20:14:09.889,5.76,-0.043,0.489,0.875
1547666049969,2019-01-16 20:14:09.969,5.84,-0.016,0.47,0.877
1547666050049,2019-01-16 20:14:10.049,5.92,-0.02,0.482,0.858
1547666050129,2019-01-16 20:14:10.129,6.0,-0.011,0.473,0.862
