epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832421518,2019-01-18T18:27:01.518,0.000,0.043,0.971,-0.076
1547832421598,2019-01-18T18:27:01.598,0.080,0.040,0.972,-0.080
1547832421678,2019-01-18T18:27:01.678,0.160,0.042,0.965,-0.086
1547832421758,2019-01-18T18:27:01.758,0.240,0.054,0.975,-0.088
1547832421838,2019-01-18T18:27:01.838,0.320,0.050,0.966,-0.096
1547832421918,2019-01-18T18:27:01.918,0.400,0.050,0.965,-0.112
1547832421998,2019-01-18T18:27:01.998,0.480,0.044,0.970,-0.105
1547832422078,2019-01-18T18:27:02.078,0.560,0.039,0.984,-0.108
1547832422158,2019-01-18T18:27:02.158,0.640,0.040,0.981,-0.123
1547832422238,2019-01-18T18:27:02.238,0.720,0.044,0.958,-0.123
1547832422318,2019-01-18T18:27:02.318,0.800,0.054,0.964,-0.113
1547832422398,2019-01-18T18:27:02.398,0.880,0.051,0.975,-0.108
1547832422478,2019-01-18T18:27:02.478,0.960,0.049,0.971,-0.113
1547832422558,2019-01-18T18:27:02.558,1.040,0.036,0.968,-0.105
1547832422638,2019-01-18T18:27:02.638,1.120,0.034,0.972,-0.115
1547832422718,2019-01-18T18:27:02.718,1.200,0.030,0.972,-0.116
1547832422798,2019-01-18T18:27:02.798,1.280,0.029,0.962,-0.113
1547832422878,2019-01-18T18:27:02.878,1.360,0.025,0.945,-0.115
1547832422958,2019-01-18T18:27:02.958,1.440,0.022,0.912,-0.129
1547832423038,2019-01-18T18:27:03.038,1.520,0.010,0.883,-0.142
1547832423118,2019-01-18T18:27:03.118,1.600,-0.003,0.856,-0.160
1547832423198,2019-01-18T18:27:03.198,1.680,-0.010,0.871,-0.204
1547832423278,2019-01-18T18:27:03.278,1.760,-0.014,0.859,-0.273
1547832423358,2019-01-18T18:27:03.358,1.840,-0.041,0.883,-0.305
1547832423438,2019-01-18T18:27:03.438,1.920,-0.069,0.904,-0.310
1547832423518,2019-01-18T18:27:03.518,2.000,-0.062,0.923,-0.362
1547832423598,2019-01-18T18:27:03.598,2.080,-0.066,0.906,-0.417
1547832423678,2019-01-18T18:27:03.678,2.160,-0.066,0.889,-0.415
1547832423758,2019-01-18T18:27:03.758,2.240,-0.074,0.888,-0.378
1547832423838,2019-01-18T18:27:03.838,2.320,-0.052,0.930,-0.386
1547832423918,2019-01-18T18:27:03.918,2.400,-0.035,0.952,-0.394
1547832423998,2019-01-18T18:27:03.998,2.480,-0.023,0.956,-0.365
1547832424078,2019-01-18T18:27:04.078,2.560,-0.002,0.992,-0.376
1547832424158,2019-01-18T18:27:04.158,2.640,0.004,1.035,-0.368
1547832424238,2019-01-18T18:27:04.238,2.720,-0.005,1.069,-0.354
1547832424318,2019-01-18T18:27:04.318,2.800,-0.003,1.088,-0.364
1547832424398,2019-01-18T18:27:04.398,2.880,-0.025,1.096,-0.375
1547832424478,2019-01-18T18:27:04.478,2.960,-0.041,1.088,-0.356
1547832424558,2019-01-18T18:27:04.558,3.040,-0.047,1.038,-0.348
1547832424638,2019-01-18T18:27:04.638,3.120,-0.045,0.979,-0.372
1547832424718,2019-01-18T18:27:04.718,3.200,-0.056,0.929,-0.352
1547832424798,2019-01-18T18:27:04.798,3.280,-0.070,0.910,-0.328
1547832424878,2019-01-18T18:27:04.878,3.360,-0.079,0.905,-0.304
1547832424958,2019-01-18T18:27:04.958,3.440,-0.071,0.930,-0.298
1547832425038,2019-01-18T18:27:05.038,3.520,-0.073,0.928,-0.242
1547832425118,2019-01-18T18:27:05.118,3.600,-0.056,1.005,-0.232
1547832425198,2019-01-18T18:27:05.198,3.680,-0.041,1.014,-0.168
1547832425278,2019-01-18T18:27:05.278,3.760,-0.025,0.653,-0.152
1547832425358,2019-01-18T18:27:05.358,3.840,0.034,0.577,-0.209
1547832425438,2019-01-18T18:27:05.438,3.920,0.000,0.970,-0.081
1547832425518,2019-01-18T18:27:05.518,4.000,-0.014,1.043,-0.115
1547832425598,2019-01-18T18:27:05.598,4.080,-0.034,0.936,-0.100
1547832425678,2019-01-18T18:27:05.678,4.160,-0.032,0.997,-0.108
1547832425758,2019-01-18T18:27:05.758,4.240,-0.024,0.987,-0.137
1547832425838,2019-01-18T18:27:05.838,4.320,-0.023,0.920,-0.144
1547832425918,2019-01-18T18:27:05.918,4.400,-0.032,0.861,-0.135
1547832425998,2019-01-18T18:27:05.998,4.480,-0.028,0.828,-0.165
1547832426078,2019-01-18T18:27:06.078,4.560,-0.026,0.835,-0.194
1547832426158,2019-01-18T18:27:06.158,4.640,-0.056,0.818,-0.221
1547832426238,2019-01-18T18:27:06.238,4.720,-0.069,0.861,-0.283
1547832426318,2019-01-18T18:27:06.318,4.800,-0.075,0.886,-0.335
1547832426398,2019-01-18T18:27:06.398,4.880,-0.075,0.889,-0.357
1547832426478,2019-01-18T18:27:06.478,4.960,-0.083,0.931,-0.366
1547832426558,2019-01-18T18:27:06.558,5.040,-0.068,0.950,-0.393
1547832426638,2019-01-18T18:27:06.638,5.120,-0.058,0.961,-0.404
1547832426718,2019-01-18T18:27:06.718,5.200,-0.056,0.968,-0.416
1547832426798,2019-01-18T18:27:06.798,5.280,-0.018,0.999,-0.425
1547832426878,2019-01-18T18:27:06.878,5.360,-0.021,1.039,-0.406
1547832426958,2019-01-18T18:27:06.958,5.440,-0.005,1.048,-0.406
1547832427038,2019-01-18T18:27:07.038,5.520,0.009,1.052,-0.409
1547832427118,2019-01-18T18:27:07.118,5.600,-0.004,1.083,-0.415
1547832427198,2019-01-18T18:27:07.198,5.680,-0.012,1.087,-0.424
1547832427278,2019-01-18T18:27:07.278,5.760,-0.040,1.040,-0.363
1547832427358,2019-01-18T18:27:07.358,5.840,-0.069,1.007,-0.365
1547832427438,2019-01-18T18:27:07.438,5.920,-0.063,0.992,-0.380
1547832427518,2019-01-18T18:27:07.518,6.000,-0.083,0.952,-0.313
1547832427598,2019-01-18T18:27:07.598,6.080,-0.094,0.933,-0.275
1547832427678,2019-01-18T18:27:07.678,6.160,-0.074,0.919,-0.245
1547832427758,2019-01-18T18:27:07.758,6.240,-0.053,0.969,-0.229
1547832427838,2019-01-18T18:27:07.838,6.320,-0.071,0.818,-0.154
1547832427918,2019-01-18T18:27:07.918,6.400,-0.002,0.563,-0.175
1547832427998,2019-01-18T18:27:07.998,6.480,-0.017,0.815,-0.091
1547832428078,2019-01-18T18:27:08.078,6.560,0.004,1.041,-0.101
1547832428158,2019-01-18T18:27:08.158,6.640,-0.010,0.926,-0.067
1547832428238,2019-01-18T18:27:08.238,6.720,-0.004,0.934,-0.083
1547832428318,2019-01-18T18:27:08.318,6.800,-0.013,0.977,-0.080
1547832428398,2019-01-18T18:27:08.398,6.880,-0.014,0.995,-0.103
1547832428478,2019-01-18T18:27:08.478,6.960,-0.015,0.965,-0.113
1547832428558,2019-01-18T18:27:08.558,7.040,-0.019,0.938,-0.122
1547832428638,2019-01-18T18:27:08.638,7.120,-0.025,0.907,-0.140
1547832428718,2019-01-18T18:27:08.718,7.200,-0.031,0.834,-0.132
1547832428798,2019-01-18T18:27:08.798,7.280,-0.031,0.817,-0.155
1547832428878,2019-01-18T18:27:08.878,7.360,-0.050,0.865,-0.250
1547832428958,2019-01-18T18:27:08.958,7.440,-0.056,0.873,-0.244
1547832429038,2019-01-18T18:27:09.038,7.520,-0.075,0.873,-0.220
1547832429118,2019-01-18T18:27:09.118,7.600,-0.076,0.916,-0.292
1547832429198,2019-01-18T18:27:09.198,7.680,-0.090,0.938,-0.308
1547832429278,2019-01-18T18:27:09.278,7.760,-0.090,0.945,-0.294
1547832429358,2019-01-18T18:27:09.358,7.840,-0.082,1.011,-0.319
1547832429438,2019-01-18T18:27:09.438,7.920,-0.066,1.014,-0.322
1547832429518,2019-01-18T18:27:09.518,8.000,-0.037,1.010,-0.324
1547832429598,2019-01-18T18:27:09.598,8.080,-0.026,1.083,-0.358
1547832429678,2019-01-18T18:27:09.678,8.160,-0.015,1.105,-0.362
1547832429758,2019-01-18T18:27:09.758,8.240,-0.002,1.007,-0.352
1547832429838,2019-01-18T18:27:09.838,8.320,0.008,0.880,-0.324
1547832429918,2019-01-18T18:27:09.918,8.400,0.001,0.862,-0.339
1547832429998,2019-01-18T18:27:09.998,8.480,-0.002,0.973,-0.385
1547832430078,2019-01-18T18:27:10.078,8.560,-0.041,1.119,-0.366
1547832430158,2019-01-18T18:27:10.158,8.640,-0.048,1.154,-0.375
1547832430238,2019-01-18T18:27:10.238,8.720,-0.064,1.066,-0.319
1547832430318,2019-01-18T18:27:10.318,8.800,-0.098,1.002,-0.318
1547832430398,2019-01-18T18:27:10.398,8.880,-0.109,0.966,-0.362
1547832430478,2019-01-18T18:27:10.478,8.960,-0.122,0.944,-0.354
1547832430558,2019-01-18T18:27:10.558,9.040,-0.108,0.934,-0.321
1547832430638,2019-01-18T18:27:10.638,9.120,-0.106,0.913,-0.213
1547832430718,2019-01-18T18:27:10.718,9.200,-0.081,0.928,-0.172
1547832430798,2019-01-18T18:27:10.798,9.280,-0.053,0.985,-0.178
1547832430878,2019-01-18T18:27:10.878,9.360,-0.035,0.782,-0.094
1547832430958,2019-01-18T18:27:10.958,9.440,-0.001,0.556,-0.111
1547832431038,2019-01-18T18:27:11.038,9.520,0.023,0.808,-0.064
1547832431118,2019-01-18T18:27:11.118,9.600,0.027,1.051,-0.023
1547832431198,2019-01-18T18:27:11.198,9.680,0.001,1.009,-0.032
1547832431278,2019-01-18T18:27:11.278,9.760,-0.012,0.979,-0.024
1547832431358,2019-01-18T18:27:11.358,9.840,0.000,0.977,-0.047
1547832431438,2019-01-18T18:27:11.438,9.920,-0.005,0.971,-0.040
1547832431518,2019-01-18T18:27:11.518,10.000,-0.012,0.980,-0.046
1547832431598,2019-01-18T18:27:11.598,10.080,0.004,0.984,-0.068
1547832431678,2019-01-18T18:27:11.678,10.160,0.007,0.966,-0.074
1547832431758,2019-01-18T18:27:11.758,10.240,-0.009,0.948,-0.085
1547832431838,2019-01-18T18:27:11.838,10.320,-0.021,0.899,-0.101
1547832431918,2019-01-18T18:27:11.918,10.400,-0.024,0.868,-0.112
1547832431998,2019-01-18T18:27:11.998,10.480,-0.044,0.859,-0.093
1547832432078,2019-01-18T18:27:12.078,10.560,-0.052,0.849,-0.119
1547832432158,2019-01-18T18:27:12.158,10.640,-0.049,0.934,-0.267
1547832432238,2019-01-18T18:27:12.238,10.720,-0.062,0.910,-0.235
1547832432318,2019-01-18T18:27:12.318,10.800,-0.083,0.892,-0.229
1547832432398,2019-01-18T18:27:12.398,10.880,-0.093,0.903,-0.269
1547832432478,2019-01-18T18:27:12.478,10.960,-0.099,0.937,-0.289
1547832432558,2019-01-18T18:27:12.558,11.040,-0.105,0.971,-0.267
1547832432638,2019-01-18T18:27:12.638,11.120,-0.096,1.013,-0.298
1547832432718,2019-01-18T18:27:12.718,11.200,-0.063,0.979,-0.279
1547832432798,2019-01-18T18:27:12.798,11.280,-0.043,0.993,-0.325
1547832432878,2019-01-18T18:27:12.878,11.360,-0.014,1.080,-0.338
