epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832421146,2019-01-18T18:27:01.146,0.000,-0.671,-6.402,2.744
1547832421186,2019-01-18T18:27:01.186,0.040,-0.793,-5.732,1.159
1547832421226,2019-01-18T18:27:01.226,0.080,-3.841,-0.793,-2.622
1547832421266,2019-01-18T18:27:01.266,0.120,-5.427,-0.122,-1.707
1547832421306,2019-01-18T18:27:01.306,0.160,-3.841,-1.463,1.646
1547832421346,2019-01-18T18:27:01.346,0.200,0.000,-3.354,0.000
1547832421386,2019-01-18T18:27:01.386,0.240,4.024,-7.561,-0.244
1547832421426,2019-01-18T18:27:01.426,0.280,2.683,-5.244,-0.915
1547832421466,2019-01-18T18:27:01.466,0.320,2.439,-3.537,-0.061
1547832421506,2019-01-18T18:27:01.506,0.360,2.988,-0.366,-2.195
1547832421546,2019-01-18T18:27:01.546,0.400,3.110,0.122,-2.500
1547832421586,2019-01-18T18:27:01.586,0.440,0.793,0.366,-0.610
1547832421626,2019-01-18T18:27:01.626,0.480,1.585,-2.073,-0.671
1547832421666,2019-01-18T18:27:01.666,0.520,1.951,-1.280,-0.488
1547832421706,2019-01-18T18:27:01.706,0.560,2.622,-1.098,0.854
1547832421746,2019-01-18T18:27:01.746,0.600,1.098,0.305,-0.732
1547832421786,2019-01-18T18:27:01.786,0.640,2.256,0.244,-1.951
1547832421826,2019-01-18T18:27:01.826,0.680,4.573,-1.341,-0.610
1547832421866,2019-01-18T18:27:01.866,0.720,4.878,-4.146,1.220
1547832421906,2019-01-18T18:27:01.906,0.760,5.061,-4.268,2.012
1547832421946,2019-01-18T18:27:01.946,0.800,4.573,-1.951,0.305
1547832421986,2019-01-18T18:27:01.986,0.840,3.963,-3.049,1.402
1547832422026,2019-01-18T18:27:02.026,0.880,2.561,-0.427,0.793
1547832422066,2019-01-18T18:27:02.066,0.920,0.305,0.610,1.098
1547832422106,2019-01-18T18:27:02.106,0.960,0.122,1.159,-0.305
1547832422146,2019-01-18T18:27:02.146,1.000,0.488,-1.098,0.366
1547832422186,2019-01-18T18:27:02.186,1.040,1.463,-1.890,-0.183
1547832422226,2019-01-18T18:27:02.226,1.080,1.585,-2.378,-0.915
1547832422266,2019-01-18T18:27:02.266,1.120,0.793,-3.049,0.732
1547832422306,2019-01-18T18:27:02.306,1.160,1.402,-1.524,0.000
1547832422346,2019-01-18T18:27:02.346,1.200,0.366,-0.366,-2.439
1547832422386,2019-01-18T18:27:02.386,1.240,1.768,-2.195,-1.098
1547832422426,2019-01-18T18:27:02.426,1.280,3.171,-2.988,-0.244
1547832422466,2019-01-18T18:27:02.466,1.320,2.500,-2.683,0.061
1547832422506,2019-01-18T18:27:02.506,1.360,0.854,-1.037,-0.244
1547832422546,2019-01-18T18:27:02.546,1.400,0.305,0.305,-2.927
1547832422586,2019-01-18T18:27:02.586,1.440,0.671,-1.463,-2.012
1547832422626,2019-01-18T18:27:02.626,1.480,1.646,-1.098,-0.366
1547832422666,2019-01-18T18:27:02.666,1.520,1.646,-0.793,-0.854
1547832422706,2019-01-18T18:27:02.706,1.560,2.012,-1.280,-1.890
1547832422746,2019-01-18T18:27:02.746,1.600,2.561,-0.732,-0.061
1547832422786,2019-01-18T18:27:02.786,1.640,4.512,-0.305,-1.037
1547832422826,2019-01-18T18:27:02.826,1.680,4.939,-0.854,-2.866
1547832422866,2019-01-18T18:27:02.866,1.720,7.073,1.341,-3.841
1547832422906,2019-01-18T18:27:02.906,1.760,10.976,0.854,-5.976
1547832422946,2019-01-18T18:27:02.946,1.800,13.780,-0.976,-3.963
1547832422986,2019-01-18T18:27:02.986,1.840,19.207,0.793,-6.829
1547832423026,2019-01-18T18:27:03.026,1.880,22.012,1.890,-8.598
1547832423066,2019-01-18T18:27:03.066,1.920,26.220,5.183,-8.415
1547832423106,2019-01-18T18:27:03.106,1.960,33.049,7.378,-12.683
1547832423146,2019-01-18T18:27:03.146,2.000,31.037,7.744,-11.037
1547832423186,2019-01-18T18:27:03.186,2.040,31.098,6.829,-14.512
1547832423226,2019-01-18T18:27:03.226,2.080,33.841,1.707,-10.854
1547832423266,2019-01-18T18:27:03.266,2.120,35.732,-5.000,-4.085
1547832423306,2019-01-18T18:27:03.306,2.160,35.488,-8.720,-1.707
1547832423346,2019-01-18T18:27:03.346,2.200,29.573,-4.390,-4.085
1547832423386,2019-01-18T18:27:03.386,2.240,25.061,-0.305,-9.207
1547832423426,2019-01-18T18:27:03.426,2.280,19.756,-2.500,-7.073
1547832423466,2019-01-18T18:27:03.466,2.320,18.049,-1.402,-8.354
1547832423506,2019-01-18T18:27:03.506,2.360,15.183,0.732,-10.915
1547832423546,2019-01-18T18:27:03.546,2.400,10.366,-6.768,-5.183
1547832423586,2019-01-18T18:27:03.586,2.440,10.366,-5.427,-3.293
1547832423626,2019-01-18T18:27:03.626,2.480,4.756,-2.927,1.220
1547832423666,2019-01-18T18:27:03.666,2.520,1.585,-2.744,6.646
1547832423706,2019-01-18T18:27:03.706,2.560,0.488,0.427,7.866
1547832423746,2019-01-18T18:27:03.746,2.600,-4.695,-0.366,4.390
1547832423786,2019-01-18T18:27:03.786,2.640,-7.256,-3.293,8.354
1547832423826,2019-01-18T18:27:03.826,2.680,-7.256,-0.305,12.134
1547832423866,2019-01-18T18:27:03.866,2.720,-6.159,-3.720,6.646
1547832423906,2019-01-18T18:27:03.906,2.760,-10.061,-0.732,10.610
1547832423946,2019-01-18T18:27:03.946,2.800,-16.768,-1.402,7.744
1547832423986,2019-01-18T18:27:03.986,2.840,-18.841,-4.817,13.720
1547832424026,2019-01-18T18:27:04.026,2.880,-12.683,-4.573,16.159
1547832424066,2019-01-18T18:27:04.066,2.920,-7.744,-4.695,18.110
1547832424106,2019-01-18T18:27:04.106,2.960,-7.622,-4.817,18.659
1547832424146,2019-01-18T18:27:04.146,3.000,-6.220,-2.927,16.707
1547832424186,2019-01-18T18:27:04.186,3.040,-6.402,-3.963,7.012
1547832424226,2019-01-18T18:27:04.226,3.080,-5.000,-5.732,-0.732
1547832424266,2019-01-18T18:27:04.266,3.120,-2.134,-0.122,-0.976
1547832424306,2019-01-18T18:27:04.306,3.160,1.646,-0.061,-9.512
1547832424346,2019-01-18T18:27:04.346,3.200,6.341,-0.061,-14.024
1547832424386,2019-01-18T18:27:04.386,3.240,9.939,0.610,-16.159
1547832424426,2019-01-18T18:27:04.426,3.280,11.768,2.561,-20.610
1547832424466,2019-01-18T18:27:04.466,3.320,10.366,2.256,-24.390
1547832424506,2019-01-18T18:27:04.506,3.360,7.134,2.012,-23.354
1547832424546,2019-01-18T18:27:04.546,3.400,1.707,2.134,-22.744
1547832424586,2019-01-18T18:27:04.586,3.440,-1.463,3.049,-18.902
1547832424626,2019-01-18T18:27:04.626,3.480,-4.024,0.244,-12.073
1547832424666,2019-01-18T18:27:04.666,3.520,-5.549,0.000,-10.366
1547832424706,2019-01-18T18:27:04.706,3.560,-4.878,0.732,-2.317
1547832424746,2019-01-18T18:27:04.746,3.600,-8.354,3.841,-0.488
1547832424786,2019-01-18T18:27:04.786,3.640,-14.939,1.768,-0.122
1547832424826,2019-01-18T18:27:04.826,3.680,-19.390,1.220,-1.707
1547832424866,2019-01-18T18:27:04.866,3.720,-16.585,2.683,3.841
1547832424906,2019-01-18T18:27:04.906,3.760,-13.232,-5.122,10.427
1547832424946,2019-01-18T18:27:04.946,3.800,-13.720,-2.988,12.317
1547832424986,2019-01-18T18:27:04.986,3.840,-17.012,-4.207,12.500
1547832425026,2019-01-18T18:27:05.026,3.880,-18.963,-5.488,16.524
1547832425066,2019-01-18T18:27:05.066,3.920,-22.744,-8.171,17.744
1547832425106,2019-01-18T18:27:05.106,3.960,-29.878,-10.854,21.829
1547832425146,2019-01-18T18:27:05.146,4.000,-42.500,-6.037,24.695
1547832425186,2019-01-18T18:27:05.186,4.040,-47.012,4.207,18.110
1547832425226,2019-01-18T18:27:05.226,4.080,-34.390,22.073,-4.024
1547832425266,2019-01-18T18:27:05.266,4.120,-20.000,-4.390,5.000
1547832425306,2019-01-18T18:27:05.306,4.160,-1.890,-34.390,17.134
1547832425346,2019-01-18T18:27:05.346,4.200,4.817,-25.488,-0.671
1547832425386,2019-01-18T18:27:05.386,4.240,3.232,-1.768,-12.134
1547832425426,2019-01-18T18:27:05.426,4.280,1.829,0.610,-7.378
1547832425466,2019-01-18T18:27:05.466,4.320,5.732,-5.732,-5.427
1547832425506,2019-01-18T18:27:05.506,4.360,13.232,-10.244,1.585
1547832425546,2019-01-18T18:27:05.546,4.400,13.598,-9.024,4.329
1547832425586,2019-01-18T18:27:05.586,4.440,4.817,-2.622,0.488
1547832425626,2019-01-18T18:27:05.626,4.480,1.220,3.902,-3.049
1547832425666,2019-01-18T18:27:05.666,4.520,3.232,0.854,0.610
1547832425706,2019-01-18T18:27:05.706,4.560,1.829,1.646,0.427
1547832425746,2019-01-18T18:27:05.746,4.600,-0.793,1.829,-2.622
1547832425786,2019-01-18T18:27:05.786,4.640,1.890,-1.951,0.915
1547832425826,2019-01-18T18:27:05.826,4.680,8.902,-1.951,-2.805
1547832425866,2019-01-18T18:27:05.866,4.720,12.744,0.671,-5.366
1547832425906,2019-01-18T18:27:05.906,4.760,15.915,1.890,-3.171
1547832425946,2019-01-18T18:27:05.946,4.800,23.293,3.415,-7.744
1547832425986,2019-01-18T18:27:05.986,4.840,25.061,4.085,-7.561
1547832426026,2019-01-18T18:27:06.026,4.880,31.707,3.476,-14.634
1547832426066,2019-01-18T18:27:06.066,4.920,32.073,4.634,-7.439
1547832426106,2019-01-18T18:27:06.106,4.960,33.963,7.378,-15.793
1547832426146,2019-01-18T18:27:06.146,5.000,32.988,4.451,-10.976
1547832426186,2019-01-18T18:27:06.186,5.040,30.732,2.134,-8.293
1547832426226,2019-01-18T18:27:06.226,5.080,28.537,-1.159,-8.476
1547832426266,2019-01-18T18:27:06.266,5.120,27.744,-0.732,-5.427
1547832426306,2019-01-18T18:27:06.306,5.160,28.598,-4.939,-2.744
1547832426346,2019-01-18T18:27:06.346,5.200,24.207,-4.939,0.610
1547832426386,2019-01-18T18:27:06.386,5.240,20.976,-6.707,3.110
1547832426426,2019-01-18T18:27:06.426,5.280,12.195,-0.732,1.890
1547832426466,2019-01-18T18:27:06.466,5.320,6.829,-3.537,2.378
1547832426506,2019-01-18T18:27:06.506,5.360,7.683,-1.951,10.488
