epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547219408351,2019-01-11T16:10:08.351,0.000,0.122,-5.488,-3.841
1547219408391,2019-01-11T16:10:08.391,0.040,2.195,-9.695,-0.610
1547219408431,2019-01-11T16:10:08.431,0.080,2.622,-8.110,-4.024
1547219408471,2019-01-11T16:10:08.471,0.120,1.951,-4.695,-4.634
1547219408511,2019-01-11T16:10:08.511,0.160,1.524,-2.561,-2.500
1547219408551,2019-01-11T16:10:08.551,0.200,1.402,-3.171,-2.561
1547219408591,2019-01-11T16:10:08.591,0.240,1.707,-5.366,0.915
1547219408631,2019-01-11T16:10:08.631,0.280,0.000,-3.232,-2.988
1547219408671,2019-01-11T16:10:08.671,0.320,2.683,-4.146,-1.220
1547219408711,2019-01-11T16:10:08.711,0.360,2.866,-3.841,-1.280
1547219408751,2019-01-11T16:10:08.751,0.400,1.524,0.610,-3.171
1547219408791,2019-01-11T16:10:08.791,0.440,3.902,0.061,-5.610
1547219408831,2019-01-11T16:10:08.831,0.480,6.280,-4.207,-6.768
1547219408871,2019-01-11T16:10:08.871,0.520,8.720,-4.146,-7.134
1547219408911,2019-01-11T16:10:08.911,0.560,8.537,1.159,-14.268
1547219408951,2019-01-11T16:10:08.951,0.600,10.915,-2.988,-12.683
1547219408991,2019-01-11T16:10:08.991,0.640,13.171,-3.963,-15.061
1547219409031,2019-01-11T16:10:09.031,0.680,16.707,-5.549,-11.768
1547219409071,2019-01-11T16:10:09.071,0.720,21.585,-10.000,-8.598
1547219409111,2019-01-11T16:10:09.111,0.760,19.207,-0.915,-15.976
1547219409151,2019-01-11T16:10:09.151,0.800,13.110,-4.146,-16.159
1547219409191,2019-01-11T16:10:09.191,0.840,12.195,-1.524,-12.683
1547219409231,2019-01-11T16:10:09.231,0.880,20.671,-13.049,-8.963
1547219409271,2019-01-11T16:10:09.271,0.920,14.939,-15.610,1.402
1547219409311,2019-01-11T16:10:09.311,0.960,11.280,-8.720,3.537
1547219409351,2019-01-11T16:10:09.351,1.000,3.720,-14.390,-4.634
1547219409391,2019-01-11T16:10:09.391,1.040,-12.134,-7.500,-6.524
1547219409431,2019-01-11T16:10:09.431,1.080,-1.341,-14.695,-2.744
1547219409471,2019-01-11T16:10:09.471,1.120,-2.866,-14.939,9.512
1547219409511,2019-01-11T16:10:09.511,1.160,2.866,-12.256,9.939
1547219409551,2019-01-11T16:10:09.551,1.200,0.000,-14.146,8.720
1547219409591,2019-01-11T16:10:09.591,1.240,-6.402,-13.598,14.451
1547219409631,2019-01-11T16:10:09.631,1.280,2.500,-18.902,16.768
1547219409671,2019-01-11T16:10:09.671,1.320,-7.561,-16.524,24.817
1547219409711,2019-01-11T16:10:09.711,1.360,-19.268,-12.744,19.939
1547219409751,2019-01-11T16:10:09.751,1.400,-16.585,-10.793,5.305
1547219409791,2019-01-11T16:10:09.791,1.440,-10.915,-5.793,-3.659
1547219409831,2019-01-11T16:10:09.831,1.480,0.000,4.695,-13.354
1547219409871,2019-01-11T16:10:09.871,1.520,0.427,10.244,-20.915
1547219409911,2019-01-11T16:10:09.911,1.560,-4.268,8.354,-28.963
1547219409951,2019-01-11T16:10:09.951,1.600,-8.415,8.232,-22.378
1547219409991,2019-01-11T16:10:09.991,1.640,-10.183,10.061,-16.463
1547219410031,2019-01-11T16:10:10.031,1.680,-10.488,15.244,-19.146
1547219410071,2019-01-11T16:10:10.071,1.720,-2.500,15.122,-12.805
1547219410111,2019-01-11T16:10:10.111,1.760,11.098,9.939,-7.805
1547219410151,2019-01-11T16:10:10.151,1.800,17.439,5.061,-4.268
1547219410191,2019-01-11T16:10:10.191,1.840,15.305,4.268,2.744
1547219410231,2019-01-11T16:10:10.231,1.880,12.805,5.915,6.707
