epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547219685680,2019-01-11T16:14:45.680,0.000,-0.010,0.968,-0.084
1547219685760,2019-01-11T16:14:45.760,0.080,0.000,0.969,-0.110
1547219685840,2019-01-11T16:14:45.840,0.160,-0.004,0.953,-0.098
1547219685920,2019-01-11T16:14:45.920,0.240,-0.014,0.899,-0.106
1547219686000,2019-01-11T16:14:46.000,0.320,-0.024,0.818,-0.154
1547219686080,2019-01-11T16:14:46.080,0.400,-0.024,0.806,-0.198
1547219686160,2019-01-11T16:14:46.160,0.480,-0.071,0.850,-0.168
1547219686240,2019-01-11T16:14:46.240,0.560,-0.101,0.883,-0.206
1547219686320,2019-01-11T16:14:46.320,0.640,-0.107,0.903,-0.228
1547219686400,2019-01-11T16:14:46.400,0.720,-0.129,0.921,-0.250
1547219686480,2019-01-11T16:14:46.480,0.800,-0.151,0.907,-0.211
1547219686560,2019-01-11T16:14:46.560,0.880,-0.147,0.933,-0.232
1547219686640,2019-01-11T16:14:46.640,0.960,-0.143,0.933,-0.210
1547219686720,2019-01-11T16:14:46.720,1.040,-0.115,0.969,-0.190
1547219686800,2019-01-11T16:14:46.800,1.120,-0.121,1.161,-0.140
1547219686880,2019-01-11T16:14:46.880,1.200,-0.177,1.506,-0.147
1547219686960,2019-01-11T16:14:46.960,1.280,-0.171,1.330,-0.142
1547219687040,2019-01-11T16:14:47.040,1.360,-0.159,0.960,-0.127
1547219687120,2019-01-11T16:14:47.120,1.440,-0.193,0.929,-0.135
1547219687200,2019-01-11T16:14:47.200,1.520,-0.191,0.935,-0.188
1547219687280,2019-01-11T16:14:47.280,1.600,-0.211,0.933,-0.189
1547219687360,2019-01-11T16:14:47.360,1.680,-0.178,0.940,-0.179
1547219687440,2019-01-11T16:14:47.440,1.760,-0.190,0.921,-0.150
1547219687520,2019-01-11T16:14:47.520,1.840,-0.174,0.940,-0.196
1547219687600,2019-01-11T16:14:47.600,1.920,-0.171,0.939,-0.170
1547219687680,2019-01-11T16:14:47.680,2.000,-0.146,0.962,-0.215
1547219687760,2019-01-11T16:14:47.760,2.080,-0.125,0.942,-0.162
1547219687840,2019-01-11T16:14:47.840,2.160,-0.095,0.967,-0.137
1547219687920,2019-01-11T16:14:47.920,2.240,-0.071,0.960,-0.104
1547219688000,2019-01-11T16:14:48.000,2.320,-0.035,0.758,-0.113
1547219688080,2019-01-11T16:14:48.080,2.400,0.022,0.702,-0.182
1547219688160,2019-01-11T16:14:48.160,2.480,-0.052,0.870,-0.050
1547219688240,2019-01-11T16:14:48.240,2.560,-0.034,1.052,-0.114
1547219688320,2019-01-11T16:14:48.320,2.640,-0.033,0.973,-0.121
1547219688400,2019-01-11T16:14:48.400,2.720,-0.017,0.958,-0.113
1547219688480,2019-01-11T16:14:48.480,2.800,-0.006,1.002,-0.136
1547219688560,2019-01-11T16:14:48.560,2.880,-0.029,0.939,-0.116
1547219688640,2019-01-11T16:14:48.640,2.960,-0.002,0.828,-0.187
1547219688720,2019-01-11T16:14:48.720,3.040,-0.037,0.770,-0.177
1547219688800,2019-01-11T16:14:48.800,3.120,-0.053,0.813,-0.195
1547219688880,2019-01-11T16:14:48.880,3.200,-0.101,0.858,-0.208
1547219688960,2019-01-11T16:14:48.960,3.280,-0.118,0.865,-0.202
1547219689040,2019-01-11T16:14:49.040,3.360,-0.143,0.856,-0.169
1547219689120,2019-01-11T16:14:49.120,3.440,-0.152,0.893,-0.197
1547219689200,2019-01-11T16:14:49.200,3.520,-0.158,0.916,-0.184
1547219689280,2019-01-11T16:14:49.280,3.600,-0.146,0.972,-0.167
1547219689360,2019-01-11T16:14:49.360,3.680,-0.142,1.193,-0.167
1547219689440,2019-01-11T16:14:49.440,3.760,-0.219,1.595,-0.119
1547219689520,2019-01-11T16:14:49.520,3.840,-0.189,1.453,-0.136
1547219689600,2019-01-11T16:14:49.600,3.920,-0.165,0.978,-0.115
1547219689680,2019-01-11T16:14:49.680,4.000,-0.193,0.879,-0.128
1547219689760,2019-01-11T16:14:49.760,4.080,-0.199,0.905,-0.185
1547219689840,2019-01-11T16:14:49.840,4.160,-0.200,0.906,-0.186
1547219689920,2019-01-11T16:14:49.920,4.240,-0.202,0.905,-0.163
