epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547580927652,2019-01-15T20:35:27.652,0.000,0.044,-1.007,-0.142
1547580927732,2019-01-15T20:35:27.732,0.080,0.042,-1.039,-0.185
1547580927812,2019-01-15T20:35:27.812,0.160,0.066,-1.020,-0.138
1547580927892,2019-01-15T20:35:27.892,0.240,0.060,-1.059,-0.134
1547580927972,2019-01-15T20:35:27.972,0.320,0.064,-1.121,-0.160
1547580928052,2019-01-15T20:35:28.052,0.400,0.067,-1.161,-0.158
1547580928132,2019-01-15T20:35:28.132,0.480,0.050,-1.157,-0.165
1547580928212,2019-01-15T20:35:28.212,0.560,0.038,-1.180,-0.158
1547580928292,2019-01-15T20:35:28.292,0.640,0.043,-1.162,-0.162
1547580928372,2019-01-15T20:35:28.372,0.720,0.046,-1.152,-0.152
1547580928452,2019-01-15T20:35:28.452,0.800,0.038,-1.127,-0.133
1547580928532,2019-01-15T20:35:28.532,0.880,0.039,-1.112,-0.119
1547580928612,2019-01-15T20:35:28.612,0.960,0.020,-1.081,-0.116
1547580928692,2019-01-15T20:35:28.692,1.040,0.006,-1.028,-0.093
1547580928772,2019-01-15T20:35:28.772,1.120,0.004,-0.929,-0.087
1547580928852,2019-01-15T20:35:28.852,1.200,0.027,-0.757,0.009
1547580928932,2019-01-15T20:35:28.932,1.280,0.030,-0.616,0.087
1547580929012,2019-01-15T20:35:29.012,1.360,-0.006,-0.664,0.196
1547580929092,2019-01-15T20:35:29.092,1.440,0.007,-0.917,0.192
1547580929172,2019-01-15T20:35:29.172,1.520,-0.042,-1.086,0.152
1547580929252,2019-01-15T20:35:29.252,1.600,-0.046,-1.042,0.148
1547580929332,2019-01-15T20:35:29.332,1.680,-0.043,-0.857,0.136
1547580929412,2019-01-15T20:35:29.412,1.760,-0.058,-0.782,0.045
1547580929492,2019-01-15T20:35:29.492,1.840,0.024,-0.852,0.020
1547580929572,2019-01-15T20:35:29.572,1.920,0.019,-0.936,0.000
1547580929652,2019-01-15T20:35:29.652,2.000,-0.018,-0.909,-0.054
1547580929732,2019-01-15T20:35:29.732,2.080,-0.006,-0.998,-0.148
1547580929812,2019-01-15T20:35:29.812,2.160,-0.005,-1.064,-0.091
