epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547580635127,2019-01-15T20:30:35.127,0.000,0.081,-1.054,0.043
1547580635207,2019-01-15T20:30:35.207,0.080,0.056,-1.045,0.048
1547580635287,2019-01-15T20:30:35.287,0.160,0.089,-1.024,0.010
1547580635367,2019-01-15T20:30:35.367,0.240,0.099,-1.040,0.045
1547580635447,2019-01-15T20:30:35.447,0.320,-0.015,-0.958,-0.104
1547580635527,2019-01-15T20:30:35.527,0.400,0.056,-1.005,-0.093
1547580635607,2019-01-15T20:30:35.607,0.480,0.115,-1.084,-0.053
1547580635687,2019-01-15T20:30:35.687,0.560,0.100,-1.026,-0.074
1547580635767,2019-01-15T20:30:35.767,0.640,0.072,-1.009,-0.043
1547580635847,2019-01-15T20:30:35.847,0.720,0.115,-1.035,-0.093
1547580635927,2019-01-15T20:30:35.927,0.800,0.110,-1.003,-0.040
1547580636007,2019-01-15T20:30:36.007,0.880,0.110,-1.064,-0.068
1547580636087,2019-01-15T20:30:36.087,0.960,0.121,-1.084,-0.072
1547580636167,2019-01-15T20:30:36.167,1.040,0.120,-1.154,-0.088
1547580636247,2019-01-15T20:30:36.247,1.120,0.122,-1.165,-0.103
1547580636327,2019-01-15T20:30:36.327,1.200,0.104,-1.172,-0.114
1547580636407,2019-01-15T20:30:36.407,1.280,0.106,-1.167,-0.104
1547580636487,2019-01-15T20:30:36.487,1.360,0.122,-1.161,-0.084
1547580636567,2019-01-15T20:30:36.567,1.440,0.109,-1.131,-0.098
1547580636647,2019-01-15T20:30:36.647,1.520,0.102,-1.126,-0.063
1547580636727,2019-01-15T20:30:36.727,1.600,0.080,-1.081,-0.034
1547580636807,2019-01-15T20:30:36.807,1.680,0.095,-1.050,-0.045
1547580636887,2019-01-15T20:30:36.887,1.760,0.078,-0.950,-0.036
1547580636967,2019-01-15T20:30:36.967,1.840,0.103,-0.836,-0.012
1547580637047,2019-01-15T20:30:37.047,1.920,0.077,-0.674,0.097
