epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547580634809,2019-01-15T20:30:34.809,0.000,4.207,-2.012,-0.305
1547580634849,2019-01-15T20:30:34.849,0.040,3.659,-2.317,0.305
1547580634889,2019-01-15T20:30:34.889,0.080,3.415,-1.890,1.341
1547580634929,2019-01-15T20:30:34.929,0.120,5.488,-3.415,2.988
1547580634969,2019-01-15T20:30:34.969,0.160,7.012,-7.927,3.049
1547580635009,2019-01-15T20:30:35.009,0.200,5.122,-9.878,3.293
1547580635049,2019-01-15T20:30:35.049,0.240,5.000,-22.561,3.780
1547580635089,2019-01-15T20:30:35.089,0.280,-2.012,-16.951,4.390
1547580635129,2019-01-15T20:30:35.129,0.320,5.610,-23.171,-6.524
1547580635169,2019-01-15T20:30:35.169,0.360,5.854,-17.866,-15.976
1547580635209,2019-01-15T20:30:35.209,0.400,-3.415,-22.195,-2.683
1547580635249,2019-01-15T20:30:35.249,0.440,-6.280,-12.195,2.683
1547580635289,2019-01-15T20:30:35.289,0.480,-11.890,-1.037,-2.927
1547580635329,2019-01-15T20:30:35.329,0.520,-17.500,8.354,1.829
1547580635369,2019-01-15T20:30:35.369,0.560,-20.427,-7.195,2.134
1547580635409,2019-01-15T20:30:35.409,0.600,-23.110,-25.061,-0.976
1547580635449,2019-01-15T20:30:35.449,0.640,-23.659,-22.012,-12.012
1547580635489,2019-01-15T20:30:35.489,0.680,-27.683,2.561,-9.573
1547580635529,2019-01-15T20:30:35.529,0.720,-6.220,-3.049,-8.171
1547580635569,2019-01-15T20:30:35.569,0.760,-3.232,-2.561,-6.098
1547580635609,2019-01-15T20:30:35.609,0.800,-2.134,2.561,-3.841
1547580635649,2019-01-15T20:30:35.649,0.840,1.280,8.598,-3.171
1547580635689,2019-01-15T20:30:35.689,0.880,2.439,7.256,-2.561
1547580635729,2019-01-15T20:30:35.729,0.920,2.744,-5.000,-3.659
1547580635769,2019-01-15T20:30:35.769,0.960,1.951,-12.012,-4.146
1547580635809,2019-01-15T20:30:35.809,1.000,-2.561,-10.915,-1.585
1547580635849,2019-01-15T20:30:35.849,1.040,14.390,-21.037,-0.732
1547580635889,2019-01-15T20:30:35.889,1.080,-2.195,-9.207,1.768
1547580635929,2019-01-15T20:30:35.929,1.120,-4.085,-9.634,2.012
1547580635969,2019-01-15T20:30:35.969,1.160,-0.183,-7.805,0.061
1547580636009,2019-01-15T20:30:36.009,1.200,-0.732,-3.232,-0.488
1547580636049,2019-01-15T20:30:36.049,1.240,1.402,-7.256,-0.610
1547580636089,2019-01-15T20:30:36.089,1.280,-5.976,-4.207,2.988
1547580636129,2019-01-15T20:30:36.129,1.320,6.159,-10.244,0.549
1547580636169,2019-01-15T20:30:36.169,1.360,-3.293,0.610,2.134
1547580636209,2019-01-15T20:30:36.209,1.400,1.829,-5.488,1.463
1547580636249,2019-01-15T20:30:36.249,1.440,7.927,-15.732,2.317
1547580636289,2019-01-15T20:30:36.289,1.480,5.549,-3.902,1.585
1547580636329,2019-01-15T20:30:36.329,1.520,12.439,-2.256,-1.098
1547580636369,2019-01-15T20:30:36.369,1.560,8.049,2.622,2.195
1547580636409,2019-01-15T20:30:36.409,1.600,5.610,-0.183,3.902
1547580636449,2019-01-15T20:30:36.449,1.640,0.427,-1.098,2.866
