epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547223864873,2019-01-11T17:24:24.873,0.000,0.027,-1.009,-0.108
1547223864953,2019-01-11T17:24:24.953,0.080,0.086,-1.045,-0.223
1547223865033,2019-01-11T17:24:25.033,0.160,0.055,-1.039,-0.205
1547223865113,2019-01-11T17:24:25.113,0.240,0.068,-1.022,-0.140
1547223865193,2019-01-11T17:24:25.193,0.320,0.097,-1.014,-0.121
1547223865273,2019-01-11T17:24:25.273,0.400,0.074,-1.017,-0.143
1547223865353,2019-01-11T17:24:25.353,0.480,0.044,-1.027,-0.108
1547223865433,2019-01-11T17:24:25.433,0.560,0.021,-1.042,-0.098
1547223865513,2019-01-11T17:24:25.513,0.640,0.040,-1.028,-0.126
1547223865593,2019-01-11T17:24:25.593,0.720,0.031,-1.025,-0.120
1547223865673,2019-01-11T17:24:25.673,0.800,0.036,-1.023,-0.119
1547223865753,2019-01-11T17:24:25.753,0.880,0.057,-1.028,-0.130
1547223865833,2019-01-11T17:24:25.833,0.960,0.049,-1.031,-0.128
1547223865913,2019-01-11T17:24:25.913,1.040,0.039,-1.022,-0.133
1547223865993,2019-01-11T17:24:25.993,1.120,0.093,-1.023,-0.166
1547223866073,2019-01-11T17:24:26.073,1.200,0.041,-1.022,-0.126
1547223866153,2019-01-11T17:24:26.153,1.280,0.035,-1.034,-0.115
1547223866233,2019-01-11T17:24:26.233,1.360,0.060,-1.021,-0.141
1547223866313,2019-01-11T17:24:26.313,1.440,0.053,-1.023,-0.128
1547223866393,2019-01-11T17:24:26.393,1.520,0.035,-1.034,-0.106
1547223866473,2019-01-11T17:24:26.473,1.600,0.017,-1.036,-0.143
1547223866553,2019-01-11T17:24:26.553,1.680,0.046,-1.042,-0.117
1547223866633,2019-01-11T17:24:26.633,1.760,0.137,-1.103,-0.171
1547223866713,2019-01-11T17:24:26.713,1.840,0.035,-1.093,-0.000
1547223866793,2019-01-11T17:24:26.793,1.920,0.033,-0.988,-0.034
1547223866873,2019-01-11T17:24:26.873,2.000,-0.009,-0.925,-0.206
1547223866953,2019-01-11T17:24:26.953,2.080,0.047,-1.045,-0.052
1547223867033,2019-01-11T17:24:27.033,2.160,0.028,-1.055,-0.030
1547223867113,2019-01-11T17:24:27.113,2.240,0.003,-1.064,-0.056
1547223867193,2019-01-11T17:24:27.193,2.320,0.045,-1.221,-0.072
