epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547223864906,2019-01-11T17:24:24.906,0.000,0.610,6.280,-0.488
1547223864946,2019-01-11T17:24:24.946,0.040,1.951,2.012,4.024
1547223864986,2019-01-11T17:24:24.986,0.080,7.134,-16.341,3.720
1547223865026,2019-01-11T17:24:25.026,0.120,18.476,-64.756,3.171
1547223865066,2019-01-11T17:24:25.066,0.160,17.317,-47.927,3.841
1547223865106,2019-01-11T17:24:25.106,0.200,11.524,-27.439,5.488
1547223865146,2019-01-11T17:24:25.146,0.240,10.610,-11.524,5.915
1547223865186,2019-01-11T17:24:25.186,0.280,6.341,-2.866,4.024
1547223865226,2019-01-11T17:24:25.226,0.320,5.549,-4.817,2.561
1547223865266,2019-01-11T17:24:25.266,0.360,0.122,0.244,4.573
1547223865306,2019-01-11T17:24:25.306,0.400,1.829,0.488,4.817
1547223865346,2019-01-11T17:24:25.346,0.440,0.610,1.829,3.232
1547223865386,2019-01-11T17:24:25.386,0.480,2.256,-3.902,0.671
1547223865426,2019-01-11T17:24:25.426,0.520,1.646,-0.854,-0.976
1547223865466,2019-01-11T17:24:25.466,0.560,1.646,-1.829,1.707
1547223865506,2019-01-11T17:24:25.506,0.600,-1.098,2.073,4.390
1547223865546,2019-01-11T17:24:25.546,0.640,-3.049,8.476,3.537
1547223865586,2019-01-11T17:24:25.586,0.680,-0.793,7.683,0.427
1547223865626,2019-01-11T17:24:25.626,0.720,-2.988,17.012,-3.354
1547223865666,2019-01-11T17:24:25.666,0.760,-1.280,10.061,-2.866
1547223865706,2019-01-11T17:24:25.706,0.800,-0.915,8.049,-2.073
1547223865746,2019-01-11T17:24:25.746,0.840,0.061,3.963,-1.463
1547223865786,2019-01-11T17:24:25.786,0.880,0.244,9.756,-1.341
1547223865826,2019-01-11T17:24:25.826,0.920,-0.732,10.610,0.671
1547223865866,2019-01-11T17:24:25.866,0.960,-1.037,15.366,-2.439
1547223865906,2019-01-11T17:24:25.906,1.000,0.183,3.598,-1.829
1547223865946,2019-01-11T17:24:25.946,1.040,-0.427,-18.963,4.329
1547223865986,2019-01-11T17:24:25.986,1.080,0.610,-31.890,5.183
1547223866026,2019-01-11T17:24:26.026,1.120,2.988,-13.354,1.707
1547223866066,2019-01-11T17:24:26.066,1.160,3.720,-6.524,1.341
1547223866106,2019-01-11T17:24:26.106,1.200,3.354,-7.744,1.159
1547223866146,2019-01-11T17:24:26.146,1.240,1.463,-6.037,1.707
1547223866186,2019-01-11T17:24:26.186,1.280,0.061,-6.341,2.073
1547223866226,2019-01-11T17:24:26.226,1.320,-0.671,-4.512,0.488
1547223866266,2019-01-11T17:24:26.266,1.360,1.341,-6.280,0.366
1547223866306,2019-01-11T17:24:26.306,1.400,-2.256,12.805,0.915
1547223866346,2019-01-11T17:24:26.346,1.440,-5.244,27.683,1.098
1547223866386,2019-01-11T17:24:26.386,1.480,3.110,0.000,1.890
1547223866426,2019-01-11T17:24:26.426,1.520,6.280,-6.585,-1.402
1547223866466,2019-01-11T17:24:26.466,1.560,6.159,-4.146,-3.293
1547223866506,2019-01-11T17:24:26.506,1.600,6.524,-9.329,-3.232
1547223866546,2019-01-11T17:24:26.546,1.640,8.171,-17.073,2.439
1547223866586,2019-01-11T17:24:26.586,1.680,16.402,-43.780,14.207
1547223866626,2019-01-11T17:24:26.626,1.720,16.341,-43.537,8.415
1547223866666,2019-01-11T17:24:26.666,1.760,22.988,-35.671,-9.512
1547223866706,2019-01-11T17:24:26.706,1.800,20.366,-36.098,-17.988
1547223866746,2019-01-11T17:24:26.746,1.840,10.915,-37.805,-8.659
1547223866786,2019-01-11T17:24:26.786,1.880,0.854,-21.037,6.890
1547223866826,2019-01-11T17:24:26.826,1.920,2.927,-7.988,11.951
1547223866866,2019-01-11T17:24:26.866,1.960,7.622,-3.293,-3.293
1547223866906,2019-01-11T17:24:26.906,2.000,4.634,-0.488,-7.561
1547223866946,2019-01-11T17:24:26.946,2.040,3.476,-13.232,9.024
1547223866986,2019-01-11T17:24:26.986,2.080,2.500,-8.902,2.439
1547223867026,2019-01-11T17:24:27.026,2.120,-0.854,-2.439,0.122
1547223867066,2019-01-11T17:24:27.066,2.160,3.171,-7.378,5.427
1547223867106,2019-01-11T17:24:27.106,2.200,0.793,-5.976,5.671
1547223867146,2019-01-11T17:24:27.146,2.240,7.134,-6.768,1.646
1547223867186,2019-01-11T17:24:27.186,2.280,7.744,-12.500,3.780
1547223867226,2019-01-11T17:24:27.226,2.320,3.354,-7.439,4.756
1547223867266,2019-01-11T17:24:27.266,2.360,9.756,-8.659,-2.927
