epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547221441391,2019-01-11T16:44:01.391,0.000,-0.070,0.988,0.015
1547221441471,2019-01-11T16:44:01.471,0.080,-0.059,0.958,0.010
1547221441551,2019-01-11T16:44:01.551,0.160,-0.049,0.971,-0.013
1547221441631,2019-01-11T16:44:01.631,0.240,-0.065,0.999,0.009
1547221441711,2019-01-11T16:44:01.711,0.320,-0.076,1.003,0.012
1547221441791,2019-01-11T16:44:01.791,0.400,-0.074,0.958,0.011
1547221441871,2019-01-11T16:44:01.871,0.480,-0.072,0.868,0.029
1547221441951,2019-01-11T16:44:01.951,0.560,-0.077,0.866,0.027
1547221442031,2019-01-11T16:44:02.031,0.640,-0.098,1.169,-0.040
1547221442111,2019-01-11T16:44:02.111,0.720,-0.169,1.451,-0.054
1547221442191,2019-01-11T16:44:02.191,0.800,-0.166,1.314,-0.076
1547221442271,2019-01-11T16:44:02.271,0.880,-0.160,1.031,-0.046
1547221442351,2019-01-11T16:44:02.351,0.960,-0.205,0.911,-0.072
1547221442431,2019-01-11T16:44:02.431,1.040,-0.276,0.873,-0.100
1547221442511,2019-01-11T16:44:02.511,1.120,-0.298,0.855,-0.072
1547221442591,2019-01-11T16:44:02.591,1.200,-0.322,0.881,-0.125
1547221442671,2019-01-11T16:44:02.671,1.280,-0.328,0.835,-0.026
1547221442751,2019-01-11T16:44:02.751,1.360,-0.328,0.868,-0.025
1547221442831,2019-01-11T16:44:02.831,1.440,-0.316,0.886,-0.015
1547221442911,2019-01-11T16:44:02.911,1.520,-0.291,0.901,0.021
1547221442991,2019-01-11T16:44:02.991,1.600,-0.237,0.897,0.050
1547221443071,2019-01-11T16:44:03.071,1.680,-0.185,0.866,0.066
1547221443151,2019-01-11T16:44:03.151,1.760,-0.132,0.762,0.044
1547221443231,2019-01-11T16:44:03.231,1.840,-0.119,0.744,0.020
1547221443311,2019-01-11T16:44:03.311,1.920,-0.121,0.871,0.011
1547221443391,2019-01-11T16:44:03.391,2.000,-0.095,0.940,-0.047
1547221443471,2019-01-11T16:44:03.471,2.080,-0.104,0.818,-0.073
1547221443551,2019-01-11T16:44:03.551,2.160,-0.108,0.730,-0.109
1547221443631,2019-01-11T16:44:03.631,2.240,-0.161,0.768,-0.083
1547221443711,2019-01-11T16:44:03.711,2.320,-0.218,0.826,-0.146
1547221443791,2019-01-11T16:44:03.791,2.400,-0.242,0.871,-0.155
1547221443871,2019-01-11T16:44:03.871,2.480,-0.238,0.883,-0.170
1547221443951,2019-01-11T16:44:03.951,2.560,-0.229,0.891,-0.142
1547221444031,2019-01-11T16:44:04.031,2.640,-0.248,0.945,-0.109
1547221444111,2019-01-11T16:44:04.111,2.720,-0.263,0.958,-0.059
1547221444191,2019-01-11T16:44:04.191,2.800,-0.225,1.063,-0.069
1547221444271,2019-01-11T16:44:04.271,2.880,-0.212,1.135,-0.048
1547221444351,2019-01-11T16:44:04.351,2.960,-0.137,1.172,-0.061
1547221444431,2019-01-11T16:44:04.431,3.040,-0.106,1.149,0.050
1547221444511,2019-01-11T16:44:04.511,3.120,-0.074,1.159,0.067
1547221444591,2019-01-11T16:44:04.591,3.200,-0.056,0.996,0.091
1547221444671,2019-01-11T16:44:04.671,3.280,-0.021,0.979,0.041
1547221444751,2019-01-11T16:44:04.751,3.360,-0.044,1.249,0.064
1547221444831,2019-01-11T16:44:04.831,3.440,-0.129,1.463,0.038
1547221444911,2019-01-11T16:44:04.911,3.520,-0.169,1.236,-0.015
1547221444991,2019-01-11T16:44:04.991,3.600,-0.197,1.002,-0.044
1547221445071,2019-01-11T16:44:05.071,3.680,-0.261,0.893,-0.070
1547221445151,2019-01-11T16:44:05.151,3.760,-0.301,0.863,-0.112
1547221445231,2019-01-11T16:44:05.231,3.840,-0.334,0.853,-0.135
1547221445311,2019-01-11T16:44:05.311,3.920,-0.313,0.823,-0.139
1547221445391,2019-01-11T16:44:05.391,4.000,-0.313,0.805,-0.111
1547221445471,2019-01-11T16:44:05.471,4.080,-0.319,0.866,-0.086
1547221445551,2019-01-11T16:44:05.551,4.160,-0.292,0.920,-0.060
1547221445631,2019-01-11T16:44:05.631,4.240,-0.226,0.946,-0.012
1547221445711,2019-01-11T16:44:05.711,4.320,-0.146,0.829,0.020
1547221445791,2019-01-11T16:44:05.791,4.400,-0.128,0.629,-0.038
1547221445871,2019-01-11T16:44:05.871,4.480,-0.111,0.723,-0.073
1547221445951,2019-01-11T16:44:05.951,4.560,-0.147,0.977,-0.000
1547221446031,2019-01-11T16:44:06.031,4.640,-0.114,1.029,-0.010
1547221446111,2019-01-11T16:44:06.111,4.720,-0.094,0.870,-0.055
1547221446191,2019-01-11T16:44:06.191,4.800,-0.125,0.747,-0.095
1547221446271,2019-01-11T16:44:06.271,4.880,-0.136,0.709,-0.130
1547221446351,2019-01-11T16:44:06.351,4.960,-0.162,0.743,-0.156
1547221446431,2019-01-11T16:44:06.431,5.040,-0.175,0.833,-0.178
1547221446511,2019-01-11T16:44:06.511,5.120,-0.228,0.847,-0.174
1547221446591,2019-01-11T16:44:06.591,5.200,-0.206,0.879,-0.178
1547221446671,2019-01-11T16:44:06.671,5.280,-0.229,0.918,-0.137
1547221446751,2019-01-11T16:44:06.751,5.360,-0.193,0.918,-0.086
1547221446831,2019-01-11T16:44:06.831,5.440,-0.202,0.959,0.010
1547221446911,2019-01-11T16:44:06.911,5.520,-0.227,1.145,0.046
1547221446991,2019-01-11T16:44:06.991,5.600,-0.205,1.274,0.075
1547221447071,2019-01-11T16:44:07.071,5.680,-0.168,1.299,0.050
1547221447151,2019-01-11T16:44:07.151,5.760,-0.094,1.218,0.056
1547221447231,2019-01-11T16:44:07.231,5.840,-0.038,1.000,0.118
1547221447311,2019-01-11T16:44:07.311,5.920,0.012,0.858,0.033
1547221447391,2019-01-11T16:44:07.391,6.000,-0.015,0.954,0.052
1547221447471,2019-01-11T16:44:07.471,6.080,-0.062,1.300,0.073
1547221447551,2019-01-11T16:44:07.551,6.160,-0.114,1.383,0.076
1547221447631,2019-01-11T16:44:07.631,6.240,-0.151,1.176,0.019
1547221447711,2019-01-11T16:44:07.711,6.320,-0.191,0.981,0.020
1547221447791,2019-01-11T16:44:07.791,6.400,-0.238,0.990,-0.092
1547221447871,2019-01-11T16:44:07.871,6.480,-0.267,0.866,-0.056
1547221447951,2019-01-11T16:44:07.951,6.560,-0.299,0.875,-0.128
1547221448031,2019-01-11T16:44:08.031,6.640,-0.324,0.866,-0.147
1547221448111,2019-01-11T16:44:08.111,6.720,-0.315,0.879,-0.149
1547221448191,2019-01-11T16:44:08.191,6.800,-0.297,0.878,-0.135
1547221448271,2019-01-11T16:44:08.271,6.880,-0.286,0.906,-0.116
1547221448351,2019-01-11T16:44:08.351,6.960,-0.245,0.935,-0.124
1547221448431,2019-01-11T16:44:08.431,7.040,-0.196,0.854,-0.041
1547221448511,2019-01-11T16:44:08.511,7.120,-0.127,0.653,-0.025
1547221448591,2019-01-11T16:44:08.591,7.200,-0.079,0.684,-0.111
1547221448671,2019-01-11T16:44:08.671,7.280,-0.123,0.857,-0.031
1547221448751,2019-01-11T16:44:08.751,7.360,-0.094,1.024,-0.012
1547221448831,2019-01-11T16:44:08.831,7.440,-0.107,0.958,-0.016
1547221448911,2019-01-11T16:44:08.911,7.520,-0.113,0.724,-0.043
1547221448991,2019-01-11T16:44:08.991,7.600,-0.092,0.660,-0.094
1547221449071,2019-01-11T16:44:09.071,7.680,-0.143,0.697,-0.101
1547221449151,2019-01-11T16:44:09.151,7.760,-0.196,0.833,-0.161
1547221449231,2019-01-11T16:44:09.231,7.840,-0.258,0.898,-0.217
1547221449311,2019-01-11T16:44:09.311,7.920,-0.275,0.890,-0.239
1547221449391,2019-01-11T16:44:09.391,8.000,-0.286,0.889,-0.188
1547221449471,2019-01-11T16:44:09.471,8.080,-0.257,0.967,-0.183
1547221449551,2019-01-11T16:44:09.551,8.160,-0.224,1.011,-0.097
1547221449631,2019-01-11T16:44:09.631,8.240,-0.179,1.099,-0.045
1547221449711,2019-01-11T16:44:09.711,8.320,-0.096,1.226,-0.033
1547221449791,2019-01-11T16:44:09.791,8.400,-0.088,1.300,-0.016
1547221449871,2019-01-11T16:44:09.871,8.480,-0.046,1.246,-0.002
1547221449951,2019-01-11T16:44:09.951,8.560,-0.030,1.065,-0.014
1547221450031,2019-01-11T16:44:10.031,8.640,-0.030,0.840,0.000
1547221450111,2019-01-11T16:44:10.111,8.720,-0.023,0.774,-0.011
1547221450191,2019-01-11T16:44:10.191,8.800,-0.012,1.019,0.018
1547221450271,2019-01-11T16:44:10.271,8.880,-0.084,1.488,-0.052
1547221450351,2019-01-11T16:44:10.351,8.960,-0.104,1.448,-0.100
1547221450431,2019-01-11T16:44:10.431,9.040,-0.123,1.115,-0.061
1547221450511,2019-01-11T16:44:10.511,9.120,-0.164,0.923,-0.056
1547221450591,2019-01-11T16:44:10.591,9.200,-0.222,0.856,-0.086
1547221450671,2019-01-11T16:44:10.671,9.280,-0.262,0.831,-0.102
1547221450751,2019-01-11T16:44:10.751,9.360,-0.288,0.849,-0.152
1547221450831,2019-01-11T16:44:10.831,9.440,-0.301,0.872,-0.182
1547221450911,2019-01-11T16:44:10.911,9.520,-0.302,0.871,-0.172
1547221450991,2019-01-11T16:44:10.991,9.600,-0.319,0.903,-0.188
1547221451071,2019-01-11T16:44:11.071,9.680,-0.288,0.923,-0.181
1547221451151,2019-01-11T16:44:11.151,9.760,-0.275,0.921,-0.105
1547221451231,2019-01-11T16:44:11.231,9.840,-0.188,0.888,-0.041
1547221451311,2019-01-11T16:44:11.311,9.920,-0.119,0.741,0.073
1547221451391,2019-01-11T16:44:11.391,10.000,-0.089,0.754,-0.098
1547221451471,2019-01-11T16:44:11.471,10.080,-0.075,0.803,-0.084
1547221451551,2019-01-11T16:44:11.551,10.160,-0.111,0.964,0.061
1547221451631,2019-01-11T16:44:11.631,10.240,-0.059,1.036,-0.001
1547221451711,2019-01-11T16:44:11.711,10.320,-0.043,0.892,-0.034
1547221451791,2019-01-11T16:44:11.791,10.400,-0.070,0.761,-0.028
1547221451871,2019-01-11T16:44:11.871,10.480,-0.085,0.779,-0.087
1547221451951,2019-01-11T16:44:11.951,10.560,-0.132,0.788,-0.125
1547221452031,2019-01-11T16:44:12.031,10.640,-0.163,0.789,-0.173
1547221452111,2019-01-11T16:44:12.111,10.720,-0.193,0.853,-0.246
1547221452191,2019-01-11T16:44:12.191,10.800,-0.248,0.851,-0.252
1547221452271,2019-01-11T16:44:12.271,10.880,-0.237,0.872,-0.261
1547221452351,2019-01-11T16:44:12.351,10.960,-0.234,0.870,-0.194
1547221452431,2019-01-11T16:44:12.431,11.040,-0.203,0.938,-0.124
1547221452511,2019-01-11T16:44:12.511,11.120,-0.214,1.113,-0.096
1547221452591,2019-01-11T16:44:12.591,11.200,-0.164,1.279,-0.114
1547221452671,2019-01-11T16:44:12.671,11.280,-0.114,1.286,-0.012
1547221452751,2019-01-11T16:44:12.751,11.360,-0.054,1.274,-0.045
1547221452831,2019-01-11T16:44:12.831,11.440,-0.053,1.109,0.027
1547221452911,2019-01-11T16:44:12.911,11.520,-0.077,0.903,0.020
1547221452991,2019-01-11T16:44:12.991,11.600,-0.042,0.765,-0.038
1547221453071,2019-01-11T16:44:13.071,11.680,-0.032,0.809,-0.042
1547221453151,2019-01-11T16:44:13.151,11.760,-0.052,1.123,-0.056
1547221453231,2019-01-11T16:44:13.231,11.840,-0.062,1.456,-0.074
1547221453311,2019-01-11T16:44:13.311,11.920,-0.147,1.383,-0.075
1547221453391,2019-01-11T16:44:13.391,12.000,-0.176,1.095,-0.056
1547221453471,2019-01-11T16:44:13.471,12.080,-0.230,0.953,-0.093
1547221453551,2019-01-11T16:44:13.551,12.160,-0.268,0.787,-0.057
1547221453631,2019-01-11T16:44:13.631,12.240,-0.305,0.797,-0.095
1547221453711,2019-01-11T16:44:13.711,12.320,-0.335,0.794,-0.074
1547221453791,2019-01-11T16:44:13.791,12.400,-0.359,0.835,-0.119
1547221453871,2019-01-11T16:44:13.871,12.480,-0.344,0.831,-0.100
1547221453951,2019-01-11T16:44:13.951,12.560,-0.362,0.894,-0.149
1547221454031,2019-01-11T16:44:14.031,12.640,-0.354,0.932,-0.173
1547221454111,2019-01-11T16:44:14.111,12.720,-0.342,0.936,-0.156
1547221454191,2019-01-11T16:44:14.191,12.800,-0.312,0.929,-0.139
1547221454271,2019-01-11T16:44:14.271,12.880,-0.278,0.923,-0.094
1547221454351,2019-01-11T16:44:14.351,12.960,-0.255,0.954,-0.104
1547221454431,2019-01-11T16:44:14.431,13.040,-0.207,0.924,-0.054
1547221454511,2019-01-11T16:44:14.511,13.120,-0.139,0.875,-0.004
1547221454591,2019-01-11T16:44:14.591,13.200,-0.104,0.803,-0.005
1547221454671,2019-01-11T16:44:14.671,13.280,-0.098,0.773,-0.052
1547221454751,2019-01-11T16:44:14.751,13.360,-0.088,0.849,-0.038
1547221454831,2019-01-11T16:44:14.831,13.440,-0.114,0.977,-0.061
1547221454911,2019-01-11T16:44:14.911,13.520,-0.117,0.961,-0.075
1547221454991,2019-01-11T16:44:14.991,13.600,-0.128,0.815,-0.121
1547221455071,2019-01-11T16:44:15.071,13.680,-0.128,0.780,-0.169
1547221455151,2019-01-11T16:44:15.151,13.760,-0.199,0.805,-0.153
1547221455231,2019-01-11T16:44:15.231,13.840,-0.202,0.816,-0.196
1547221455311,2019-01-11T16:44:15.311,13.920,-0.215,0.830,-0.228
1547221455391,2019-01-11T16:44:15.391,14.000,-0.262,0.845,-0.165
1547221455471,2019-01-11T16:44:15.471,14.080,-0.291,0.910,-0.214
1547221455551,2019-01-11T16:44:15.551,14.160,-0.292,0.905,-0.191
1547221455631,2019-01-11T16:44:15.631,14.240,-0.285,0.940,-0.181
1547221455711,2019-01-11T16:44:15.711,14.320,-0.264,0.967,-0.129
1547221455791,2019-01-11T16:44:15.791,14.400,-0.236,1.010,-0.070
1547221455871,2019-01-11T16:44:15.871,14.480,-0.217,1.124,-0.120
1547221455951,2019-01-11T16:44:15.951,14.560,-0.206,1.136,-0.085
1547221456031,2019-01-11T16:44:16.031,14.640,-0.147,1.120,-0.043
1547221456111,2019-01-11T16:44:16.111,14.720,-0.116,1.113,0.012
1547221456191,2019-01-11T16:44:16.191,14.800,-0.078,1.099,-0.020
1547221456271,2019-01-11T16:44:16.271,14.880,-0.060,1.002,-0.029
1547221456351,2019-01-11T16:44:16.351,14.960,-0.050,0.895,0.007
