epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547221440995,2019-01-11T16:44:00.995,0.000,3.171,-2.256,6.220
1547221441035,2019-01-11T16:44:01.035,0.040,3.049,-2.866,6.341
1547221441075,2019-01-11T16:44:01.075,0.080,4.817,-4.695,5.854
1547221441115,2019-01-11T16:44:01.115,0.120,0.122,-2.744,4.207
1547221441155,2019-01-11T16:44:01.155,0.160,-4.756,0.122,3.171
1547221441195,2019-01-11T16:44:01.195,0.200,-0.305,-0.915,4.024
1547221441235,2019-01-11T16:44:01.235,0.240,2.317,-0.122,8.415
1547221441275,2019-01-11T16:44:01.275,0.280,3.780,1.646,7.622
1547221441315,2019-01-11T16:44:01.315,0.320,-0.854,0.061,2.195
1547221441355,2019-01-11T16:44:01.355,0.360,5.488,0.061,3.780
1547221441395,2019-01-11T16:44:01.395,0.400,10.122,0.244,8.537
1547221441435,2019-01-11T16:44:01.435,0.440,6.585,0.610,2.927
1547221441475,2019-01-11T16:44:01.475,0.480,-0.305,-0.488,2.195
1547221441515,2019-01-11T16:44:01.515,0.520,4.146,-3.537,2.683
1547221441555,2019-01-11T16:44:01.555,0.560,3.659,-10.183,0.122
1547221441595,2019-01-11T16:44:01.595,0.600,-5.122,-6.037,-5.488
1547221441635,2019-01-11T16:44:01.635,0.640,-5.915,1.280,-5.976
1547221441675,2019-01-11T16:44:01.675,0.680,-6.524,-0.976,-7.195
1547221441715,2019-01-11T16:44:01.715,0.720,-7.744,-0.305,-8.415
1547221441755,2019-01-11T16:44:01.755,0.760,-2.134,0.976,-4.939
1547221441795,2019-01-11T16:44:01.795,0.800,5.610,-4.207,1.646
1547221441835,2019-01-11T16:44:01.835,0.840,9.817,-5.976,1.463
1547221441875,2019-01-11T16:44:01.875,0.880,5.366,-7.073,-2.622
1547221441915,2019-01-11T16:44:01.915,0.920,5.793,-11.159,-1.220
1547221441955,2019-01-11T16:44:01.955,0.960,5.000,-14.329,-3.293
1547221441995,2019-01-11T16:44:01.995,1.000,7.805,-13.415,-6.280
1547221442035,2019-01-11T16:44:02.035,1.040,25.671,-12.927,10.244
1547221442075,2019-01-11T16:44:02.075,1.080,34.634,2.927,-2.622
1547221442115,2019-01-11T16:44:02.115,1.120,27.256,11.037,-32.134
1547221442155,2019-01-11T16:44:02.155,1.160,23.720,4.878,-40.549
1547221442195,2019-01-11T16:44:02.195,1.200,16.890,12.256,-51.098
1547221442235,2019-01-11T16:44:02.235,1.240,8.171,11.402,-55.000
1547221442275,2019-01-11T16:44:02.275,1.280,5.488,15.000,-49.634
1547221442315,2019-01-11T16:44:02.315,1.320,1.890,13.415,-38.110
1547221442355,2019-01-11T16:44:02.355,1.360,1.159,5.183,-32.073
1547221442395,2019-01-11T16:44:02.395,1.400,0.915,-6.402,-26.707
1547221442435,2019-01-11T16:44:02.435,1.440,-11.707,-11.220,-22.805
1547221442475,2019-01-11T16:44:02.475,1.480,-25.000,-7.256,-19.634
1547221442515,2019-01-11T16:44:02.515,1.520,-17.195,6.098,-11.463
1547221442555,2019-01-11T16:44:02.555,1.560,-0.915,-3.537,-0.854
1547221442595,2019-01-11T16:44:02.595,1.600,-1.037,-11.646,0.488
1547221442635,2019-01-11T16:44:02.635,1.640,-11.585,4.817,-2.622
1547221442675,2019-01-11T16:44:02.675,1.680,-11.220,1.402,3.963
1547221442715,2019-01-11T16:44:02.715,1.720,-16.280,-1.524,8.780
1547221442755,2019-01-11T16:44:02.755,1.760,-21.463,-0.854,7.500
1547221442795,2019-01-11T16:44:02.795,1.800,-19.878,3.415,17.988
1547221442835,2019-01-11T16:44:02.835,1.840,-21.220,-1.098,21.037
1547221442875,2019-01-11T16:44:02.875,1.880,-17.378,7.012,21.341
1547221442915,2019-01-11T16:44:02.915,1.920,-12.988,0.183,29.390
1547221442955,2019-01-11T16:44:02.955,1.960,-10.122,2.927,40.549
1547221442995,2019-01-11T16:44:02.995,2.000,-8.232,2.073,43.232
1547221443035,2019-01-11T16:44:03.035,2.040,-5.000,5.610,47.744
1547221443075,2019-01-11T16:44:03.075,2.080,4.024,3.354,50.061
