epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547473986863,2019-01-14T14:53:06.863,0.000,-0.380,0.747,-0.069
1547473986943,2019-01-14T14:53:06.943,0.080,-0.401,0.804,-0.052
1547473987023,2019-01-14T14:53:07.023,0.160,-0.409,0.879,-0.063
1547473987103,2019-01-14T14:53:07.103,0.240,-0.380,0.895,-0.056
1547473987183,2019-01-14T14:53:07.183,0.320,-0.344,0.895,-0.074
1547473987263,2019-01-14T14:53:07.263,0.400,-0.288,0.873,-0.066
1547473987343,2019-01-14T14:53:07.343,0.480,-0.223,0.830,-0.081
1547473987423,2019-01-14T14:53:07.423,0.560,-0.201,0.746,-0.082
1547473987503,2019-01-14T14:53:07.503,0.640,-0.177,0.775,-0.132
1547473987583,2019-01-14T14:53:07.583,0.720,-0.220,0.882,-0.053
1547473987663,2019-01-14T14:53:07.663,0.800,-0.213,0.943,-0.061
1547473987743,2019-01-14T14:53:07.743,0.880,-0.213,0.827,-0.129
1547473987823,2019-01-14T14:53:07.823,0.960,-0.205,0.685,-0.136
1547473987903,2019-01-14T14:53:07.903,1.040,-0.216,0.680,-0.110
1547473987983,2019-01-14T14:53:07.983,1.120,-0.260,0.779,-0.172
1547473988063,2019-01-14T14:53:08.063,1.200,-0.304,0.859,-0.176
1547473988143,2019-01-14T14:53:08.143,1.280,-0.343,0.862,-0.145
1547473988223,2019-01-14T14:53:08.223,1.360,-0.364,0.917,-0.181
1547473988303,2019-01-14T14:53:08.303,1.440,-0.363,0.925,-0.135
1547473988383,2019-01-14T14:53:08.383,1.520,-0.350,0.932,-0.061
1547473988463,2019-01-14T14:53:08.463,1.600,-0.347,1.005,-0.033
1547473988543,2019-01-14T14:53:08.543,1.680,-0.311,1.080,-0.058
1547473988623,2019-01-14T14:53:08.623,1.760,-0.261,1.082,-0.072
1547473988703,2019-01-14T14:53:08.703,1.840,-0.221,1.096,-0.051
1547473988783,2019-01-14T14:53:08.783,1.920,-0.163,1.141,-0.033
1547473988863,2019-01-14T14:53:08.863,2.000,-0.135,1.075,0.015
1547473988943,2019-01-14T14:53:08.943,2.080,-0.087,0.994,0.009
1547473989023,2019-01-14T14:53:09.023,2.160,-0.121,1.096,0.095
1547473989103,2019-01-14T14:53:09.103,2.240,-0.220,1.422,0.075
1547473989183,2019-01-14T14:53:09.183,2.320,-0.282,1.349,0.116
1547473989263,2019-01-14T14:53:09.263,2.400,-0.285,1.048,0.079
1547473989343,2019-01-14T14:53:09.343,2.480,-0.309,0.889,-0.002
1547473989423,2019-01-14T14:53:09.423,2.560,-0.340,0.821,-0.021
1547473989503,2019-01-14T14:53:09.503,2.640,-0.352,0.802,-0.013
1547473989583,2019-01-14T14:53:09.583,2.720,-0.362,0.810,-0.070
1547473989663,2019-01-14T14:53:09.663,2.800,-0.329,0.762,-0.047
1547473989743,2019-01-14T14:53:09.743,2.880,-0.373,0.778,-0.034
1547473989823,2019-01-14T14:53:09.823,2.960,-0.376,0.837,-0.061
1547473989903,2019-01-14T14:53:09.903,3.040,-0.395,0.857,-0.016
1547473989983,2019-01-14T14:53:09.983,3.120,-0.388,0.849,-0.004
1547473990063,2019-01-14T14:53:10.063,3.200,-0.376,0.882,-0.011
1547473990143,2019-01-14T14:53:10.143,3.280,-0.364,0.943,0.015
1547473990223,2019-01-14T14:53:10.223,3.360,-0.345,0.991,0.002
1547473990303,2019-01-14T14:53:10.303,3.440,-0.263,0.941,-0.017
1547473990383,2019-01-14T14:53:10.383,3.520,-0.216,0.740,-0.020
1547473990463,2019-01-14T14:53:10.463,3.600,-0.179,0.699,-0.084
1547473990543,2019-01-14T14:53:10.543,3.680,-0.218,0.898,-0.057
1547473990623,2019-01-14T14:53:10.623,3.760,-0.218,0.940,-0.042
1547473990703,2019-01-14T14:53:10.703,3.840,-0.212,0.800,-0.095
1547473990783,2019-01-14T14:53:10.783,3.920,-0.221,0.710,-0.099
1547473990863,2019-01-14T14:53:10.863,4.000,-0.275,0.762,-0.152
1547473990943,2019-01-14T14:53:10.943,4.080,-0.314,0.806,-0.195
1547473991023,2019-01-14T14:53:11.023,4.160,-0.343,0.833,-0.203
1547473991103,2019-01-14T14:53:11.103,4.240,-0.352,0.813,-0.208
1547473991183,2019-01-14T14:53:11.183,4.320,-0.361,0.841,-0.209
1547473991263,2019-01-14T14:53:11.263,4.400,-0.361,0.873,-0.212
1547473991343,2019-01-14T14:53:11.343,4.480,-0.334,0.877,-0.152
1547473991423,2019-01-14T14:53:11.423,4.560,-0.311,0.930,-0.138
1547473991503,2019-01-14T14:53:11.503,4.640,-0.289,1.041,-0.140
1547473991583,2019-01-14T14:53:11.583,4.720,-0.250,1.103,-0.090
1547473991663,2019-01-14T14:53:11.663,4.800,-0.185,1.221,-0.103
1547473991743,2019-01-14T14:53:11.743,4.880,-0.171,1.278,-0.076
1547473991823,2019-01-14T14:53:11.823,4.960,-0.078,1.101,-0.099
1547473991903,2019-01-14T14:53:11.903,5.040,-0.082,0.880,-0.095
1547473991983,2019-01-14T14:53:11.983,5.120,-0.073,0.911,-0.106
1547473992063,2019-01-14T14:53:12.063,5.200,-0.167,1.292,-0.081
1547473992143,2019-01-14T14:53:12.143,5.280,-0.228,1.459,-0.090
1547473992223,2019-01-14T14:53:12.223,5.360,-0.271,1.209,-0.075
1547473992303,2019-01-14T14:53:12.303,5.440,-0.295,1.005,-0.181
1547473992383,2019-01-14T14:53:12.383,5.520,-0.339,0.891,-0.215
1547473992463,2019-01-14T14:53:12.463,5.600,-0.334,0.800,-0.183
1547473992543,2019-01-14T14:53:12.543,5.680,-0.362,0.807,-0.203
1547473992623,2019-01-14T14:53:12.623,5.760,-0.364,0.800,-0.168
1547473992703,2019-01-14T14:53:12.703,5.840,-0.357,0.787,-0.117
1547473992783,2019-01-14T14:53:12.783,5.920,-0.354,0.824,-0.154
1547473992863,2019-01-14T14:53:12.863,6.000,-0.343,0.831,-0.073
1547473992943,2019-01-14T14:53:12.943,6.080,-0.307,0.859,-0.066
1547473993023,2019-01-14T14:53:13.023,6.160,-0.246,0.818,-0.102
1547473993103,2019-01-14T14:53:13.103,6.240,-0.177,0.720,-0.066
1547473993183,2019-01-14T14:53:13.183,6.320,-0.169,0.762,-0.090
1547473993263,2019-01-14T14:53:13.263,6.400,-0.188,0.926,-0.121
1547473993343,2019-01-14T14:53:13.343,6.480,-0.194,0.948,-0.122
1547473993423,2019-01-14T14:53:13.423,6.560,-0.207,0.865,-0.122
1547473993503,2019-01-14T14:53:13.503,6.640,-0.192,0.809,-0.133
1547473993583,2019-01-14T14:53:13.583,6.720,-0.208,0.774,-0.118
1547473993663,2019-01-14T14:53:13.663,6.800,-0.240,0.792,-0.175
1547473993743,2019-01-14T14:53:13.743,6.880,-0.312,0.841,-0.165
1547473993823,2019-01-14T14:53:13.823,6.960,-0.348,0.851,-0.162
1547473993903,2019-01-14T14:53:13.903,7.040,-0.353,0.849,-0.175
1547473993983,2019-01-14T14:53:13.983,7.120,-0.329,0.852,-0.219
1547473994063,2019-01-14T14:53:14.063,7.200,-0.329,0.844,-0.195
1547473994143,2019-01-14T14:53:14.143,7.280,-0.353,0.868,-0.169
1547473994223,2019-01-14T14:53:14.223,7.360,-0.354,0.911,-0.183
1547473994303,2019-01-14T14:53:14.303,7.440,-0.305,0.970,-0.184
1547473994383,2019-01-14T14:53:14.383,7.520,-0.275,1.018,-0.081
1547473994463,2019-01-14T14:53:14.463,7.600,-0.253,1.116,-0.044
1547473994543,2019-01-14T14:53:14.543,7.680,-0.205,1.246,-0.054
1547473994623,2019-01-14T14:53:14.623,7.760,-0.127,1.199,-0.048
1547473994703,2019-01-14T14:53:14.703,7.840,-0.121,1.036,-0.009
1547473994783,2019-01-14T14:53:14.783,7.920,-0.114,0.922,-0.018
1547473994863,2019-01-14T14:53:14.863,8.000,-0.124,0.991,-0.034
1547473994943,2019-01-14T14:53:14.943,8.080,-0.157,1.213,0.019
1547473995023,2019-01-14T14:53:15.023,8.160,-0.229,1.361,-0.021
1547473995103,2019-01-14T14:53:15.103,8.240,-0.303,1.188,-0.063
1547473995183,2019-01-14T14:53:15.183,8.320,-0.335,0.953,-0.039
1547473995263,2019-01-14T14:53:15.263,8.400,-0.396,0.882,-0.094
1547473995343,2019-01-14T14:53:15.343,8.480,-0.400,0.813,-0.066
1547473995423,2019-01-14T14:53:15.423,8.560,-0.419,0.775,-0.096
1547473995503,2019-01-14T14:53:15.503,8.640,-0.435,0.731,-0.058
1547473995583,2019-01-14T14:53:15.583,8.720,-0.434,0.792,-0.107
1547473995663,2019-01-14T14:53:15.663,8.800,-0.444,0.844,-0.111
1547473995743,2019-01-14T14:53:15.743,8.880,-0.425,0.863,-0.095
1547473995823,2019-01-14T14:53:15.823,8.960,-0.412,0.880,-0.078
1547473995903,2019-01-14T14:53:15.903,9.040,-0.385,0.885,-0.052
1547473995983,2019-01-14T14:53:15.983,9.120,-0.344,0.891,-0.048
1547473996063,2019-01-14T14:53:16.063,9.200,-0.293,0.906,-0.032
1547473996143,2019-01-14T14:53:16.143,9.280,-0.215,0.823,0.015
1547473996223,2019-01-14T14:53:16.223,9.360,-0.184,0.751,-0.042
1547473996303,2019-01-14T14:53:16.303,9.440,-0.140,0.821,-0.140
1547473996383,2019-01-14T14:53:16.383,9.520,-0.204,0.943,-0.002
1547473996463,2019-01-14T14:53:16.463,9.600,-0.158,1.007,-0.059
1547473996543,2019-01-14T14:53:16.543,9.680,-0.142,0.905,-0.090
1547473996623,2019-01-14T14:53:16.623,9.760,-0.176,0.767,-0.117
1547473996703,2019-01-14T14:53:16.703,9.840,-0.206,0.715,-0.168
1547473996783,2019-01-14T14:53:16.783,9.920,-0.229,0.763,-0.170
1547473996863,2019-01-14T14:53:16.863,10.000,-0.287,0.815,-0.194
1547473996943,2019-01-14T14:53:16.943,10.080,-0.354,0.850,-0.204
1547473997023,2019-01-14T14:53:17.023,10.160,-0.364,0.838,-0.188
1547473997103,2019-01-14T14:53:17.103,10.240,-0.414,0.859,-0.233
1547473997183,2019-01-14T14:53:17.183,10.320,-0.402,0.833,-0.205
1547473997263,2019-01-14T14:53:17.263,10.400,-0.403,0.856,-0.161
1547473997343,2019-01-14T14:53:17.343,10.480,-0.394,0.885,-0.144
1547473997423,2019-01-14T14:53:17.423,10.560,-0.362,0.941,-0.119
1547473997503,2019-01-14T14:53:17.503,10.640,-0.321,1.065,-0.087
1547473997583,2019-01-14T14:53:17.583,10.720,-0.292,1.162,-0.067
1547473997663,2019-01-14T14:53:17.663,10.800,-0.258,1.175,-0.091
1547473997743,2019-01-14T14:53:17.743,10.880,-0.188,1.123,-0.110
1547473997823,2019-01-14T14:53:17.823,10.960,-0.127,1.043,-0.092
1547473997903,2019-01-14T14:53:17.903,11.040,-0.105,0.944,-0.082
1547473997983,2019-01-14T14:53:17.983,11.120,-0.105,0.933,-0.068
1547473998063,2019-01-14T14:53:18.063,11.200,-0.126,1.003,-0.058
1547473998143,2019-01-14T14:53:18.143,11.280,-0.159,1.093,-0.059
1547473998223,2019-01-14T14:53:18.223,11.360,-0.207,1.172,-0.054
1547473998303,2019-01-14T14:53:18.303,11.440,-0.256,1.227,-0.149
1547473998383,2019-01-14T14:53:18.383,11.520,-0.288,1.116,-0.142
1547473998463,2019-01-14T14:53:18.463,11.600,-0.331,0.979,-0.115
1547473998543,2019-01-14T14:53:18.543,11.680,-0.340,0.858,-0.147
1547473998623,2019-01-14T14:53:18.623,11.760,-0.394,0.792,-0.193
1547473998703,2019-01-14T14:53:18.703,11.840,-0.382,0.794,-0.182
1547473998783,2019-01-14T14:53:18.783,11.920,-0.381,0.823,-0.193
1547473998863,2019-01-14T14:53:18.863,12.000,-0.380,0.804,-0.149
1547473998943,2019-01-14T14:53:18.943,12.080,-0.424,0.859,-0.166
1547473999023,2019-01-14T14:53:19.023,12.160,-0.439,0.893,-0.193
1547473999103,2019-01-14T14:53:19.103,12.240,-0.418,0.875,-0.160
1547473999183,2019-01-14T14:53:19.183,12.320,-0.394,0.846,-0.152
1547473999263,2019-01-14T14:53:19.263,12.400,-0.380,0.851,-0.126
1547473999343,2019-01-14T14:53:19.343,12.480,-0.360,0.874,-0.101
1547473999423,2019-01-14T14:53:19.423,12.560,-0.351,0.888,-0.072
1547473999503,2019-01-14T14:53:19.503,12.640,-0.282,0.875,-0.076
1547473999583,2019-01-14T14:53:19.583,12.720,-0.210,0.777,-0.073
1547473999663,2019-01-14T14:53:19.663,12.800,-0.192,0.755,-0.070
1547473999743,2019-01-14T14:53:19.743,12.880,-0.203,0.886,-0.070
1547473999823,2019-01-14T14:53:19.823,12.960,-0.223,0.976,-0.092
1547473999903,2019-01-14T14:53:19.903,13.040,-0.202,0.919,-0.083
1547473999983,2019-01-14T14:53:19.983,13.120,-0.209,0.785,-0.105
1547474000063,2019-01-14T14:53:20.063,13.200,-0.225,0.722,-0.110
1547474000143,2019-01-14T14:53:20.143,13.280,-0.263,0.761,-0.126
