epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547222033555,2019-01-11T16:53:53.555,0.000,2.378,-5.427,2.927
1547222033595,2019-01-11T16:53:53.595,0.040,0.793,-5.427,2.256
1547222033635,2019-01-11T16:53:53.635,0.080,0.610,-3.110,3.780
1547222033675,2019-01-11T16:53:53.675,0.120,7.866,-4.878,0.793
1547222033715,2019-01-11T16:53:53.715,0.160,9.268,-4.817,1.037
1547222033755,2019-01-11T16:53:53.755,0.200,3.720,-2.683,-2.378
1547222033795,2019-01-11T16:53:53.795,0.240,0.671,-1.646,-1.585
1547222033835,2019-01-11T16:53:53.835,0.280,3.598,-2.744,1.280
1547222033875,2019-01-11T16:53:53.875,0.320,3.049,-1.098,2.256
1547222033915,2019-01-11T16:53:53.915,0.360,7.927,-1.037,3.841
1547222033955,2019-01-11T16:53:53.955,0.400,11.768,-3.476,2.805
1547222033995,2019-01-11T16:53:53.995,0.440,7.988,-2.256,-1.768
1547222034035,2019-01-11T16:53:54.035,0.480,6.098,-1.463,-2.378
1547222034075,2019-01-11T16:53:54.075,0.520,6.585,0.122,-1.037
1547222034115,2019-01-11T16:53:54.115,0.560,7.988,0.366,1.280
1547222034155,2019-01-11T16:53:54.155,0.600,5.366,0.122,0.671
1547222034195,2019-01-11T16:53:54.195,0.640,-1.341,0.061,-0.793
1547222034235,2019-01-11T16:53:54.235,0.680,-1.829,-0.061,1.585
1547222034275,2019-01-11T16:53:54.275,0.720,1.646,-1.280,6.463
1547222034315,2019-01-11T16:53:54.315,0.760,0.976,-1.829,5.061
1547222034355,2019-01-11T16:53:54.355,0.800,-2.988,-2.866,2.805
1547222034395,2019-01-11T16:53:54.395,0.840,-3.537,-1.951,4.573
1547222034435,2019-01-11T16:53:54.435,0.880,-4.207,-1.890,2.317
1547222034475,2019-01-11T16:53:54.475,0.920,-2.195,-3.902,-5.000
1547222034515,2019-01-11T16:53:54.515,0.960,5.305,-4.390,-17.805
1547222034555,2019-01-11T16:53:54.555,1.000,14.268,2.683,-28.171
1547222034595,2019-01-11T16:53:54.595,1.040,30.366,2.927,-38.963
1547222034635,2019-01-11T16:53:54.635,1.080,45.915,6.951,-46.341
1547222034675,2019-01-11T16:53:54.675,1.120,56.159,8.659,-52.378
1547222034715,2019-01-11T16:53:54.715,1.160,42.439,14.512,-55.976
1547222034755,2019-01-11T16:53:54.755,1.200,24.329,21.951,-55.427
1547222034795,2019-01-11T16:53:54.795,1.240,12.927,22.378,-52.195
1547222034835,2019-01-11T16:53:54.835,1.280,2.561,16.951,-44.390
1547222034875,2019-01-11T16:53:54.875,1.320,-7.622,9.329,-31.585
1547222034915,2019-01-11T16:53:54.915,1.360,-18.415,13.963,-28.720
1547222034955,2019-01-11T16:53:54.955,1.400,-26.524,9.268,-19.024
1547222034995,2019-01-11T16:53:54.995,1.440,-30.671,0.915,-9.207
1547222035035,2019-01-11T16:53:55.035,1.480,-33.171,14.756,2.256
1547222035075,2019-01-11T16:53:55.075,1.520,-34.634,8.476,8.293
1547222035115,2019-01-11T16:53:55.115,1.560,-32.866,8.171,17.561
1547222035155,2019-01-11T16:53:55.155,1.600,-27.500,8.293,24.634
1547222035195,2019-01-11T16:53:55.195,1.640,-18.963,3.293,33.293
1547222035235,2019-01-11T16:53:55.235,1.680,-8.293,-6.463,38.232
1547222035275,2019-01-11T16:53:55.275,1.720,-3.171,-9.024,39.634
1547222035315,2019-01-11T16:53:55.315,1.760,-6.220,-1.585,37.256
1547222035355,2019-01-11T16:53:55.355,1.800,-5.488,12.622,24.756
1547222035395,2019-01-11T16:53:55.395,1.840,6.220,15.671,22.988
1547222035435,2019-01-11T16:53:55.435,1.880,20.915,-4.451,22.195
1547222035475,2019-01-11T16:53:55.475,1.920,33.476,-13.659,13.110
1547222035515,2019-01-11T16:53:55.515,1.960,35.610,-12.866,-2.012
1547222035555,2019-01-11T16:53:55.555,2.000,20.122,-7.073,-12.256
1547222035595,2019-01-11T16:53:55.595,2.040,21.280,-10.854,-23.963
1547222035635,2019-01-11T16:53:55.635,2.080,20.671,-2.134,-18.963
1547222035675,2019-01-11T16:53:55.675,2.120,25.671,-4.451,-27.988
1547222035715,2019-01-11T16:53:55.715,2.160,27.500,3.354,-18.232
1547222035755,2019-01-11T16:53:55.755,2.200,38.110,-7.927,-11.585
1547222035795,2019-01-11T16:53:55.795,2.240,27.683,-2.256,-11.402
1547222035835,2019-01-11T16:53:55.835,2.280,18.049,2.134,-17.317
1547222035875,2019-01-11T16:53:55.875,2.320,9.573,-2.378,-13.171
1547222035915,2019-01-11T16:53:55.915,2.360,5.061,-5.366,-8.232
1547222035955,2019-01-11T16:53:55.955,2.400,4.085,-10.854,-6.402
1547222035995,2019-01-11T16:53:55.995,2.440,-3.902,-9.634,0.854
1547222036035,2019-01-11T16:53:56.035,2.480,-7.134,-13.049,0.549
1547222036075,2019-01-11T16:53:56.075,2.520,-10.610,-16.829,7.134
1547222036115,2019-01-11T16:53:56.115,2.560,-12.744,-20.854,9.085
1547222036155,2019-01-11T16:53:56.155,2.600,-6.402,-25.793,13.659
1547222036195,2019-01-11T16:53:56.195,2.640,-5.610,-27.317,19.268
1547222036235,2019-01-11T16:53:56.235,2.680,2.256,-26.220,31.220
1547222036275,2019-01-11T16:53:56.275,2.720,-6.707,-17.927,53.963
1547222036315,2019-01-11T16:53:56.315,2.760,-13.537,-14.817,49.085
1547222036355,2019-01-11T16:53:56.355,2.800,-35.793,-5.976,42.683
1547222036395,2019-01-11T16:53:56.395,2.840,-41.951,-5.366,44.634
1547222036435,2019-01-11T16:53:56.435,2.880,-49.939,1.098,43.598
1547222036475,2019-01-11T16:53:56.475,2.920,-42.378,2.012,39.817
1547222036515,2019-01-11T16:53:56.515,2.960,-27.134,-4.146,30.366
1547222036555,2019-01-11T16:53:56.555,3.000,-19.817,-6.220,8.537
1547222036595,2019-01-11T16:53:56.595,3.040,-0.122,-8.963,-17.744
1547222036635,2019-01-11T16:53:56.635,3.080,23.841,-6.585,-37.317
1547222036675,2019-01-11T16:53:56.675,3.120,46.585,-0.427,-48.720
1547222036715,2019-01-11T16:53:56.715,3.160,58.720,8.780,-51.829
1547222036755,2019-01-11T16:53:56.755,3.200,65.610,13.110,-55.122
1547222036795,2019-01-11T16:53:56.795,3.240,57.805,15.549,-61.037
1547222036835,2019-01-11T16:53:56.835,3.280,40.244,22.683,-49.817
1547222036875,2019-01-11T16:53:56.875,3.320,23.963,20.305,-43.720
1547222036915,2019-01-11T16:53:56.915,3.360,5.000,23.049,-38.049
1547222036955,2019-01-11T16:53:56.955,3.400,-3.780,7.561,-29.085
1547222036995,2019-01-11T16:53:56.995,3.440,-14.817,4.634,-21.768
1547222037035,2019-01-11T16:53:57.035,3.480,-24.756,1.768,-16.524
1547222037075,2019-01-11T16:53:57.075,3.520,-27.866,12.683,-2.134
1547222037115,2019-01-11T16:53:57.115,3.560,-28.293,-0.671,13.110
1547222037155,2019-01-11T16:53:57.155,3.600,-32.561,10.610,15.183
1547222037195,2019-01-11T16:53:57.195,3.640,-27.195,2.622,26.768
1547222037235,2019-01-11T16:53:57.235,3.680,-23.171,-2.744,36.220
1547222037275,2019-01-11T16:53:57.275,3.720,-20.061,-4.878,38.049
1547222037315,2019-01-11T16:53:57.315,3.760,-20.000,-12.012,44.878
1547222037355,2019-01-11T16:53:57.355,3.800,-11.098,-13.110,51.341
1547222037395,2019-01-11T16:53:57.395,3.840,0.366,-6.280,54.146
1547222037435,2019-01-11T16:53:57.435,3.880,7.439,-3.110,45.854
1547222037475,2019-01-11T16:53:57.475,3.920,6.829,-1.829,25.061
1547222037515,2019-01-11T16:53:57.515,3.960,15.976,-5.854,9.146
1547222037555,2019-01-11T16:53:57.555,4.000,24.512,-9.451,-3.110
1547222037595,2019-01-11T16:53:57.595,4.040,24.939,-16.220,-17.439
1547222037635,2019-01-11T16:53:57.635,4.080,18.780,-13.902,-22.500
1547222037675,2019-01-11T16:53:57.675,4.120,20.732,-15.305,-33.354
1547222037715,2019-01-11T16:53:57.715,4.160,20.366,-2.317,-34.878
1547222037755,2019-01-11T16:53:57.755,4.200,26.646,-3.963,-30.305
1547222037795,2019-01-11T16:53:57.795,4.240,26.220,-5.976,-22.866
1547222037835,2019-01-11T16:53:57.835,4.280,21.280,-4.146,-15.488
1547222037875,2019-01-11T16:53:57.875,4.320,22.927,-7.073,-6.768
1547222037915,2019-01-11T16:53:57.915,4.360,25.366,-5.732,4.817
1547222037955,2019-01-11T16:53:57.955,4.400,13.415,-0.671,-8.720
1547222037995,2019-01-11T16:53:57.995,4.440,6.707,-3.963,-7.134
1547222038035,2019-01-11T16:53:58.035,4.480,4.268,-7.012,-2.134
1547222038075,2019-01-11T16:53:58.075,4.520,-4.512,-6.768,3.415
1547222038115,2019-01-11T16:53:58.115,4.560,-18.841,-10.915,14.512
1547222038155,2019-01-11T16:53:58.155,4.600,-32.134,-7.195,8.720
1547222038195,2019-01-11T16:53:58.195,4.640,-31.098,-14.756,17.378
1547222038235,2019-01-11T16:53:58.235,4.680,-27.317,-25.183,31.524
1547222038275,2019-01-11T16:53:58.275,4.720,-33.049,-23.659,46.829
1547222038315,2019-01-11T16:53:58.315,4.760,-31.341,-14.512,49.634
1547222038355,2019-01-11T16:53:58.355,4.800,-30.854,-2.866,50.915
1547222038395,2019-01-11T16:53:58.395,4.840,-28.720,-6.341,41.220
1547222038435,2019-01-11T16:53:58.435,4.880,-33.902,-3.415,27.988
1547222038475,2019-01-11T16:53:58.475,4.920,-25.000,-5.244,21.098
1547222038515,2019-01-11T16:53:58.515,4.960,-7.988,-9.634,12.683
1547222038555,2019-01-11T16:53:58.555,5.000,-2.500,-8.415,-4.024
1547222038595,2019-01-11T16:53:58.595,5.040,10.244,-9.817,-34.939
1547222038635,2019-01-11T16:53:58.635,5.080,20.854,-15.122,-60.000
1547222038675,2019-01-11T16:53:58.675,5.120,23.415,-5.244,-77.378
1547222038715,2019-01-11T16:53:58.715,5.160,34.207,14.451,-71.341
1547222038755,2019-01-11T16:53:58.755,5.200,40.793,18.841,-49.756
1547222038795,2019-01-11T16:53:58.795,5.240,44.451,22.744,-39.695
1547222038835,2019-01-11T16:53:58.835,5.280,29.024,29.207,-29.756
1547222038875,2019-01-11T16:53:58.875,5.320,14.817,20.732,-23.841
1547222038915,2019-01-11T16:53:58.915,5.360,0.549,22.012,-25.915
1547222038955,2019-01-11T16:53:58.955,5.400,-6.463,13.902,-21.098
1547222038995,2019-01-11T16:53:58.995,5.440,-16.585,9.817,-19.268
1547222039035,2019-01-11T16:53:59.035,5.480,-28.720,-5.427,-27.317
1547222039075,2019-01-11T16:53:59.075,5.520,-30.488,-34.451,-26.890
1547222039115,2019-01-11T16:53:59.115,5.560,-10.793,-17.012,2.439
1547222039155,2019-01-11T16:53:59.155,5.600,0.915,0.671,30.305
1547222039195,2019-01-11T16:53:59.195,5.640,-12.012,12.256,26.220
1547222039235,2019-01-11T16:53:59.235,5.680,-21.646,16.280,22.805
1547222039275,2019-01-11T16:53:59.275,5.720,-21.585,6.768,26.646
1547222039315,2019-01-11T16:53:59.315,5.760,-17.195,-9.024,31.341
1547222039355,2019-01-11T16:53:59.355,5.800,-19.207,-15.549,35.610
1547222039395,2019-01-11T16:53:59.395,5.840,-8.963,-0.244,47.195
1547222039435,2019-01-11T16:53:59.435,5.880,7.500,10.244,62.805
1547222039475,2019-01-11T16:53:59.475,5.920,16.768,6.768,60.305
1547222039515,2019-01-11T16:53:59.515,5.960,14.451,9.085,37.256
1547222039555,2019-01-11T16:53:59.555,6.000,19.207,0.427,19.573
1547222039595,2019-01-11T16:53:59.595,6.040,29.695,-9.207,3.415
1547222039635,2019-01-11T16:53:59.635,6.080,19.634,-7.134,-12.317
1547222039675,2019-01-11T16:53:59.675,6.120,21.098,-10.366,-35.549
1547222039715,2019-01-11T16:53:59.715,6.160,21.280,-1.524,-37.683
1547222039755,2019-01-11T16:53:59.755,6.200,32.622,-11.646,-38.171
1547222039795,2019-01-11T16:53:59.795,6.240,25.976,-0.793,-37.195
1547222039835,2019-01-11T16:53:59.835,6.280,16.341,-1.280,-41.341
1547222039875,2019-01-11T16:53:59.875,6.320,12.134,8.537,-38.232
1547222039915,2019-01-11T16:53:59.915,6.360,19.207,8.720,-32.561
1547222039955,2019-01-11T16:53:59.955,6.400,20.610,7.683,-14.268
1547222039995,2019-01-11T16:53:59.995,6.440,13.110,-2.866,-0.244
1547222040035,2019-01-11T16:54:00.035,6.480,1.159,-4.390,-0.671
1547222040075,2019-01-11T16:54:00.075,6.520,-15.183,-8.049,-0.061
1547222040115,2019-01-11T16:54:00.115,6.560,-27.622,3.720,-12.378
1547222040155,2019-01-11T16:54:00.155,6.600,-25.305,-2.683,-18.232
1547222040195,2019-01-11T16:54:00.195,6.640,-16.280,-19.573,-8.476
1547222040235,2019-01-11T16:54:00.235,6.680,-7.805,-17.561,20.793
1547222040275,2019-01-11T16:54:00.275,6.720,-8.049,-11.829,35.183
1547222040315,2019-01-11T16:54:00.315,6.760,-10.549,-9.451,32.866
1547222040355,2019-01-11T16:54:00.355,6.800,-9.634,-18.598,46.220
1547222040395,2019-01-11T16:54:00.395,6.840,-11.220,-9.878,58.963
1547222040435,2019-01-11T16:54:00.435,6.880,-17.073,-0.366,63.720
1547222040475,2019-01-11T16:54:00.475,6.920,-13.293,-8.049,66.402
1547222040515,2019-01-11T16:54:00.515,6.960,-14.024,-9.878,57.378
1547222040555,2019-01-11T16:54:00.555,7.000,-23.963,-3.537,39.146
1547222040595,2019-01-11T16:54:00.595,7.040,-6.037,-9.268,19.329
1547222040635,2019-01-11T16:54:00.635,7.080,2.378,-9.390,-1.951
1547222040675,2019-01-11T16:54:00.675,7.120,8.659,-6.159,-29.573
1547222040715,2019-01-11T16:54:00.715,7.160,28.963,-9.573,-44.146
1547222040755,2019-01-11T16:54:00.755,7.200,32.561,-2.439,-56.280
1547222040795,2019-01-11T16:54:00.795,7.240,20.915,12.622,-56.951
1547222040835,2019-01-11T16:54:00.835,7.280,24.573,24.024,-56.280
1547222040875,2019-01-11T16:54:00.875,7.320,37.683,17.317,-53.232
1547222040915,2019-01-11T16:54:00.915,7.360,43.293,15.366,-37.561
1547222040955,2019-01-11T16:54:00.955,7.400,32.256,10.488,-29.939
1547222040995,2019-01-11T16:54:00.995,7.440,19.024,15.244,-25.549
1547222041035,2019-01-11T16:54:01.035,7.480,2.256,16.341,-21.646
1547222041075,2019-01-11T16:54:01.075,7.520,-14.024,15.549,-22.622
1547222041115,2019-01-11T16:54:01.115,7.560,-32.134,9.390,-22.195
