epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222449915,2019-01-11T17:00:49.915,0.000,-0.068,0.974,0.060
1547222449995,2019-01-11T17:00:49.995,0.080,-0.072,0.978,0.028
1547222450075,2019-01-11T17:00:50.075,0.160,-0.056,0.958,0.040
1547222450155,2019-01-11T17:00:50.155,0.240,-0.041,0.955,0.053
1547222450235,2019-01-11T17:00:50.235,0.320,-0.083,0.949,0.092
1547222450315,2019-01-11T17:00:50.315,0.400,-0.052,0.993,0.028
1547222450395,2019-01-11T17:00:50.395,0.480,-0.055,0.995,0.038
1547222450475,2019-01-11T17:00:50.475,0.560,-0.069,0.980,0.057
1547222450555,2019-01-11T17:00:50.555,0.640,-0.051,0.954,0.015
1547222450635,2019-01-11T17:00:50.635,0.720,-0.057,0.926,0.051
1547222450715,2019-01-11T17:00:50.715,0.800,-0.044,0.955,0.042
1547222450795,2019-01-11T17:00:50.795,0.880,-0.052,0.984,0.055
1547222450875,2019-01-11T17:00:50.875,0.960,-0.051,0.992,0.052
1547222450955,2019-01-11T17:00:50.955,1.040,-0.059,0.965,0.065
1547222451035,2019-01-11T17:00:51.035,1.120,-0.048,0.968,0.029
1547222451115,2019-01-11T17:00:51.115,1.200,-0.045,0.945,0.029
1547222451195,2019-01-11T17:00:51.195,1.280,-0.014,0.893,0.021
1547222451275,2019-01-11T17:00:51.275,1.360,-0.021,1.182,0.007
1547222451355,2019-01-11T17:00:51.355,1.440,-0.090,1.623,-0.047
1547222451435,2019-01-11T17:00:51.435,1.520,-0.159,1.358,0.065
1547222451515,2019-01-11T17:00:51.515,1.600,-0.162,1.052,-0.013
1547222451595,2019-01-11T17:00:51.595,1.680,-0.219,0.893,-0.013
1547222451675,2019-01-11T17:00:51.675,1.760,-0.290,0.866,-0.021
1547222451755,2019-01-11T17:00:51.755,1.840,-0.304,0.859,-0.042
1547222451835,2019-01-11T17:00:51.835,1.920,-0.282,0.818,-0.038
1547222451915,2019-01-11T17:00:51.915,2.000,-0.270,0.811,-0.042
1547222451995,2019-01-11T17:00:51.995,2.080,-0.232,0.810,-0.020
1547222452075,2019-01-11T17:00:52.075,2.160,-0.174,0.840,-0.005
1547222452155,2019-01-11T17:00:52.155,2.240,-0.146,0.696,0.011
1547222452235,2019-01-11T17:00:52.235,2.320,-0.102,0.588,-0.083
1547222452315,2019-01-11T17:00:52.315,2.400,-0.144,0.632,-0.080
1547222452395,2019-01-11T17:00:52.395,2.480,-0.179,0.771,-0.114
1547222452475,2019-01-11T17:00:52.475,2.560,-0.208,0.807,-0.128
1547222452555,2019-01-11T17:00:52.555,2.640,-0.220,0.807,-0.161
1547222452635,2019-01-11T17:00:52.635,2.720,-0.234,0.826,-0.178
1547222452715,2019-01-11T17:00:52.715,2.800,-0.281,0.857,-0.182
1547222452795,2019-01-11T17:00:52.795,2.880,-0.271,0.914,-0.163
1547222452875,2019-01-11T17:00:52.875,2.960,-0.276,0.987,-0.138
1547222452955,2019-01-11T17:00:52.955,3.040,-0.230,1.036,-0.087
1547222453035,2019-01-11T17:00:53.035,3.120,-0.148,1.054,-0.068
1547222453115,2019-01-11T17:00:53.115,3.200,-0.061,1.074,-0.034
1547222453195,2019-01-11T17:00:53.195,3.280,-0.001,1.299,-0.067
1547222453275,2019-01-11T17:00:53.275,3.360,-0.038,1.653,-0.020
1547222453355,2019-01-11T17:00:53.355,3.440,-0.048,1.627,-0.056
1547222453435,2019-01-11T17:00:53.435,3.520,-0.110,1.288,-0.089
1547222453515,2019-01-11T17:00:53.515,3.600,-0.157,1.051,-0.089
1547222453595,2019-01-11T17:00:53.595,3.680,-0.238,0.951,-0.129
1547222453675,2019-01-11T17:00:53.675,3.760,-0.264,0.847,-0.124
1547222453755,2019-01-11T17:00:53.755,3.840,-0.252,0.782,-0.108
1547222453835,2019-01-11T17:00:53.835,3.920,-0.240,0.744,-0.082
1547222453915,2019-01-11T17:00:53.915,4.000,-0.228,0.766,-0.102
1547222453995,2019-01-11T17:00:53.995,4.080,-0.252,0.760,-0.003
1547222454075,2019-01-11T17:00:54.075,4.160,-0.159,0.813,-0.025
1547222454155,2019-01-11T17:00:54.155,4.240,-0.155,0.554,-0.034
1547222454235,2019-01-11T17:00:54.235,4.320,-0.102,0.544,-0.099
1547222454315,2019-01-11T17:00:54.315,4.400,-0.179,0.690,-0.135
1547222454395,2019-01-11T17:00:54.395,4.480,-0.188,0.710,-0.139
1547222454475,2019-01-11T17:00:54.475,4.560,-0.197,0.737,-0.188
1547222454555,2019-01-11T17:00:54.555,4.640,-0.256,0.827,-0.206
1547222454635,2019-01-11T17:00:54.635,4.720,-0.248,0.847,-0.152
1547222454715,2019-01-11T17:00:54.715,4.800,-0.220,0.926,-0.143
1547222454795,2019-01-11T17:00:54.795,4.880,-0.197,1.029,-0.116
1547222454875,2019-01-11T17:00:54.875,4.960,-0.146,1.136,-0.072
1547222454955,2019-01-11T17:00:54.955,5.040,-0.047,1.208,-0.015
1547222455035,2019-01-11T17:00:55.035,5.120,0.033,1.342,0.037
1547222455115,2019-01-11T17:00:55.115,5.200,-0.010,1.599,0.062
1547222455195,2019-01-11T17:00:55.195,5.280,-0.059,1.565,0.060
1547222455275,2019-01-11T17:00:55.275,5.360,-0.109,1.307,-0.009
1547222455355,2019-01-11T17:00:55.355,5.440,-0.147,1.115,-0.079
1547222455435,2019-01-11T17:00:55.435,5.520,-0.242,0.968,-0.096
1547222455515,2019-01-11T17:00:55.515,5.600,-0.224,0.839,-0.118
1547222455595,2019-01-11T17:00:55.595,5.680,-0.235,0.805,-0.130
1547222455675,2019-01-11T17:00:55.675,5.760,-0.234,0.788,-0.130
1547222455755,2019-01-11T17:00:55.755,5.840,-0.262,0.811,-0.132
1547222455835,2019-01-11T17:00:55.835,5.920,-0.248,0.866,-0.101
1547222455915,2019-01-11T17:00:55.915,6.000,-0.186,0.891,-0.104
1547222455995,2019-01-11T17:00:55.995,6.080,-0.104,0.606,-0.081
1547222456075,2019-01-11T17:00:56.075,6.160,-0.039,0.548,-0.128
1547222456155,2019-01-11T17:00:56.155,6.240,-0.087,0.652,-0.097
1547222456235,2019-01-11T17:00:56.235,6.320,-0.138,0.737,-0.104
1547222456315,2019-01-11T17:00:56.315,6.400,-0.150,0.718,-0.088
1547222456395,2019-01-11T17:00:56.395,6.480,-0.226,0.761,-0.082
1547222456475,2019-01-11T17:00:56.475,6.560,-0.258,0.835,-0.127
1547222456555,2019-01-11T17:00:56.555,6.640,-0.290,0.872,-0.131
1547222456635,2019-01-11T17:00:56.635,6.720,-0.303,0.958,-0.104
1547222456715,2019-01-11T17:00:56.715,6.800,-0.318,1.071,-0.066
1547222456795,2019-01-11T17:00:56.795,6.880,-0.314,1.125,-0.024
1547222456875,2019-01-11T17:00:56.875,6.960,-0.255,1.196,-0.066
1547222456955,2019-01-11T17:00:56.955,7.040,-0.142,1.139,-0.053
1547222457035,2019-01-11T17:00:57.035,7.120,-0.071,1.260,-0.123
1547222457115,2019-01-11T17:00:57.115,7.200,-0.097,1.490,-0.036
1547222457195,2019-01-11T17:00:57.195,7.280,-0.174,1.570,-0.075
1547222457275,2019-01-11T17:00:57.275,7.360,-0.250,1.240,-0.037
1547222457355,2019-01-11T17:00:57.355,7.440,-0.301,0.946,-0.022
1547222457435,2019-01-11T17:00:57.435,7.520,-0.349,0.905,-0.110
1547222457515,2019-01-11T17:00:57.515,7.600,-0.341,0.851,-0.125
1547222457595,2019-01-11T17:00:57.595,7.680,-0.316,0.821,-0.141
1547222457675,2019-01-11T17:00:57.675,7.760,-0.292,0.778,-0.095
1547222457755,2019-01-11T17:00:57.755,7.840,-0.260,0.807,-0.063
1547222457835,2019-01-11T17:00:57.835,7.920,-0.230,0.816,-0.065
1547222457915,2019-01-11T17:00:57.915,8.000,-0.118,0.635,0.011
1547222457995,2019-01-11T17:00:57.995,8.080,-0.125,0.591,-0.071
1547222458075,2019-01-11T17:00:58.075,8.160,-0.112,0.806,-0.093
1547222458155,2019-01-11T17:00:58.155,8.240,-0.160,0.959,0.009
1547222458235,2019-01-11T17:00:58.235,8.320,-0.106,0.787,-0.076
1547222458315,2019-01-11T17:00:58.315,8.400,-0.104,0.616,-0.083
1547222458395,2019-01-11T17:00:58.395,8.480,-0.151,0.715,-0.159
1547222458475,2019-01-11T17:00:58.475,8.560,-0.190,0.748,-0.207
1547222458555,2019-01-11T17:00:58.555,8.640,-0.261,0.833,-0.242
1547222458635,2019-01-11T17:00:58.635,8.720,-0.277,0.890,-0.241
1547222458715,2019-01-11T17:00:58.715,8.800,-0.268,0.957,-0.226
1547222458795,2019-01-11T17:00:58.795,8.880,-0.270,1.030,-0.163
1547222458875,2019-01-11T17:00:58.875,8.960,-0.229,1.145,-0.100
1547222458955,2019-01-11T17:00:58.955,9.040,-0.167,1.190,-0.063
1547222459035,2019-01-11T17:00:59.035,9.120,-0.066,1.188,-0.105
1547222459115,2019-01-11T17:00:59.115,9.200,-0.016,1.300,-0.200
1547222459195,2019-01-11T17:00:59.195,9.280,-0.038,1.459,-0.128
1547222459275,2019-01-11T17:00:59.275,9.360,-0.105,1.502,-0.132
1547222459355,2019-01-11T17:00:59.355,9.440,-0.170,1.222,-0.145
1547222459435,2019-01-11T17:00:59.435,9.520,-0.217,0.998,-0.130
1547222459515,2019-01-11T17:00:59.515,9.600,-0.263,0.857,-0.097
1547222459595,2019-01-11T17:00:59.595,9.680,-0.296,0.864,-0.173
1547222459675,2019-01-11T17:00:59.675,9.760,-0.295,0.836,-0.159
1547222459755,2019-01-11T17:00:59.755,9.840,-0.273,0.831,-0.127
1547222459835,2019-01-11T17:00:59.835,9.920,-0.237,0.804,-0.075
1547222459915,2019-01-11T17:00:59.915,10.000,-0.208,0.860,-0.088
1547222459995,2019-01-11T17:00:59.995,10.080,-0.108,0.643,-0.007
