epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832146029,2019-01-18T18:22:26.029,0.000,0.979,-0.066,-0.188
1547832146109,2019-01-18T18:22:26.109,0.080,0.983,-0.071,-0.185
1547832146189,2019-01-18T18:22:26.189,0.160,0.980,-0.071,-0.184
1547832146269,2019-01-18T18:22:26.269,0.240,0.981,-0.070,-0.187
1547832146349,2019-01-18T18:22:26.349,0.320,0.990,-0.065,-0.184
1547832146429,2019-01-18T18:22:26.429,0.400,1.008,-0.080,-0.141
1547832146509,2019-01-18T18:22:26.509,0.480,0.950,-0.064,-0.213
1547832146589,2019-01-18T18:22:26.589,0.560,0.984,-0.063,-0.161
1547832146669,2019-01-18T18:22:26.669,0.640,1.001,-0.065,-0.153
1547832146749,2019-01-18T18:22:26.749,0.720,0.982,-0.075,-0.161
1547832146829,2019-01-18T18:22:26.829,0.800,0.986,-0.074,-0.151
1547832146909,2019-01-18T18:22:26.909,0.880,0.993,-0.071,-0.145
1547832146989,2019-01-18T18:22:26.989,0.960,0.986,-0.073,-0.151
1547832147069,2019-01-18T18:22:27.069,1.040,1.001,-0.086,-0.117
1547832147149,2019-01-18T18:22:27.149,1.120,1.015,-0.083,-0.101
1547832147229,2019-01-18T18:22:27.229,1.200,1.000,-0.081,-0.071
1547832147309,2019-01-18T18:22:27.309,1.280,1.015,-0.089,-0.073
1547832147389,2019-01-18T18:22:27.389,1.360,1.019,-0.090,-0.021
1547832147469,2019-01-18T18:22:27.469,1.440,0.976,-0.085,0.013
1547832147549,2019-01-18T18:22:27.549,1.520,0.932,-0.078,0.109
1547832147629,2019-01-18T18:22:27.629,1.600,0.994,-0.085,0.207
1547832147709,2019-01-18T18:22:27.709,1.680,0.971,-0.069,0.191
1547832147789,2019-01-18T18:22:27.789,1.760,0.973,-0.081,0.191
1547832147869,2019-01-18T18:22:27.869,1.840,0.995,-0.118,0.211
1547832147949,2019-01-18T18:22:27.949,1.920,0.977,-0.137,0.184
1547832148029,2019-01-18T18:22:28.029,2.000,0.974,-0.125,0.194
1547832148109,2019-01-18T18:22:28.109,2.080,0.972,-0.117,0.209
1547832148189,2019-01-18T18:22:28.189,2.160,0.990,-0.130,0.206
1547832148269,2019-01-18T18:22:28.269,2.240,0.976,-0.125,0.214
1547832148349,2019-01-18T18:22:28.349,2.320,0.968,-0.092,0.190
1547832148429,2019-01-18T18:22:28.429,2.400,0.982,-0.107,0.188
1547832148509,2019-01-18T18:22:28.509,2.480,0.971,-0.141,0.209
1547832148589,2019-01-18T18:22:28.589,2.560,0.992,-0.156,0.219
1547832148669,2019-01-18T18:22:28.669,2.640,0.986,-0.147,0.208
1547832148749,2019-01-18T18:22:28.749,2.720,0.973,-0.139,0.193
1547832148829,2019-01-18T18:22:28.829,2.800,0.941,-0.313,0.189
1547832148909,2019-01-18T18:22:28.909,2.880,0.931,-0.274,0.238
1547832148989,2019-01-18T18:22:28.989,2.960,0.983,-0.104,0.310
1547832149069,2019-01-18T18:22:29.069,3.040,0.946,-0.108,0.307
1547832149149,2019-01-18T18:22:29.149,3.120,0.925,-0.155,0.351
1547832149229,2019-01-18T18:22:29.229,3.200,0.940,-0.156,0.459
1547832149309,2019-01-18T18:22:29.309,3.280,0.825,-0.078,0.403
1547832149389,2019-01-18T18:22:29.389,3.360,0.792,-0.016,0.304
1547832149469,2019-01-18T18:22:29.469,3.440,0.843,-0.024,0.345
1547832149549,2019-01-18T18:22:29.549,3.520,0.820,-0.116,0.526
1547832149629,2019-01-18T18:22:29.629,3.600,0.990,-0.344,0.738
1547832149709,2019-01-18T18:22:29.709,3.680,0.865,-0.383,0.579
1547832149789,2019-01-18T18:22:29.789,3.760,0.591,-0.347,0.583
1547832149869,2019-01-18T18:22:29.869,3.840,0.666,-0.340,0.715
1547832149949,2019-01-18T18:22:29.949,3.920,0.788,-0.286,0.618
1547832150029,2019-01-18T18:22:30.029,4.000,0.743,-0.282,0.566
1547832150109,2019-01-18T18:22:30.109,4.080,0.780,-0.356,0.616
1547832150189,2019-01-18T18:22:30.189,4.160,0.703,-0.363,0.573
1547832150269,2019-01-18T18:22:30.269,4.240,0.633,-0.383,0.606
1547832150349,2019-01-18T18:22:30.349,4.320,0.708,-0.466,0.686
1547832150429,2019-01-18T18:22:30.429,4.400,0.664,-0.474,0.622
1547832150509,2019-01-18T18:22:30.509,4.480,0.700,-0.454,0.681
1547832150589,2019-01-18T18:22:30.589,4.560,0.719,-0.437,0.654
1547832150669,2019-01-18T18:22:30.669,4.640,0.545,-0.373,0.559
1547832150749,2019-01-18T18:22:30.749,4.720,0.581,-0.347,0.590
1547832150829,2019-01-18T18:22:30.829,4.800,0.869,-0.415,0.715
1547832150909,2019-01-18T18:22:30.909,4.880,0.743,-0.416,0.611
1547832150989,2019-01-18T18:22:30.989,4.960,0.517,-0.369,0.593
1547832151069,2019-01-18T18:22:31.069,5.040,0.712,-0.422,0.707
1547832151149,2019-01-18T18:22:31.149,5.120,0.744,-0.409,0.606
1547832151229,2019-01-18T18:22:31.229,5.200,0.632,-0.400,0.602
1547832151309,2019-01-18T18:22:31.309,5.280,0.668,-0.420,0.693
1547832151389,2019-01-18T18:22:31.389,5.360,0.655,-0.398,0.645
1547832151469,2019-01-18T18:22:31.469,5.440,0.677,-0.395,0.627
1547832151549,2019-01-18T18:22:31.549,5.520,0.688,-0.395,0.636
1547832151629,2019-01-18T18:22:31.629,5.600,0.678,-0.389,0.641
1547832151709,2019-01-18T18:22:31.709,5.680,0.687,-0.387,0.632
1547832151789,2019-01-18T18:22:31.789,5.760,0.697,-0.390,0.622
1547832151869,2019-01-18T18:22:31.869,5.840,0.697,-0.388,0.625
1547832151949,2019-01-18T18:22:31.949,5.920,0.688,-0.390,0.627
1547832152029,2019-01-18T18:22:32.029,6.000,0.692,-0.393,0.624
1547832152109,2019-01-18T18:22:32.109,6.080,0.695,-0.398,0.623
1547832152189,2019-01-18T18:22:32.189,6.160,0.693,-0.397,0.623
1547832152269,2019-01-18T18:22:32.269,6.240,0.693,-0.395,0.625
1547832152349,2019-01-18T18:22:32.349,6.320,0.697,-0.398,0.625
1547832152429,2019-01-18T18:22:32.429,6.400,0.691,-0.394,0.625
1547832152509,2019-01-18T18:22:32.509,6.480,0.683,-0.382,0.627
1547832152589,2019-01-18T18:22:32.589,6.560,0.697,-0.384,0.627
1547832152669,2019-01-18T18:22:32.669,6.640,0.694,-0.386,0.625
1547832152749,2019-01-18T18:22:32.749,6.720,0.687,-0.393,0.632
1547832152829,2019-01-18T18:22:32.829,6.800,0.688,-0.389,0.631
1547832152909,2019-01-18T18:22:32.909,6.880,0.694,-0.389,0.625
1547832152989,2019-01-18T18:22:32.989,6.960,0.694,-0.388,0.626
1547832153069,2019-01-18T18:22:33.069,7.040,0.689,-0.384,0.632
1547832153149,2019-01-18T18:22:33.149,7.120,0.699,-0.382,0.624
1547832153229,2019-01-18T18:22:33.229,7.200,0.696,-0.383,0.625
1547832153309,2019-01-18T18:22:33.309,7.280,0.692,-0.383,0.631
1547832153389,2019-01-18T18:22:33.389,7.360,0.694,-0.384,0.628
1547832153469,2019-01-18T18:22:33.469,7.440,0.695,-0.386,0.627
1547832153549,2019-01-18T18:22:33.549,7.520,0.692,-0.390,0.626
1547832153629,2019-01-18T18:22:33.629,7.600,0.689,-0.383,0.631
1547832153709,2019-01-18T18:22:33.709,7.680,0.699,-0.382,0.625
1547832153789,2019-01-18T18:22:33.789,7.760,0.696,-0.378,0.628
1547832153869,2019-01-18T18:22:33.869,7.840,0.699,-0.375,0.625
1547832153949,2019-01-18T18:22:33.949,7.920,0.697,-0.383,0.629
1547832154029,2019-01-18T18:22:34.029,8.000,0.692,-0.379,0.627
1547832154109,2019-01-18T18:22:34.109,8.080,0.693,-0.391,0.628
1547832154189,2019-01-18T18:22:34.189,8.160,0.693,-0.387,0.628
1547832154269,2019-01-18T18:22:34.269,8.240,0.694,-0.378,0.632
1547832154349,2019-01-18T18:22:34.349,8.320,0.702,-0.375,0.625
1547832154429,2019-01-18T18:22:34.429,8.400,0.703,-0.373,0.625
1547832154509,2019-01-18T18:22:34.509,8.480,0.695,-0.372,0.628
1547832154589,2019-01-18T18:22:34.589,8.560,0.701,-0.373,0.628
1547832154669,2019-01-18T18:22:34.669,8.640,0.696,-0.387,0.625
1547832154749,2019-01-18T18:22:34.749,8.720,0.684,-0.388,0.639
1547832154829,2019-01-18T18:22:34.829,8.800,0.692,-0.384,0.628
1547832154909,2019-01-18T18:22:34.909,8.880,0.693,-0.383,0.632
1547832154989,2019-01-18T18:22:34.989,8.960,0.691,-0.378,0.634
1547832155069,2019-01-18T18:22:35.069,9.040,0.695,-0.373,0.631
1547832155149,2019-01-18T18:22:35.149,9.120,0.712,-0.366,0.624
1547832155229,2019-01-18T18:22:35.229,9.200,0.707,-0.365,0.614
1547832155309,2019-01-18T18:22:35.309,9.280,0.688,-0.397,0.628
1547832155389,2019-01-18T18:22:35.389,9.360,0.688,-0.392,0.642
1547832155469,2019-01-18T18:22:35.469,9.440,0.680,-0.395,0.644
1547832155549,2019-01-18T18:22:35.549,9.520,0.704,-0.390,0.636
1547832155629,2019-01-18T18:22:35.629,9.600,0.672,-0.376,0.631
1547832155709,2019-01-18T18:22:35.709,9.680,0.676,-0.376,0.639
1547832155789,2019-01-18T18:22:35.789,9.760,0.691,-0.368,0.640
1547832155869,2019-01-18T18:22:35.869,9.840,0.702,-0.364,0.627
1547832155949,2019-01-18T18:22:35.949,9.920,0.703,-0.375,0.634
1547832156029,2019-01-18T18:22:36.029,10.000,0.695,-0.371,0.635
1547832156109,2019-01-18T18:22:36.109,10.080,0.691,-0.372,0.632
1547832156189,2019-01-18T18:22:36.189,10.160,0.713,-0.377,0.639
1547832156269,2019-01-18T18:22:36.269,10.240,0.751,-0.369,0.640
1547832156349,2019-01-18T18:22:36.349,10.320,0.677,-0.338,0.613
1547832156429,2019-01-18T18:22:36.429,10.400,0.690,-0.349,0.647
