epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832145755,2019-01-18T18:22:25.755,0.000,1.341,1.463,0.671
1547832145795,2019-01-18T18:22:25.795,0.040,1.098,1.098,0.976
1547832145835,2019-01-18T18:22:25.835,0.080,0.183,-2.195,0.305
1547832145875,2019-01-18T18:22:25.875,0.120,0.061,-2.195,0.183
1547832145915,2019-01-18T18:22:25.915,0.160,0.305,0.915,1.159
1547832145955,2019-01-18T18:22:25.955,0.200,0.061,-1.707,1.280
1547832145995,2019-01-18T18:22:25.995,0.240,0.183,-1.037,0.976
1547832146035,2019-01-18T18:22:26.035,0.280,0.305,1.768,0.305
1547832146075,2019-01-18T18:22:26.075,0.320,0.366,-1.159,0.549
1547832146115,2019-01-18T18:22:26.115,0.360,0.793,-1.951,0.610
1547832146155,2019-01-18T18:22:26.155,0.400,0.915,-2.622,0.610
1547832146195,2019-01-18T18:22:26.195,0.440,0.610,-2.805,0.976
1547832146235,2019-01-18T18:22:26.235,0.480,0.976,-0.305,1.463
1547832146275,2019-01-18T18:22:26.275,0.520,0.915,-1.585,0.915
1547832146315,2019-01-18T18:22:26.315,0.560,0.854,-1.585,0.854
1547832146355,2019-01-18T18:22:26.355,0.600,2.500,5.671,0.305
1547832146395,2019-01-18T18:22:26.395,0.640,8.110,8.780,-2.561
1547832146435,2019-01-18T18:22:26.435,0.680,7.988,7.195,-2.012
1547832146475,2019-01-18T18:22:26.475,0.720,1.768,4.451,1.098
1547832146515,2019-01-18T18:22:26.515,0.760,-1.951,-1.646,3.171
1547832146555,2019-01-18T18:22:26.555,0.800,-0.732,-0.976,2.988
1547832146595,2019-01-18T18:22:26.595,0.840,0.244,0.305,1.402
1547832146635,2019-01-18T18:22:26.635,0.880,0.122,-0.915,0.122
1547832146675,2019-01-18T18:22:26.675,0.920,0.244,-0.732,-0.549
1547832146715,2019-01-18T18:22:26.715,0.960,0.244,1.341,0.122
1547832146755,2019-01-18T18:22:26.755,1.000,0.427,-1.463,0.976
1547832146795,2019-01-18T18:22:26.795,1.040,0.183,-1.768,1.159
1547832146835,2019-01-18T18:22:26.835,1.080,0.427,-0.854,1.037
1547832146875,2019-01-18T18:22:26.875,1.120,2.134,0.488,0.915
1547832146915,2019-01-18T18:22:26.915,1.160,3.476,3.659,0.122
1547832146955,2019-01-18T18:22:26.955,1.200,3.598,3.476,0.305
1547832146995,2019-01-18T18:22:26.995,1.240,3.841,-0.915,-0.305
1547832147035,2019-01-18T18:22:27.035,1.280,8.049,2.073,-2.195
1547832147075,2019-01-18T18:22:27.075,1.320,10.671,5.305,-3.049
1547832147115,2019-01-18T18:22:27.115,1.360,13.232,10.061,-4.939
1547832147155,2019-01-18T18:22:27.155,1.400,16.585,16.524,-4.695
1547832147195,2019-01-18T18:22:27.195,1.440,22.256,14.573,-3.902
1547832147235,2019-01-18T18:22:27.235,1.480,24.207,2.195,-2.073
1547832147275,2019-01-18T18:22:27.275,1.520,26.890,22.134,1.829
1547832147315,2019-01-18T18:22:27.315,1.560,28.476,60.183,6.890
1547832147355,2019-01-18T18:22:27.355,1.600,30.366,85.244,8.841
1547832147395,2019-01-18T18:22:27.395,1.640,28.537,83.415,8.232
1547832147435,2019-01-18T18:22:27.435,1.680,21.159,71.402,12.073
1547832147475,2019-01-18T18:22:27.475,1.720,16.524,67.622,19.390
1547832147515,2019-01-18T18:22:27.515,1.760,6.829,26.402,16.951
1547832147555,2019-01-18T18:22:27.555,1.800,-2.073,-4.939,7.439
1547832147595,2019-01-18T18:22:27.595,1.840,-4.207,4.634,-0.122
1547832147635,2019-01-18T18:22:27.635,1.880,-2.988,10.976,-1.463
1547832147675,2019-01-18T18:22:27.675,1.920,-4.817,3.110,-1.707
1547832147715,2019-01-18T18:22:27.715,1.960,-7.134,-10.000,-1.524
1547832147755,2019-01-18T18:22:27.755,2.000,-8.232,-18.659,0.305
1547832147795,2019-01-18T18:22:27.795,2.040,-6.037,-7.439,-0.976
1547832147835,2019-01-18T18:22:27.835,2.080,-2.805,-0.427,-3.720
1547832147875,2019-01-18T18:22:27.875,2.120,-2.012,-10.549,-4.329
1547832147915,2019-01-18T18:22:27.915,2.160,-3.171,-15.732,-2.622
1547832147955,2019-01-18T18:22:27.955,2.200,-3.415,0.000,-1.159
1547832147995,2019-01-18T18:22:27.995,2.240,-0.976,10.305,0.549
1547832148035,2019-01-18T18:22:28.035,2.280,0.488,4.390,2.866
1547832148075,2019-01-18T18:22:28.075,2.320,0.305,-0.305,2.683
1547832148115,2019-01-18T18:22:28.115,2.360,1.098,0.610,0.671
1547832148155,2019-01-18T18:22:28.155,2.400,3.171,2.439,-0.488
1547832148195,2019-01-18T18:22:28.195,2.440,5.671,0.305,-1.402
1547832148235,2019-01-18T18:22:28.235,2.480,6.768,0.122,-2.256
1547832148275,2019-01-18T18:22:28.275,2.520,6.524,-1.098,-1.524
1547832148315,2019-01-18T18:22:28.315,2.560,5.305,-0.854,0.305
1547832148355,2019-01-18T18:22:28.355,2.600,4.146,0.244,0.854
1547832148395,2019-01-18T18:22:28.395,2.640,4.024,1.707,0.305
1547832148435,2019-01-18T18:22:28.435,2.680,4.085,2.378,0.549
1547832148475,2019-01-18T18:22:28.475,2.720,4.268,5.793,2.317
1547832148515,2019-01-18T18:22:28.515,2.760,7.256,9.817,3.476
1547832148555,2019-01-18T18:22:28.555,2.800,9.634,9.512,2.805
1547832148595,2019-01-18T18:22:28.595,2.840,9.512,12.378,3.476
1547832148635,2019-01-18T18:22:28.635,2.880,9.451,16.829,4.939
1547832148675,2019-01-18T18:22:28.675,2.920,10.061,13.963,7.378
1547832148715,2019-01-18T18:22:28.715,2.960,6.646,9.329,9.024
1547832148755,2019-01-18T18:22:28.755,3.000,-0.610,7.805,8.720
1547832148795,2019-01-18T18:22:28.795,3.040,-7.439,4.939,8.415
1547832148835,2019-01-18T18:22:28.835,3.080,-13.049,8.232,9.451
1547832148875,2019-01-18T18:22:28.875,3.120,-16.829,19.939,12.012
1547832148915,2019-01-18T18:22:28.915,3.160,-16.890,18.963,12.439
1547832148955,2019-01-18T18:22:28.955,3.200,-13.841,6.402,6.707
1547832148995,2019-01-18T18:22:28.995,3.240,-8.841,1.707,2.805
