epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832339908,2019-01-18T18:25:39.908,0.000,0.951,0.110,0.193
1547832339988,2019-01-18T18:25:39.988,0.080,0.971,0.105,0.196
1547832340068,2019-01-18T18:25:40.068,0.160,0.954,0.081,0.196
1547832340148,2019-01-18T18:25:40.148,0.240,0.988,0.067,0.233
1547832340228,2019-01-18T18:25:40.228,0.320,0.971,0.085,0.242
1547832340308,2019-01-18T18:25:40.308,0.400,0.922,0.076,0.211
1547832340388,2019-01-18T18:25:40.388,0.480,0.708,0.020,0.217
1547832340468,2019-01-18T18:25:40.468,0.560,0.490,-0.111,0.253
1547832340548,2019-01-18T18:25:40.548,0.640,0.757,-0.384,0.199
1547832340628,2019-01-18T18:25:40.628,0.720,0.772,-0.671,0.257
1547832340708,2019-01-18T18:25:40.708,0.800,0.706,-1.015,0.500
1547832340788,2019-01-18T18:25:40.788,0.880,0.530,-1.185,0.565
1547832340868,2019-01-18T18:25:40.868,0.960,0.377,-1.134,0.558
1547832340948,2019-01-18T18:25:40.948,1.040,0.363,-1.005,0.494
1547832341028,2019-01-18T18:25:41.028,1.120,0.363,-0.880,0.479
1547832341108,2019-01-18T18:25:41.108,1.200,0.305,-0.811,0.487
1547832341188,2019-01-18T18:25:41.188,1.280,0.229,-0.869,0.489
1547832341268,2019-01-18T18:25:41.268,1.360,0.167,-0.839,0.530
1547832341348,2019-01-18T18:25:41.348,1.440,0.160,-0.701,0.541
1547832341428,2019-01-18T18:25:41.428,1.520,0.162,-0.823,0.561
1547832341508,2019-01-18T18:25:41.508,1.600,0.167,-0.936,0.520
1547832341588,2019-01-18T18:25:41.588,1.680,0.196,-0.860,0.453
1547832341668,2019-01-18T18:25:41.668,1.760,0.248,-0.789,0.411
1547832341748,2019-01-18T18:25:41.748,1.840,0.266,-0.811,0.430
1547832341828,2019-01-18T18:25:41.828,1.920,0.268,-0.867,0.464
1547832341908,2019-01-18T18:25:41.908,2.000,0.264,-1.070,0.524
1547832341988,2019-01-18T18:25:41.988,2.080,0.249,-1.055,0.432
1547832342068,2019-01-18T18:25:42.068,2.160,0.301,-0.975,0.385
1547832342148,2019-01-18T18:25:42.148,2.240,0.292,-0.891,0.348
1547832342228,2019-01-18T18:25:42.228,2.320,0.289,-0.892,0.311
1547832342308,2019-01-18T18:25:42.308,2.400,0.286,-1.011,0.289
1547832342388,2019-01-18T18:25:42.388,2.480,0.324,-0.945,0.278
1547832342468,2019-01-18T18:25:42.468,2.560,0.309,-0.898,0.273
1547832342548,2019-01-18T18:25:42.548,2.640,0.268,-0.887,0.265
1547832342628,2019-01-18T18:25:42.628,2.720,0.262,-0.884,0.269
1547832342708,2019-01-18T18:25:42.708,2.800,0.301,-0.898,0.284
1547832342788,2019-01-18T18:25:42.788,2.880,0.338,-0.948,0.342
1547832342868,2019-01-18T18:25:42.868,2.960,0.319,-0.982,0.406
1547832342948,2019-01-18T18:25:42.948,3.040,0.254,-0.981,0.400
1547832343028,2019-01-18T18:25:43.028,3.120,0.293,-0.981,0.391
1547832343108,2019-01-18T18:25:43.108,3.200,0.358,-1.034,0.379
1547832343188,2019-01-18T18:25:43.188,3.280,0.384,-1.028,0.371
1547832343268,2019-01-18T18:25:43.268,3.360,0.390,-0.913,0.429
1547832343348,2019-01-18T18:25:43.348,3.440,0.189,-1.010,0.436
1547832343428,2019-01-18T18:25:43.428,3.520,0.112,-0.905,0.419
1547832343508,2019-01-18T18:25:43.508,3.600,0.115,-0.863,0.478
