epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832339578,2019-01-18T18:25:39.578,0.000,-1.585,0.854,0.244
1547832339618,2019-01-18T18:25:39.618,0.040,-1.220,1.098,0.000
1547832339658,2019-01-18T18:25:39.658,0.080,-1.402,0.366,0.549
1547832339698,2019-01-18T18:25:39.698,0.120,-1.159,-2.317,0.671
1547832339738,2019-01-18T18:25:39.738,0.160,-1.159,0.427,0.549
1547832339778,2019-01-18T18:25:39.778,0.200,-1.585,2.256,0.732
1547832339818,2019-01-18T18:25:39.818,0.240,-2.927,1.768,2.439
1547832339858,2019-01-18T18:25:39.858,0.280,-3.049,-0.122,3.780
1547832339898,2019-01-18T18:25:39.898,0.320,-1.037,1.768,3.354
1547832339938,2019-01-18T18:25:39.938,0.360,-0.488,3.841,2.439
1547832339978,2019-01-18T18:25:39.978,0.400,-0.122,-0.244,3.598
1547832340018,2019-01-18T18:25:40.018,0.440,0.061,-1.037,6.159
1547832340058,2019-01-18T18:25:40.058,0.480,0.122,-2.805,6.829
1547832340098,2019-01-18T18:25:40.098,0.520,1.098,0.793,6.280
1547832340138,2019-01-18T18:25:40.138,0.560,3.232,9.817,6.890
1547832340178,2019-01-18T18:25:40.178,0.600,4.329,9.085,7.988
1547832340218,2019-01-18T18:25:40.218,0.640,4.817,3.415,8.171
1547832340258,2019-01-18T18:25:40.258,0.680,5.915,7.012,9.939
1547832340298,2019-01-18T18:25:40.298,0.720,6.829,12.073,16.524
1547832340338,2019-01-18T18:25:40.338,0.760,8.476,22.378,32.012
1547832340378,2019-01-18T18:25:40.378,0.800,11.402,-2.012,59.329
1547832340418,2019-01-18T18:25:40.418,0.840,17.439,-1.280,105.122
1547832340458,2019-01-18T18:25:40.458,0.880,13.780,43.415,154.329
1547832340498,2019-01-18T18:25:40.498,0.920,-2.805,66.280,191.098
1547832340538,2019-01-18T18:25:40.538,0.960,-19.634,72.256,212.195
1547832340578,2019-01-18T18:25:40.578,1.000,-37.561,98.476,215.488
1547832340618,2019-01-18T18:25:40.618,1.040,-49.512,124.024,211.402
1547832340658,2019-01-18T18:25:40.658,1.080,-52.683,114.207,206.707
1547832340698,2019-01-18T18:25:40.698,1.120,-54.085,73.780,190.000
1547832340738,2019-01-18T18:25:40.738,1.160,-49.085,58.232,159.939
1547832340778,2019-01-18T18:25:40.778,1.200,-37.927,59.390,124.817
1547832340818,2019-01-18T18:25:40.818,1.240,-23.354,18.720,85.427
1547832340858,2019-01-18T18:25:40.858,1.280,-7.683,-44.878,47.683
1547832340898,2019-01-18T18:25:40.898,1.320,7.927,-69.146,21.280
1547832340938,2019-01-18T18:25:40.938,1.360,23.354,-59.146,8.415
1547832340978,2019-01-18T18:25:40.978,1.400,32.256,-58.902,-1.585
1547832341018,2019-01-18T18:25:41.018,1.440,36.159,-57.012,-10.732
1547832341058,2019-01-18T18:25:41.058,1.480,39.451,-41.341,-19.390
1547832341098,2019-01-18T18:25:41.098,1.520,34.695,-32.317,-26.890
1547832341138,2019-01-18T18:25:41.138,1.560,25.671,-18.354,-26.037
1547832341178,2019-01-18T18:25:41.178,1.600,15.671,-2.683,-21.951
1547832341218,2019-01-18T18:25:41.218,1.640,2.622,-1.098,-23.293
1547832341258,2019-01-18T18:25:41.258,1.680,-11.159,9.634,-22.439
1547832341298,2019-01-18T18:25:41.298,1.720,-20.854,36.159,-14.268
1547832341338,2019-01-18T18:25:41.338,1.760,-26.159,49.390,-3.476
