epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547220736813,2019-01-11T16:32:16.813,0.000,-0.047,-1.037,-0.121
1547220736893,2019-01-11T16:32:16.893,0.080,0.001,-1.040,-0.035
1547220736973,2019-01-11T16:32:16.973,0.160,0.053,-1.063,0.011
1547220737053,2019-01-11T16:32:17.053,0.240,0.012,-1.026,-0.066
1547220737133,2019-01-11T16:32:17.133,0.320,0.037,-1.038,-0.015
1547220737213,2019-01-11T16:32:17.213,0.400,0.059,-1.067,-0.005
1547220737293,2019-01-11T16:32:17.293,0.480,0.025,-1.106,-0.030
1547220737373,2019-01-11T16:32:17.373,0.560,0.108,-1.333,0.003
1547220737453,2019-01-11T16:32:17.453,0.640,0.172,-1.430,0.050
1547220737533,2019-01-11T16:32:17.533,0.720,0.221,-1.400,0.100
1547220737613,2019-01-11T16:32:17.613,0.800,0.232,-1.351,0.180
1547220737693,2019-01-11T16:32:17.693,0.880,0.260,-1.240,0.158
1547220737773,2019-01-11T16:32:17.773,0.960,0.254,-1.079,0.121
1547220737853,2019-01-11T16:32:17.853,1.040,0.161,-0.794,0.072
1547220737933,2019-01-11T16:32:17.933,1.120,0.053,-0.421,0.110
1547220738013,2019-01-11T16:32:18.013,1.200,0.011,-0.085,0.058
1547220738093,2019-01-11T16:32:18.093,1.280,-0.032,-0.228,0.291
1547220738173,2019-01-11T16:32:18.173,1.360,0.068,-0.414,0.104
1547220738253,2019-01-11T16:32:18.253,1.440,0.119,-0.757,0.079
1547220738333,2019-01-11T16:32:18.333,1.520,0.241,-0.977,0.148
1547220738413,2019-01-11T16:32:18.413,1.600,0.239,-1.096,0.175
1547220738493,2019-01-11T16:32:18.493,1.680,0.215,-1.177,0.076
1547220738573,2019-01-11T16:32:18.573,1.760,0.182,-1.248,0.060
1547220738653,2019-01-11T16:32:18.653,1.840,0.131,-1.255,0.006
1547220738733,2019-01-11T16:32:18.733,1.920,0.099,-1.232,-0.028
1547220738813,2019-01-11T16:32:18.813,2.000,0.030,-1.153,-0.081
1547220738893,2019-01-11T16:32:18.893,2.080,0.009,-1.088,-0.063
1547220738973,2019-01-11T16:32:18.973,2.160,0.018,-1.465,-0.179
1547220739053,2019-01-11T16:32:19.053,2.240,0.094,-1.056,0.028
1547220739133,2019-01-11T16:32:19.133,2.320,0.085,-1.007,-0.142
1547220739213,2019-01-11T16:32:19.213,2.400,0.027,-1.071,0.032
1547220739293,2019-01-11T16:32:19.293,2.480,0.143,-1.098,-0.090
1547220739373,2019-01-11T16:32:19.373,2.560,0.071,-1.056,-0.014
1547220739453,2019-01-11T16:32:19.453,2.640,0.041,-1.354,-0.062
1547220739533,2019-01-11T16:32:19.533,2.720,0.109,-1.518,0.012
