epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547474646637,2019-01-14T15:04:06.637,0.000,0.103,-0.944,-0.130
1547474646717,2019-01-14T15:04:06.717,0.080,0.115,-0.906,-0.075
1547474646797,2019-01-14T15:04:06.797,0.160,0.109,-0.957,-0.072
1547474646877,2019-01-14T15:04:06.877,0.240,0.129,-1.127,-0.135
1547474646957,2019-01-14T15:04:06.957,0.320,0.129,-1.221,-0.094
1547474647037,2019-01-14T15:04:07.037,0.400,0.127,-1.278,-0.124
1547474647117,2019-01-14T15:04:07.117,0.480,0.140,-1.313,-0.148
1547474647197,2019-01-14T15:04:07.197,0.560,0.142,-1.294,-0.084
1547474647277,2019-01-14T15:04:07.277,0.640,0.174,-1.271,0.036
1547474647357,2019-01-14T15:04:07.357,0.720,0.168,-1.172,0.062
1547474647437,2019-01-14T15:04:07.437,0.800,0.188,-1.053,0.102
1547474647517,2019-01-14T15:04:07.517,0.880,0.138,-0.873,0.147
1547474647597,2019-01-14T15:04:07.597,0.960,0.118,-0.688,0.159
1547474647677,2019-01-14T15:04:07.677,1.040,0.042,-0.364,0.144
1547474647757,2019-01-14T15:04:07.757,1.120,0.037,-0.345,0.253
1547474647837,2019-01-14T15:04:07.837,1.200,0.101,-0.637,0.111
1547474647917,2019-01-14T15:04:07.917,1.280,0.154,-0.911,0.144
1547474647997,2019-01-14T15:04:07.997,1.360,0.170,-1.077,0.089
1547474648077,2019-01-14T15:04:08.077,1.440,0.178,-1.144,0.006
1547474648157,2019-01-14T15:04:08.157,1.520,0.146,-1.148,0.007
1547474648237,2019-01-14T15:04:08.237,1.600,0.148,-1.192,-0.029
1547474648317,2019-01-14T15:04:08.317,1.680,0.141,-1.267,-0.080
1547474648397,2019-01-14T15:04:08.397,1.760,0.107,-1.325,-0.107
1547474648477,2019-01-14T15:04:08.477,1.840,0.137,-1.354,-0.151
1547474648557,2019-01-14T15:04:08.557,1.920,0.144,-1.339,-0.088
