epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547474810465,2019-01-14T15:06:50.465,0.000,-52.988,-15.793,-12.439
1547474810505,2019-01-14T15:06:50.505,0.040,-51.951,-17.012,-12.012
1547474810545,2019-01-14T15:06:50.545,0.080,-47.988,-17.134,-10.244
1547474810585,2019-01-14T15:06:50.585,0.120,-39.756,-15.854,-6.463
1547474810625,2019-01-14T15:06:50.625,0.160,-28.354,-14.695,-7.195
1547474810665,2019-01-14T15:06:50.665,0.200,-24.878,-6.220,-13.110
1547474810705,2019-01-14T15:06:50.705,0.240,-20.000,-10.427,-6.585
1547474810745,2019-01-14T15:06:50.745,0.280,-15.122,-4.939,-7.866
1547474810785,2019-01-14T15:06:50.785,0.320,-10.793,-3.354,-3.110
1547474810825,2019-01-14T15:06:50.825,0.360,-0.610,-8.171,-1.768
1547474810865,2019-01-14T15:06:50.865,0.400,-2.134,-2.805,-1.585
1547474810905,2019-01-14T15:06:50.905,0.440,-3.841,1.280,-2.988
1547474810945,2019-01-14T15:06:50.945,0.480,0.610,-0.244,0.915
1547474810985,2019-01-14T15:06:50.985,0.520,8.780,-4.878,4.024
1547474811025,2019-01-14T15:06:51.025,0.560,9.268,-3.537,5.793
1547474811065,2019-01-14T15:06:51.065,0.600,3.415,0.366,5.671
1547474811105,2019-01-14T15:06:51.105,0.640,6.341,-1.524,5.671
1547474811145,2019-01-14T15:06:51.145,0.680,8.841,1.341,7.683
1547474811185,2019-01-14T15:06:51.185,0.720,10.122,-0.244,6.585
1547474811225,2019-01-14T15:06:51.225,0.760,9.146,-3.354,7.988
1547474811265,2019-01-14T15:06:51.265,0.800,7.195,-4.085,3.659
1547474811305,2019-01-14T15:06:51.305,0.840,9.817,-9.634,2.683
1547474811345,2019-01-14T15:06:51.345,0.880,11.280,-11.524,-1.768
1547474811385,2019-01-14T15:06:51.385,0.920,12.439,-8.293,-7.073
1547474811425,2019-01-14T15:06:51.425,0.960,18.415,-8.476,-9.451
1547474811465,2019-01-14T15:06:51.465,1.000,18.476,-7.256,-11.646
1547474811505,2019-01-14T15:06:51.505,1.040,20.183,-7.439,-11.280
1547474811545,2019-01-14T15:06:51.545,1.080,22.012,-8.720,-11.524
1547474811585,2019-01-14T15:06:51.585,1.120,24.146,-14.268,-5.244
1547474811625,2019-01-14T15:06:51.625,1.160,23.902,-5.061,-10.549
1547474811665,2019-01-14T15:06:51.665,1.200,19.878,-8.598,-14.024
1547474811705,2019-01-14T15:06:51.705,1.240,22.927,-8.171,-7.317
1547474811745,2019-01-14T15:06:51.745,1.280,26.829,-7.256,-0.671
1547474811785,2019-01-14T15:06:51.785,1.320,25.000,-13.171,8.902
1547474811825,2019-01-14T15:06:51.825,1.360,19.878,-9.146,11.463
1547474811865,2019-01-14T15:06:51.865,1.400,12.988,-6.463,12.866
1547474811905,2019-01-14T15:06:51.905,1.440,2.805,4.085,15.183
1547474811945,2019-01-14T15:06:51.945,1.480,-2.317,1.829,17.622
1547474811985,2019-01-14T15:06:51.985,1.520,-1.585,-3.232,1.037
1547474812025,2019-01-14T15:06:52.025,1.560,-14.573,7.805,-7.073
1547474812065,2019-01-14T15:06:52.065,1.600,-11.098,1.951,-10.549
1547474812105,2019-01-14T15:06:52.105,1.640,-11.463,-3.171,-4.756
1547474812145,2019-01-14T15:06:52.145,1.680,-17.866,4.756,-1.159
1547474812185,2019-01-14T15:06:52.185,1.720,-22.744,7.195,0.244
1547474812225,2019-01-14T15:06:52.225,1.760,-26.707,10.244,-0.793
1547474812265,2019-01-14T15:06:52.265,1.800,-28.598,9.024,1.220
1547474812305,2019-01-14T15:06:52.305,1.840,-30.915,10.671,4.390
1547474812345,2019-01-14T15:06:52.345,1.880,-19.634,6.768,7.805
1547474812385,2019-01-14T15:06:52.385,1.920,-22.683,9.085,19.390
1547474812425,2019-01-14T15:06:52.425,1.960,-14.146,6.768,6.341
1547474812465,2019-01-14T15:06:52.465,2.000,-18.659,2.073,16.098
1547474812505,2019-01-14T15:06:52.505,2.040,-4.817,-9.146,13.171
1547474812545,2019-01-14T15:06:52.545,2.080,-7.927,4.024,10.244
1547474812585,2019-01-14T15:06:52.585,2.120,-7.988,2.012,15.305
1547474812625,2019-01-14T15:06:52.625,2.160,-1.707,0.427,8.110
1547474812665,2019-01-14T15:06:52.665,2.200,3.537,-1.646,7.561
1547474812705,2019-01-14T15:06:52.705,2.240,10.488,-9.817,3.293
1547474812745,2019-01-14T15:06:52.745,2.280,10.000,-7.012,0.305
1547474812785,2019-01-14T15:06:52.785,2.320,16.951,-9.024,-6.280
1547474812825,2019-01-14T15:06:52.825,2.360,21.037,-6.829,-8.110
1547474812865,2019-01-14T15:06:52.865,2.400,29.634,-14.695,-11.951
