epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547579049161,2019-01-15T20:04:09.161,0.000,0.307,0.595,0.811
1547579049241,2019-01-15T20:04:09.241,0.080,0.306,0.569,0.814
1547579049321,2019-01-15T20:04:09.321,0.160,0.288,0.571,0.720
1547579049401,2019-01-15T20:04:09.401,0.240,0.276,0.573,0.773
1547579049481,2019-01-15T20:04:09.481,0.320,0.275,0.581,0.765
1547579049561,2019-01-15T20:04:09.561,0.400,0.275,0.570,0.678
1547579049641,2019-01-15T20:04:09.641,0.480,0.278,0.575,0.707
1547579049721,2019-01-15T20:04:09.721,0.560,0.278,0.617,0.736
1547579049801,2019-01-15T20:04:09.801,0.640,0.275,0.632,0.704
1547579049881,2019-01-15T20:04:09.881,0.720,0.285,0.592,0.683
1547579049961,2019-01-15T20:04:09.961,0.800,0.261,0.566,0.621
1547579050041,2019-01-15T20:04:10.041,0.880,0.261,0.549,0.616
1547579050121,2019-01-15T20:04:10.121,0.960,0.257,0.545,0.631
1547579050201,2019-01-15T20:04:10.201,1.040,0.277,0.554,0.639
1547579050281,2019-01-15T20:04:10.281,1.120,0.283,0.577,0.647
1547579050361,2019-01-15T20:04:10.361,1.200,0.303,0.550,0.776
1547579050441,2019-01-15T20:04:10.441,1.280,0.274,0.572,0.686
1547579050521,2019-01-15T20:04:10.521,1.360,0.277,0.526,0.718
1547579050601,2019-01-15T20:04:10.601,1.440,0.295,0.522,0.777
1547579050681,2019-01-15T20:04:10.681,1.520,0.299,0.563,0.766
1547579050761,2019-01-15T20:04:10.761,1.600,0.318,0.548,0.812
1547579050841,2019-01-15T20:04:10.841,1.680,0.327,0.555,0.813
1547579050921,2019-01-15T20:04:10.921,1.760,0.306,0.553,0.796
1547579051001,2019-01-15T20:04:11.001,1.840,0.319,0.506,0.807
1547579051081,2019-01-15T20:04:11.081,1.920,0.321,0.512,0.798
1547579051161,2019-01-15T20:04:11.161,2.000,0.313,0.513,0.816
1547579051241,2019-01-15T20:04:11.241,2.080,0.339,0.479,0.853
1547579051321,2019-01-15T20:04:11.321,2.160,0.328,0.521,0.802
1547579051401,2019-01-15T20:04:11.401,2.240,0.336,0.538,0.864
1547579051481,2019-01-15T20:04:11.481,2.320,0.358,0.559,0.928
1547579051561,2019-01-15T20:04:11.561,2.400,0.376,0.578,0.941
1547579051641,2019-01-15T20:04:11.641,2.480,0.369,0.590,0.926
1547579051721,2019-01-15T20:04:11.721,2.560,0.389,0.549,0.938
1547579051801,2019-01-15T20:04:11.801,2.640,0.349,0.538,0.880
1547579051881,2019-01-15T20:04:11.881,2.720,0.339,0.485,0.865
1547579051961,2019-01-15T20:04:11.961,2.800,0.336,0.469,0.843
1547579052041,2019-01-15T20:04:12.041,2.880,0.333,0.481,0.803
1547579052121,2019-01-15T20:04:12.121,2.960,0.336,0.461,0.845
