epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547579347087,2019-01-15T20:09:07.087,0.000,4.451,-1.159,-0.061
1547579347127,2019-01-15T20:09:07.127,0.040,3.902,-1.951,-1.220
1547579347167,2019-01-15T20:09:07.167,0.080,-1.159,-1.585,-2.866
1547579347207,2019-01-15T20:09:07.207,0.120,-5.732,-1.646,1.037
1547579347247,2019-01-15T20:09:07.247,0.160,2.195,-4.024,0.061
1547579347287,2019-01-15T20:09:07.287,0.200,13.476,-7.012,-1.707
1547579347327,2019-01-15T20:09:07.327,0.240,11.890,-6.098,1.890
1547579347367,2019-01-15T20:09:07.367,0.280,7.866,-4.695,1.524
1547579347407,2019-01-15T20:09:07.407,0.320,2.744,-3.659,1.585
1547579347447,2019-01-15T20:09:07.447,0.360,0.549,-2.439,0.305
1547579347487,2019-01-15T20:09:07.487,0.400,0.671,-3.049,-0.183
1547579347527,2019-01-15T20:09:07.527,0.440,-6.159,-3.110,1.220
1547579347567,2019-01-15T20:09:07.567,0.480,-5.793,-2.561,2.439
1547579347607,2019-01-15T20:09:07.607,0.520,0.549,-4.573,-0.488
1547579347647,2019-01-15T20:09:07.647,0.560,-2.134,-5.793,-0.915
1547579347687,2019-01-15T20:09:07.687,0.600,-10.610,-3.720,2.134
1547579347727,2019-01-15T20:09:07.727,0.640,-11.280,-3.232,4.085
1547579347767,2019-01-15T20:09:07.767,0.680,-7.378,-2.500,2.683
1547579347807,2019-01-15T20:09:07.807,0.720,0.122,-7.195,2.073
1547579347847,2019-01-15T20:09:07.847,0.760,2.683,-9.085,-1.341
1547579347887,2019-01-15T20:09:07.887,0.800,-7.378,-0.366,1.220
1547579347927,2019-01-15T20:09:07.927,0.840,-10.061,4.573,1.524
1547579347967,2019-01-15T20:09:07.967,0.880,-4.573,-3.720,-2.256
1547579348007,2019-01-15T20:09:08.007,0.920,-3.476,-9.390,-7.134
1547579348047,2019-01-15T20:09:08.047,0.960,-8.598,-4.939,-3.476
1547579348087,2019-01-15T20:09:08.087,1.000,-15.366,-1.707,0.000
1547579348127,2019-01-15T20:09:08.127,1.040,-13.841,0.244,-2.561
1547579348167,2019-01-15T20:09:08.167,1.080,-10.488,-0.488,-7.256
1547579348207,2019-01-15T20:09:08.207,1.120,-10.305,-2.988,-6.707
1547579348247,2019-01-15T20:09:08.247,1.160,-5.061,-10.732,-1.220
1547579348287,2019-01-15T20:09:08.287,1.200,6.280,-5.549,-5.793
1547579348327,2019-01-15T20:09:08.327,1.240,14.634,-7.134,-11.585
1547579348367,2019-01-15T20:09:08.367,1.280,0.183,1.037,-5.549
1547579348407,2019-01-15T20:09:08.407,1.320,-8.537,0.000,-0.854
1547579348447,2019-01-15T20:09:08.447,1.360,-6.524,-0.183,-5.610
1547579348487,2019-01-15T20:09:08.487,1.400,-2.805,-3.659,-5.854
