epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222744630,2019-01-11T17:05:44.630,0.000,0.138,0.721,0.782
1547222744710,2019-01-11T17:05:44.710,0.080,0.144,0.702,0.733
1547222744790,2019-01-11T17:05:44.790,0.160,0.124,0.661,0.691
1547222744870,2019-01-11T17:05:44.870,0.240,0.105,0.640,0.658
1547222744950,2019-01-11T17:05:44.950,0.320,0.090,0.663,0.658
1547222745030,2019-01-11T17:05:45.030,0.400,0.130,0.732,0.711
1547222745110,2019-01-11T17:05:45.110,0.480,0.163,0.754,0.726
1547222745190,2019-01-11T17:05:45.190,0.560,0.153,0.673,0.646
1547222745270,2019-01-11T17:05:45.270,0.640,0.137,0.674,0.602
1547222745350,2019-01-11T17:05:45.350,0.720,0.139,0.710,0.662
1547222745430,2019-01-11T17:05:45.430,0.800,0.140,0.735,0.682
1547222745510,2019-01-11T17:05:45.510,0.880,0.130,0.713,0.654
1547222745590,2019-01-11T17:05:45.590,0.960,0.125,0.700,0.638
1547222745670,2019-01-11T17:05:45.670,1.040,0.124,0.722,0.660
1547222745750,2019-01-11T17:05:45.750,1.120,0.133,0.718,0.684
1547222745830,2019-01-11T17:05:45.830,1.200,0.141,0.725,0.667
1547222745910,2019-01-11T17:05:45.910,1.280,0.143,0.696,0.653
1547222745990,2019-01-11T17:05:45.990,1.360,0.138,0.657,0.576
1547222746070,2019-01-11T17:05:46.070,1.440,0.135,0.651,0.551
1547222746150,2019-01-11T17:05:46.150,1.520,0.121,0.595,0.544
1547222746230,2019-01-11T17:05:46.230,1.600,0.110,0.508,0.487
1547222746310,2019-01-11T17:05:46.310,1.680,0.118,0.528,0.517
1547222746390,2019-01-11T17:05:46.390,1.760,0.120,0.567,0.587
1547222746470,2019-01-11T17:05:46.470,1.840,0.123,0.647,0.666
1547222746550,2019-01-11T17:05:46.550,1.920,0.133,0.652,0.776
1547222746630,2019-01-11T17:05:46.630,2.000,0.141,0.607,0.785
1547222746710,2019-01-11T17:05:46.710,2.080,0.166,0.586,0.819
1547222746790,2019-01-11T17:05:46.790,2.160,0.162,0.609,0.906
1547222746870,2019-01-11T17:05:46.870,2.240,0.177,0.593,0.905
1547222746950,2019-01-11T17:05:46.950,2.320,0.181,0.617,0.892
1547222747030,2019-01-11T17:05:47.030,2.400,0.176,0.587,0.894
1547222747110,2019-01-11T17:05:47.110,2.480,0.177,0.633,0.954
1547222747190,2019-01-11T17:05:47.190,2.560,0.173,0.681,0.974
1547222747270,2019-01-11T17:05:47.270,2.640,0.192,0.691,1.021
1547222747350,2019-01-11T17:05:47.350,2.720,0.199,0.708,1.015
1547222747430,2019-01-11T17:05:47.430,2.800,0.187,0.682,0.988
1547222747510,2019-01-11T17:05:47.510,2.880,0.191,0.606,0.940
1547222747590,2019-01-11T17:05:47.590,2.960,0.163,0.614,0.909
1547222747670,2019-01-11T17:05:47.670,3.040,0.166,0.602,0.933
1547222747750,2019-01-11T17:05:47.750,3.120,0.150,0.603,0.915
1547222747830,2019-01-11T17:05:47.830,3.200,0.125,0.630,0.851
1547222747910,2019-01-11T17:05:47.910,3.280,0.114,0.620,0.809
1547222747990,2019-01-11T17:05:47.990,3.360,0.092,0.553,0.713
1547222748070,2019-01-11T17:05:48.070,3.440,0.083,0.473,0.533
1547222748150,2019-01-11T17:05:48.150,3.520,0.058,0.375,0.352
1547222748230,2019-01-11T17:05:48.230,3.600,0.071,0.326,0.329
1547222748310,2019-01-11T17:05:48.310,3.680,0.122,0.644,0.516
1547222748390,2019-01-11T17:05:48.390,3.760,0.116,0.918,0.791
1547222748470,2019-01-11T17:05:48.470,3.840,0.115,0.764,0.651
1547222748550,2019-01-11T17:05:48.550,3.920,0.085,0.573,0.406
1547222748630,2019-01-11T17:05:48.630,4.000,0.078,0.535,0.395
1547222748710,2019-01-11T17:05:48.710,4.080,0.055,0.474,0.406
1547222748790,2019-01-11T17:05:48.790,4.160,0.077,0.500,0.481
1547222748870,2019-01-11T17:05:48.870,4.240,0.096,0.603,0.569
1547222748950,2019-01-11T17:05:48.950,4.320,0.105,0.646,0.616
1547222749030,2019-01-11T17:05:49.030,4.400,0.150,0.707,0.829
1547222749110,2019-01-11T17:05:49.110,4.480,0.152,0.743,0.863
1547222749190,2019-01-11T17:05:49.190,4.560,0.162,0.684,0.888
1547222749270,2019-01-11T17:05:49.270,4.640,0.167,0.663,0.877
1547222749350,2019-01-11T17:05:49.350,4.720,0.158,0.664,0.887
1547222749430,2019-01-11T17:05:49.430,4.800,0.164,0.656,0.955
1547222749510,2019-01-11T17:05:49.510,4.880,0.147,0.708,0.959
1547222749590,2019-01-11T17:05:49.590,4.960,0.151,0.771,1.007
1547222749670,2019-01-11T17:05:49.670,5.040,0.179,0.749,1.048
1547222749750,2019-01-11T17:05:49.750,5.120,0.184,0.740,0.994
1547222749830,2019-01-11T17:05:49.830,5.200,0.190,0.694,0.935
1547222749910,2019-01-11T17:05:49.910,5.280,0.188,0.643,0.917
1547222749990,2019-01-11T17:05:49.990,5.360,0.182,0.667,0.893
1547222750070,2019-01-11T17:05:50.070,5.440,0.168,0.692,0.896
1547222750150,2019-01-11T17:05:50.150,5.520,0.144,0.717,0.811
1547222750230,2019-01-11T17:05:50.230,5.600,0.122,0.688,0.726
1547222750310,2019-01-11T17:05:50.310,5.680,0.103,0.586,0.565
1547222750390,2019-01-11T17:05:50.390,5.760,0.062,0.400,0.370
1547222750470,2019-01-11T17:05:50.470,5.840,0.053,0.288,0.223
1547222750550,2019-01-11T17:05:50.550,5.920,0.110,0.379,0.349
1547222750630,2019-01-11T17:05:50.630,6.000,0.116,0.874,0.623
1547222750710,2019-01-11T17:05:50.710,6.080,0.148,0.952,0.790
1547222750790,2019-01-11T17:05:50.790,6.160,0.128,0.701,0.531
1547222750870,2019-01-11T17:05:50.870,6.240,0.119,0.661,0.479
1547222750950,2019-01-11T17:05:50.950,6.320,0.135,0.722,0.517
1547222751030,2019-01-11T17:05:51.030,6.400,0.122,0.644,0.469
1547222751110,2019-01-11T17:05:51.110,6.480,0.090,0.514,0.412
1547222751190,2019-01-11T17:05:51.190,6.560,0.087,0.522,0.359
1547222751270,2019-01-11T17:05:51.270,6.640,0.089,0.559,0.470
1547222751350,2019-01-11T17:05:51.350,6.720,0.120,0.627,0.622
