epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547223435659,2019-01-11T17:17:15.659,0.000,15.000,-0.610,-3.720
1547223435699,2019-01-11T17:17:15.699,0.040,14.390,-1.037,-3.354
1547223435739,2019-01-11T17:17:15.739,0.080,8.720,-2.927,2.134
1547223435779,2019-01-11T17:17:15.779,0.120,-1.402,-1.951,7.195
1547223435819,2019-01-11T17:17:15.819,0.160,-3.232,0.793,4.634
1547223435859,2019-01-11T17:17:15.859,0.200,0.183,2.561,-2.622
1547223435899,2019-01-11T17:17:15.899,0.240,0.488,1.280,-2.500
1547223435939,2019-01-11T17:17:15.939,0.280,2.500,-0.122,1.890
1547223435979,2019-01-11T17:17:15.979,0.320,7.988,-2.195,3.171
1547223436019,2019-01-11T17:17:16.019,0.360,12.561,-3.659,3.232
1547223436059,2019-01-11T17:17:16.059,0.400,12.378,-3.720,4.329
1547223436099,2019-01-11T17:17:16.099,0.440,9.695,-3.537,2.439
1547223436139,2019-01-11T17:17:16.139,0.480,7.683,-2.439,-0.061
1547223436179,2019-01-11T17:17:16.179,0.520,5.549,-1.524,-1.159
1547223436219,2019-01-11T17:17:16.219,0.560,6.280,-2.073,0.000
1547223436259,2019-01-11T17:17:16.259,0.600,9.329,-2.988,-0.976
1547223436299,2019-01-11T17:17:16.299,0.640,3.232,-3.110,1.707
1547223436339,2019-01-11T17:17:16.339,0.680,-5.549,-2.256,3.963
1547223436379,2019-01-11T17:17:16.379,0.720,-3.780,-3.293,3.659
1547223436419,2019-01-11T17:17:16.419,0.760,3.841,-3.780,0.732
1547223436459,2019-01-11T17:17:16.459,0.800,5.183,-4.085,1.463
1547223436499,2019-01-11T17:17:16.499,0.840,2.805,-3.354,2.683
1547223436539,2019-01-11T17:17:16.539,0.880,-0.488,-3.293,1.280
1547223436579,2019-01-11T17:17:16.579,0.920,-2.256,-2.744,1.098
1547223436619,2019-01-11T17:17:16.619,0.960,0.976,-2.866,-0.854
1547223436659,2019-01-11T17:17:16.659,1.000,2.439,-4.390,-1.159
1547223436699,2019-01-11T17:17:16.699,1.040,0.366,-3.354,0.000
1547223436739,2019-01-11T17:17:16.739,1.080,-1.768,-3.841,1.341
1547223436779,2019-01-11T17:17:16.779,1.120,-1.037,-3.841,-0.305
1547223436819,2019-01-11T17:17:16.819,1.160,-0.610,-4.085,-1.524
1547223436859,2019-01-11T17:17:16.859,1.200,-0.854,-2.805,0.610
1547223436899,2019-01-11T17:17:16.899,1.240,3.110,-2.317,0.122
1547223436939,2019-01-11T17:17:16.939,1.280,9.512,-3.780,-1.768
1547223436979,2019-01-11T17:17:16.979,1.320,12.256,-4.512,-1.768
1547223437019,2019-01-11T17:17:17.019,1.360,12.744,-4.634,-2.500
1547223437059,2019-01-11T17:17:17.059,1.400,9.390,-2.378,-0.854
1547223437099,2019-01-11T17:17:17.099,1.440,4.817,-1.159,1.951
1547223437139,2019-01-11T17:17:17.139,1.480,7.134,-4.024,2.073
1547223437179,2019-01-11T17:17:17.179,1.520,7.012,-6.341,-1.402
1547223437219,2019-01-11T17:17:17.219,1.560,-2.073,0.976,-2.927
1547223437259,2019-01-11T17:17:17.259,1.600,-15.305,3.171,-0.244
1547223437299,2019-01-11T17:17:17.299,1.640,-30.793,4.329,4.329
1547223437339,2019-01-11T17:17:17.339,1.680,-29.756,5.793,0.610
1547223437379,2019-01-11T17:17:17.379,1.720,-17.683,0.061,-1.829
1547223437419,2019-01-11T17:17:17.419,1.760,-8.659,4.756,-4.268
1547223437459,2019-01-11T17:17:17.459,1.800,-9.329,5.793,-0.305
1547223437499,2019-01-11T17:17:17.499,1.840,-12.134,15.183,3.963
1547223437539,2019-01-11T17:17:17.539,1.880,-19.573,12.744,-3.110
1547223437579,2019-01-11T17:17:17.579,1.920,-41.098,-1.280,-3.415
1547223437619,2019-01-11T17:17:17.619,1.960,-51.037,-6.707,2.683
1547223437659,2019-01-11T17:17:17.659,2.000,-48.110,-11.402,7.439
1547223437699,2019-01-11T17:17:17.699,2.040,-28.354,-15.305,1.951
1547223437739,2019-01-11T17:17:17.739,2.080,-19.756,-10.000,-1.037
1547223437779,2019-01-11T17:17:17.779,2.120,-15.488,-15.122,2.744
1547223437819,2019-01-11T17:17:17.819,2.160,-2.988,-14.024,-5.061
1547223437859,2019-01-11T17:17:17.859,2.200,4.451,-12.073,-3.659
1547223437899,2019-01-11T17:17:17.899,2.240,2.195,-8.049,0.488
1547223437939,2019-01-11T17:17:17.939,2.280,6.829,-5.549,-4.573
1547223437979,2019-01-11T17:17:17.979,2.320,6.585,-9.207,-6.098
1547223438019,2019-01-11T17:17:18.019,2.360,-3.232,0.610,-2.500
1547223438059,2019-01-11T17:17:18.059,2.400,-9.695,-5.976,-0.610
1547223438099,2019-01-11T17:17:18.099,2.440,-8.354,-7.134,0.061
1547223438139,2019-01-11T17:17:18.139,2.480,-2.012,1.768,0.122
1547223438179,2019-01-11T17:17:18.179,2.520,2.805,-6.890,-1.707
1547223438219,2019-01-11T17:17:18.219,2.560,8.963,-10.854,-2.134
1547223438259,2019-01-11T17:17:18.259,2.600,6.829,-6.585,-0.732
1547223438299,2019-01-11T17:17:18.299,2.640,-0.488,-4.085,3.049
1547223438339,2019-01-11T17:17:18.339,2.680,-4.634,-6.098,1.707
1547223438379,2019-01-11T17:17:18.379,2.720,-7.195,-5.000,-1.707
1547223438419,2019-01-11T17:17:18.419,2.760,-2.256,-3.720,-0.305
1547223438459,2019-01-11T17:17:18.459,2.800,1.524,0.854,-2.195
1547223438499,2019-01-11T17:17:18.499,2.840,7.439,-4.146,1.829
1547223438539,2019-01-11T17:17:18.539,2.880,5.061,-3.293,2.500
1547223438579,2019-01-11T17:17:18.579,2.920,5.976,4.512,0.793
1547223438619,2019-01-11T17:17:18.619,2.960,15.305,-0.549,0.854
1547223438659,2019-01-11T17:17:18.659,3.000,19.390,4.268,-3.963
1547223438699,2019-01-11T17:17:18.699,3.040,21.037,1.463,-1.707
1547223438739,2019-01-11T17:17:18.739,3.080,20.061,-3.780,-0.305
1547223438779,2019-01-11T17:17:18.779,3.120,21.768,-2.744,0.976
1547223438819,2019-01-11T17:17:18.819,3.160,24.207,6.220,1.951
1547223438859,2019-01-11T17:17:18.859,3.200,26.402,12.561,4.756
1547223438899,2019-01-11T17:17:18.899,3.240,26.402,9.329,5.549
1547223438939,2019-01-11T17:17:18.939,3.280,29.512,16.707,0.427
1547223438979,2019-01-11T17:17:18.979,3.320,39.634,6.951,1.280
1547223439019,2019-01-11T17:17:19.019,3.360,40.122,4.573,0.793
1547223439059,2019-01-11T17:17:19.059,3.400,34.756,5.122,-2.134
1547223439099,2019-01-11T17:17:19.099,3.440,34.207,4.573,-1.646
1547223439139,2019-01-11T17:17:19.139,3.480,39.512,-4.695,-2.988
1547223439179,2019-01-11T17:17:19.179,3.520,36.098,-3.537,-7.805
1547223439219,2019-01-11T17:17:19.219,3.560,22.622,-1.463,-6.829
1547223439259,2019-01-11T17:17:19.259,3.600,0.976,3.537,10.732
1547223439299,2019-01-11T17:17:19.299,3.640,-20.427,11.768,22.866
1547223439339,2019-01-11T17:17:19.339,3.680,-5.244,1.402,9.939
1547223439379,2019-01-11T17:17:19.379,3.720,20.732,-9.573,-9.085
1547223439419,2019-01-11T17:17:19.419,3.760,8.476,-6.524,-9.512
1547223439459,2019-01-11T17:17:19.459,3.800,-18.659,-2.744,-4.573
1547223439499,2019-01-11T17:17:19.499,3.840,-21.829,-3.293,-5.915
1547223439539,2019-01-11T17:17:19.539,3.880,-10.793,-9.085,-5.183
1547223439579,2019-01-11T17:17:19.579,3.920,-3.720,-9.817,-3.902
1547223439619,2019-01-11T17:17:19.619,3.960,-5.549,-6.951,-0.854
1547223439659,2019-01-11T17:17:19.659,4.000,-14.085,-6.646,-0.427
1547223439699,2019-01-11T17:17:19.699,4.040,-18.902,-16.463,-5.000
1547223439739,2019-01-11T17:17:19.739,4.080,-38.171,-7.378,-8.171
1547223439779,2019-01-11T17:17:19.779,4.120,-57.378,2.805,10.061
1547223439819,2019-01-11T17:17:19.819,4.160,-53.780,0.000,16.402
1547223439859,2019-01-11T17:17:19.859,4.200,-26.220,-3.354,1.098
1547223439899,2019-01-11T17:17:19.899,4.240,-13.171,3.659,-12.317
1547223439939,2019-01-11T17:17:19.939,4.280,-17.927,2.134,-5.732
1547223439979,2019-01-11T17:17:19.979,4.320,-26.463,2.073,-5.122
1547223440019,2019-01-11T17:17:20.019,4.360,-31.159,-5.610,0.427
1547223440059,2019-01-11T17:17:20.059,4.400,-16.829,-9.573,2.988
1547223440099,2019-01-11T17:17:20.099,4.440,-10.549,-0.488,-0.854
1547223440139,2019-01-11T17:17:20.139,4.480,-12.622,-4.024,-2.866
1547223440179,2019-01-11T17:17:20.179,4.520,-18.598,1.646,-6.402
1547223440219,2019-01-11T17:17:20.219,4.560,-29.817,-1.220,4.085
1547223440259,2019-01-11T17:17:20.259,4.600,-27.500,2.988,4.695
1547223440299,2019-01-11T17:17:20.299,4.640,-12.378,-1.890,2.988
1547223440339,2019-01-11T17:17:20.339,4.680,-7.195,-10.244,4.573
1547223440379,2019-01-11T17:17:20.379,4.720,-3.780,-10.061,2.744
1547223440419,2019-01-11T17:17:20.419,4.760,-11.037,-0.610,-1.768
1547223440459,2019-01-11T17:17:20.459,4.800,-10.427,3.232,-1.159
1547223440499,2019-01-11T17:17:20.499,4.840,4.207,-0.488,-2.378
1547223440539,2019-01-11T17:17:20.539,4.880,15.732,-2.256,-6.280
1547223440579,2019-01-11T17:17:20.579,4.920,13.171,-1.402,-5.976
1547223440619,2019-01-11T17:17:20.619,4.960,4.329,-0.061,-0.610
1547223440659,2019-01-11T17:17:20.659,5.000,7.012,-4.085,0.488
1547223440699,2019-01-11T17:17:20.699,5.040,9.817,-6.890,-1.707
1547223440739,2019-01-11T17:17:20.739,5.080,6.585,-7.317,-0.854
1547223440779,2019-01-11T17:17:20.779,5.120,2.500,-4.268,3.963
1547223440819,2019-01-11T17:17:20.819,5.160,2.561,-6.037,2.378
1547223440859,2019-01-11T17:17:20.859,5.200,7.622,-7.195,2.134
1547223440899,2019-01-11T17:17:20.899,5.240,12.256,-4.573,-1.159
1547223440939,2019-01-11T17:17:20.939,5.280,17.439,-4.512,1.951
1547223440979,2019-01-11T17:17:20.979,5.320,17.805,-1.585,4.268
1547223441019,2019-01-11T17:17:21.019,5.360,24.390,2.500,3.780
1547223441059,2019-01-11T17:17:21.059,5.400,33.537,-1.280,2.317
1547223441099,2019-01-11T17:17:21.099,5.440,36.463,1.951,-0.549
1547223441139,2019-01-11T17:17:21.139,5.480,41.220,6.585,3.110
1547223441179,2019-01-11T17:17:21.179,5.520,41.037,9.878,4.390
1547223441219,2019-01-11T17:17:21.219,5.560,39.695,8.659,3.659
1547223441259,2019-01-11T17:17:21.259,5.600,35.793,2.195,4.146
1547223441299,2019-01-11T17:17:21.299,5.640,36.951,2.561,3.659
1547223441339,2019-01-11T17:17:21.339,5.680,38.415,6.098,2.439
1547223441379,2019-01-11T17:17:21.379,5.720,41.159,5.488,0.000
1547223441419,2019-01-11T17:17:21.419,5.760,39.085,4.634,-5.610
1547223441459,2019-01-11T17:17:21.459,5.800,21.890,11.037,-6.524
1547223441499,2019-01-11T17:17:21.499,5.840,3.049,9.024,-2.683
1547223441539,2019-01-11T17:17:21.539,5.880,-11.585,10.427,2.073
1547223441579,2019-01-11T17:17:21.579,5.920,-19.024,0.427,16.098
1547223441619,2019-01-11T17:17:21.619,5.960,-8.476,-13.598,19.207
1547223441659,2019-01-11T17:17:21.659,6.000,9.024,-7.866,1.402
1547223441699,2019-01-11T17:17:21.699,6.040,3.537,-4.817,-5.549
1547223441739,2019-01-11T17:17:21.739,6.080,-15.122,-7.256,-0.244
1547223441779,2019-01-11T17:17:21.779,6.120,-13.841,-13.537,-1.951
1547223441819,2019-01-11T17:17:21.819,6.160,-8.537,-16.098,-0.915
1547223441859,2019-01-11T17:17:21.859,6.200,-2.866,-15.305,1.037
1547223441899,2019-01-11T17:17:21.899,6.240,-3.659,-13.049,-1.159
1547223441939,2019-01-11T17:17:21.939,6.280,-12.134,-5.427,-4.085
1547223441979,2019-01-11T17:17:21.979,6.320,-21.463,-9.268,-5.122
1547223442019,2019-01-11T17:17:22.019,6.360,-32.927,-0.488,-7.927
1547223442059,2019-01-11T17:17:22.059,6.400,-36.341,-6.829,-6.768
1547223442099,2019-01-11T17:17:22.099,6.440,-42.561,2.561,-4.085
1547223442139,2019-01-11T17:17:22.139,6.480,-39.695,4.207,0.366
1547223442179,2019-01-11T17:17:22.179,6.520,-27.927,-4.085,6.098
1547223442219,2019-01-11T17:17:22.219,6.560,-26.280,2.134,0.366
1547223442259,2019-01-11T17:17:22.259,6.600,-20.427,0.427,-9.939
