epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547219284950,2019-01-11T16:08:04.950,0.000,-10.671,-1.524,5.976
1547219284990,2019-01-11T16:08:04.990,0.040,-8.720,-2.073,3.171
1547219285030,2019-01-11T16:08:05.030,0.080,0.488,-3.537,-4.146
1547219285070,2019-01-11T16:08:05.070,0.120,0.244,-5.854,3.537
1547219285110,2019-01-11T16:08:05.110,0.160,-0.915,0.061,-2.805
1547219285150,2019-01-11T16:08:05.150,0.200,1.402,2.683,-4.024
1547219285190,2019-01-11T16:08:05.190,0.240,-11.280,4.512,-0.671
1547219285230,2019-01-11T16:08:05.230,0.280,-6.159,10.854,-16.098
1547219285270,2019-01-11T16:08:05.270,0.320,1.280,-7.866,7.073
1547219285310,2019-01-11T16:08:05.310,0.360,8.171,-7.073,8.110
1547219285350,2019-01-11T16:08:05.350,0.400,-7.988,8.049,1.280
1547219285390,2019-01-11T16:08:05.390,0.440,-4.756,8.232,4.329
1547219285430,2019-01-11T16:08:05.430,0.480,2.866,-3.293,-0.305
1547219285470,2019-01-11T16:08:05.470,0.520,-1.402,-0.915,-0.732
1547219285510,2019-01-11T16:08:05.510,0.560,0.976,-2.500,5.427
1547219285550,2019-01-11T16:08:05.550,0.600,3.415,-1.829,6.220
1547219285590,2019-01-11T16:08:05.590,0.640,-14.268,4.085,0.244
1547219285630,2019-01-11T16:08:05.630,0.680,-16.951,-10.366,4.512
1547219285670,2019-01-11T16:08:05.670,0.720,-0.244,4.817,-6.524
1547219285710,2019-01-11T16:08:05.710,0.760,9.268,10.000,1.707
1547219285750,2019-01-11T16:08:05.750,0.800,14.146,-4.024,-0.122
1547219285790,2019-01-11T16:08:05.790,0.840,6.585,-1.707,-6.646
1547219285830,2019-01-11T16:08:05.830,0.880,7.805,0.061,-0.244
1547219285870,2019-01-11T16:08:05.870,0.920,17.744,-13.354,-9.451
1547219285910,2019-01-11T16:08:05.910,0.960,7.012,-10.488,-4.024
1547219285950,2019-01-11T16:08:05.950,1.000,1.585,4.939,-2.866
1547219285990,2019-01-11T16:08:05.990,1.040,6.159,-3.780,6.220
1547219286030,2019-01-11T16:08:06.030,1.080,4.695,-6.707,-2.439
1547219286070,2019-01-11T16:08:06.070,1.120,-1.707,-4.817,-1.463
1547219286110,2019-01-11T16:08:06.110,1.160,7.561,-1.402,-0.549
1547219286150,2019-01-11T16:08:06.150,1.200,6.768,0.549,-4.878
1547219286190,2019-01-11T16:08:06.190,1.240,-5.122,4.634,-8.720
1547219286230,2019-01-11T16:08:06.230,1.280,4.573,-3.171,-0.610
1547219286270,2019-01-11T16:08:06.270,1.320,6.524,-6.890,9.634
1547219286310,2019-01-11T16:08:06.310,1.360,-7.744,7.439,-7.683
1547219286350,2019-01-11T16:08:06.350,1.400,-9.573,16.585,-16.220
1547219286390,2019-01-11T16:08:06.390,1.440,8.537,12.134,-17.439
1547219286430,2019-01-11T16:08:06.430,1.480,7.744,21.159,-25.549
1547219286470,2019-01-11T16:08:06.470,1.520,24.207,16.951,-40.000
1547219286510,2019-01-11T16:08:06.510,1.560,15.976,0.366,-14.634
1547219286550,2019-01-11T16:08:06.550,1.600,33.841,-7.561,-25.122
1547219286590,2019-01-11T16:08:06.590,1.640,26.707,9.939,-35.793
1547219286630,2019-01-11T16:08:06.630,1.680,30.854,12.378,-34.573
1547219286670,2019-01-11T16:08:06.670,1.720,17.561,0.976,-6.585
1547219286710,2019-01-11T16:08:06.710,1.760,31.159,-13.049,-8.659
1547219286750,2019-01-11T16:08:06.750,1.800,9.878,4.878,-9.756
1547219286790,2019-01-11T16:08:06.790,1.840,-1.829,2.805,-28.354
1547219286830,2019-01-11T16:08:06.830,1.880,3.171,14.451,-9.695
1547219286870,2019-01-11T16:08:06.870,1.920,2.927,4.268,0.793
1547219286910,2019-01-11T16:08:06.910,1.960,1.707,-12.012,-1.037
1547219286950,2019-01-11T16:08:06.950,2.000,-20.976,0.671,4.146
1547219286990,2019-01-11T16:08:06.990,2.040,-22.988,-14.146,3.780
1547219287030,2019-01-11T16:08:07.030,2.080,-27.134,0.488,13.171
1547219287070,2019-01-11T16:08:07.070,2.120,-24.512,-18.354,20.305
1547219287110,2019-01-11T16:08:07.110,2.160,-25.244,-5.793,21.585
1547219287150,2019-01-11T16:08:07.150,2.200,-35.610,-13.720,22.744
1547219287190,2019-01-11T16:08:07.190,2.240,-30.915,-13.659,25.061
1547219287230,2019-01-11T16:08:07.230,2.280,-22.134,-25.488,20.854
1547219287270,2019-01-11T16:08:07.270,2.320,-18.720,-28.110,0.427
1547219287310,2019-01-11T16:08:07.310,2.360,-25.915,-6.402,-16.829
1547219287350,2019-01-11T16:08:07.350,2.400,8.537,4.207,-12.378
1547219287390,2019-01-11T16:08:07.390,2.440,37.683,9.207,-8.780
1547219287430,2019-01-11T16:08:07.430,2.480,43.415,23.780,-26.220
1547219287470,2019-01-11T16:08:07.470,2.520,42.073,10.793,-18.537
1547219287510,2019-01-11T16:08:07.510,2.560,47.012,16.707,-12.134
1547219287550,2019-01-11T16:08:07.550,2.600,32.500,16.098,-9.390
1547219287590,2019-01-11T16:08:07.590,2.640,12.744,-9.512,-19.756
1547219287630,2019-01-11T16:08:07.630,2.680,7.073,-1.220,-7.378
1547219287670,2019-01-11T16:08:07.670,2.720,9.939,-6.402,12.256
1547219287710,2019-01-11T16:08:07.710,2.760,-0.915,2.988,-2.134
1547219287750,2019-01-11T16:08:07.750,2.800,3.476,1.098,5.732
1547219287790,2019-01-11T16:08:07.790,2.840,4.878,2.134,-9.146
1547219287830,2019-01-11T16:08:07.830,2.880,1.159,7.561,-2.866
1547219287870,2019-01-11T16:08:07.870,2.920,1.159,-3.232,3.049
1547219287910,2019-01-11T16:08:07.910,2.960,1.280,1.159,12.256
1547219287950,2019-01-11T16:08:07.950,3.000,-3.720,-7.927,14.512
1547219287990,2019-01-11T16:08:07.990,3.040,-5.183,-8.476,29.817
1547219288030,2019-01-11T16:08:08.030,3.080,-19.268,-0.549,10.976
1547219288070,2019-01-11T16:08:08.070,3.120,-25.610,-7.500,11.098
1547219288110,2019-01-11T16:08:08.110,3.160,-24.817,-15.793,32.012
1547219288150,2019-01-11T16:08:08.150,3.200,-31.159,-18.902,35.000
1547219288190,2019-01-11T16:08:08.190,3.240,-41.280,-22.683,37.256
1547219288230,2019-01-11T16:08:08.230,3.280,-47.683,-18.780,39.878
1547219288270,2019-01-11T16:08:08.270,3.320,-39.939,-18.537,43.171
1547219288310,2019-01-11T16:08:08.310,3.360,-35.488,-5.061,38.659
1547219288350,2019-01-11T16:08:08.350,3.400,-6.951,12.317,-6.280
1547219288390,2019-01-11T16:08:08.390,3.440,-7.561,-1.463,-1.402
1547219288430,2019-01-11T16:08:08.430,3.480,4.024,-15.488,26.829
1547219288470,2019-01-11T16:08:08.470,3.520,16.524,10.488,-29.085
1547219288510,2019-01-11T16:08:08.510,3.560,7.378,10.549,-22.439
1547219288550,2019-01-11T16:08:08.550,3.600,18.537,-6.768,5.793
1547219288590,2019-01-11T16:08:08.590,3.640,13.963,-0.549,-8.110
1547219288630,2019-01-11T16:08:08.630,3.680,-11.951,2.805,2.256
1547219288670,2019-01-11T16:08:08.670,3.720,-11.707,4.939,-5.305
1547219288710,2019-01-11T16:08:08.710,3.760,-5.488,-3.841,1.646
1547219288750,2019-01-11T16:08:08.750,3.800,-5.427,-5.061,8.659
1547219288790,2019-01-11T16:08:08.790,3.840,1.890,-2.439,-5.549
1547219288830,2019-01-11T16:08:08.830,3.880,4.878,-2.683,-4.390
1547219288870,2019-01-11T16:08:08.870,3.920,10.549,-6.037,-3.415
1547219288910,2019-01-11T16:08:08.910,3.960,1.159,-6.098,1.646
1547219288950,2019-01-11T16:08:08.950,4.000,-4.878,-1.768,-0.549
1547219288990,2019-01-11T16:08:08.990,4.040,-5.366,1.463,0.549
1547219289030,2019-01-11T16:08:09.030,4.080,-0.549,2.073,4.756
1547219289070,2019-01-11T16:08:09.070,4.120,8.232,-8.902,3.963
1547219289110,2019-01-11T16:08:09.110,4.160,13.537,-7.134,3.720
1547219289150,2019-01-11T16:08:09.150,4.200,4.695,0.549,0.427
1547219289190,2019-01-11T16:08:09.190,4.240,-1.585,3.171,-2.561
1547219289230,2019-01-11T16:08:09.230,4.280,5.549,-1.280,-0.854
1547219289270,2019-01-11T16:08:09.270,4.320,3.354,-5.732,6.524
1547219289310,2019-01-11T16:08:09.310,4.360,-0.793,-0.610,-1.159
1547219289350,2019-01-11T16:08:09.350,4.400,5.244,-5.000,2.866
1547219289390,2019-01-11T16:08:09.390,4.440,0.915,-2.073,1.951
1547219289430,2019-01-11T16:08:09.430,4.480,-3.293,-1.341,-0.488
1547219289470,2019-01-11T16:08:09.470,4.520,2.927,-2.866,-0.854
1547219289510,2019-01-11T16:08:09.510,4.560,2.866,-3.110,3.415
1547219289550,2019-01-11T16:08:09.550,4.600,5.122,-1.402,-0.732
1547219289590,2019-01-11T16:08:09.590,4.640,3.171,1.159,0.610
1547219289630,2019-01-11T16:08:09.630,4.680,-0.122,5.000,-7.805
1547219289670,2019-01-11T16:08:09.670,4.720,0.732,4.634,-9.024
1547219289710,2019-01-11T16:08:09.710,4.760,5.427,-6.098,1.890
1547219289750,2019-01-11T16:08:09.750,4.800,3.841,-2.378,0.671
1547219289790,2019-01-11T16:08:09.790,4.840,0.915,12.439,-5.061
1547219289830,2019-01-11T16:08:09.830,4.880,16.341,19.573,-18.659
1547219289870,2019-01-11T16:08:09.870,4.920,21.159,2.439,-7.439
1547219289910,2019-01-11T16:08:09.910,4.960,27.256,11.524,-14.634
1547219289950,2019-01-11T16:08:09.950,5.000,34.512,14.878,-40.122
1547219289990,2019-01-11T16:08:09.990,5.040,34.756,10.732,-30.671
1547219290030,2019-01-11T16:08:10.030,5.080,41.159,10.854,-24.695
1547219290070,2019-01-11T16:08:10.070,5.120,43.476,8.780,-23.720
1547219290110,2019-01-11T16:08:10.110,5.160,24.146,2.134,-11.037
1547219290150,2019-01-11T16:08:10.150,5.200,14.451,2.683,-8.841
1547219290190,2019-01-11T16:08:10.190,5.240,16.341,0.915,3.232
1547219290230,2019-01-11T16:08:10.230,5.280,6.768,6.524,-13.841
1547219290270,2019-01-11T16:08:10.270,5.320,-6.159,0.000,-9.878
1547219290310,2019-01-11T16:08:10.310,5.360,4.390,-7.683,5.427
1547219290350,2019-01-11T16:08:10.350,5.400,3.354,-12.134,5.732
1547219290390,2019-01-11T16:08:10.390,5.440,-17.866,-9.329,8.354
1547219290430,2019-01-11T16:08:10.430,5.480,-26.159,-10.305,0.061
1547219290470,2019-01-11T16:08:10.470,5.520,-15.000,6.280,21.951
