epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547219525287,2019-01-11T16:12:05.287,0.000,0.031,0.974,0.026
1547219525367,2019-01-11T16:12:05.367,0.080,0.034,0.986,0.021
1547219525447,2019-01-11T16:12:05.447,0.160,0.000,0.927,0.018
1547219525527,2019-01-11T16:12:05.527,0.240,0.004,0.780,-0.075
1547219525607,2019-01-11T16:12:05.607,0.320,-0.027,0.701,-0.047
1547219525687,2019-01-11T16:12:05.687,0.400,-0.076,0.763,-0.105
1547219525767,2019-01-11T16:12:05.767,0.480,-0.100,0.921,-0.125
1547219525847,2019-01-11T16:12:05.847,0.560,-0.193,0.916,-0.148
1547219525927,2019-01-11T16:12:05.927,0.640,-0.231,0.886,-0.187
1547219526007,2019-01-11T16:12:06.007,0.720,-0.232,0.875,-0.140
1547219526087,2019-01-11T16:12:06.087,0.800,-0.234,0.894,-0.132
1547219526167,2019-01-11T16:12:06.167,0.880,-0.271,0.954,-0.068
1547219526247,2019-01-11T16:12:06.247,0.960,-0.248,0.973,-0.011
1547219526327,2019-01-11T16:12:06.327,1.040,-0.234,1.358,-0.005
1547219526407,2019-01-11T16:12:06.407,1.120,-0.259,1.688,0.035
1547219526487,2019-01-11T16:12:06.487,1.200,-0.280,1.347,0.102
1547219526567,2019-01-11T16:12:06.567,1.280,-0.109,0.867,-0.106
1547219526647,2019-01-11T16:12:06.647,1.360,-0.247,0.866,-0.029
1547219526727,2019-01-11T16:12:06.727,1.440,-0.216,0.922,-0.126
1547219526807,2019-01-11T16:12:06.807,1.520,-0.272,0.916,-0.089
1547219526887,2019-01-11T16:12:06.887,1.600,-0.235,0.921,-0.155
1547219526967,2019-01-11T16:12:06.967,1.680,-0.294,0.933,-0.111
1547219527047,2019-01-11T16:12:07.047,1.760,-0.250,0.906,-0.063
1547219527127,2019-01-11T16:12:07.127,1.840,-0.254,0.959,-0.128
1547219527207,2019-01-11T16:12:07.207,1.920,-0.275,0.961,-0.076
1547219527287,2019-01-11T16:12:07.287,2.000,-0.227,1.026,-0.132
1547219527367,2019-01-11T16:12:07.367,2.080,-0.202,1.025,-0.052
1547219527447,2019-01-11T16:12:07.447,2.160,-0.100,1.033,-0.065
1547219527527,2019-01-11T16:12:07.527,2.240,-0.131,0.730,0.109
1547219527607,2019-01-11T16:12:07.607,2.320,0.010,0.563,-0.113
1547219527687,2019-01-11T16:12:07.687,2.400,-0.015,0.676,-0.033
1547219527767,2019-01-11T16:12:07.767,2.480,-0.010,1.085,0.102
1547219527847,2019-01-11T16:12:07.847,2.560,-0.072,1.137,0.070
1547219527927,2019-01-11T16:12:07.927,2.640,-0.060,0.959,-0.021
1547219528007,2019-01-11T16:12:08.007,2.720,-0.061,0.778,0.025
1547219528087,2019-01-11T16:12:08.087,2.800,-0.106,0.607,-0.069
1547219528167,2019-01-11T16:12:08.167,2.880,-0.107,0.651,-0.062
1547219528247,2019-01-11T16:12:08.247,2.960,-0.143,0.842,-0.100
1547219528327,2019-01-11T16:12:08.327,3.040,-0.190,1.014,-0.212
1547219528407,2019-01-11T16:12:08.407,3.120,-0.265,0.936,-0.115
1547219528487,2019-01-11T16:12:08.487,3.200,-0.306,0.948,-0.079
1547219528567,2019-01-11T16:12:08.567,3.280,-0.240,0.927,-0.097
1547219528647,2019-01-11T16:12:08.647,3.360,-0.308,0.973,0.063
1547219528727,2019-01-11T16:12:08.727,3.440,-0.338,1.459,-0.012
1547219528807,2019-01-11T16:12:08.807,3.520,-0.373,1.734,-0.016
1547219528887,2019-01-11T16:12:08.887,3.600,-0.297,1.237,0.052
1547219528967,2019-01-11T16:12:08.967,3.680,-0.174,0.807,-0.076
1547219529047,2019-01-11T16:12:09.047,3.760,-0.242,0.827,-0.066
1547219529127,2019-01-11T16:12:09.127,3.840,-0.220,0.906,-0.178
1547219529207,2019-01-11T16:12:09.207,3.920,-0.243,0.932,-0.197
1547219529287,2019-01-11T16:12:09.287,4.000,-0.255,0.931,-0.175
1547219529367,2019-01-11T16:12:09.367,4.080,-0.237,0.964,-0.205
1547219529447,2019-01-11T16:12:09.447,4.160,-0.208,0.940,-0.163
1547219529527,2019-01-11T16:12:09.527,4.240,-0.243,0.925,-0.067
1547219529607,2019-01-11T16:12:09.607,4.320,-0.182,0.997,-0.136
1547219529687,2019-01-11T16:12:09.687,4.400,-0.182,1.011,-0.081
1547219529767,2019-01-11T16:12:09.767,4.480,-0.114,1.063,-0.046
1547219529847,2019-01-11T16:12:09.847,4.560,-0.102,0.870,0.076
1547219529927,2019-01-11T16:12:09.927,4.640,-0.029,0.472,-0.049
1547219530007,2019-01-11T16:12:10.007,4.720,0.033,0.644,-0.087
1547219530087,2019-01-11T16:12:10.087,4.800,-0.020,1.094,0.093
1547219530167,2019-01-11T16:12:10.167,4.880,-0.047,1.203,0.064
1547219530247,2019-01-11T16:12:10.247,4.960,-0.006,0.909,-0.001
1547219530327,2019-01-11T16:12:10.327,5.040,-0.036,0.544,-0.052
1547219530407,2019-01-11T16:12:10.407,5.120,-0.065,0.536,-0.050
1547219530487,2019-01-11T16:12:10.487,5.200,-0.103,0.684,-0.142
1547219530567,2019-01-11T16:12:10.567,5.280,-0.177,0.894,-0.095
1547219530647,2019-01-11T16:12:10.647,5.360,-0.263,1.006,-0.143
1547219530727,2019-01-11T16:12:10.727,5.440,-0.285,0.999,-0.118
1547219530807,2019-01-11T16:12:10.807,5.520,-0.203,0.976,-0.062
1547219530887,2019-01-11T16:12:10.887,5.600,-0.262,1.077,0.074
1547219530967,2019-01-11T16:12:10.967,5.680,-0.271,1.635,0.001
1547219531047,2019-01-11T16:12:11.047,5.760,-0.324,1.708,0.131
1547219531127,2019-01-11T16:12:11.127,5.840,-0.199,1.072,0.017
1547219531207,2019-01-11T16:12:11.207,5.920,-0.134,0.763,-0.016
1547219531287,2019-01-11T16:12:11.287,6.000,-0.239,0.846,-0.037
1547219531367,2019-01-11T16:12:11.367,6.080,-0.219,0.860,-0.093
1547219531447,2019-01-11T16:12:11.447,6.160,-0.233,0.901,-0.081
1547219531527,2019-01-11T16:12:11.527,6.240,-0.247,0.944,-0.129
1547219531607,2019-01-11T16:12:11.607,6.320,-0.277,0.951,-0.065
1547219531687,2019-01-11T16:12:11.687,6.400,-0.248,0.966,-0.144
1547219531767,2019-01-11T16:12:11.767,6.480,-0.239,0.972,-0.129
1547219531847,2019-01-11T16:12:11.847,6.560,-0.259,1.000,-0.146
1547219531927,2019-01-11T16:12:11.927,6.640,-0.270,0.943,-0.062
1547219532007,2019-01-11T16:12:12.007,6.720,-0.223,0.919,-0.093
1547219532087,2019-01-11T16:12:12.087,6.800,-0.191,0.965,-0.089
1547219532167,2019-01-11T16:12:12.167,6.880,-0.240,1.049,-0.017
1547219532247,2019-01-11T16:12:12.247,6.960,-0.106,1.073,-0.005
1547219532327,2019-01-11T16:12:12.327,7.040,-0.102,0.651,0.112
1547219532407,2019-01-11T16:12:12.407,7.120,0.050,0.559,-0.247
1547219532487,2019-01-11T16:12:12.487,7.200,0.030,0.755,0.009
1547219532567,2019-01-11T16:12:12.567,7.280,-0.089,1.205,0.139
1547219532647,2019-01-11T16:12:12.647,7.360,-0.037,1.118,-0.018
1547219532727,2019-01-11T16:12:12.727,7.440,-0.088,0.574,-0.012
1547219532807,2019-01-11T16:12:12.807,7.520,-0.040,0.456,-0.130
1547219532887,2019-01-11T16:12:12.887,7.600,-0.125,0.685,-0.092
1547219532967,2019-01-11T16:12:12.967,7.680,-0.212,0.968,-0.156
1547219533047,2019-01-11T16:12:13.047,7.760,-0.266,1.008,-0.158
1547219533127,2019-01-11T16:12:13.127,7.840,-0.291,0.977,-0.144
1547219533207,2019-01-11T16:12:13.207,7.920,-0.261,0.988,-0.083
1547219533287,2019-01-11T16:12:13.287,8.000,-0.264,1.059,-0.037
1547219533367,2019-01-11T16:12:13.367,8.080,-0.304,1.514,0.004
1547219533447,2019-01-11T16:12:13.447,8.160,-0.332,1.660,0.076
1547219533527,2019-01-11T16:12:13.527,8.240,-0.245,1.130,0.003
1547219533607,2019-01-11T16:12:13.607,8.320,-0.183,0.806,-0.071
1547219533687,2019-01-11T16:12:13.687,8.400,-0.215,0.829,-0.091
1547219533767,2019-01-11T16:12:13.767,8.480,-0.220,0.855,-0.096
1547219533847,2019-01-11T16:12:13.847,8.560,-0.273,0.879,-0.076
1547219533927,2019-01-11T16:12:13.927,8.640,-0.246,0.931,-0.153
1547219534007,2019-01-11T16:12:14.007,8.720,-0.284,0.963,-0.138
