epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547221363566,2019-01-11T16:42:43.566,0.000,-0.136,0.986,-0.053
1547221363646,2019-01-11T16:42:43.646,0.080,-0.143,0.977,-0.053
1547221363726,2019-01-11T16:42:43.726,0.160,-0.187,0.935,0.039
1547221363806,2019-01-11T16:42:43.806,0.240,-0.152,0.958,-0.075
1547221363886,2019-01-11T16:42:43.886,0.320,-0.143,0.944,0.010
1547221363966,2019-01-11T16:42:43.966,0.400,-0.176,0.931,0.100
1547221364046,2019-01-11T16:42:44.046,0.480,-0.174,0.894,0.008
1547221364126,2019-01-11T16:42:44.126,0.560,-0.137,0.802,-0.006
1547221364206,2019-01-11T16:42:44.206,0.640,-0.145,0.963,0.055
1547221364286,2019-01-11T16:42:44.286,0.720,-0.198,1.498,0.057
1547221364366,2019-01-11T16:42:44.366,0.800,-0.268,1.673,0.042
1547221364446,2019-01-11T16:42:44.446,0.880,-0.288,1.279,-0.118
1547221364526,2019-01-11T16:42:44.526,0.960,-0.332,0.952,-0.131
1547221364606,2019-01-11T16:42:44.606,1.040,-0.245,0.835,-0.250
1547221364686,2019-01-11T16:42:44.686,1.120,-0.271,0.715,-0.211
1547221364766,2019-01-11T16:42:44.766,1.200,-0.331,0.745,-0.277
1547221364846,2019-01-11T16:42:44.846,1.280,-0.299,0.841,-0.322
1547221364926,2019-01-11T16:42:44.926,1.360,-0.350,0.902,-0.346
1547221365006,2019-01-11T16:42:45.006,1.440,-0.317,0.869,-0.213
1547221365086,2019-01-11T16:42:45.086,1.520,-0.274,0.827,-0.101
1547221365166,2019-01-11T16:42:45.166,1.600,-0.162,0.654,0.005
1547221365246,2019-01-11T16:42:45.246,1.680,-0.153,0.625,-0.060
1547221365326,2019-01-11T16:42:45.326,1.760,-0.199,0.756,0.082
1547221365406,2019-01-11T16:42:45.406,1.840,-0.141,0.950,0.009
1547221365486,2019-01-11T16:42:45.486,1.920,-0.154,1.009,0.086
1547221365566,2019-01-11T16:42:45.566,2.000,-0.110,0.961,0.026
1547221365646,2019-01-11T16:42:45.646,2.080,-0.108,0.955,0.059
1547221365726,2019-01-11T16:42:45.726,2.160,-0.161,0.962,0.111
1547221365806,2019-01-11T16:42:45.806,2.240,-0.195,0.958,0.118
1547221365886,2019-01-11T16:42:45.886,2.320,-0.160,0.952,0.101
1547221365966,2019-01-11T16:42:45.966,2.400,-0.119,0.958,0.032
1547221366046,2019-01-11T16:42:46.046,2.480,-0.137,0.943,0.039
1547221366126,2019-01-11T16:42:46.126,2.560,-0.136,0.969,0.032
1547221366206,2019-01-11T16:42:46.206,2.640,-0.136,0.964,0.010
1547221366286,2019-01-11T16:42:46.286,2.720,-0.107,0.955,-0.019
1547221366366,2019-01-11T16:42:46.366,2.800,-0.143,0.856,-0.026
1547221366446,2019-01-11T16:42:46.446,2.880,-0.127,0.653,-0.042
1547221366526,2019-01-11T16:42:46.526,2.960,-0.083,0.646,-0.133
1547221366606,2019-01-11T16:42:46.606,3.040,-0.180,0.810,-0.146
1547221366686,2019-01-11T16:42:46.686,3.120,-0.246,1.012,-0.281
1547221366766,2019-01-11T16:42:46.766,3.200,-0.285,0.940,-0.299
1547221366846,2019-01-11T16:42:46.846,3.280,-0.234,0.855,-0.382
1547221366926,2019-01-11T16:42:46.926,3.360,-0.211,0.810,-0.323
1547221367006,2019-01-11T16:42:47.006,3.440,-0.292,0.899,-0.296
1547221367086,2019-01-11T16:42:47.086,3.520,-0.287,0.872,-0.314
1547221367166,2019-01-11T16:42:47.166,3.600,-0.335,0.924,-0.399
1547221367246,2019-01-11T16:42:47.246,3.680,-0.263,0.944,-0.315
1547221367326,2019-01-11T16:42:47.326,3.760,-0.309,0.967,-0.257
1547221367406,2019-01-11T16:42:47.406,3.840,-0.296,1.011,-0.238
1547221367486,2019-01-11T16:42:47.486,3.920,-0.293,1.004,-0.179
1547221367566,2019-01-11T16:42:47.566,4.000,-0.245,1.037,-0.169
1547221367646,2019-01-11T16:42:47.646,4.080,-0.249,0.974,0.037
1547221367726,2019-01-11T16:42:47.726,4.160,-0.176,1.145,-0.026
1547221367806,2019-01-11T16:42:47.806,4.240,-0.208,1.383,-0.024
1547221367886,2019-01-11T16:42:47.886,4.320,-0.225,1.406,-0.174
1547221367966,2019-01-11T16:42:47.966,4.400,-0.271,1.160,-0.146
1547221368046,2019-01-11T16:42:48.046,4.480,-0.295,1.020,-0.250
1547221368126,2019-01-11T16:42:48.126,4.560,-0.293,0.874,-0.293
1547221368206,2019-01-11T16:42:48.206,4.640,-0.325,0.839,-0.330
1547221368286,2019-01-11T16:42:48.286,4.720,-0.333,0.799,-0.283
1547221368366,2019-01-11T16:42:48.366,4.800,-0.316,0.758,-0.232
1547221368446,2019-01-11T16:42:48.446,4.880,-0.332,0.804,-0.243
1547221368526,2019-01-11T16:42:48.526,4.960,-0.308,0.848,-0.200
1547221368606,2019-01-11T16:42:48.606,5.040,-0.302,0.869,-0.191
1547221368686,2019-01-11T16:42:48.686,5.120,-0.330,0.771,-0.085
1547221368766,2019-01-11T16:42:48.766,5.200,-0.259,0.893,-0.103
1547221368846,2019-01-11T16:42:48.846,5.280,-0.213,0.971,0.003
1547221368926,2019-01-11T16:42:48.926,5.360,-0.160,0.809,0.026
1547221369006,2019-01-11T16:42:49.006,5.440,-0.116,0.599,-0.106
1547221369086,2019-01-11T16:42:49.086,5.520,-0.026,0.821,-0.024
1547221369166,2019-01-11T16:42:49.166,5.600,-0.113,1.128,0.040
1547221369246,2019-01-11T16:42:49.246,5.680,-0.055,1.068,-0.052
1547221369326,2019-01-11T16:42:49.326,5.760,-0.081,0.867,-0.061
1547221369406,2019-01-11T16:42:49.406,5.840,-0.073,0.923,-0.028
1547221369486,2019-01-11T16:42:49.486,5.920,-0.116,1.023,0.020
