epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547221363444,2019-01-11T16:42:43.444,0.000,-6.768,5.427,-0.610
1547221363484,2019-01-11T16:42:43.484,0.040,-7.317,4.329,-2.500
1547221363524,2019-01-11T16:42:43.524,0.080,-6.037,-1.220,1.037
1547221363564,2019-01-11T16:42:43.564,0.120,2.927,-11.463,2.927
1547221363604,2019-01-11T16:42:43.604,0.160,8.415,-9.695,3.049
1547221363644,2019-01-11T16:42:43.644,0.200,-3.354,0.549,5.488
1547221363684,2019-01-11T16:42:43.684,0.240,-21.524,13.354,-1.646
1547221363724,2019-01-11T16:42:43.724,0.280,-31.220,19.878,-10.366
1547221363764,2019-01-11T16:42:43.764,0.320,-21.768,-3.780,-7.500
1547221363804,2019-01-11T16:42:43.804,0.360,8.171,-17.805,0.183
1547221363844,2019-01-11T16:42:43.844,0.400,16.768,-21.402,6.890
1547221363884,2019-01-11T16:42:43.884,0.440,-1.098,-11.280,8.354
1547221363924,2019-01-11T16:42:43.924,0.480,-3.232,-1.646,0.427
1547221363964,2019-01-11T16:42:43.964,0.520,-4.024,4.573,-2.134
1547221364004,2019-01-11T16:42:44.004,0.560,4.207,2.683,-3.598
1547221364044,2019-01-11T16:42:44.044,0.600,15.549,3.110,-1.280
1547221364084,2019-01-11T16:42:44.084,0.640,18.354,1.098,4.451
1547221364124,2019-01-11T16:42:44.124,0.680,7.500,-6.463,10.854
1547221364164,2019-01-11T16:42:44.164,0.720,-14.634,-14.268,11.341
1547221364204,2019-01-11T16:42:44.204,0.760,-47.561,-27.317,-5.366
1547221364244,2019-01-11T16:42:44.244,0.800,-52.622,-33.049,4.939
1547221364284,2019-01-11T16:42:44.284,0.840,-6.707,-6.098,13.415
1547221364324,2019-01-11T16:42:44.324,0.880,45.366,30.854,-10.671
1547221364364,2019-01-11T16:42:44.364,0.920,83.476,49.695,-43.293
1547221364404,2019-01-11T16:42:44.404,0.960,133.841,69.756,-63.354
1547221364444,2019-01-11T16:42:44.444,1.000,128.537,65.976,-55.976
1547221364484,2019-01-11T16:42:44.484,1.040,72.683,6.280,-64.695
1547221364524,2019-01-11T16:42:44.524,1.080,29.451,-20.000,-65.366
1547221364564,2019-01-11T16:42:44.564,1.120,14.329,12.927,-39.451
1547221364604,2019-01-11T16:42:44.604,1.160,13.902,32.500,-21.341
1547221364644,2019-01-11T16:42:44.644,1.200,8.720,24.634,-0.549
1547221364684,2019-01-11T16:42:44.684,1.240,2.195,31.951,-7.805
1547221364724,2019-01-11T16:42:44.724,1.280,4.695,0.183,4.390
1547221364764,2019-01-11T16:42:44.764,1.320,1.890,-53.049,5.427
1547221364804,2019-01-11T16:42:44.804,1.360,-2.500,7.439,1.585
1547221364844,2019-01-11T16:42:44.844,1.400,-20.000,-9.451,13.110
1547221364884,2019-01-11T16:42:44.884,1.440,-45.976,-23.720,2.256
1547221364924,2019-01-11T16:42:44.924,1.480,-64.085,-2.378,9.329
1547221364964,2019-01-11T16:42:44.964,1.520,-73.720,4.207,7.805
1547221365004,2019-01-11T16:42:45.004,1.560,-90.793,-5.732,13.537
1547221365044,2019-01-11T16:42:45.044,1.600,-105.305,-21.524,23.415
1547221365084,2019-01-11T16:42:45.084,1.640,-81.463,-6.524,39.817
1547221365124,2019-01-11T16:42:45.124,1.680,-70.671,7.317,47.622
1547221365164,2019-01-11T16:42:45.164,1.720,-19.695,-9.573,61.280
1547221365204,2019-01-11T16:42:45.204,1.760,35.305,-14.329,62.317
1547221365244,2019-01-11T16:42:45.244,1.800,29.878,-47.134,38.232
1547221365284,2019-01-11T16:42:45.284,1.840,-1.341,-6.341,13.963
1547221365324,2019-01-11T16:42:45.324,1.880,-1.768,13.415,2.073
1547221365364,2019-01-11T16:42:45.364,1.920,11.280,-6.159,5.793
1547221365404,2019-01-11T16:42:45.404,1.960,4.451,-11.585,6.280
1547221365444,2019-01-11T16:42:45.444,2.000,-15.793,17.744,-7.866
1547221365484,2019-01-11T16:42:45.484,2.040,-26.159,9.390,-3.780
1547221365524,2019-01-11T16:42:45.524,2.080,-12.988,-8.537,-1.768
1547221365564,2019-01-11T16:42:45.564,2.120,-2.927,1.341,-1.159
1547221365604,2019-01-11T16:42:45.604,2.160,-0.305,-2.073,2.195
1547221365644,2019-01-11T16:42:45.644,2.200,17.317,0.122,7.805
1547221365684,2019-01-11T16:42:45.684,2.240,17.439,-7.500,7.134
1547221365724,2019-01-11T16:42:45.724,2.280,8.354,-0.854,8.049
1547221365764,2019-01-11T16:42:45.764,2.320,5.793,-0.915,2.622
1547221365804,2019-01-11T16:42:45.804,2.360,6.707,-1.768,1.890
1547221365844,2019-01-11T16:42:45.844,2.400,2.378,-6.829,-1.280
1547221365884,2019-01-11T16:42:45.884,2.440,0.793,1.037,-1.159
1547221365924,2019-01-11T16:42:45.924,2.480,8.110,-1.037,0.915
1547221365964,2019-01-11T16:42:45.964,2.520,12.073,-2.317,7.927
1547221366004,2019-01-11T16:42:46.004,2.560,16.098,-2.561,6.402
1547221366044,2019-01-11T16:42:46.044,2.600,13.110,-1.402,4.878
1547221366084,2019-01-11T16:42:46.084,2.640,10.305,-8.659,8.110
1547221366124,2019-01-11T16:42:46.124,2.680,8.293,-7.317,0.671
1547221366164,2019-01-11T16:42:46.164,2.720,1.585,-1.463,-6.585
1547221366204,2019-01-11T16:42:46.204,2.760,0.427,-1.829,-2.195
1547221366244,2019-01-11T16:42:46.244,2.800,11.341,-11.159,3.476
1547221366284,2019-01-11T16:42:46.284,2.840,18.354,-22.073,0.122
1547221366324,2019-01-11T16:42:46.324,2.880,20.427,-25.061,-11.098
1547221366364,2019-01-11T16:42:46.364,2.920,15.610,4.451,-38.171
1547221366404,2019-01-11T16:42:46.404,2.960,14.268,17.134,-48.171
1547221366444,2019-01-11T16:42:46.444,3.000,37.622,19.085,-32.561
1547221366484,2019-01-11T16:42:46.484,3.040,65.061,2.683,-15.122
1547221366524,2019-01-11T16:42:46.524,3.080,68.293,7.317,-11.829
1547221366564,2019-01-11T16:42:46.564,3.120,60.305,37.622,-12.744
1547221366604,2019-01-11T16:42:46.604,3.160,55.427,25.488,-5.610
1547221366644,2019-01-11T16:42:46.644,3.200,52.256,-0.305,12.317
1547221366684,2019-01-11T16:42:46.684,3.240,41.890,-12.622,0.854
1547221366724,2019-01-11T16:42:46.724,3.280,21.280,-7.927,-15.976
1547221366764,2019-01-11T16:42:46.764,3.320,7.012,-14.573,-25.427
1547221366804,2019-01-11T16:42:46.804,3.360,2.805,-3.659,-28.598
1547221366844,2019-01-11T16:42:46.844,3.400,7.622,-8.293,-4.512
1547221366884,2019-01-11T16:42:46.884,3.440,15.000,-8.902,10.000
1547221366924,2019-01-11T16:42:46.924,3.480,10.122,-2.866,1.098
1547221366964,2019-01-11T16:42:46.964,3.520,8.049,0.305,-6.585
1547221367004,2019-01-11T16:42:47.004,3.560,2.500,7.195,-6.463
1547221367044,2019-01-11T16:42:47.044,3.600,-0.427,8.171,3.963
1547221367084,2019-01-11T16:42:47.084,3.640,2.683,-9.268,12.012
1547221367124,2019-01-11T16:42:47.124,3.680,-3.902,-16.341,4.939
1547221367164,2019-01-11T16:42:47.164,3.720,-25.793,-15.732,-0.976
1547221367204,2019-01-11T16:42:47.204,3.760,-27.805,-21.280,8.171
1547221367244,2019-01-11T16:42:47.244,3.800,-27.073,-12.134,17.561
1547221367284,2019-01-11T16:42:47.284,3.840,-38.720,-17.134,5.305
1547221367324,2019-01-11T16:42:47.324,3.880,-54.146,-5.976,-1.890
1547221367364,2019-01-11T16:42:47.364,3.920,-52.744,4.634,2.317
1547221367404,2019-01-11T16:42:47.404,3.960,-52.012,-6.098,5.000
1547221367444,2019-01-11T16:42:47.444,4.000,-57.439,-3.293,16.098
1547221367484,2019-01-11T16:42:47.484,4.040,-57.500,-18.110,24.146
1547221367524,2019-01-11T16:42:47.524,4.080,-30.061,-23.415,31.646
1547221367564,2019-01-11T16:42:47.564,4.120,-23.415,-11.829,34.085
1547221367604,2019-01-11T16:42:47.604,4.160,-35.549,-19.634,22.927
1547221367644,2019-01-11T16:42:47.644,4.200,-17.988,-24.573,11.402
1547221367684,2019-01-11T16:42:47.684,4.240,-8.110,-13.780,20.305
1547221367724,2019-01-11T16:42:47.724,4.280,4.573,-4.695,16.159
1547221367764,2019-01-11T16:42:47.764,4.320,19.573,-0.732,-4.085
1547221367804,2019-01-11T16:42:47.804,4.360,34.817,27.073,-20.488
1547221367844,2019-01-11T16:42:47.844,4.400,69.939,30.366,-24.878
1547221367884,2019-01-11T16:42:47.884,4.440,92.439,14.878,-28.049
1547221367924,2019-01-11T16:42:47.924,4.480,83.110,15.122,-33.293
1547221367964,2019-01-11T16:42:47.964,4.520,62.012,17.256,-37.805
1547221368004,2019-01-11T16:42:48.004,4.560,47.378,28.171,-38.720
1547221368044,2019-01-11T16:42:48.044,4.600,37.683,5.122,-35.061
