epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222153763,2019-01-11T16:55:53.763,0.000,-0.202,0.938,-0.029
1547222153843,2019-01-11T16:55:53.843,0.080,-0.190,1.024,-0.093
1547222153923,2019-01-11T16:55:53.923,0.160,-0.137,0.959,-0.101
1547222154003,2019-01-11T16:55:54.003,0.240,-0.148,0.891,0.000
1547222154083,2019-01-11T16:55:54.083,0.320,-0.157,0.929,-0.029
1547222154163,2019-01-11T16:55:54.163,0.400,-0.155,0.931,-0.038
1547222154243,2019-01-11T16:55:54.243,0.480,-0.196,1.272,-0.126
1547222154323,2019-01-11T16:55:54.323,0.560,-0.308,1.628,-0.167
1547222154403,2019-01-11T16:55:54.403,0.640,-0.347,1.387,-0.235
1547222154483,2019-01-11T16:55:54.483,0.720,-0.370,1.079,-0.282
1547222154563,2019-01-11T16:55:54.563,0.800,-0.386,0.878,-0.342
1547222154643,2019-01-11T16:55:54.643,0.880,-0.322,0.748,-0.329
1547222154723,2019-01-11T16:55:54.723,0.960,-0.332,0.673,-0.259
1547222154803,2019-01-11T16:55:54.803,1.040,-0.342,0.735,-0.279
1547222154883,2019-01-11T16:55:54.883,1.120,-0.250,0.753,-0.192
1547222154963,2019-01-11T16:55:54.963,1.200,-0.129,0.615,-0.046
1547222155043,2019-01-11T16:55:55.043,1.280,-0.155,0.430,-0.130
1547222155123,2019-01-11T16:55:55.123,1.360,-0.151,0.661,-0.110
1547222155203,2019-01-11T16:55:55.203,1.440,-0.231,1.084,0.017
1547222155283,2019-01-11T16:55:55.283,1.520,-0.204,1.103,-0.037
1547222155363,2019-01-11T16:55:55.363,1.600,-0.175,0.853,-0.041
1547222155443,2019-01-11T16:55:55.443,1.680,-0.183,0.405,0.075
1547222155523,2019-01-11T16:55:55.523,1.760,-0.083,0.142,-0.123
1547222155603,2019-01-11T16:55:55.603,1.840,-0.229,0.678,-0.262
1547222155683,2019-01-11T16:55:55.683,1.920,-0.498,1.000,-0.130
1547222155763,2019-01-11T16:55:55.763,2.000,-0.451,1.009,-0.316
1547222155843,2019-01-11T16:55:55.843,2.080,-0.437,1.003,-0.309
1547222155923,2019-01-11T16:55:55.923,2.160,-0.445,1.118,-0.317
1547222156003,2019-01-11T16:55:56.003,2.240,-0.461,1.096,-0.339
1547222156083,2019-01-11T16:55:56.083,2.320,-0.370,1.072,-0.295
1547222156163,2019-01-11T16:55:56.163,2.400,-0.337,1.026,-0.082
1547222156243,2019-01-11T16:55:56.243,2.480,-0.312,1.300,-0.062
1547222156323,2019-01-11T16:55:56.323,2.560,-0.401,1.586,-0.214
1547222156403,2019-01-11T16:55:56.403,2.640,-0.485,1.464,-0.408
1547222156483,2019-01-11T16:55:56.483,2.720,-0.353,1.067,-0.237
1547222156563,2019-01-11T16:55:56.563,2.800,-0.311,0.845,-0.318
1547222156643,2019-01-11T16:55:56.643,2.880,-0.332,0.745,-0.250
1547222156723,2019-01-11T16:55:56.723,2.960,-0.333,0.807,-0.411
1547222156803,2019-01-11T16:55:56.803,3.040,-0.341,0.769,-0.394
1547222156883,2019-01-11T16:55:56.883,3.120,-0.339,0.757,-0.346
1547222156963,2019-01-11T16:55:56.963,3.200,-0.252,0.679,-0.237
1547222157043,2019-01-11T16:55:57.043,3.280,-0.180,0.526,-0.142
1547222157123,2019-01-11T16:55:57.123,3.360,-0.158,0.619,-0.264
1547222157203,2019-01-11T16:55:57.203,3.440,-0.241,0.828,-0.160
1547222157283,2019-01-11T16:55:57.283,3.520,-0.229,0.956,-0.129
1547222157363,2019-01-11T16:55:57.363,3.600,-0.206,0.948,-0.139
1547222157443,2019-01-11T16:55:57.443,3.680,-0.208,0.932,-0.129
1547222157523,2019-01-11T16:55:57.523,3.760,-0.225,0.936,-0.091
1547222157603,2019-01-11T16:55:57.603,3.840,-0.215,0.902,-0.123
1547222157683,2019-01-11T16:55:57.683,3.920,-0.220,0.819,-0.113
1547222157763,2019-01-11T16:55:57.763,4.000,-0.251,0.685,-0.104
1547222157843,2019-01-11T16:55:57.843,4.080,-0.238,0.685,-0.212
1547222157923,2019-01-11T16:55:57.923,4.160,-0.289,0.730,-0.246
1547222158003,2019-01-11T16:55:58.003,4.240,-0.351,0.759,-0.309
1547222158083,2019-01-11T16:55:58.083,4.320,-0.358,0.803,-0.372
1547222158163,2019-01-11T16:55:58.163,4.400,-0.360,0.815,-0.304
