epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547222368370,2019-01-11T16:59:28.370,0.000,20.915,-5.427,-1.707
1547222368410,2019-01-11T16:59:28.410,0.040,15.305,-4.695,0.976
1547222368450,2019-01-11T16:59:28.450,0.080,-17.439,-2.927,5.366
1547222368490,2019-01-11T16:59:28.490,0.120,-21.585,-9.695,-3.902
1547222368530,2019-01-11T16:59:28.530,0.160,-5.732,-9.817,-11.829
1547222368570,2019-01-11T16:59:28.570,0.200,15.244,-1.768,-3.415
1547222368610,2019-01-11T16:59:28.610,0.240,19.268,-8.598,6.220
1547222368650,2019-01-11T16:59:28.650,0.280,8.354,-7.378,8.598
1547222368690,2019-01-11T16:59:28.690,0.320,5.244,-5.732,7.500
1547222368730,2019-01-11T16:59:28.730,0.360,-0.427,-5.244,5.976
1547222368770,2019-01-11T16:59:28.770,0.400,-4.085,-1.341,6.951
1547222368810,2019-01-11T16:59:28.810,0.440,2.012,-2.988,11.951
1547222368850,2019-01-11T16:59:28.850,0.480,-2.073,-4.451,9.817
1547222368890,2019-01-11T16:59:28.890,0.520,-7.317,-6.646,3.110
1547222368930,2019-01-11T16:59:28.930,0.560,-12.073,-5.244,3.232
1547222368970,2019-01-11T16:59:28.970,0.600,-13.780,-6.280,2.988
1547222369010,2019-01-11T16:59:29.010,0.640,-1.037,-4.146,-4.329
1547222369050,2019-01-11T16:59:29.050,0.680,24.878,4.085,-14.939
1547222369090,2019-01-11T16:59:29.090,0.720,48.659,25.244,-22.866
1547222369130,2019-01-11T16:59:29.130,0.760,55.244,50.427,-36.646
1547222369170,2019-01-11T16:59:29.170,0.800,41.463,67.744,-36.768
1547222369210,2019-01-11T16:59:29.210,0.840,92.866,64.512,-28.293
1547222369250,2019-01-11T16:59:29.250,0.880,109.695,45.976,-39.817
1547222369290,2019-01-11T16:59:29.290,0.920,36.951,34.512,-31.402
1547222369330,2019-01-11T16:59:29.330,0.960,6.829,-2.317,-24.573
1547222369370,2019-01-11T16:59:29.370,1.000,33.171,0.976,-6.524
1547222369410,2019-01-11T16:59:29.410,1.040,11.220,-11.098,-4.451
1547222369450,2019-01-11T16:59:29.450,1.080,17.134,1.341,8.598
1547222369490,2019-01-11T16:59:29.490,1.120,8.354,-22.622,9.939
1547222369530,2019-01-11T16:59:29.530,1.160,-6.402,-11.951,4.695
1547222369570,2019-01-11T16:59:29.570,1.200,-11.341,-11.341,2.256
1547222369610,2019-01-11T16:59:29.610,1.240,-26.646,6.646,2.805
1547222369650,2019-01-11T16:59:29.650,1.280,-41.768,35.793,-3.780
1547222369690,2019-01-11T16:59:29.690,1.320,-43.476,-2.683,-7.073
1547222369730,2019-01-11T16:59:29.730,1.360,-29.634,-32.988,21.037
1547222369770,2019-01-11T16:59:29.770,1.400,-12.866,-49.573,41.402
1547222369810,2019-01-11T16:59:29.810,1.440,-26.768,-51.280,44.146
1547222369850,2019-01-11T16:59:29.850,1.480,-37.622,-38.049,20.793
1547222369890,2019-01-11T16:59:29.890,1.520,-8.110,-3.415,6.524
1547222369930,2019-01-11T16:59:29.930,1.560,13.537,-12.988,-14.207
1547222369970,2019-01-11T16:59:29.970,1.600,33.232,15.122,-33.598
1547222370010,2019-01-11T16:59:30.010,1.640,44.146,33.476,-39.573
1547222370050,2019-01-11T16:59:30.050,1.680,30.366,0.488,-38.232
1547222370090,2019-01-11T16:59:30.090,1.720,43.598,10.366,-19.451
1547222370130,2019-01-11T16:59:30.130,1.760,27.012,-8.110,-8.049
1547222370170,2019-01-11T16:59:30.170,1.800,10.732,-1.280,-8.598
1547222370210,2019-01-11T16:59:30.210,1.840,4.146,4.756,-4.146
1547222370250,2019-01-11T16:59:30.250,1.880,5.854,0.183,1.585
1547222370290,2019-01-11T16:59:30.290,1.920,-19.878,-0.732,-5.854
1547222370330,2019-01-11T16:59:30.330,1.960,-5.427,-3.720,-11.159
1547222370370,2019-01-11T16:59:30.370,2.000,5.366,-7.561,-3.841
1547222370410,2019-01-11T16:59:30.410,2.040,7.927,-13.049,11.280
1547222370450,2019-01-11T16:59:30.450,2.080,-15.000,-9.268,8.049
1547222370490,2019-01-11T16:59:30.490,2.120,-1.768,-4.512,15.366
1547222370530,2019-01-11T16:59:30.530,2.160,-34.878,-7.927,12.622
1547222370570,2019-01-11T16:59:30.570,2.200,-37.805,-10.610,16.037
1547222370610,2019-01-11T16:59:30.610,2.240,-15.061,-17.256,26.280
1547222370650,2019-01-11T16:59:30.650,2.280,-27.683,-28.171,25.671
1547222370690,2019-01-11T16:59:30.690,2.320,-31.463,-22.134,22.256
1547222370730,2019-01-11T16:59:30.730,2.360,-33.537,-15.305,21.341
1547222370770,2019-01-11T16:59:30.770,2.400,-28.720,-22.134,19.085
1547222370810,2019-01-11T16:59:30.810,2.440,-9.573,-29.573,13.110
1547222370850,2019-01-11T16:59:30.850,2.480,10.000,-40.732,1.951
1547222370890,2019-01-11T16:59:30.890,2.520,2.622,-7.134,-2.927
1547222370930,2019-01-11T16:59:30.930,2.560,11.829,39.512,-2.805
1547222370970,2019-01-11T16:59:30.970,2.600,53.049,44.207,-4.207
1547222371010,2019-01-11T16:59:31.010,2.640,77.988,33.659,-2.744
1547222371050,2019-01-11T16:59:31.050,2.680,60.183,15.610,-9.451
1547222371090,2019-01-11T16:59:31.090,2.720,60.122,7.622,-29.268
1547222371130,2019-01-11T16:59:31.130,2.760,31.524,3.659,-27.805
1547222371170,2019-01-11T16:59:31.170,2.800,15.427,10.244,-9.146
1547222371210,2019-01-11T16:59:31.210,2.840,6.098,4.390,1.524
1547222371250,2019-01-11T16:59:31.250,2.880,-6.585,-3.902,-10.915
1547222371290,2019-01-11T16:59:31.290,2.920,-29.268,-9.573,-17.256
1547222371330,2019-01-11T16:59:31.330,2.960,-27.134,-4.512,-17.012
1547222371370,2019-01-11T16:59:31.370,3.000,-27.439,-6.159,-15.427
1547222371410,2019-01-11T16:59:31.410,3.040,-14.451,-12.805,7.927
1547222371450,2019-01-11T16:59:31.450,3.080,1.159,-15.610,35.915
1547222371490,2019-01-11T16:59:31.490,3.120,1.220,-21.402,58.293
1547222371530,2019-01-11T16:59:31.530,3.160,-41.463,-24.329,42.744
1547222371570,2019-01-11T16:59:31.570,3.200,-105.915,-41.220,6.646
1547222371610,2019-01-11T16:59:31.610,3.240,-44.817,-11.098,5.610
1547222371650,2019-01-11T16:59:31.650,3.280,10.671,33.902,-13.171
1547222371690,2019-01-11T16:59:31.690,3.320,31.098,7.134,-38.415
1547222371730,2019-01-11T16:59:31.730,3.360,50.244,8.841,-41.098
1547222371770,2019-01-11T16:59:31.770,3.400,64.207,9.756,-24.451
1547222371810,2019-01-11T16:59:31.810,3.440,77.378,-18.963,-2.622
1547222371850,2019-01-11T16:59:31.850,3.480,52.134,-25.061,-7.988
1547222371890,2019-01-11T16:59:31.890,3.520,4.939,-7.134,-33.354
1547222371930,2019-01-11T16:59:31.930,3.560,-7.012,3.841,-32.378
1547222371970,2019-01-11T16:59:31.970,3.600,10.671,8.598,-3.293
1547222372010,2019-01-11T16:59:32.010,3.640,12.561,-9.695,12.927
1547222372050,2019-01-11T16:59:32.050,3.680,-8.293,-7.866,13.232
1547222372090,2019-01-11T16:59:32.090,3.720,-0.732,28.171,17.805
1547222372130,2019-01-11T16:59:32.130,3.760,-0.793,17.805,18.232
1547222372170,2019-01-11T16:59:32.170,3.800,-10.610,-12.012,12.927
1547222372210,2019-01-11T16:59:32.210,3.840,-29.207,-16.829,8.659
1547222372250,2019-01-11T16:59:32.250,3.880,-50.366,-27.012,-7.134
1547222372290,2019-01-11T16:59:32.290,3.920,-17.073,-33.171,4.024
1547222372330,2019-01-11T16:59:32.330,3.960,-45.000,-27.927,9.939
1547222372370,2019-01-11T16:59:32.370,4.000,-48.598,-6.037,12.927
1547222372410,2019-01-11T16:59:32.410,4.040,-20.549,1.585,23.659
1547222372450,2019-01-11T16:59:32.450,4.080,-20.061,-14.634,28.780
1547222372490,2019-01-11T16:59:32.490,4.120,-28.476,-10.610,30.732
1547222372530,2019-01-11T16:59:32.530,4.160,-15.305,-10.427,24.207
1547222372570,2019-01-11T16:59:32.570,4.200,-26.463,-27.500,9.085
1547222372610,2019-01-11T16:59:32.610,4.240,-13.354,-17.134,1.585
1547222372650,2019-01-11T16:59:32.650,4.280,3.598,14.390,-20.976
1547222372690,2019-01-11T16:59:32.690,4.320,27.195,32.927,-22.683
1547222372730,2019-01-11T16:59:32.730,4.360,85.793,76.463,-5.000
1547222372770,2019-01-11T16:59:32.770,4.400,92.073,70.549,-9.024
1547222372810,2019-01-11T16:59:32.810,4.440,73.598,25.061,-23.171
1547222372850,2019-01-11T16:59:32.850,4.480,39.390,25.061,-24.268
1547222372890,2019-01-11T16:59:32.890,4.520,28.476,-27.134,-25.122
1547222372930,2019-01-11T16:59:32.930,4.560,8.171,6.524,-19.085
1547222372970,2019-01-11T16:59:32.970,4.600,-9.573,28.598,-12.683
1547222373010,2019-01-11T16:59:33.010,4.640,-19.146,1.768,-7.439
1547222373050,2019-01-11T16:59:33.050,4.680,-10.183,1.585,4.085
1547222373090,2019-01-11T16:59:33.090,4.720,-4.024,-16.524,14.512
1547222373130,2019-01-11T16:59:33.130,4.760,-40.122,-28.354,7.805
1547222373170,2019-01-11T16:59:33.170,4.800,-61.951,-22.378,24.939
1547222373210,2019-01-11T16:59:33.210,4.840,-86.646,-33.232,26.768
1547222373250,2019-01-11T16:59:33.250,4.880,-84.512,-31.829,14.207
1547222373290,2019-01-11T16:59:33.290,4.920,-45.000,3.354,10.183
1547222373330,2019-01-11T16:59:33.330,4.960,-3.049,9.878,-24.085
1547222373370,2019-01-11T16:59:33.370,5.000,33.598,5.183,-30.122
1547222373410,2019-01-11T16:59:33.410,5.040,47.683,11.098,-21.159
1547222373450,2019-01-11T16:59:33.450,5.080,64.756,10.549,-14.390
1547222373490,2019-01-11T16:59:33.490,5.120,59.085,24.512,-7.256
1547222373530,2019-01-11T16:59:33.530,5.160,20.915,4.634,-17.256
1547222373570,2019-01-11T16:59:33.570,5.200,9.573,-7.317,-12.744
1547222373610,2019-01-11T16:59:33.610,5.240,-3.537,-1.280,-7.439
1547222373650,2019-01-11T16:59:33.650,5.280,4.939,7.622,3.232
1547222373690,2019-01-11T16:59:33.690,5.320,-5.488,3.780,4.146
1547222373730,2019-01-11T16:59:33.730,5.360,2.500,12.073,13.720
1547222373770,2019-01-11T16:59:33.770,5.400,14.756,20.244,28.720
1547222373810,2019-01-11T16:59:33.810,5.440,-10.915,2.866,13.720
1547222373850,2019-01-11T16:59:33.850,5.480,-5.061,-11.829,14.695
1547222373890,2019-01-11T16:59:33.890,5.520,-4.451,-27.561,23.598
1547222373930,2019-01-11T16:59:33.930,5.560,-42.317,-22.012,2.927
1547222373970,2019-01-11T16:59:33.970,5.600,-41.402,-15.976,-1.524
1547222374010,2019-01-11T16:59:34.010,5.640,-47.500,-32.439,15.732
1547222374050,2019-01-11T16:59:34.050,5.680,-46.037,-21.037,29.024
1547222374090,2019-01-11T16:59:34.090,5.720,-26.646,-10.305,33.232
1547222374130,2019-01-11T16:59:34.130,5.760,-11.707,-0.915,30.976
1547222374170,2019-01-11T16:59:34.170,5.800,-4.695,-0.366,24.512
1547222374210,2019-01-11T16:59:34.210,5.840,1.280,-22.134,22.622
1547222374250,2019-01-11T16:59:34.250,5.880,2.683,-24.451,20.366
1547222374290,2019-01-11T16:59:34.290,5.920,-3.841,-15.854,12.622
1547222374330,2019-01-11T16:59:34.330,5.960,2.561,-0.732,0.976
1547222374370,2019-01-11T16:59:34.370,6.000,12.561,32.683,-9.817
1547222374410,2019-01-11T16:59:34.410,6.040,31.524,35.305,-18.232
1547222374450,2019-01-11T16:59:34.450,6.080,67.378,27.195,-14.451
1547222374490,2019-01-11T16:59:34.490,6.120,112.744,19.024,-6.463
1547222374530,2019-01-11T16:59:34.530,6.160,94.512,42.988,-24.024
1547222374570,2019-01-11T16:59:34.570,6.200,72.683,20.427,-40.183
1547222374610,2019-01-11T16:59:34.610,6.240,57.744,-10.183,-39.573
1547222374650,2019-01-11T16:59:34.650,6.280,26.463,-24.390,-26.768
1547222374690,2019-01-11T16:59:34.690,6.320,18.537,-25.244,-9.756
1547222374730,2019-01-11T16:59:34.730,6.360,-5.244,5.000,7.195
1547222374770,2019-01-11T16:59:34.770,6.400,-35.549,12.439,13.902
1547222374810,2019-01-11T16:59:34.810,6.440,-62.256,27.012,20.183
1547222374850,2019-01-11T16:59:34.850,6.480,-69.878,6.646,8.780
1547222374890,2019-01-11T16:59:34.890,6.520,-39.512,-44.329,22.927
1547222374930,2019-01-11T16:59:34.930,6.560,-68.659,-63.537,25.915
1547222374970,2019-01-11T16:59:34.970,6.600,-124.939,-50.183,-0.122
1547222375010,2019-01-11T16:59:35.010,6.640,-77.073,-4.512,-17.134
1547222375050,2019-01-11T16:59:35.050,6.680,4.634,20.183,-15.549
1547222375090,2019-01-11T16:59:35.090,6.720,51.037,9.329,-20.854
1547222375130,2019-01-11T16:59:35.130,6.760,64.329,-2.439,-29.512
1547222375170,2019-01-11T16:59:35.170,6.800,68.902,18.110,-21.159
1547222375210,2019-01-11T16:59:35.210,6.840,57.805,8.049,-19.329
1547222375250,2019-01-11T16:59:35.250,6.880,41.768,10.976,-9.024
1547222375290,2019-01-11T16:59:35.290,6.920,7.256,9.024,-17.500
1547222375330,2019-01-11T16:59:35.330,6.960,26.707,4.512,-3.537
1547222375370,2019-01-11T16:59:35.370,7.000,5.244,4.390,6.341
1547222375410,2019-01-11T16:59:35.410,7.040,-3.780,-16.585,-1.646
1547222375450,2019-01-11T16:59:35.450,7.080,-6.890,-11.707,-13.598
1547222375490,2019-01-11T16:59:35.490,7.120,-23.110,-2.683,-18.720
1547222375530,2019-01-11T16:59:35.530,7.160,-29.024,-12.683,-18.415
1547222375570,2019-01-11T16:59:35.570,7.200,-19.207,-4.573,-1.585
1547222375610,2019-01-11T16:59:35.610,7.240,-17.317,-9.024,9.634
1547222375650,2019-01-11T16:59:35.650,7.280,-25.244,-15.366,23.598
1547222375690,2019-01-11T16:59:35.690,7.320,-40.732,0.793,25.122
1547222375730,2019-01-11T16:59:35.730,7.360,-27.500,7.988,32.561
1547222375770,2019-01-11T16:59:35.770,7.400,-35.915,-26.646,21.402
1547222375810,2019-01-11T16:59:35.810,7.440,-36.280,-29.085,22.927
1547222375850,2019-01-11T16:59:35.850,7.480,-23.476,-23.293,33.354
1547222375890,2019-01-11T16:59:35.890,7.520,-20.244,-23.720,26.646
1547222375930,2019-01-11T16:59:35.930,7.560,-21.707,-24.878,19.512
1547222375970,2019-01-11T16:59:35.970,7.600,-19.085,-35.854,16.463
1547222376010,2019-01-11T16:59:36.010,7.640,-6.280,-34.573,14.146
1547222376050,2019-01-11T16:59:36.050,7.680,4.085,-15.244,6.585
1547222376090,2019-01-11T16:59:36.090,7.720,13.902,8.354,-3.720
1547222376130,2019-01-11T16:59:36.130,7.760,42.683,25.061,-11.707
1547222376170,2019-01-11T16:59:36.170,7.800,61.585,40.976,-14.756
1547222376210,2019-01-11T16:59:36.210,7.840,66.524,37.622,-17.073
1547222376250,2019-01-11T16:59:36.250,7.880,79.085,36.280,-10.915
1547222376290,2019-01-11T16:59:36.290,7.920,84.756,30.915,-0.549
1547222376330,2019-01-11T16:59:36.330,7.960,88.963,13.537,4.939
1547222376370,2019-01-11T16:59:36.370,8.000,66.280,26.585,0.244
1547222376410,2019-01-11T16:59:36.410,8.040,28.598,12.988,-15.793
1547222376450,2019-01-11T16:59:36.450,8.080,5.671,-7.561,-18.415
1547222376490,2019-01-11T16:59:36.490,8.120,19.329,-13.537,-26.768
1547222376530,2019-01-11T16:59:36.530,8.160,7.378,-6.098,-21.159
1547222376570,2019-01-11T16:59:36.570,8.200,10.854,-16.220,3.171
1547222376610,2019-01-11T16:59:36.610,8.240,7.134,-19.146,12.134
1547222376650,2019-01-11T16:59:36.650,8.280,-6.707,5.488,21.280
1547222376690,2019-01-11T16:59:36.690,8.320,-41.402,10.488,0.427
1547222376730,2019-01-11T16:59:36.730,8.360,-45.793,7.561,2.683
1547222376770,2019-01-11T16:59:36.770,8.400,-45.000,-1.829,6.829
1547222376810,2019-01-11T16:59:36.810,8.440,-39.268,-4.085,17.439
1547222376850,2019-01-11T16:59:36.850,8.480,-33.902,-8.598,26.098
1547222376890,2019-01-11T16:59:36.890,8.520,-43.841,-20.061,34.756
1547222376930,2019-01-11T16:59:36.930,8.560,-55.976,-27.256,26.037
1547222376970,2019-01-11T16:59:36.970,8.600,-6.585,-6.768,37.500
1547222377010,2019-01-11T16:59:37.010,8.640,8.720,-6.098,23.232
1547222377050,2019-01-11T16:59:37.050,8.680,39.268,1.220,6.829
1547222377090,2019-01-11T16:59:37.090,8.720,33.598,6.646,-4.634
1547222377130,2019-01-11T16:59:37.130,8.760,6.890,-6.524,-9.451
1547222377170,2019-01-11T16:59:37.170,8.800,5.976,1.585,-16.098
1547222377210,2019-01-11T16:59:37.210,8.840,-25.366,-38.720,-51.585
1547222377250,2019-01-11T16:59:37.250,8.880,-24.756,-8.598,-52.439
1547222377290,2019-01-11T16:59:37.290,8.920,20.305,15.122,-24.512
1547222377330,2019-01-11T16:59:37.330,8.960,12.866,2.439,-31.951
1547222377370,2019-01-11T16:59:37.370,9.000,39.634,26.037,-24.146
1547222377410,2019-01-11T16:59:37.410,9.040,29.451,3.963,-32.134
1547222377450,2019-01-11T16:59:37.450,9.080,14.878,-12.561,-26.768
1547222377490,2019-01-11T16:59:37.490,9.120,0.305,-7.317,-12.073
1547222377530,2019-01-11T16:59:37.530,9.160,15.549,-9.268,1.402
1547222377570,2019-01-11T16:59:37.570,9.200,-25.610,-17.134,-16.951
1547222377610,2019-01-11T16:59:37.610,9.240,-0.427,-2.439,-18.841
1547222377650,2019-01-11T16:59:37.650,9.280,-17.256,2.500,-4.817
1547222377690,2019-01-11T16:59:37.690,9.320,-1.585,-11.646,18.354
1547222377730,2019-01-11T16:59:37.730,9.360,1.280,-4.146,28.476
1547222377770,2019-01-11T16:59:37.770,9.400,-35.000,-14.512,21.159
1547222377810,2019-01-11T16:59:37.810,9.440,-41.280,-28.598,12.073
1547222377850,2019-01-11T16:59:37.850,9.480,-56.829,-35.061,15.366
1547222377890,2019-01-11T16:59:37.890,9.520,-24.756,-25.732,33.902
1547222377930,2019-01-11T16:59:37.930,9.560,-33.720,-16.585,28.232
1547222377970,2019-01-11T16:59:37.970,9.600,-45.915,-13.780,26.463
1547222378010,2019-01-11T16:59:38.010,9.640,-42.500,-23.780,32.439
1547222378050,2019-01-11T16:59:38.050,9.680,-26.768,-33.049,26.707
1547222378090,2019-01-11T16:59:38.090,9.720,-15.549,-33.232,13.476
1547222378130,2019-01-11T16:59:38.130,9.760,-10.976,-15.488,8.415
1547222378170,2019-01-11T16:59:38.170,9.800,-2.500,-9.939,1.707
1547222378210,2019-01-11T16:59:38.210,9.840,22.927,13.780,-2.866
1547222378250,2019-01-11T16:59:38.250,9.880,43.049,40.366,-2.439
1547222378290,2019-01-11T16:59:38.290,9.920,49.512,71.341,-12.927
1547222378330,2019-01-11T16:59:38.330,9.960,41.280,66.037,-21.707
1547222378370,2019-01-11T16:59:38.370,10.000,46.951,64.939,-15.366
1547222378410,2019-01-11T16:59:38.410,10.040,72.073,33.232,-1.402
1547222378450,2019-01-11T16:59:38.450,10.080,62.439,17.378,-4.573
1547222378490,2019-01-11T16:59:38.490,10.120,56.159,12.866,-11.524
1547222378530,2019-01-11T16:59:38.530,10.160,44.024,20.549,-10.366
1547222378570,2019-01-11T16:59:38.570,10.200,33.049,-6.159,-23.049
1547222378610,2019-01-11T16:59:38.610,10.240,32.805,-13.476,-19.817
1547222378650,2019-01-11T16:59:38.650,10.280,-2.744,0.061,-11.159
1547222378690,2019-01-11T16:59:38.690,10.320,-24.024,2.622,-7.134
