epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547220278407,2019-01-11T16:24:38.407,0.000,1.829,3.902,3.049
1547220278447,2019-01-11T16:24:38.447,0.040,9.451,7.744,-2.378
1547220278487,2019-01-11T16:24:38.487,0.080,6.524,7.683,-2.744
1547220278527,2019-01-11T16:24:38.527,0.120,0.854,3.476,-0.854
1547220278567,2019-01-11T16:24:38.567,0.160,2.927,-6.463,-0.244
1547220278607,2019-01-11T16:24:38.607,0.200,5.183,-6.463,-0.061
1547220278647,2019-01-11T16:24:38.647,0.240,5.488,-4.878,-1.341
1547220278687,2019-01-11T16:24:38.687,0.280,1.280,1.585,0.610
1547220278727,2019-01-11T16:24:38.727,0.320,-0.061,-0.427,-0.976
1547220278767,2019-01-11T16:24:38.767,0.360,0.549,11.890,-4.268
1547220278807,2019-01-11T16:24:38.807,0.400,8.659,24.512,-11.341
1547220278847,2019-01-11T16:24:38.847,0.440,-1.402,10.366,-16.159
1547220278887,2019-01-11T16:24:38.887,0.480,0.854,-7.927,-42.622
1547220278927,2019-01-11T16:24:38.927,0.520,-2.744,-39.573,-58.841
1547220278967,2019-01-11T16:24:38.967,0.560,14.207,-130.854,-65.610
1547220279007,2019-01-11T16:24:39.007,0.600,10.000,-157.561,-30.915
1547220279047,2019-01-11T16:24:39.047,0.640,-10.671,-41.524,35.183
1547220279087,2019-01-11T16:24:39.087,0.680,17.134,-22.134,47.500
1547220279127,2019-01-11T16:24:39.127,0.720,5.305,29.146,27.927
1547220279167,2019-01-11T16:24:39.167,0.760,-9.634,32.012,25.244
1547220279207,2019-01-11T16:24:39.207,0.800,-11.951,27.988,34.268
1547220279247,2019-01-11T16:24:39.247,0.840,-3.476,55.244,37.012
1547220279287,2019-01-11T16:24:39.287,0.880,10.183,21.829,14.634
1547220279327,2019-01-11T16:24:39.327,0.920,3.659,7.378,9.939
1547220279367,2019-01-11T16:24:39.367,0.960,10.549,19.024,6.646
1547220279407,2019-01-11T16:24:39.407,1.000,10.671,1.402,-5.671
1547220279447,2019-01-11T16:24:39.447,1.040,33.780,-26.829,-24.695
1547220279487,2019-01-11T16:24:39.487,1.080,29.756,-35.854,-40.000
1547220279527,2019-01-11T16:24:39.527,1.120,23.963,-37.866,-54.939
1547220279567,2019-01-11T16:24:39.567,1.160,42.073,-24.268,-59.939
1547220279607,2019-01-11T16:24:39.607,1.200,48.476,-53.110,-47.012
1547220279647,2019-01-11T16:24:39.647,1.240,35.061,-51.220,-39.024
1547220279687,2019-01-11T16:24:39.687,1.280,50.854,-30.305,-50.854
1547220279727,2019-01-11T16:24:39.727,1.320,40.122,-16.890,-48.598
1547220279767,2019-01-11T16:24:39.767,1.360,40.244,-9.451,-36.524
1547220279807,2019-01-11T16:24:39.807,1.400,37.866,2.744,-30.549
1547220279847,2019-01-11T16:24:39.847,1.440,39.939,-2.256,-20.549
1547220279887,2019-01-11T16:24:39.887,1.480,31.159,-7.378,-6.585
1547220279927,2019-01-11T16:24:39.927,1.520,26.341,16.159,18.841
1547220279967,2019-01-11T16:24:39.967,1.560,6.646,4.024,53.902
1547220280007,2019-01-11T16:24:40.007,1.600,-3.415,-7.073,75.244
1547220280047,2019-01-11T16:24:40.047,1.640,-19.512,-9.451,57.927
1547220280087,2019-01-11T16:24:40.087,1.680,-34.634,5.427,-3.354
1547220280127,2019-01-11T16:24:40.127,1.720,18.598,27.256,-41.646
1547220280167,2019-01-11T16:24:40.167,1.760,6.646,20.671,-16.098
1547220280207,2019-01-11T16:24:40.207,1.800,13.415,14.146,-10.549
1547220280247,2019-01-11T16:24:40.247,1.840,17.195,24.756,-0.671
1547220280287,2019-01-11T16:24:40.287,1.880,-18.232,-4.695,13.232
1547220280327,2019-01-11T16:24:40.327,1.920,-2.378,16.037,22.805
1547220280367,2019-01-11T16:24:40.367,1.960,-57.439,6.037,18.110
1547220280407,2019-01-11T16:24:40.407,2.000,-43.598,18.476,20.854
1547220280447,2019-01-11T16:24:40.447,2.040,-46.037,-3.841,21.402
1547220280487,2019-01-11T16:24:40.487,2.080,-63.171,0.854,40.122
1547220280527,2019-01-11T16:24:40.527,2.120,-80.244,32.622,27.988
1547220280567,2019-01-11T16:24:40.567,2.160,-32.561,1.768,31.951
1547220280607,2019-01-11T16:24:40.607,2.200,-55.061,6.585,34.085
1547220280647,2019-01-11T16:24:40.647,2.240,34.634,3.598,18.841
1547220280687,2019-01-11T16:24:40.687,2.280,-40.305,-7.012,15.305
1547220280727,2019-01-11T16:24:40.727,2.320,16.402,-9.451,20.549
1547220280767,2019-01-11T16:24:40.767,2.360,-46.463,-3.476,15.305
1547220280807,2019-01-11T16:24:40.807,2.400,-0.610,20.183,4.390
1547220280847,2019-01-11T16:24:40.847,2.440,4.512,-9.024,11.707
1547220280887,2019-01-11T16:24:40.887,2.480,0.427,0.305,8.232
1547220280927,2019-01-11T16:24:40.927,2.520,-13.476,26.646,15.854
1547220280967,2019-01-11T16:24:40.967,2.560,-8.780,11.707,2.805
1547220281007,2019-01-11T16:24:41.007,2.600,12.195,0.732,1.341
1547220281047,2019-01-11T16:24:41.047,2.640,1.524,10.183,13.720
1547220281087,2019-01-11T16:24:41.087,2.680,-10.122,-8.293,8.841
1547220281127,2019-01-11T16:24:41.127,2.720,-18.354,-11.768,5.488
1547220281167,2019-01-11T16:24:41.167,2.760,47.256,-19.207,-31.585
1547220281207,2019-01-11T16:24:41.207,2.800,-15.610,12.988,5.000
1547220281247,2019-01-11T16:24:41.247,2.840,-7.561,-12.561,5.610
1547220281287,2019-01-11T16:24:41.287,2.880,0.305,13.171,5.915
1547220281327,2019-01-11T16:24:41.327,2.920,2.073,35.854,10.793
1547220281367,2019-01-11T16:24:41.367,2.960,12.134,-8.841,1.037
1547220281407,2019-01-11T16:24:41.407,3.000,-0.061,2.561,-3.780
1547220281447,2019-01-11T16:24:41.447,3.040,-26.220,69.817,0.854
1547220281487,2019-01-11T16:24:41.487,3.080,-22.805,92.744,0.366
1547220281527,2019-01-11T16:24:41.527,3.120,-14.695,-4.573,-4.390
1547220281567,2019-01-11T16:24:41.567,3.160,24.695,-58.902,-11.768
1547220281607,2019-01-11T16:24:41.607,3.200,26.951,-51.402,-21.463
1547220281647,2019-01-11T16:24:41.647,3.240,-19.878,-22.256,10.549
1547220281687,2019-01-11T16:24:41.687,3.280,7.073,-7.744,13.415
1547220281727,2019-01-11T16:24:41.727,3.320,11.341,-3.963,-14.695
1547220281767,2019-01-11T16:24:41.767,3.360,3.293,-9.939,-30.244
1547220281807,2019-01-11T16:24:41.807,3.400,12.439,-54.451,-35.793
1547220281847,2019-01-11T16:24:41.847,3.440,51.098,-9.756,-61.220
1547220281887,2019-01-11T16:24:41.887,3.480,51.951,-6.951,-55.610
1547220281927,2019-01-11T16:24:41.927,3.520,62.561,-40.122,-47.988
1547220281967,2019-01-11T16:24:41.967,3.560,98.049,-43.476,-50.427
1547220282007,2019-01-11T16:24:42.007,3.600,67.500,-10.427,-41.829
1547220282047,2019-01-11T16:24:42.047,3.640,57.988,-15.427,-56.037
1547220282087,2019-01-11T16:24:42.087,3.680,31.037,-4.451,-48.232
1547220282127,2019-01-11T16:24:42.127,3.720,38.598,8.110,-29.756
1547220282167,2019-01-11T16:24:42.167,3.760,27.378,-3.537,-2.683
1547220282207,2019-01-11T16:24:42.207,3.800,18.841,-22.317,15.915
1547220282247,2019-01-11T16:24:42.247,3.840,4.390,-49.329,35.122
1547220282287,2019-01-11T16:24:42.287,3.880,-18.415,-54.695,58.963
