epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547220518696,2019-01-11T16:28:38.696,0.000,0.207,-0.986,-0.153
1547220518776,2019-01-11T16:28:38.776,0.080,0.291,-1.112,-0.119
1547220518856,2019-01-11T16:28:38.856,0.160,0.166,-1.000,-0.104
1547220518936,2019-01-11T16:28:38.936,0.240,0.319,-0.869,-0.251
1547220519016,2019-01-11T16:28:39.016,0.320,-0.041,-1.124,-0.137
1547220519096,2019-01-11T16:28:39.096,0.400,0.179,-0.945,-0.047
1547220519176,2019-01-11T16:28:39.176,0.480,0.232,-1.075,-0.271
1547220519256,2019-01-11T16:28:39.256,0.560,0.070,-0.996,-0.011
1547220519336,2019-01-11T16:28:39.336,0.640,0.192,-1.005,-0.197
1547220519416,2019-01-11T16:28:39.416,0.720,0.216,-1.071,-0.147
1547220519496,2019-01-11T16:28:39.496,0.800,0.264,-1.171,-0.183
1547220519576,2019-01-11T16:28:39.576,0.880,0.185,-1.145,-0.095
1547220519656,2019-01-11T16:28:39.656,0.960,0.268,-1.583,-0.317
1547220519736,2019-01-11T16:28:39.736,1.040,0.373,-1.481,-0.145
1547220519816,2019-01-11T16:28:39.816,1.120,0.454,-1.369,-0.104
1547220519896,2019-01-11T16:28:39.896,1.200,0.462,-1.210,-0.020
1547220519976,2019-01-11T16:28:39.976,1.280,0.470,-1.037,0.157
1547220520056,2019-01-11T16:28:40.056,1.360,0.425,-0.773,0.238
1547220520136,2019-01-11T16:28:40.136,1.440,0.110,-0.438,0.119
1547220520216,2019-01-11T16:28:40.216,1.520,0.216,0.256,0.028
1547220520296,2019-01-11T16:28:40.296,1.600,-0.069,-0.238,-0.127
1547220520376,2019-01-11T16:28:40.376,1.680,0.032,-0.206,0.172
1547220520456,2019-01-11T16:28:40.456,1.760,0.277,-0.490,0.128
1547220520536,2019-01-11T16:28:40.536,1.840,0.340,-0.827,0.264
1547220520616,2019-01-11T16:28:40.616,1.920,0.446,-1.075,-0.012
1547220520696,2019-01-11T16:28:40.696,2.000,0.245,-1.173,-0.166
1547220520776,2019-01-11T16:28:40.776,2.080,0.244,-1.351,-0.213
1547220520856,2019-01-11T16:28:40.856,2.160,0.249,-1.265,-0.034
1547220520936,2019-01-11T16:28:40.936,2.240,0.179,-1.202,-0.156
1547220521016,2019-01-11T16:28:41.016,2.320,0.194,-1.313,-0.155
1547220521096,2019-01-11T16:28:41.096,2.400,0.102,-1.140,-0.133
1547220521176,2019-01-11T16:28:41.176,2.480,0.178,-1.151,-0.168
1547220521256,2019-01-11T16:28:41.256,2.560,0.082,-1.300,-0.071
1547220521336,2019-01-11T16:28:41.336,2.640,0.212,-0.948,-0.114
1547220521416,2019-01-11T16:28:41.416,2.720,-0.007,-0.993,-0.223
