epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547222972748,2019-01-11T17:09:32.748,0.000,6.890,-1.463,1.585
1547222972788,2019-01-11T17:09:32.788,0.040,6.402,-5.976,-0.061
1547222972828,2019-01-11T17:09:32.828,0.080,4.451,-9.268,0.427
1547222972868,2019-01-11T17:09:32.868,0.120,2.988,-4.512,-2.073
1547222972908,2019-01-11T17:09:32.908,0.160,4.451,-8.354,-2.256
1547222972948,2019-01-11T17:09:32.948,0.200,5.671,-4.207,1.646
1547222972988,2019-01-11T17:09:32.988,0.240,10.000,-5.915,1.585
1547222973028,2019-01-11T17:09:33.028,0.280,9.756,-1.341,3.171
1547222973068,2019-01-11T17:09:33.068,0.320,6.707,-2.195,2.134
1547222973108,2019-01-11T17:09:33.108,0.360,3.598,-2.195,1.280
1547222973148,2019-01-11T17:09:33.148,0.400,2.317,-2.073,0.366
1547222973188,2019-01-11T17:09:33.188,0.440,4.695,-1.280,2.317
1547222973228,2019-01-11T17:09:33.228,0.480,6.951,-0.366,6.402
1547222973268,2019-01-11T17:09:33.268,0.520,11.341,-5.061,5.671
1547222973308,2019-01-11T17:09:33.308,0.560,13.537,-3.841,3.841
1547222973348,2019-01-11T17:09:33.348,0.600,7.561,-7.195,2.866
1547222973388,2019-01-11T17:09:33.388,0.640,-6.402,-6.646,2.134
1547222973428,2019-01-11T17:09:33.428,0.680,-11.890,-11.829,-2.927
1547222973468,2019-01-11T17:09:33.468,0.720,-12.744,-14.512,-8.232
1547222973508,2019-01-11T17:09:33.508,0.760,-7.012,-14.451,-2.378
1547222973548,2019-01-11T17:09:33.548,0.800,-2.561,-19.085,-2.012
1547222973588,2019-01-11T17:09:33.588,0.840,-6.220,-17.988,-4.329
1547222973628,2019-01-11T17:09:33.628,0.880,-14.939,-10.183,-9.268
1547222973668,2019-01-11T17:09:33.668,0.920,-22.988,-12.500,-11.707
1547222973708,2019-01-11T17:09:33.708,0.960,-29.512,-18.476,-9.024
1547222973748,2019-01-11T17:09:33.748,1.000,-26.707,-25.366,-7.622
1547222973788,2019-01-11T17:09:33.788,1.040,-22.134,-18.354,-10.793
1547222973828,2019-01-11T17:09:33.828,1.080,-17.012,-10.183,-6.159
1547222973868,2019-01-11T17:09:33.868,1.120,-13.780,-10.854,-0.915
1547222973908,2019-01-11T17:09:33.908,1.160,-4.512,-7.439,-6.585
1547222973948,2019-01-11T17:09:33.948,1.200,-4.146,-5.610,-7.805
1547222973988,2019-01-11T17:09:33.988,1.240,4.512,-14.268,-2.439
1547222974028,2019-01-11T17:09:34.028,1.280,7.500,-9.756,-2.866
1547222974068,2019-01-11T17:09:34.068,1.320,-8.354,-7.622,-5.915
1547222974108,2019-01-11T17:09:34.108,1.360,-24.207,-9.756,-3.537
1547222974148,2019-01-11T17:09:34.148,1.400,-16.037,-9.390,-1.951
1547222974188,2019-01-11T17:09:34.188,1.440,-0.366,-4.268,-4.207
1547222974228,2019-01-11T17:09:34.228,1.480,3.171,-7.317,-8.293
1547222974268,2019-01-11T17:09:34.268,1.520,-3.049,-7.378,-4.695
1547222974308,2019-01-11T17:09:34.308,1.560,-14.634,-5.244,-3.598
1547222974348,2019-01-11T17:09:34.348,1.600,-7.012,-0.610,-2.500
1547222974388,2019-01-11T17:09:34.388,1.640,7.683,-5.793,-1.220
1547222974428,2019-01-11T17:09:34.428,1.680,4.207,-3.049,1.280
1547222974468,2019-01-11T17:09:34.468,1.720,-1.829,-8.476,-2.744
1547222974508,2019-01-11T17:09:34.508,1.760,-1.037,-5.183,-2.561
1547222974548,2019-01-11T17:09:34.548,1.800,1.707,-2.012,0.549
1547222974588,2019-01-11T17:09:34.588,1.840,3.659,0.854,4.146
1547222974628,2019-01-11T17:09:34.628,1.880,-12.317,25.427,5.793
1547222974668,2019-01-11T17:09:34.668,1.920,-19.878,10.732,0.671
1547222974708,2019-01-11T17:09:34.708,1.960,-22.866,-5.732,-1.159
1547222974748,2019-01-11T17:09:34.748,2.000,-10.976,-4.695,-3.049
1547222974788,2019-01-11T17:09:34.788,2.040,1.220,-0.854,-0.305
1547222974828,2019-01-11T17:09:34.828,2.080,6.585,6.220,6.220
1547222974868,2019-01-11T17:09:34.868,2.120,3.780,32.317,1.463
1547222974908,2019-01-11T17:09:34.908,2.160,-8.598,41.707,-3.902
