epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547472731998,2019-01-14T14:32:11.998,0.000,-0.045,0.869,-0.041
1547472732078,2019-01-14T14:32:12.078,0.080,-0.058,0.872,-0.033
1547472732158,2019-01-14T14:32:12.158,0.160,-0.074,0.905,-0.052
1547472732238,2019-01-14T14:32:12.238,0.240,-0.103,0.911,-0.066
1547472732318,2019-01-14T14:32:12.318,0.320,-0.141,0.929,-0.070
1547472732398,2019-01-14T14:32:12.398,0.400,-0.161,0.951,-0.116
1547472732478,2019-01-14T14:32:12.478,0.480,-0.200,0.941,-0.098
1547472732558,2019-01-14T14:32:12.558,0.560,-0.205,0.945,-0.130
1547472732638,2019-01-14T14:32:12.638,0.640,-0.223,0.942,-0.109
1547472732718,2019-01-14T14:32:12.718,0.720,-0.233,0.963,-0.104
1547472732798,2019-01-14T14:32:12.798,0.800,-0.227,0.929,-0.081
1547472732878,2019-01-14T14:32:12.878,0.880,-0.224,0.937,-0.084
1547472732958,2019-01-14T14:32:12.958,0.960,-0.205,0.930,-0.088
1547472733038,2019-01-14T14:32:13.038,1.040,-0.189,0.913,-0.034
1547472733118,2019-01-14T14:32:13.118,1.120,-0.177,0.892,-0.001
1547472733198,2019-01-14T14:32:13.198,1.200,-0.217,1.115,-0.023
1547472733278,2019-01-14T14:32:13.278,1.280,-0.287,1.524,0.097
1547472733358,2019-01-14T14:32:13.358,1.360,-0.293,1.362,0.094
1547472733438,2019-01-14T14:32:13.438,1.440,-0.234,1.006,0.028
1547472733518,2019-01-14T14:32:13.518,1.520,-0.244,0.986,-0.015
1547472733598,2019-01-14T14:32:13.598,1.600,-0.286,0.989,-0.008
1547472733678,2019-01-14T14:32:13.678,1.680,-0.276,0.981,0.017
1547472733758,2019-01-14T14:32:13.758,1.760,-0.240,0.942,-0.012
1547472733838,2019-01-14T14:32:13.838,1.840,-0.180,0.895,-0.044
1547472733918,2019-01-14T14:32:13.918,1.920,-0.111,0.823,-0.000
1547472733998,2019-01-14T14:32:13.998,2.000,-0.044,0.770,-0.009
1547472734078,2019-01-14T14:32:14.078,2.080,-0.063,0.688,0.004
1547472734158,2019-01-14T14:32:14.158,2.160,-0.037,0.713,-0.150
1547472734238,2019-01-14T14:32:14.238,2.240,0.002,0.950,-0.039
1547472734318,2019-01-14T14:32:14.318,2.320,0.030,1.135,-0.034
1547472734398,2019-01-14T14:32:14.398,2.400,-0.021,1.006,-0.028
1547472734478,2019-01-14T14:32:14.478,2.480,0.019,0.903,-0.080
1547472734558,2019-01-14T14:32:14.558,2.560,0.021,0.924,-0.040
1547472734638,2019-01-14T14:32:14.638,2.640,0.007,0.979,-0.012
1547472734718,2019-01-14T14:32:14.718,2.720,-0.020,0.976,-0.023
1547472734798,2019-01-14T14:32:14.798,2.800,-0.041,0.908,-0.058
1547472734878,2019-01-14T14:32:14.878,2.880,-0.049,0.854,-0.050
1547472734958,2019-01-14T14:32:14.958,2.960,-0.067,0.852,-0.096
1547472735038,2019-01-14T14:32:15.038,3.040,-0.083,0.872,-0.083
1547472735118,2019-01-14T14:32:15.118,3.120,-0.124,0.878,-0.098
1547472735198,2019-01-14T14:32:15.198,3.200,-0.155,0.891,-0.113
1547472735278,2019-01-14T14:32:15.278,3.280,-0.151,0.896,-0.092
1547472735358,2019-01-14T14:32:15.358,3.360,-0.179,0.915,-0.094
1547472735438,2019-01-14T14:32:15.438,3.440,-0.221,0.934,-0.088
1547472735518,2019-01-14T14:32:15.518,3.520,-0.191,0.984,-0.096
1547472735598,2019-01-14T14:32:15.598,3.600,-0.208,0.985,-0.072
1547472735678,2019-01-14T14:32:15.678,3.680,-0.202,1.031,-0.057
1547472735758,2019-01-14T14:32:15.758,3.760,-0.259,1.395,0.000
1547472735838,2019-01-14T14:32:15.838,3.840,-0.274,1.521,0.065
1547472735918,2019-01-14T14:32:15.918,3.920,-0.245,1.183,0.040
1547472735998,2019-01-14T14:32:15.998,4.000,-0.222,0.987,-0.012
1547472736078,2019-01-14T14:32:16.078,4.080,-0.259,0.983,-0.024
1547472736158,2019-01-14T14:32:16.158,4.160,-0.260,0.965,-0.053
1547472736238,2019-01-14T14:32:16.238,4.240,-0.248,0.930,-0.010
1547472736318,2019-01-14T14:32:16.318,4.320,-0.171,0.908,-0.084
1547472736398,2019-01-14T14:32:16.398,4.400,-0.146,0.910,0.015
1547472736478,2019-01-14T14:32:16.478,4.480,-0.089,0.871,-0.040
1547472736558,2019-01-14T14:32:16.558,4.560,-0.020,0.689,0.051
1547472736638,2019-01-14T14:32:16.638,4.640,-0.032,0.615,-0.150
1547472736718,2019-01-14T14:32:16.718,4.720,0.017,0.795,-0.049
1547472736798,2019-01-14T14:32:16.798,4.800,0.038,1.102,0.007
1547472736878,2019-01-14T14:32:16.878,4.880,0.010,1.081,0.025
