epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547472731590,2019-01-14T14:32:11.590,0.000,1.890,-3.720,-1.768
1547472731630,2019-01-14T14:32:11.630,0.040,2.500,-5.366,-1.280
1547472731670,2019-01-14T14:32:11.670,0.080,2.317,-5.122,2.256
1547472731710,2019-01-14T14:32:11.710,0.120,2.927,-2.500,-3.476
1547472731750,2019-01-14T14:32:11.750,0.160,-2.927,-4.878,0.061
1547472731790,2019-01-14T14:32:11.790,0.200,-1.646,-5.854,-2.256
1547472731830,2019-01-14T14:32:11.830,0.240,-4.939,-1.402,-6.037
1547472731870,2019-01-14T14:32:11.870,0.280,-4.695,-0.671,-7.866
1547472731910,2019-01-14T14:32:11.910,0.320,2.805,-8.110,-5.305
1547472731950,2019-01-14T14:32:11.950,0.360,6.951,-2.317,-11.707
1547472731990,2019-01-14T14:32:11.990,0.400,10.244,-3.415,-12.866
1547472732030,2019-01-14T14:32:12.030,0.440,7.988,-2.866,-15.854
1547472732070,2019-01-14T14:32:12.070,0.480,2.805,0.000,-18.232
1547472732110,2019-01-14T14:32:12.110,0.520,5.915,0.976,-18.354
1547472732150,2019-01-14T14:32:12.150,0.560,12.256,-0.793,-24.085
1547472732190,2019-01-14T14:32:12.190,0.600,18.902,-10.061,-18.110
1547472732230,2019-01-14T14:32:12.230,0.640,15.549,4.329,-26.707
1547472732270,2019-01-14T14:32:12.270,0.680,11.098,-6.341,-20.183
1547472732310,2019-01-14T14:32:12.310,0.720,5.854,0.732,-25.244
1547472732350,2019-01-14T14:32:12.350,0.760,11.768,-15.000,-17.561
1547472732390,2019-01-14T14:32:12.390,0.800,9.878,-8.780,-16.098
1547472732430,2019-01-14T14:32:12.430,0.840,11.220,-8.537,-14.878
1547472732470,2019-01-14T14:32:12.470,0.880,5.915,-9.268,-9.085
1547472732510,2019-01-14T14:32:12.510,0.920,7.866,-13.537,-5.366
1547472732550,2019-01-14T14:32:12.550,0.960,12.134,-10.854,-1.951
1547472732590,2019-01-14T14:32:12.590,1.000,12.988,-6.890,-3.232
1547472732630,2019-01-14T14:32:12.630,1.040,0.671,-5.061,-2.683
1547472732670,2019-01-14T14:32:12.670,1.080,-1.098,-3.049,-4.146
1547472732710,2019-01-14T14:32:12.710,1.120,-4.939,-13.110,-0.061
1547472732750,2019-01-14T14:32:12.750,1.160,-6.585,-4.695,1.341
1547472732790,2019-01-14T14:32:12.790,1.200,-9.817,-7.378,1.707
1547472732830,2019-01-14T14:32:12.830,1.240,-12.561,-3.476,1.098
1547472732870,2019-01-14T14:32:12.870,1.280,-4.695,-8.476,0.854
1547472732910,2019-01-14T14:32:12.910,1.320,-5.305,-10.610,7.927
1547472732950,2019-01-14T14:32:12.950,1.360,-11.220,-11.037,13.415
1547472732990,2019-01-14T14:32:12.990,1.400,-18.049,-7.500,15.671
1547472733030,2019-01-14T14:32:13.030,1.440,-22.439,-11.341,15.671
1547472733070,2019-01-14T14:32:13.070,1.480,-23.720,-2.744,8.476
1547472733110,2019-01-14T14:32:13.110,1.520,-23.841,-12.683,16.829
1547472733150,2019-01-14T14:32:13.150,1.560,-16.220,-18.598,17.012
1547472733190,2019-01-14T14:32:13.190,1.600,-9.756,-16.951,1.402
1547472733230,2019-01-14T14:32:13.230,1.640,1.220,-2.744,-0.976
1547472733270,2019-01-14T14:32:13.270,1.680,18.902,6.402,-4.329
1547472733310,2019-01-14T14:32:13.310,1.720,20.976,4.695,-23.476
1547472733350,2019-01-14T14:32:13.350,1.760,9.634,7.683,-38.780
1547472733390,2019-01-14T14:32:13.390,1.800,7.439,4.695,-37.012
1547472733430,2019-01-14T14:32:13.430,1.840,15.854,-8.232,-19.878
1547472733470,2019-01-14T14:32:13.470,1.880,16.707,-1.890,-12.378
1547472733510,2019-01-14T14:32:13.510,1.920,10.244,5.915,-14.024
1547472733550,2019-01-14T14:32:13.550,1.960,9.329,0.915,-2.439
1547472733590,2019-01-14T14:32:13.590,2.000,13.049,-5.244,11.646
1547472733630,2019-01-14T14:32:13.630,2.040,-1.829,12.378,6.463
1547472733670,2019-01-14T14:32:13.670,2.080,-9.878,16.341,7.195
1547472733710,2019-01-14T14:32:13.710,2.120,-14.207,10.610,17.012
1547472733750,2019-01-14T14:32:13.750,2.160,-13.659,5.915,26.768
1547472733790,2019-01-14T14:32:13.790,2.200,-12.317,3.841,34.695
1547472733830,2019-01-14T14:32:13.830,2.240,-0.061,-7.134,45.549
1547472733870,2019-01-14T14:32:13.870,2.280,0.610,-6.402,48.537
1547472733910,2019-01-14T14:32:13.910,2.320,-9.451,-8.537,64.085
1547472733950,2019-01-14T14:32:13.950,2.360,-6.646,-23.537,68.963
1547472733990,2019-01-14T14:32:13.990,2.400,-22.256,-15.122,74.939
1547472734030,2019-01-14T14:32:14.030,2.440,-25.122,13.171,41.463
1547472734070,2019-01-14T14:32:14.070,2.480,-5.793,10.915,6.402
1547472734110,2019-01-14T14:32:14.110,2.520,16.159,-10.854,-2.622
1547472734150,2019-01-14T14:32:14.150,2.560,15.000,3.902,-12.683
1547472734190,2019-01-14T14:32:14.190,2.600,13.354,-1.524,-8.476
1547472734230,2019-01-14T14:32:14.230,2.640,18.232,2.988,-13.963
1547472734270,2019-01-14T14:32:14.270,2.680,12.317,-1.951,4.207
1547472734310,2019-01-14T14:32:14.310,2.720,5.976,-2.744,11.341
1547472734350,2019-01-14T14:32:14.350,2.760,1.585,0.732,-2.256
1547472734390,2019-01-14T14:32:14.390,2.800,-9.390,14.207,-4.512
1547472734430,2019-01-14T14:32:14.430,2.840,-3.293,1.159,1.646
1547472734470,2019-01-14T14:32:14.470,2.880,1.463,-0.610,-2.927
1547472734510,2019-01-14T14:32:14.510,2.920,4.878,-0.915,-4.939
1547472734550,2019-01-14T14:32:14.550,2.960,3.110,-1.159,-4.146
1547472734590,2019-01-14T14:32:14.590,3.000,3.659,1.829,-10.000
1547472734630,2019-01-14T14:32:14.630,3.040,5.122,-6.402,-2.622
1547472734670,2019-01-14T14:32:14.670,3.080,0.915,2.012,-5.732
1547472734710,2019-01-14T14:32:14.710,3.120,1.402,-3.415,-3.902
1547472734750,2019-01-14T14:32:14.750,3.160,5.122,-1.463,-9.024
1547472734790,2019-01-14T14:32:14.790,3.200,8.659,-6.707,-11.707
1547472734830,2019-01-14T14:32:14.830,3.240,8.659,-8.171,-8.110
1547472734870,2019-01-14T14:32:14.870,3.280,8.841,2.866,-22.317
1547472734910,2019-01-14T14:32:14.910,3.320,8.110,-7.317,-17.805
1547472734950,2019-01-14T14:32:14.950,3.360,8.110,-0.610,-27.439
1547472734990,2019-01-14T14:32:14.990,3.400,11.646,-5.671,-25.305
1547472735030,2019-01-14T14:32:15.030,3.440,7.073,3.720,-28.415
1547472735070,2019-01-14T14:32:15.070,3.480,7.378,6.220,-30.976
1547472735110,2019-01-14T14:32:15.110,3.520,8.902,-1.585,-23.659
1547472735150,2019-01-14T14:32:15.150,3.560,3.902,2.256,-25.549
1547472735190,2019-01-14T14:32:15.190,3.600,9.878,-7.134,-18.415
1547472735230,2019-01-14T14:32:15.230,3.640,15.549,-5.793,-16.829
1547472735270,2019-01-14T14:32:15.270,3.680,12.622,-2.561,-12.317
1547472735310,2019-01-14T14:32:15.310,3.720,9.207,-12.317,-4.878
1547472735350,2019-01-14T14:32:15.350,3.760,2.317,-11.280,1.463
1547472735390,2019-01-14T14:32:15.390,3.800,0.061,-8.293,-5.244
1547472735430,2019-01-14T14:32:15.430,3.840,3.293,-9.451,-0.122
1547472735470,2019-01-14T14:32:15.470,3.880,0.244,-18.720,13.659
1547472735510,2019-01-14T14:32:15.510,3.920,-5.000,-11.768,14.817
1547472735550,2019-01-14T14:32:15.550,3.960,-10.915,-13.963,15.122
1547472735590,2019-01-14T14:32:15.590,4.000,-16.768,-14.939,24.268
1547472735630,2019-01-14T14:32:15.630,4.040,-20.732,-16.585,25.305
1547472735670,2019-01-14T14:32:15.670,4.080,-22.500,-18.780,23.354
1547472735710,2019-01-14T14:32:15.710,4.120,-20.427,-13.293,6.829
1547472735750,2019-01-14T14:32:15.750,4.160,-9.756,-8.902,-5.183
1547472735790,2019-01-14T14:32:15.790,4.200,3.476,-2.439,-15.000
1547472735830,2019-01-14T14:32:15.830,4.240,6.524,12.378,-35.061
1547472735870,2019-01-14T14:32:15.870,4.280,1.402,21.280,-42.195
1547472735910,2019-01-14T14:32:15.910,4.320,2.500,10.427,-36.220
1547472735950,2019-01-14T14:32:15.950,4.360,4.878,8.720,-25.000
1547472735990,2019-01-14T14:32:15.990,4.400,9.207,10.122,-15.427
1547472736030,2019-01-14T14:32:16.030,4.440,10.793,11.524,-9.268
1547472736070,2019-01-14T14:32:16.070,4.480,9.634,6.707,-3.659
1547472736110,2019-01-14T14:32:16.110,4.520,14.146,-10.549,16.402
1547472736150,2019-01-14T14:32:16.150,4.560,5.488,2.439,19.512
1547472736190,2019-01-14T14:32:16.190,4.600,-11.768,14.451,13.293
1547472736230,2019-01-14T14:32:16.230,4.640,-12.805,4.268,29.329
1547472736270,2019-01-14T14:32:16.270,4.680,-9.207,3.354,33.476
1547472736310,2019-01-14T14:32:16.310,4.720,-3.841,-19.329,54.756
1547472736350,2019-01-14T14:32:16.350,4.760,-15.854,4.390,41.220
1547472736390,2019-01-14T14:32:16.390,4.800,-15.061,15.488,37.683
1547472736430,2019-01-14T14:32:16.430,4.840,-13.598,-8.902,69.268
1547472736470,2019-01-14T14:32:16.470,4.880,-16.829,-1.280,66.220
1547472736510,2019-01-14T14:32:16.510,4.920,-35.061,15.000,57.439
1547472736550,2019-01-14T14:32:16.550,4.960,-23.780,9.146,30.366
1547472736590,2019-01-14T14:32:16.590,5.000,-5.732,-9.146,15.610
1547472736630,2019-01-14T14:32:16.630,5.040,11.524,-2.439,-5.305
1547472736670,2019-01-14T14:32:16.670,5.080,12.561,-2.622,-11.037
1547472736710,2019-01-14T14:32:16.710,5.120,12.866,-1.829,-10.915
1547472736750,2019-01-14T14:32:16.750,5.160,11.341,3.902,-19.634
1547472736790,2019-01-14T14:32:16.790,5.200,10.244,-7.195,0.000
1547472736830,2019-01-14T14:32:16.830,5.240,8.049,-0.732,-1.159
1547472736870,2019-01-14T14:32:16.870,5.280,-2.378,10.976,-6.707
1547472736910,2019-01-14T14:32:16.910,5.320,-0.793,1.524,2.073
1547472736950,2019-01-14T14:32:16.950,5.360,1.707,-2.012,2.500
1547472736990,2019-01-14T14:32:16.990,5.400,-0.976,4.146,-3.232
1547472737030,2019-01-14T14:32:17.030,5.440,1.463,0.427,-2.866
1547472737070,2019-01-14T14:32:17.070,5.480,1.707,-1.098,-2.683
1547472737110,2019-01-14T14:32:17.110,5.520,0.000,0.488,-4.878
1547472737150,2019-01-14T14:32:17.150,5.560,-0.488,3.293,-3.902
1547472737190,2019-01-14T14:32:17.190,5.600,5.061,-7.073,4.817
1547472737230,2019-01-14T14:32:17.230,5.640,0.671,-0.488,-0.427
1547472737270,2019-01-14T14:32:17.270,5.680,-4.817,2.073,0.122
1547472737310,2019-01-14T14:32:17.310,5.720,-0.488,-0.366,0.244
1547472737350,2019-01-14T14:32:17.350,5.760,-0.976,0.183,-0.854
1547472737390,2019-01-14T14:32:17.390,5.800,3.720,-3.415,-3.780
1547472737430,2019-01-14T14:32:17.430,5.840,-1.463,1.585,-2.622
1547472737470,2019-01-14T14:32:17.470,5.880,-2.378,4.268,-6.768
1547472737510,2019-01-14T14:32:17.510,5.920,-0.427,0.549,-3.598
1547472737550,2019-01-14T14:32:17.550,5.960,6.037,-3.232,-6.098
1547472737590,2019-01-14T14:32:17.590,6.000,5.915,-0.427,-7.744
1547472737630,2019-01-14T14:32:17.630,6.040,3.902,2.622,-12.256
1547472737670,2019-01-14T14:32:17.670,6.080,4.939,-2.439,-9.451
1547472737710,2019-01-14T14:32:17.710,6.120,14.207,1.341,-23.902
1547472737750,2019-01-14T14:32:17.750,6.160,13.232,0.305,-28.232
1547472737790,2019-01-14T14:32:17.790,6.200,14.817,-1.220,-28.902
1547472737830,2019-01-14T14:32:17.830,6.240,11.646,0.244,-28.537
1547472737870,2019-01-14T14:32:17.870,6.280,13.110,3.598,-29.756
1547472737910,2019-01-14T14:32:17.910,6.320,20.061,4.939,-35.122
