epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547473887607,2019-01-14T14:51:27.607,0.000,0.047,1.118,0.385
1547473887687,2019-01-14T14:51:27.687,0.080,0.025,1.570,0.512
1547473887767,2019-01-14T14:51:27.767,0.160,-0.059,1.722,0.542
1547473887847,2019-01-14T14:51:27.847,0.240,-0.202,1.443,0.367
1547473887927,2019-01-14T14:51:27.927,0.320,-0.210,1.030,0.261
1547473888007,2019-01-14T14:51:28.007,0.400,-0.211,0.826,0.176
1547473888087,2019-01-14T14:51:28.087,0.480,-0.222,0.732,0.109
1547473888167,2019-01-14T14:51:28.167,0.560,-0.225,0.733,0.093
1547473888247,2019-01-14T14:51:28.247,0.640,-0.077,0.546,0.184
1547473888327,2019-01-14T14:51:28.327,0.720,-0.146,0.295,-0.188
1547473888407,2019-01-14T14:51:28.407,0.800,-0.061,0.586,0.220
1547473888487,2019-01-14T14:51:28.487,0.880,0.040,0.936,0.082
1547473888567,2019-01-14T14:51:28.567,0.960,0.046,1.022,0.107
1547473888647,2019-01-14T14:51:28.647,1.040,0.023,0.964,0.056
1547473888727,2019-01-14T14:51:28.727,1.120,0.014,0.937,0.157
1547473888807,2019-01-14T14:51:28.807,1.200,0.008,0.982,0.120
1547473888887,2019-01-14T14:51:28.887,1.280,0.022,0.965,0.137
1547473888967,2019-01-14T14:51:28.967,1.360,0.009,0.929,0.123
1547473889047,2019-01-14T14:51:29.047,1.440,0.047,0.966,0.090
1547473889127,2019-01-14T14:51:29.127,1.520,0.028,0.955,0.076
1547473889207,2019-01-14T14:51:29.207,1.600,-0.010,0.857,0.049
1547473889287,2019-01-14T14:51:29.287,1.680,-0.036,0.769,0.052
1547473889367,2019-01-14T14:51:29.367,1.760,-0.044,0.765,0.023
1547473889447,2019-01-14T14:51:29.447,1.840,-0.108,0.830,0.093
1547473889527,2019-01-14T14:51:29.527,1.920,-0.218,0.861,0.121
1547473889607,2019-01-14T14:51:29.607,2.000,-0.246,0.908,0.096
1547473889687,2019-01-14T14:51:29.687,2.080,-0.309,0.895,0.140
1547473889767,2019-01-14T14:51:29.767,2.160,-0.320,0.910,0.101
1547473889847,2019-01-14T14:51:29.847,2.240,-0.339,0.951,0.159
1547473889927,2019-01-14T14:51:29.927,2.320,-0.353,0.990,0.153
1547473890007,2019-01-14T14:51:30.007,2.400,-0.317,1.004,0.113
1547473890087,2019-01-14T14:51:30.087,2.480,-0.301,1.013,0.150
1547473890167,2019-01-14T14:51:30.167,2.560,-0.227,0.980,0.112
1547473890247,2019-01-14T14:51:30.247,2.640,-0.160,1.000,0.102
1547473890327,2019-01-14T14:51:30.327,2.720,-0.120,1.006,0.155
1547473890407,2019-01-14T14:51:30.407,2.800,-0.041,1.033,0.151
1547473890487,2019-01-14T14:51:30.487,2.880,-0.050,1.118,0.238
1547473890567,2019-01-14T14:51:30.567,2.960,0.013,1.127,0.232
1547473890647,2019-01-14T14:51:30.647,3.040,0.051,1.015,0.180
1547473890727,2019-01-14T14:51:30.727,3.120,0.039,0.923,0.173
1547473890807,2019-01-14T14:51:30.807,3.200,0.021,0.919,0.173
1547473890887,2019-01-14T14:51:30.887,3.280,0.024,0.937,0.183
1547473890967,2019-01-14T14:51:30.967,3.360,0.024,1.168,0.202
1547473891047,2019-01-14T14:51:31.047,3.440,-0.078,1.471,0.293
1547473891127,2019-01-14T14:51:31.127,3.520,-0.186,1.403,0.214
1547473891207,2019-01-14T14:51:31.207,3.600,-0.266,1.126,0.226
1547473891287,2019-01-14T14:51:31.287,3.680,-0.332,1.012,0.094
1547473891367,2019-01-14T14:51:31.367,3.760,-0.337,0.902,0.080
1547473891447,2019-01-14T14:51:31.447,3.840,-0.305,0.845,0.066
1547473891527,2019-01-14T14:51:31.527,3.920,-0.258,0.806,0.066
1547473891607,2019-01-14T14:51:31.607,4.000,-0.146,0.763,0.104
1547473891687,2019-01-14T14:51:31.687,4.080,-0.045,0.517,0.085
1547473891767,2019-01-14T14:51:31.767,4.160,-0.067,0.476,-0.136
1547473891847,2019-01-14T14:51:31.847,4.240,-0.037,0.813,0.197
1547473891927,2019-01-14T14:51:31.927,4.320,0.046,1.051,0.108
1547473892007,2019-01-14T14:51:32.007,4.400,-0.017,0.990,0.182
1547473892087,2019-01-14T14:51:32.087,4.480,-0.021,0.914,0.075
1547473892167,2019-01-14T14:51:32.167,4.560,-0.021,0.946,0.095
1547473892247,2019-01-14T14:51:32.247,4.640,-0.035,0.982,0.122
1547473892327,2019-01-14T14:51:32.327,4.720,-0.058,0.942,0.077
1547473892407,2019-01-14T14:51:32.407,4.800,-0.077,0.843,0.039
1547473892487,2019-01-14T14:51:32.487,4.880,-0.090,0.777,0.020
1547473892567,2019-01-14T14:51:32.567,4.960,-0.107,0.826,0.012
1547473892647,2019-01-14T14:51:32.647,5.040,-0.170,0.839,0.065
1547473892727,2019-01-14T14:51:32.727,5.120,-0.205,0.896,-0.024
1547473892807,2019-01-14T14:51:32.807,5.200,-0.254,0.892,-0.012
1547473892887,2019-01-14T14:51:32.887,5.280,-0.304,0.880,0.033
1547473892967,2019-01-14T14:51:32.967,5.360,-0.279,0.866,-0.008
1547473893047,2019-01-14T14:51:33.047,5.440,-0.297,0.930,-0.011
1547473893127,2019-01-14T14:51:33.127,5.520,-0.311,0.989,0.015
1547473893207,2019-01-14T14:51:33.207,5.600,-0.288,1.001,0.065
1547473893287,2019-01-14T14:51:33.287,5.680,-0.291,1.020,0.072
