epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547580495831,2019-01-15T20:28:15.831,0.000,0.036,-1.000,-0.270
1547580495911,2019-01-15T20:28:15.911,0.080,0.003,-0.979,-0.267
1547580495991,2019-01-15T20:28:15.991,0.160,0.046,-1.008,-0.276
1547580496071,2019-01-15T20:28:16.071,0.240,0.105,-1.063,-0.232
1547580496151,2019-01-15T20:28:16.151,0.320,0.012,-1.041,-0.276
1547580496231,2019-01-15T20:28:16.231,0.400,0.002,-0.967,-0.198
1547580496311,2019-01-15T20:28:16.311,0.480,-0.026,-1.103,-0.152
1547580496391,2019-01-15T20:28:16.391,0.560,0.007,-1.262,-0.151
1547580496471,2019-01-15T20:28:16.471,0.640,0.016,-1.296,-0.117
1547580496551,2019-01-15T20:28:16.551,0.720,0.020,-1.278,-0.160
1547580496631,2019-01-15T20:28:16.631,0.800,0.029,-1.226,-0.132
1547580496711,2019-01-15T20:28:16.711,0.880,0.019,-1.171,-0.150
1547580496791,2019-01-15T20:28:16.791,0.960,0.005,-1.118,-0.104
1547580496871,2019-01-15T20:28:16.871,1.040,0.009,-1.023,-0.078
1547580496951,2019-01-15T20:28:16.951,1.120,0.026,-0.938,-0.040
1547580497031,2019-01-15T20:28:17.031,1.200,-0.002,-0.850,-0.017
1547580497111,2019-01-15T20:28:17.111,1.280,-0.010,-0.755,0.020
1547580497191,2019-01-15T20:28:17.191,1.360,0.079,-0.661,0.133
1547580497271,2019-01-15T20:28:17.271,1.440,0.059,-0.676,0.243
1547580497351,2019-01-15T20:28:17.351,1.520,0.035,-0.822,0.339
1547580497431,2019-01-15T20:28:17.431,1.600,0.011,-0.970,0.363
1547580497511,2019-01-15T20:28:17.511,1.680,0.011,-0.953,0.403
1547580497591,2019-01-15T20:28:17.591,1.760,0.032,-0.908,0.379
1547580497671,2019-01-15T20:28:17.671,1.840,0.020,-0.891,0.417
1547580497751,2019-01-15T20:28:17.751,1.920,0.024,-0.929,0.396
1547580497831,2019-01-15T20:28:17.831,2.000,-0.013,-0.919,0.277
1547580497911,2019-01-15T20:28:17.911,2.080,0.022,-0.872,0.246
1547580497991,2019-01-15T20:28:17.991,2.160,0.010,-0.854,0.190
1547580498071,2019-01-15T20:28:18.071,2.240,0.030,-0.870,0.144
1547580498151,2019-01-15T20:28:18.151,2.320,0.016,-0.917,0.064
1547580498231,2019-01-15T20:28:18.231,2.400,0.008,-1.011,0.022
1547580498311,2019-01-15T20:28:18.311,2.480,0.009,-1.000,0.022
1547580498391,2019-01-15T20:28:18.391,2.560,0.034,-0.957,-0.040
1547580498471,2019-01-15T20:28:18.471,2.640,-0.031,-1.028,-0.015
1547580498551,2019-01-15T20:28:18.551,2.720,0.009,-1.042,-0.055
1547580498631,2019-01-15T20:28:18.631,2.800,-0.014,-1.024,-0.079
