epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547580752315,2019-01-15T20:32:32.315,0.000,23.963,81.951,13.598
1547580752355,2019-01-15T20:32:32.355,0.040,25.000,60.976,9.634
1547580752395,2019-01-15T20:32:32.395,0.080,10.976,10.122,6.098
1547580752435,2019-01-15T20:32:32.435,0.120,-1.890,-79.756,-2.317
1547580752475,2019-01-15T20:32:32.475,0.160,29.451,-194.756,-14.085
1547580752515,2019-01-15T20:32:32.515,0.200,36.098,-144.512,-10.488
1547580752555,2019-01-15T20:32:32.555,0.240,18.476,-42.439,0.732
1547580752595,2019-01-15T20:32:32.595,0.280,-0.976,-26.220,10.549
1547580752635,2019-01-15T20:32:32.635,0.320,-7.439,-24.329,12.195
1547580752675,2019-01-15T20:32:32.675,0.360,5.366,6.890,6.890
1547580752715,2019-01-15T20:32:32.715,0.400,8.902,25.854,5.671
1547580752755,2019-01-15T20:32:32.755,0.440,3.780,31.585,5.610
1547580752795,2019-01-15T20:32:32.795,0.480,3.415,12.683,1.585
1547580752835,2019-01-15T20:32:32.835,0.520,6.341,-6.098,0.915
1547580752875,2019-01-15T20:32:32.875,0.560,8.354,5.854,1.951
1547580752915,2019-01-15T20:32:32.915,0.600,12.012,7.744,2.866
1547580752955,2019-01-15T20:32:32.955,0.640,13.780,-4.695,1.463
1547580752995,2019-01-15T20:32:32.995,0.680,7.622,3.720,0.000
1547580753035,2019-01-15T20:32:33.035,0.720,-7.561,-18.476,2.927
1547580753075,2019-01-15T20:32:33.075,0.760,-9.451,-44.878,7.866
1547580753115,2019-01-15T20:32:33.115,0.800,-0.854,-27.866,3.537
1547580753155,2019-01-15T20:32:33.155,0.840,17.683,-8.171,-6.768
1547580753195,2019-01-15T20:32:33.195,0.880,17.134,7.927,-4.695
1547580753235,2019-01-15T20:32:33.235,0.920,9.146,28.171,1.341
1547580753275,2019-01-15T20:32:33.275,0.960,5.854,20.671,5.244
1547580753315,2019-01-15T20:32:33.315,1.000,10.549,7.195,8.110
1547580753355,2019-01-15T20:32:33.355,1.040,7.866,9.939,7.622
1547580753395,2019-01-15T20:32:33.395,1.080,0.427,7.866,7.195
1547580753435,2019-01-15T20:32:33.435,1.120,2.500,-2.622,5.854
1547580753475,2019-01-15T20:32:33.475,1.160,5.183,-11.037,1.159
1547580753515,2019-01-15T20:32:33.515,1.200,6.951,-6.402,2.561
1547580753555,2019-01-15T20:32:33.555,1.240,7.561,0.122,-0.427
1547580753595,2019-01-15T20:32:33.595,1.280,6.524,-5.305,-6.890
1547580753635,2019-01-15T20:32:33.635,1.320,10.549,-13.598,-2.927
1547580753675,2019-01-15T20:32:33.675,1.360,8.476,-24.634,-5.671
1547580753715,2019-01-15T20:32:33.715,1.400,2.012,-6.463,-5.366
1547580753755,2019-01-15T20:32:33.755,1.440,4.207,-12.378,-3.049
1547580753795,2019-01-15T20:32:33.795,1.480,7.378,-15.061,-2.805
1547580753835,2019-01-15T20:32:33.835,1.520,1.280,-15.061,-0.610
1547580753875,2019-01-15T20:32:33.875,1.560,2.988,-6.098,-1.220
1547580753915,2019-01-15T20:32:33.915,1.600,1.524,-17.439,-5.915
1547580753955,2019-01-15T20:32:33.955,1.640,5.244,-16.220,3.110
1547580753995,2019-01-15T20:32:33.995,1.680,7.683,-7.317,1.707
1547580754035,2019-01-15T20:32:34.035,1.720,9.085,0.671,0.793
1547580754075,2019-01-15T20:32:34.075,1.760,10.976,-0.671,2.439
1547580754115,2019-01-15T20:32:34.115,1.800,17.866,-6.220,1.890
1547580754155,2019-01-15T20:32:34.155,1.840,16.159,-13.659,-3.049
1547580754195,2019-01-15T20:32:34.195,1.880,27.561,-13.598,0.366
1547580754235,2019-01-15T20:32:34.235,1.920,32.012,-5.976,-3.841
1547580754275,2019-01-15T20:32:34.275,1.960,46.646,-12.561,-0.366
1547580754315,2019-01-15T20:32:34.315,2.000,68.049,-26.220,2.988
1547580754355,2019-01-15T20:32:34.355,2.040,80.244,-30.671,1.890
1547580754395,2019-01-15T20:32:34.395,2.080,90.610,-28.963,1.890
1547580754435,2019-01-15T20:32:34.435,2.120,91.829,-19.085,8.049
1547580754475,2019-01-15T20:32:34.475,2.160,92.073,-14.878,5.244
1547580754515,2019-01-15T20:32:34.515,2.200,72.256,8.720,4.695
1547580754555,2019-01-15T20:32:34.555,2.240,56.280,21.707,10.000
1547580754595,2019-01-15T20:32:34.595,2.280,40.976,8.171,3.720
1547580754635,2019-01-15T20:32:34.635,2.320,22.073,4.695,2.439
1547580754675,2019-01-15T20:32:34.675,2.360,9.146,-1.463,0.366
1547580754715,2019-01-15T20:32:34.715,2.400,-3.902,-4.085,1.098
1547580754755,2019-01-15T20:32:34.755,2.440,-16.585,-5.305,2.500
1547580754795,2019-01-15T20:32:34.795,2.480,-26.341,1.951,-1.890
1547580754835,2019-01-15T20:32:34.835,2.520,-28.110,-3.171,-3.780
1547580754875,2019-01-15T20:32:34.875,2.560,-32.561,-1.280,-1.159
1547580754915,2019-01-15T20:32:34.915,2.600,-35.000,-4.085,-1.280
1547580754955,2019-01-15T20:32:34.955,2.640,-32.561,-4.451,-0.610
1547580754995,2019-01-15T20:32:34.995,2.680,-31.524,-1.951,-1.524
1547580755035,2019-01-15T20:32:35.035,2.720,-33.293,-5.732,1.341
1547580755075,2019-01-15T20:32:35.075,2.760,-37.256,-1.768,0.793
1547580755115,2019-01-15T20:32:35.115,2.800,-38.963,-0.366,1.829
1547580755155,2019-01-15T20:32:35.155,2.840,-39.390,-4.695,-0.610
1547580755195,2019-01-15T20:32:35.195,2.880,-46.220,8.537,0.549
1547580755235,2019-01-15T20:32:35.235,2.920,-49.939,7.683,-0.305
1547580755275,2019-01-15T20:32:35.275,2.960,-47.927,2.378,2.744
1547580755315,2019-01-15T20:32:35.315,3.000,-43.537,-3.049,0.183
1547580755355,2019-01-15T20:32:35.355,3.040,-38.841,-5.488,0.244
1547580755395,2019-01-15T20:32:35.395,3.080,-36.951,-0.488,-1.341
1547580755435,2019-01-15T20:32:35.435,3.120,-28.354,1.341,-0.305
1547580755475,2019-01-15T20:32:35.475,3.160,-20.244,-4.695,-2.195
1547580755515,2019-01-15T20:32:35.515,3.200,-13.963,-4.451,2.805
1547580755555,2019-01-15T20:32:35.555,3.240,-8.780,-8.232,1.646
1547580755595,2019-01-15T20:32:35.595,3.280,-4.085,-13.659,-0.122
1547580755635,2019-01-15T20:32:35.635,3.320,-6.524,6.951,4.451
1547580755675,2019-01-15T20:32:35.675,3.360,0.854,-26.341,3.598
1547580755715,2019-01-15T20:32:35.715,3.400,-2.622,-8.415,0.122
