epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547474074877,2019-01-14T14:54:34.877,0.000,-0.009,1.245,0.535
1547474074957,2019-01-14T14:54:34.957,0.080,-0.108,1.579,0.670
1547474075037,2019-01-14T14:54:35.037,0.160,-0.137,1.517,0.593
1547474075117,2019-01-14T14:54:35.117,0.240,-0.201,1.141,0.487
1547474075197,2019-01-14T14:54:35.197,0.320,-0.268,0.883,0.227
1547474075277,2019-01-14T14:54:35.277,0.400,-0.298,0.672,0.199
1547474075357,2019-01-14T14:54:35.357,0.480,-0.297,0.609,0.200
1547474075437,2019-01-14T14:54:35.437,0.560,-0.302,0.715,0.144
1547474075517,2019-01-14T14:54:35.517,0.640,-0.249,0.776,0.172
1547474075597,2019-01-14T14:54:35.597,0.720,-0.146,0.788,0.157
1547474075677,2019-01-14T14:54:35.677,0.800,-0.053,0.571,0.018
1547474075757,2019-01-14T14:54:35.757,0.880,-0.110,0.456,0.039
1547474075837,2019-01-14T14:54:35.837,0.960,-0.062,0.859,-0.003
1547474075917,2019-01-14T14:54:35.917,1.040,-0.043,1.269,0.286
1547474075997,2019-01-14T14:54:35.997,1.120,-0.037,0.991,0.089
1547474076077,2019-01-14T14:54:36.077,1.200,-0.085,0.798,0.032
1547474076157,2019-01-14T14:54:36.157,1.280,-0.057,0.980,0.173
1547474076237,2019-01-14T14:54:36.237,1.360,-0.083,1.023,0.139
1547474076317,2019-01-14T14:54:36.317,1.440,-0.088,0.945,0.125
1547474076397,2019-01-14T14:54:36.397,1.520,-0.096,0.882,0.099
1547474076477,2019-01-14T14:54:36.477,1.600,-0.146,0.835,0.089
1547474076557,2019-01-14T14:54:36.557,1.680,-0.116,0.853,0.079
1547474076637,2019-01-14T14:54:36.637,1.760,-0.182,0.852,0.029
1547474076717,2019-01-14T14:54:36.717,1.840,-0.217,0.851,0.061
1547474076797,2019-01-14T14:54:36.797,1.920,-0.260,0.855,-0.033
1547474076877,2019-01-14T14:54:36.877,2.000,-0.295,0.959,0.020
1547474076957,2019-01-14T14:54:36.957,2.080,-0.343,0.865,0.100
1547474077037,2019-01-14T14:54:37.037,2.160,-0.304,0.857,0.034
1547474077117,2019-01-14T14:54:37.117,2.240,-0.322,0.829,0.078
1547474077197,2019-01-14T14:54:37.197,2.320,-0.344,0.877,0.129
1547474077277,2019-01-14T14:54:37.277,2.400,-0.359,0.940,0.167
1547474077357,2019-01-14T14:54:37.357,2.480,-0.351,0.961,0.195
1547474077437,2019-01-14T14:54:37.437,2.560,-0.316,0.989,0.153
1547474077517,2019-01-14T14:54:37.517,2.640,-0.251,0.984,0.138
1547474077597,2019-01-14T14:54:37.597,2.720,-0.207,0.988,0.133
1547474077677,2019-01-14T14:54:37.677,2.800,-0.168,1.014,0.138
1547474077757,2019-01-14T14:54:37.757,2.880,-0.144,1.030,0.252
1547474077837,2019-01-14T14:54:37.837,2.960,-0.106,1.052,0.241
1547474077917,2019-01-14T14:54:37.917,3.040,-0.038,1.046,0.235
1547474077997,2019-01-14T14:54:37.997,3.120,-0.025,1.096,0.272
1547474078077,2019-01-14T14:54:38.077,3.200,-0.007,0.985,0.251
1547474078157,2019-01-14T14:54:38.157,3.280,0.004,0.852,0.169
1547474078237,2019-01-14T14:54:38.237,3.360,0.003,1.148,0.168
1547474078317,2019-01-14T14:54:38.317,3.440,-0.125,1.535,0.292
1547474078397,2019-01-14T14:54:38.397,3.520,-0.252,1.457,0.231
1547474078477,2019-01-14T14:54:38.477,3.600,-0.280,1.118,0.096
1547474078557,2019-01-14T14:54:38.557,3.680,-0.273,0.943,0.111
1547474078637,2019-01-14T14:54:38.637,3.760,-0.314,0.905,0.037
1547474078717,2019-01-14T14:54:38.717,3.840,-0.295,0.844,-0.057
1547474078797,2019-01-14T14:54:38.797,3.920,-0.246,0.788,-0.009
1547474078877,2019-01-14T14:54:38.877,4.000,-0.190,0.777,0.069
1547474078957,2019-01-14T14:54:38.957,4.080,-0.102,0.556,0.027
1547474079037,2019-01-14T14:54:39.037,4.160,-0.125,0.491,-0.156
1547474079117,2019-01-14T14:54:39.117,4.240,-0.102,0.793,0.044
1547474079197,2019-01-14T14:54:39.197,4.320,-0.030,1.066,0.094
1547474079277,2019-01-14T14:54:39.277,4.400,-0.056,1.011,0.116
1547474079357,2019-01-14T14:54:39.357,4.480,-0.076,0.907,-0.001
1547474079437,2019-01-14T14:54:39.437,4.560,-0.076,0.963,0.096
1547474079517,2019-01-14T14:54:39.517,4.640,-0.081,0.967,0.051
1547474079597,2019-01-14T14:54:39.597,4.720,-0.125,0.895,0.070
1547474079677,2019-01-14T14:54:39.677,4.800,-0.121,0.826,0.017
1547474079757,2019-01-14T14:54:39.757,4.880,-0.160,0.792,0.035
1547474079837,2019-01-14T14:54:39.837,4.960,-0.199,0.823,0.063
1547474079917,2019-01-14T14:54:39.917,5.040,-0.273,0.883,0.097
1547474079997,2019-01-14T14:54:39.997,5.120,-0.322,0.859,0.069
1547474080077,2019-01-14T14:54:40.077,5.200,-0.346,0.811,0.008
1547474080157,2019-01-14T14:54:40.157,5.280,-0.388,0.849,0.059
1547474080237,2019-01-14T14:54:40.237,5.360,-0.413,0.854,0.063
1547474080317,2019-01-14T14:54:40.317,5.440,-0.424,0.890,0.061
1547474080397,2019-01-14T14:54:40.397,5.520,-0.392,0.903,0.139
1547474080477,2019-01-14T14:54:40.477,5.600,-0.410,0.947,0.114
1547474080557,2019-01-14T14:54:40.557,5.680,-0.392,0.962,0.179
1547474080637,2019-01-14T14:54:40.637,5.760,-0.331,0.992,0.133
1547474080717,2019-01-14T14:54:40.717,5.840,-0.271,1.023,0.159
1547474080797,2019-01-14T14:54:40.797,5.920,-0.206,1.048,0.196
1547474080877,2019-01-14T14:54:40.877,6.000,-0.162,1.053,0.242
1547474080957,2019-01-14T14:54:40.957,6.080,-0.094,1.035,0.219
1547474081037,2019-01-14T14:54:41.037,6.160,-0.018,1.000,0.249
1547474081117,2019-01-14T14:54:41.117,6.240,-0.052,1.229,0.311
1547474081197,2019-01-14T14:54:41.197,6.320,-0.097,1.422,0.377
1547474081277,2019-01-14T14:54:41.277,6.400,-0.197,1.353,0.235
1547474081357,2019-01-14T14:54:41.357,6.480,-0.227,1.092,0.183
1547474081437,2019-01-14T14:54:41.437,6.560,-0.341,0.973,0.100
1547474081517,2019-01-14T14:54:41.517,6.640,-0.345,0.827,0.080
1547474081597,2019-01-14T14:54:41.597,6.720,-0.343,0.733,0.045
1547474081677,2019-01-14T14:54:41.677,6.800,-0.378,0.800,0.023
1547474081757,2019-01-14T14:54:41.757,6.880,-0.352,0.873,-0.049
1547474081837,2019-01-14T14:54:41.837,6.960,-0.286,0.867,0.068
1547474081917,2019-01-14T14:54:41.917,7.040,-0.157,0.815,0.062
1547474081997,2019-01-14T14:54:41.997,7.120,-0.143,0.581,0.010
1547474082077,2019-01-14T14:54:42.077,7.200,-0.146,0.600,-0.005
1547474082157,2019-01-14T14:54:42.157,7.280,-0.089,0.896,0.130
1547474082237,2019-01-14T14:54:42.237,7.360,-0.117,1.065,0.208
1547474082317,2019-01-14T14:54:42.317,7.440,-0.118,0.995,0.161
1547474082397,2019-01-14T14:54:42.397,7.520,-0.135,0.917,0.099
1547474082477,2019-01-14T14:54:42.477,7.600,-0.131,0.942,0.173
1547474082557,2019-01-14T14:54:42.557,7.680,-0.136,0.940,0.092
1547474082637,2019-01-14T14:54:42.637,7.760,-0.155,0.909,0.108
1547474082717,2019-01-14T14:54:42.717,7.840,-0.167,0.808,0.074
1547474082797,2019-01-14T14:54:42.797,7.920,-0.173,0.738,0.059
1547474082877,2019-01-14T14:54:42.877,8.000,-0.216,0.747,0.059
1547474082957,2019-01-14T14:54:42.957,8.080,-0.259,0.868,0.075
1547474083037,2019-01-14T14:54:43.037,8.160,-0.337,0.892,0.052
1547474083117,2019-01-14T14:54:43.117,8.240,-0.328,0.901,0.004
1547474083197,2019-01-14T14:54:43.197,8.320,-0.361,0.817,0.000
1547474083277,2019-01-14T14:54:43.277,8.400,-0.372,0.835,0.083
1547474083357,2019-01-14T14:54:43.357,8.480,-0.388,0.900,-0.029
1547474083437,2019-01-14T14:54:43.437,8.560,-0.358,0.943,0.055
1547474083517,2019-01-14T14:54:43.517,8.640,-0.292,0.956,0.136
1547474083597,2019-01-14T14:54:43.597,8.720,-0.223,1.026,0.138
1547474083677,2019-01-14T14:54:43.677,8.800,-0.148,1.015,0.232
1547474083757,2019-01-14T14:54:43.757,8.880,-0.079,1.044,0.188
1547474083837,2019-01-14T14:54:43.837,8.960,0.017,1.126,0.236
1547474083917,2019-01-14T14:54:43.917,9.040,0.077,1.145,0.436
1547474083997,2019-01-14T14:54:43.997,9.120,0.150,1.135,0.315
1547474084077,2019-01-14T14:54:44.077,9.200,0.151,1.021,0.262
1547474084157,2019-01-14T14:54:44.157,9.280,0.106,0.823,0.242
1547474084237,2019-01-14T14:54:44.237,9.360,0.093,0.821,0.185
1547474084317,2019-01-14T14:54:44.317,9.440,0.076,1.247,0.263
1547474084397,2019-01-14T14:54:44.397,9.520,-0.015,1.533,0.396
1547474084477,2019-01-14T14:54:44.477,9.600,-0.141,1.296,0.237
1547474084557,2019-01-14T14:54:44.557,9.680,-0.249,1.030,0.156
1547474084637,2019-01-14T14:54:44.637,9.760,-0.283,0.860,0.252
1547474084717,2019-01-14T14:54:44.717,9.840,-0.333,0.856,0.095
1547474084797,2019-01-14T14:54:44.797,9.920,-0.358,0.815,0.048
1547474084877,2019-01-14T14:54:44.877,10.000,-0.355,0.821,0.053
1547474084957,2019-01-14T14:54:44.957,10.080,-0.359,0.786,0.152
1547474085037,2019-01-14T14:54:45.037,10.160,-0.322,0.770,0.106
1547474085117,2019-01-14T14:54:45.117,10.240,-0.245,0.845,0.017
1547474085197,2019-01-14T14:54:45.197,10.320,-0.147,0.810,0.210
1547474085277,2019-01-14T14:54:45.277,10.400,-0.108,0.647,-0.015
1547474085357,2019-01-14T14:54:45.357,10.480,-0.122,0.683,-0.072
1547474085437,2019-01-14T14:54:45.437,10.560,-0.080,0.979,0.124
1547474085517,2019-01-14T14:54:45.517,10.640,-0.028,1.082,-0.006
1547474085597,2019-01-14T14:54:45.597,10.720,-0.046,0.957,-0.018
1547474085677,2019-01-14T14:54:45.677,10.800,-0.050,0.935,0.038
1547474085757,2019-01-14T14:54:45.757,10.880,-0.032,1.001,0.009
1547474085837,2019-01-14T14:54:45.837,10.960,-0.075,0.982,0.063
1547474085917,2019-01-14T14:54:45.917,11.040,-0.093,0.895,-0.006
1547474085997,2019-01-14T14:54:45.997,11.120,-0.074,0.858,0.008
1547474086077,2019-01-14T14:54:46.077,11.200,-0.100,0.879,0.059
1547474086157,2019-01-14T14:54:46.157,11.280,-0.143,0.884,-0.034
1547474086237,2019-01-14T14:54:46.237,11.360,-0.234,0.774,-0.057
1547474086317,2019-01-14T14:54:46.317,11.440,-0.208,0.833,-0.044
1547474086397,2019-01-14T14:54:46.397,11.520,-0.261,0.812,-0.030
1547474086477,2019-01-14T14:54:46.477,11.600,-0.341,0.836,-0.042
1547474086557,2019-01-14T14:54:46.557,11.680,-0.391,0.907,-0.030
1547474086637,2019-01-14T14:54:46.637,11.760,-0.399,0.890,-0.013
1547474086717,2019-01-14T14:54:46.717,11.840,-0.378,0.931,-0.024
1547474086797,2019-01-14T14:54:46.797,11.920,-0.355,0.951,0.010
1547474086877,2019-01-14T14:54:46.877,12.000,-0.296,0.970,0.070
1547474086957,2019-01-14T14:54:46.957,12.080,-0.232,1.025,0.117
1547474087037,2019-01-14T14:54:47.037,12.160,-0.144,1.028,0.149
1547474087117,2019-01-14T14:54:47.117,12.240,-0.077,1.059,0.184
1547474087197,2019-01-14T14:54:47.197,12.320,-0.011,1.141,0.196
1547474087277,2019-01-14T14:54:47.277,12.400,0.019,1.145,0.238
1547474087357,2019-01-14T14:54:47.357,12.480,0.068,1.044,0.282
1547474087437,2019-01-14T14:54:47.437,12.560,0.088,0.976,0.253
1547474087517,2019-01-14T14:54:47.517,12.640,0.076,0.924,0.291
1547474087597,2019-01-14T14:54:47.597,12.720,0.081,0.897,0.297
1547474087677,2019-01-14T14:54:47.677,12.800,0.078,0.874,0.295
1547474087757,2019-01-14T14:54:47.757,12.880,0.088,0.904,0.303
1547474087837,2019-01-14T14:54:47.837,12.960,0.090,1.176,0.346
1547474087917,2019-01-14T14:54:47.917,13.040,0.051,1.355,0.541
1547474087997,2019-01-14T14:54:47.997,13.120,-0.112,1.244,0.316
1547474088077,2019-01-14T14:54:48.077,13.200,-0.243,1.040,0.137
1547474088157,2019-01-14T14:54:48.157,13.280,-0.253,0.883,0.207
1547474088237,2019-01-14T14:54:48.237,13.360,-0.396,0.971,0.013
1547474088317,2019-01-14T14:54:48.317,13.440,-0.332,0.878,-0.050
1547474088397,2019-01-14T14:54:48.397,13.520,-0.331,0.822,0.032
1547474088477,2019-01-14T14:54:48.477,13.600,-0.371,0.859,0.074
1547474088557,2019-01-14T14:54:48.557,13.680,-0.321,0.893,-0.027
1547474088637,2019-01-14T14:54:48.637,13.760,-0.237,0.874,0.020
1547474088717,2019-01-14T14:54:48.717,13.840,-0.121,0.752,0.035
1547474088797,2019-01-14T14:54:48.797,13.920,-0.133,0.575,-0.075
1547474088877,2019-01-14T14:54:48.877,14.000,-0.157,0.680,-0.072
