epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547474246896,2019-01-14T14:57:26.896,0.000,5.183,-9.451,2.805
1547474246936,2019-01-14T14:57:26.936,0.040,4.939,-7.439,3.537
1547474246976,2019-01-14T14:57:26.976,0.080,0.671,-4.756,6.829
1547474247016,2019-01-14T14:57:27.016,0.120,-11.463,-3.354,13.598
1547474247056,2019-01-14T14:57:27.056,0.160,-16.341,-3.963,16.220
1547474247096,2019-01-14T14:57:27.096,0.200,-1.402,-0.549,16.037
1547474247136,2019-01-14T14:57:27.136,0.240,16.707,-6.524,16.768
1547474247176,2019-01-14T14:57:27.176,0.280,26.463,-11.951,13.537
1547474247216,2019-01-14T14:57:27.216,0.320,17.561,-14.451,8.476
1547474247256,2019-01-14T14:57:27.256,0.360,8.963,-6.646,6.707
1547474247296,2019-01-14T14:57:27.296,0.400,10.854,-12.561,11.220
1547474247336,2019-01-14T14:57:27.336,0.440,9.634,-15.549,9.878
1547474247376,2019-01-14T14:57:27.376,0.480,3.720,-12.866,-1.341
1547474247416,2019-01-14T14:57:27.416,0.520,9.329,-8.293,-11.280
1547474247456,2019-01-14T14:57:27.456,0.560,9.512,5.732,-24.451
1547474247496,2019-01-14T14:57:27.496,0.600,17.256,14.939,-44.085
1547474247536,2019-01-14T14:57:27.536,0.640,36.646,36.037,-79.329
1547474247576,2019-01-14T14:57:27.576,0.680,63.293,42.195,-115.549
1547474247616,2019-01-14T14:57:27.616,0.720,75.915,55.732,-128.902
1547474247656,2019-01-14T14:57:27.656,0.760,57.866,78.902,-115.366
1547474247696,2019-01-14T14:57:27.696,0.800,28.598,57.744,-94.756
1547474247736,2019-01-14T14:57:27.736,0.840,-11.646,42.683,-65.305
1547474247776,2019-01-14T14:57:27.776,0.880,-44.695,36.890,-38.171
1547474247816,2019-01-14T14:57:27.816,0.920,-58.780,29.512,-3.049
1547474247856,2019-01-14T14:57:27.856,0.960,-59.024,30.915,31.951
1547474247896,2019-01-14T14:57:27.896,1.000,-64.817,41.646,60.122
1547474247936,2019-01-14T14:57:27.936,1.040,-67.927,47.256,72.378
1547474247976,2019-01-14T14:57:27.976,1.080,-64.451,57.561,87.927
1547474248016,2019-01-14T14:57:28.016,1.120,-49.634,45.915,99.085
1547474248056,2019-01-14T14:57:28.056,1.160,4.573,13.902,101.829
1547474248096,2019-01-14T14:57:28.096,1.200,50.732,-23.841,93.049
1547474248136,2019-01-14T14:57:28.136,1.240,63.780,-38.720,78.720
1547474248176,2019-01-14T14:57:28.176,1.280,63.659,-56.220,52.927
1547474248216,2019-01-14T14:57:28.216,1.320,22.744,4.939,31.646
1547474248256,2019-01-14T14:57:28.256,1.360,13.110,3.171,11.037
1547474248296,2019-01-14T14:57:28.296,1.400,11.280,-13.049,-0.854
1547474248336,2019-01-14T14:57:28.336,1.440,3.293,-15.671,-6.585
1547474248376,2019-01-14T14:57:28.376,1.480,-24.390,20.488,-8.780
1547474248416,2019-01-14T14:57:28.416,1.520,-30.549,27.195,0.000
1547474248456,2019-01-14T14:57:28.456,1.560,-1.829,-9.085,-3.780
1547474248496,2019-01-14T14:57:28.496,1.600,-2.561,-7.134,-9.756
1547474248536,2019-01-14T14:57:28.536,1.640,-17.744,4.634,-15.305
1547474248576,2019-01-14T14:57:28.576,1.680,-18.841,10.427,-10.793
1547474248616,2019-01-14T14:57:28.616,1.720,-8.537,6.220,-2.500
1547474248656,2019-01-14T14:57:28.656,1.760,-2.317,6.768,-1.768
1547474248696,2019-01-14T14:57:28.696,1.800,-3.537,2.012,-4.817
1547474248736,2019-01-14T14:57:28.736,1.840,1.402,-6.646,-12.378
1547474248776,2019-01-14T14:57:28.776,1.880,10.061,-1.463,-5.244
1547474248816,2019-01-14T14:57:28.816,1.920,19.268,-6.951,3.902
1547474248856,2019-01-14T14:57:28.856,1.960,13.537,-3.171,0.793
1547474248896,2019-01-14T14:57:28.896,2.000,9.573,-0.732,-5.061
1547474248936,2019-01-14T14:57:28.936,2.040,8.537,-7.378,-12.744
1547474248976,2019-01-14T14:57:28.976,2.080,1.646,-7.439,-26.768
1547474249016,2019-01-14T14:57:29.016,2.120,4.451,-4.451,-38.476
1547474249056,2019-01-14T14:57:29.056,2.160,12.439,-8.110,-37.988
1547474249096,2019-01-14T14:57:29.096,2.200,12.439,-11.341,-40.183
1547474249136,2019-01-14T14:57:29.136,2.240,9.329,-5.305,-43.598
1547474249176,2019-01-14T14:57:29.176,2.280,13.171,-7.073,-37.500
1547474249216,2019-01-14T14:57:29.216,2.320,23.110,-10.671,-35.549
1547474249256,2019-01-14T14:57:29.256,2.360,33.720,-13.476,-30.427
1547474249296,2019-01-14T14:57:29.296,2.400,18.659,-12.012,-22.073
1547474249336,2019-01-14T14:57:29.336,2.440,11.037,-7.622,-31.341
1547474249376,2019-01-14T14:57:29.376,2.480,6.037,-6.341,-26.159
1547474249416,2019-01-14T14:57:29.416,2.520,13.902,-12.378,-19.817
1547474249456,2019-01-14T14:57:29.456,2.560,16.585,-22.256,-6.890
1547474249496,2019-01-14T14:57:29.496,2.600,4.268,-25.366,-13.963
1547474249536,2019-01-14T14:57:29.536,2.640,-5.915,-11.524,-16.098
1547474249576,2019-01-14T14:57:29.576,2.680,-5.671,-11.890,-11.220
1547474249616,2019-01-14T14:57:29.616,2.720,-7.012,-14.024,-12.439
1547474249656,2019-01-14T14:57:29.656,2.760,-8.902,-10.793,1.037
1547474249696,2019-01-14T14:57:29.696,2.800,-2.866,-15.305,4.329
1547474249736,2019-01-14T14:57:29.736,2.840,-3.780,-13.598,15.549
1547474249776,2019-01-14T14:57:29.776,2.880,8.354,-26.585,25.061
1547474249816,2019-01-14T14:57:29.816,2.920,10.488,-3.415,36.220
1547474249856,2019-01-14T14:57:29.856,2.960,13.049,-28.841,46.463
1547474249896,2019-01-14T14:57:29.896,3.000,7.195,-41.098,45.915
1547474249936,2019-01-14T14:57:29.936,3.040,-6.768,-25.427,42.561
1547474249976,2019-01-14T14:57:29.976,3.080,-25.793,-25.549,43.354
1547474250016,2019-01-14T14:57:30.016,3.120,-31.707,-17.927,37.317
1547474250056,2019-01-14T14:57:30.056,3.160,-28.354,-19.024,45.183
1547474250096,2019-01-14T14:57:30.096,3.200,-17.134,-25.000,44.207
1547474250136,2019-01-14T14:57:30.136,3.240,-14.756,-18.476,49.512
1547474250176,2019-01-14T14:57:30.176,3.280,-9.268,-30.976,47.561
1547474250216,2019-01-14T14:57:30.216,3.320,-10.427,-22.561,43.354
1547474250256,2019-01-14T14:57:30.256,3.360,-7.988,-15.427,41.280
1547474250296,2019-01-14T14:57:30.296,3.400,-7.134,-15.488,31.159
1547474250336,2019-01-14T14:57:30.336,3.440,-10.671,-15.915,20.610
1547474250376,2019-01-14T14:57:30.376,3.480,2.500,-14.756,22.988
1547474250416,2019-01-14T14:57:30.416,3.520,20.793,-14.146,16.524
1547474250456,2019-01-14T14:57:30.456,3.560,30.244,-13.232,10.061
1547474250496,2019-01-14T14:57:30.496,3.600,21.707,-16.098,0.671
1547474250536,2019-01-14T14:57:30.536,3.640,12.927,-11.829,-6.463
1547474250576,2019-01-14T14:57:30.576,3.680,6.037,-9.878,-4.634
1547474250616,2019-01-14T14:57:30.616,3.720,-4.390,-7.195,-2.195
1547474250656,2019-01-14T14:57:30.656,3.760,-7.012,-3.171,-0.061
1547474250696,2019-01-14T14:57:30.696,3.800,-7.317,-9.085,0.305
1547474250736,2019-01-14T14:57:30.736,3.840,-13.720,-12.317,-24.817
1547474250776,2019-01-14T14:57:30.776,3.880,-16.463,-13.841,-54.451
1547474250816,2019-01-14T14:57:30.816,3.920,12.805,1.646,-61.646
1547474250856,2019-01-14T14:57:30.856,3.960,45.366,13.110,-92.012
1547474250896,2019-01-14T14:57:30.896,4.000,44.451,17.012,-113.415
1547474250936,2019-01-14T14:57:30.936,4.040,43.963,6.829,-100.671
1547474250976,2019-01-14T14:57:30.976,4.080,49.695,22.012,-70.915
1547474251016,2019-01-14T14:57:31.016,4.120,24.207,11.220,-50.671
1547474251056,2019-01-14T14:57:31.056,4.160,-3.963,23.110,-46.829
1547474251096,2019-01-14T14:57:31.096,4.200,-14.146,73.354,-17.622
1547474251136,2019-01-14T14:57:31.136,4.240,-2.988,24.939,-9.512
1547474251176,2019-01-14T14:57:31.176,4.280,-14.634,65.549,7.378
1547474251216,2019-01-14T14:57:31.216,4.320,-26.829,65.793,16.707
1547474251256,2019-01-14T14:57:31.256,4.360,-30.000,41.768,32.500
1547474251296,2019-01-14T14:57:31.296,4.400,-42.500,41.646,35.671
1547474251336,2019-01-14T14:57:31.336,4.440,-57.378,41.951,42.866
1547474251376,2019-01-14T14:57:31.376,4.480,-57.439,44.268,54.573
1547474251416,2019-01-14T14:57:31.416,4.520,-46.646,42.073,69.268
1547474251456,2019-01-14T14:57:31.456,4.560,-32.500,31.463,80.366
1547474251496,2019-01-14T14:57:31.496,4.600,-6.768,5.976,77.012
1547474251536,2019-01-14T14:57:31.536,4.640,18.171,-10.732,45.366
1547474251576,2019-01-14T14:57:31.576,4.680,16.524,2.134,23.232
1547474251616,2019-01-14T14:57:31.616,4.720,18.659,-9.939,1.341
1547474251656,2019-01-14T14:57:31.656,4.760,7.073,2.561,-8.537
1547474251696,2019-01-14T14:57:31.696,4.800,3.963,-1.037,-12.073
1547474251736,2019-01-14T14:57:31.736,4.840,0.427,-5.366,-8.537
1547474251776,2019-01-14T14:57:31.776,4.880,-2.134,1.829,-5.305
1547474251816,2019-01-14T14:57:31.816,4.920,-5.427,12.134,0.549
1547474251856,2019-01-14T14:57:31.856,4.960,6.768,5.061,9.939
1547474251896,2019-01-14T14:57:31.896,5.000,7.683,23.049,6.463
1547474251936,2019-01-14T14:57:31.936,5.040,16.463,9.207,-3.537
1547474251976,2019-01-14T14:57:31.976,5.080,18.720,-11.585,3.720
1547474252016,2019-01-14T14:57:32.016,5.120,22.195,-19.451,-3.780
1547474252056,2019-01-14T14:57:32.056,5.160,13.293,-11.768,0.122
