epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547474737167,2019-01-14T15:05:37.167,0.000,-26.098,-10.976,-0.427
1547474737207,2019-01-14T15:05:37.207,0.040,-27.317,-7.988,-1.280
1547474737247,2019-01-14T15:05:37.247,0.080,-34.695,3.598,-2.012
1547474737287,2019-01-14T15:05:37.287,0.120,-39.268,1.707,-4.085
1547474737327,2019-01-14T15:05:37.327,0.160,-39.695,-3.659,-5.732
1547474737367,2019-01-14T15:05:37.367,0.200,-37.744,-3.659,-6.159
1547474737407,2019-01-14T15:05:37.407,0.240,-38.171,-5.793,-6.402
1547474737447,2019-01-14T15:05:37.447,0.280,-40.793,-3.049,-6.402
1547474737487,2019-01-14T15:05:37.487,0.320,-36.402,-5.976,-1.768
1547474737527,2019-01-14T15:05:37.527,0.360,-34.085,-4.329,-3.476
1547474737567,2019-01-14T15:05:37.567,0.400,-30.061,-7.195,-4.024
1547474737607,2019-01-14T15:05:37.607,0.440,-27.744,3.354,-4.390
1547474737647,2019-01-14T15:05:37.647,0.480,-16.341,-11.585,-4.817
1547474737687,2019-01-14T15:05:37.687,0.520,-12.561,-10.122,-2.744
1547474737727,2019-01-14T15:05:37.727,0.560,-6.159,-9.756,-0.549
1547474737767,2019-01-14T15:05:37.767,0.600,-3.110,-4.512,-2.317
1547474737807,2019-01-14T15:05:37.807,0.640,1.402,-7.622,-3.049
1547474737847,2019-01-14T15:05:37.847,0.680,3.902,-2.073,-1.159
1547474737887,2019-01-14T15:05:37.887,0.720,5.061,1.707,-0.244
1547474737927,2019-01-14T15:05:37.927,0.760,7.561,1.341,-0.732
1547474737967,2019-01-14T15:05:37.967,0.800,10.000,-4.939,2.439
1547474738007,2019-01-14T15:05:38.007,0.840,10.244,-4.634,1.402
1547474738047,2019-01-14T15:05:38.047,0.880,0.854,4.085,1.524
1547474738087,2019-01-14T15:05:38.087,0.920,1.037,7.622,6.220
1547474738127,2019-01-14T15:05:38.127,0.960,0.976,8.110,9.634
1547474738167,2019-01-14T15:05:38.167,1.000,3.598,3.049,3.354
1547474738207,2019-01-14T15:05:38.207,1.040,2.500,8.537,2.012
1547474738247,2019-01-14T15:05:38.247,1.080,4.024,4.390,4.756
1547474738287,2019-01-14T15:05:38.287,1.120,10.488,0.244,2.683
1547474738327,2019-01-14T15:05:38.327,1.160,13.110,0.122,-3.110
1547474738367,2019-01-14T15:05:38.367,1.200,13.659,-2.744,-10.915
1547474738407,2019-01-14T15:05:38.407,1.240,20.793,-5.244,-13.110
1547474738447,2019-01-14T15:05:38.447,1.280,28.476,-8.476,-17.927
1547474738487,2019-01-14T15:05:38.487,1.320,31.341,-10.061,-25.366
1547474738527,2019-01-14T15:05:38.527,1.360,31.951,-22.378,-34.390
1547474738567,2019-01-14T15:05:38.567,1.400,30.305,-36.098,-35.122
1547474738607,2019-01-14T15:05:38.607,1.440,36.890,-38.963,-36.524
1547474738647,2019-01-14T15:05:38.647,1.480,42.744,-46.890,-33.476
1547474738687,2019-01-14T15:05:38.687,1.520,42.378,-52.866,-33.598
1547474738727,2019-01-14T15:05:38.727,1.560,32.012,-54.878,-35.793
1547474738767,2019-01-14T15:05:38.767,1.600,28.232,-37.805,-23.902
1547474738807,2019-01-14T15:05:38.807,1.640,18.780,-35.671,-9.817
1547474738847,2019-01-14T15:05:38.847,1.680,19.817,-37.927,17.378
1547474738887,2019-01-14T15:05:38.887,1.720,10.000,-19.878,38.902
1547474738927,2019-01-14T15:05:38.927,1.760,15.183,2.378,38.537
1547474738967,2019-01-14T15:05:38.967,1.800,15.000,-5.610,21.220
1547474739007,2019-01-14T15:05:39.007,1.840,1.646,8.232,0.061
1547474739047,2019-01-14T15:05:39.047,1.880,-6.646,27.927,1.037
1547474739087,2019-01-14T15:05:39.087,1.920,-7.805,20.671,9.817
1547474739127,2019-01-14T15:05:39.127,1.960,-15.061,5.610,19.878
1547474739167,2019-01-14T15:05:39.167,2.000,-18.963,19.634,25.244
1547474739207,2019-01-14T15:05:39.207,2.040,-31.463,14.390,29.390
1547474739247,2019-01-14T15:05:39.247,2.080,-41.524,15.549,22.927
1547474739287,2019-01-14T15:05:39.287,2.120,-31.829,18.720,19.451
1547474739327,2019-01-14T15:05:39.327,2.160,-23.902,9.817,15.793
1547474739367,2019-01-14T15:05:39.367,2.200,-26.341,9.268,6.402
1547474739407,2019-01-14T15:05:39.407,2.240,-24.390,11.951,4.878
1547474739447,2019-01-14T15:05:39.447,2.280,-17.866,7.500,10.732
1547474739487,2019-01-14T15:05:39.487,2.320,-12.561,-2.622,17.134
1547474739527,2019-01-14T15:05:39.527,2.360,-15.122,9.634,15.915
1547474739567,2019-01-14T15:05:39.567,2.400,-16.707,14.268,6.829
1547474739607,2019-01-14T15:05:39.607,2.440,-8.598,12.744,9.085
1547474739647,2019-01-14T15:05:39.647,2.480,-3.659,5.549,9.573
1547474739687,2019-01-14T15:05:39.687,2.520,0.244,7.500,6.524
1547474739727,2019-01-14T15:05:39.727,2.560,2.378,7.317,2.073
1547474739767,2019-01-14T15:05:39.767,2.600,1.768,11.159,1.220
1547474739807,2019-01-14T15:05:39.807,2.640,3.963,7.073,-1.280
1547474739847,2019-01-14T15:05:39.847,2.680,19.756,-9.024,-12.683
1547474739887,2019-01-14T15:05:39.887,2.720,25.000,-1.890,-18.537
1547474739927,2019-01-14T15:05:39.927,2.760,32.012,-9.756,-32.134
1547474739967,2019-01-14T15:05:39.967,2.800,36.280,-20.122,-34.207
1547474740007,2019-01-14T15:05:40.007,2.840,39.085,-37.683,-37.927
1547474740047,2019-01-14T15:05:40.047,2.880,42.866,-31.341,-36.280
1547474740087,2019-01-14T15:05:40.087,2.920,47.256,-19.329,-32.927
1547474740127,2019-01-14T15:05:40.127,2.960,53.049,-30.366,-27.439
1547474740167,2019-01-14T15:05:40.167,3.000,53.232,-25.793,-15.244
1547474740207,2019-01-14T15:05:40.207,3.040,45.488,-28.902,-4.878
1547474740247,2019-01-14T15:05:40.247,3.080,26.098,-29.756,13.720
1547474740287,2019-01-14T15:05:40.287,3.120,5.732,10.671,10.915
1547474740327,2019-01-14T15:05:40.327,3.160,20.549,5.854,7.073
1547474740367,2019-01-14T15:05:40.367,3.200,16.402,-10.366,-1.768
1547474740407,2019-01-14T15:05:40.407,3.240,5.732,3.720,-0.976
1547474740447,2019-01-14T15:05:40.447,3.280,-9.390,29.512,14.146
1547474740487,2019-01-14T15:05:40.487,3.320,-34.939,17.866,19.634
1547474740527,2019-01-14T15:05:40.527,3.360,-48.720,20.183,30.732
1547474740567,2019-01-14T15:05:40.567,3.400,-58.354,18.354,29.207
1547474740607,2019-01-14T15:05:40.607,3.440,-66.280,12.195,35.915
1547474740647,2019-01-14T15:05:40.647,3.480,-67.866,18.720,33.659
1547474740687,2019-01-14T15:05:40.687,3.520,-52.317,1.951,30.610
1547474740727,2019-01-14T15:05:40.727,3.560,-45.000,12.805,16.890
1547474740767,2019-01-14T15:05:40.767,3.600,-40.366,6.585,11.341
1547474740807,2019-01-14T15:05:40.807,3.640,-28.902,3.963,8.659
1547474740847,2019-01-14T15:05:40.847,3.680,-21.341,2.073,2.317
1547474740887,2019-01-14T15:05:40.887,3.720,-15.122,1.890,7.927
1547474740927,2019-01-14T15:05:40.927,3.760,-8.171,-1.463,3.354
1547474740967,2019-01-14T15:05:40.967,3.800,8.963,-8.293,2.805
1547474741007,2019-01-14T15:05:41.007,3.840,11.098,-2.744,3.293
1547474741047,2019-01-14T15:05:41.047,3.880,5.671,4.451,-0.061
1547474741087,2019-01-14T15:05:41.087,3.920,5.427,16.768,3.476
1547474741127,2019-01-14T15:05:41.127,3.960,11.768,5.183,7.683
1547474741167,2019-01-14T15:05:41.167,4.000,9.390,5.061,-0.549
1547474741207,2019-01-14T15:05:41.207,4.040,2.744,11.829,-6.220
1547474741247,2019-01-14T15:05:41.247,4.080,18.415,-5.732,-7.622
1547474741287,2019-01-14T15:05:41.287,4.120,30.854,-12.561,-11.037
1547474741327,2019-01-14T15:05:41.327,4.160,32.195,-8.415,-19.634
1547474741367,2019-01-14T15:05:41.367,4.200,34.451,-13.415,-27.805
1547474741407,2019-01-14T15:05:41.407,4.240,30.122,-11.463,-22.378
1547474741447,2019-01-14T15:05:41.447,4.280,45.183,-27.805,-34.390
1547474741487,2019-01-14T15:05:41.487,4.320,53.841,-26.280,-41.220
1547474741527,2019-01-14T15:05:41.527,4.360,51.037,-19.329,-39.024
1547474741567,2019-01-14T15:05:41.567,4.400,51.524,-16.951,-36.098
1547474741607,2019-01-14T15:05:41.607,4.440,47.744,-35.366,-30.488
1547474741647,2019-01-14T15:05:41.647,4.480,45.061,-39.329,-27.500
1547474741687,2019-01-14T15:05:41.687,4.520,42.378,-42.500,-22.866
1547474741727,2019-01-14T15:05:41.727,4.560,36.951,-27.439,-6.280
1547474741767,2019-01-14T15:05:41.767,4.600,21.220,2.805,14.146
1547474741807,2019-01-14T15:05:41.807,4.640,19.329,3.354,8.232
1547474741847,2019-01-14T15:05:41.847,4.680,18.415,-7.866,0.793
1547474741887,2019-01-14T15:05:41.887,4.720,-4.512,10.793,-1.098
1547474741927,2019-01-14T15:05:41.927,4.760,-19.573,19.451,8.354
1547474741967,2019-01-14T15:05:41.967,4.800,-26.402,20.854,22.927
1547474742007,2019-01-14T15:05:42.007,4.840,-40.061,23.598,29.085
1547474742047,2019-01-14T15:05:42.047,4.880,-56.402,19.329,23.232
1547474742087,2019-01-14T15:05:42.087,4.920,-65.183,17.439,28.841
1547474742127,2019-01-14T15:05:42.127,4.960,-60.305,10.732,25.488
1547474742167,2019-01-14T15:05:42.167,5.000,-61.951,15.061,26.341
1547474742207,2019-01-14T15:05:42.207,5.040,-52.439,14.756,31.707
1547474742247,2019-01-14T15:05:42.247,5.080,-49.512,15.671,27.073
1547474742287,2019-01-14T15:05:42.287,5.120,-47.256,15.732,23.293
1547474742327,2019-01-14T15:05:42.327,5.160,-35.366,3.841,29.878
1547474742367,2019-01-14T15:05:42.367,5.200,-27.927,6.341,16.280
1547474742407,2019-01-14T15:05:42.407,5.240,-17.988,1.280,11.341
1547474742447,2019-01-14T15:05:42.447,5.280,-9.817,-17.561,12.866
1547474742487,2019-01-14T15:05:42.487,5.320,-10.366,1.890,13.963
1547474742527,2019-01-14T15:05:42.527,5.360,-2.378,4.512,2.988
1547474742567,2019-01-14T15:05:42.567,5.400,2.561,-0.488,7.439
1547474742607,2019-01-14T15:05:42.607,5.440,1.829,4.634,5.793
1547474742647,2019-01-14T15:05:42.647,5.480,7.500,3.598,-2.256
1547474742687,2019-01-14T15:05:42.687,5.520,7.561,5.122,0.427
1547474742727,2019-01-14T15:05:42.727,5.560,9.207,8.293,-2.378
1547474742767,2019-01-14T15:05:42.767,5.600,14.573,10.366,-7.683
1547474742807,2019-01-14T15:05:42.807,5.640,13.780,10.610,-12.012
1547474742847,2019-01-14T15:05:42.847,5.680,21.524,-9.512,-26.646
1547474742887,2019-01-14T15:05:42.887,5.720,29.207,-10.305,-31.524
1547474742927,2019-01-14T15:05:42.927,5.760,39.329,-22.561,-37.439
1547474742967,2019-01-14T15:05:42.967,5.800,43.293,-19.878,-38.841
1547474743007,2019-01-14T15:05:43.007,5.840,42.988,-16.463,-42.073
1547474743047,2019-01-14T15:05:43.047,5.880,43.232,-18.293,-46.280
1547474743087,2019-01-14T15:05:43.087,5.920,48.720,-21.341,-38.049
1547474743127,2019-01-14T15:05:43.127,5.960,39.024,-19.451,-35.610
1547474743167,2019-01-14T15:05:43.167,6.000,35.671,-22.744,-35.000
1547474743207,2019-01-14T15:05:43.207,6.040,29.817,-40.122,-28.171
1547474743247,2019-01-14T15:05:43.247,6.080,41.646,-47.500,-17.073
1547474743287,2019-01-14T15:05:43.287,6.120,54.085,-22.683,0.976
1547474743327,2019-01-14T15:05:43.327,6.160,42.927,12.805,13.537
1547474743367,2019-01-14T15:05:43.367,6.200,24.939,55.061,23.598
1547474743407,2019-01-14T15:05:43.407,6.240,15.793,22.317,17.439
1547474743447,2019-01-14T15:05:43.447,6.280,17.561,-1.707,9.085
1547474743487,2019-01-14T15:05:43.487,6.320,6.829,0.610,0.976
1547474743527,2019-01-14T15:05:43.527,6.360,-16.646,12.500,1.402
1547474743567,2019-01-14T15:05:43.567,6.400,-37.866,25.610,0.549
1547474743607,2019-01-14T15:05:43.607,6.440,-43.354,15.549,16.524
1547474743647,2019-01-14T15:05:43.647,6.480,-55.732,23.902,28.110
1547474743687,2019-01-14T15:05:43.687,6.520,-52.500,30.427,27.256
1547474743727,2019-01-14T15:05:43.727,6.560,-53.110,4.573,40.244
1547474743767,2019-01-14T15:05:43.767,6.600,-57.683,15.000,25.061
1547474743807,2019-01-14T15:05:43.807,6.640,-63.902,14.756,27.134
1547474743847,2019-01-14T15:05:43.847,6.680,-45.244,2.866,38.415
1547474743887,2019-01-14T15:05:43.887,6.720,-42.622,5.305,26.646
1547474743927,2019-01-14T15:05:43.927,6.760,-41.951,10.061,29.878
