epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547474930149,2019-01-14T15:08:50.149,0.000,-0.012,-0.865,0.187
1547474930229,2019-01-14T15:08:50.229,0.080,0.005,-0.887,0.101
1547474930309,2019-01-14T15:08:50.309,0.160,0.013,-0.929,0.102
1547474930389,2019-01-14T15:08:50.389,0.240,0.015,-0.990,0.028
1547474930469,2019-01-14T15:08:50.469,0.320,0.027,-1.009,-0.001
1547474930549,2019-01-14T15:08:50.549,0.400,0.015,-1.016,-0.025
1547474930629,2019-01-14T15:08:50.629,0.480,0.032,-1.048,-0.067
1547474930709,2019-01-14T15:08:50.709,0.560,0.021,-1.024,-0.072
1547474930789,2019-01-14T15:08:50.789,0.640,0.043,-1.025,-0.079
1547474930869,2019-01-14T15:08:50.869,0.720,0.030,-1.073,-0.126
1547474930949,2019-01-14T15:08:50.949,0.800,0.015,-1.096,-0.106
1547474931029,2019-01-14T15:08:51.029,0.880,0.035,-1.156,-0.125
1547474931109,2019-01-14T15:08:51.109,0.960,0.031,-1.283,-0.151
1547474931189,2019-01-14T15:08:51.189,1.040,0.024,-1.403,-0.168
1547474931269,2019-01-14T15:08:51.269,1.120,0.062,-1.485,-0.183
1547474931349,2019-01-14T15:08:51.349,1.200,0.044,-1.459,-0.173
1547474931429,2019-01-14T15:08:51.429,1.280,0.136,-1.338,-0.041
1547474931509,2019-01-14T15:08:51.509,1.360,0.187,-1.191,0.126
1547474931589,2019-01-14T15:08:51.589,1.440,0.207,-0.974,0.145
1547474931669,2019-01-14T15:08:51.669,1.520,0.148,-0.687,0.109
1547474931749,2019-01-14T15:08:51.749,1.600,0.087,-0.260,0.101
1547474931829,2019-01-14T15:08:51.829,1.680,0.041,-0.110,0.161
1547474931909,2019-01-14T15:08:51.909,1.760,0.119,-0.473,0.174
1547474931989,2019-01-14T15:08:51.989,1.840,0.228,-0.913,0.262
1547474932069,2019-01-14T15:08:52.069,1.920,0.170,-1.123,0.198
1547474932149,2019-01-14T15:08:52.149,2.000,0.137,-1.189,0.076
1547474932229,2019-01-14T15:08:52.229,2.080,0.092,-1.178,0.007
1547474932309,2019-01-14T15:08:52.309,2.160,0.070,-1.146,-0.014
1547474932389,2019-01-14T15:08:52.389,2.240,0.060,-1.082,-0.047
1547474932469,2019-01-14T15:08:52.469,2.320,0.022,-1.043,-0.070
1547474932549,2019-01-14T15:08:52.549,2.400,0.041,-1.050,-0.061
1547474932629,2019-01-14T15:08:52.629,2.480,0.039,-1.123,-0.094
1547474932709,2019-01-14T15:08:52.709,2.560,0.031,-1.310,-0.148
1547474932789,2019-01-14T15:08:52.789,2.640,0.061,-1.454,-0.104
1547474932869,2019-01-14T15:08:52.869,2.720,0.072,-1.482,-0.128
1547474932949,2019-01-14T15:08:52.949,2.800,0.168,-1.397,-0.018
1547474933029,2019-01-14T15:08:53.029,2.880,0.191,-1.262,0.067
1547474933109,2019-01-14T15:08:53.109,2.960,0.208,-1.061,0.190
