epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547474500179,2019-01-14T15:01:40.179,0.000,-0.037,-0.854,0.271
1547474500259,2019-01-14T15:01:40.259,0.080,-0.046,-0.903,0.217
1547474500339,2019-01-14T15:01:40.339,0.160,-0.039,-0.865,0.131
1547474500419,2019-01-14T15:01:40.419,0.240,0.019,-0.888,0.096
1547474500499,2019-01-14T15:01:40.499,0.320,-0.011,-0.973,0.010
1547474500579,2019-01-14T15:01:40.579,0.400,-0.033,-1.042,-0.015
1547474500659,2019-01-14T15:01:40.659,0.480,-0.017,-1.053,-0.042
1547474500739,2019-01-14T15:01:40.739,0.560,-0.020,-1.040,-0.043
1547474500819,2019-01-14T15:01:40.819,0.640,-0.041,-1.074,-0.040
1547474500899,2019-01-14T15:01:40.899,0.720,-0.018,-1.104,-0.078
1547474500979,2019-01-14T15:01:40.979,0.800,-0.034,-1.118,-0.069
1547474501059,2019-01-14T15:01:41.059,0.880,-0.025,-1.199,-0.078
1547474501139,2019-01-14T15:01:41.139,0.960,-0.065,-1.360,-0.106
1547474501219,2019-01-14T15:01:41.219,1.040,-0.064,-1.471,-0.118
1547474501299,2019-01-14T15:01:41.299,1.120,-0.016,-1.491,-0.093
1547474501379,2019-01-14T15:01:41.379,1.200,0.078,-1.422,-0.095
1547474501459,2019-01-14T15:01:41.459,1.280,0.114,-1.322,0.034
1547474501539,2019-01-14T15:01:41.539,1.360,0.188,-1.124,0.163
1547474501619,2019-01-14T15:01:41.619,1.440,0.230,-0.770,0.180
1547474501699,2019-01-14T15:01:41.699,1.520,0.090,-0.263,0.154
1547474501779,2019-01-14T15:01:41.779,1.600,0.007,-0.029,0.231
1547474501859,2019-01-14T15:01:41.859,1.680,0.145,-0.390,0.124
1547474501939,2019-01-14T15:01:41.939,1.760,0.182,-0.858,0.225
1547474502019,2019-01-14T15:01:42.019,1.840,0.178,-1.079,0.233
1547474502099,2019-01-14T15:01:42.099,1.920,0.106,-1.113,0.120
1547474502179,2019-01-14T15:01:42.179,2.000,0.068,-1.140,0.047
1547474502259,2019-01-14T15:01:42.259,2.080,0.001,-1.123,0.019
1547474502339,2019-01-14T15:01:42.339,2.160,0.008,-1.068,-0.005
1547474502419,2019-01-14T15:01:42.419,2.240,0.002,-1.087,-0.019
1547474502499,2019-01-14T15:01:42.499,2.320,-0.032,-1.251,-0.029
1547474502579,2019-01-14T15:01:42.579,2.400,-0.022,-1.468,-0.066
1547474502659,2019-01-14T15:01:42.659,2.480,-0.032,-1.580,-0.086
1547474502739,2019-01-14T15:01:42.739,2.560,0.053,-1.511,0.006
1547474502819,2019-01-14T15:01:42.819,2.640,0.114,-1.320,0.098
1547474502899,2019-01-14T15:01:42.899,2.720,0.166,-1.014,0.208
1547474502979,2019-01-14T15:01:42.979,2.800,0.125,-0.487,0.151
1547474503059,2019-01-14T15:01:43.059,2.880,-0.000,-0.070,0.220
1547474503139,2019-01-14T15:01:43.139,2.960,0.036,-0.249,0.133
1547474503219,2019-01-14T15:01:43.219,3.040,0.137,-0.701,0.170
1547474503299,2019-01-14T15:01:43.299,3.120,0.119,-0.987,0.214
1547474503379,2019-01-14T15:01:43.379,3.200,0.121,-1.096,0.144
1547474503459,2019-01-14T15:01:43.459,3.280,0.095,-1.127,0.088
1547474503539,2019-01-14T15:01:43.539,3.360,0.004,-1.151,-0.017
1547474503619,2019-01-14T15:01:43.619,3.440,-0.018,-1.158,-0.019
1547474503699,2019-01-14T15:01:43.699,3.520,-0.005,-1.166,-0.081
1547474503779,2019-01-14T15:01:43.779,3.600,-0.024,-1.272,-0.069
1547474503859,2019-01-14T15:01:43.859,3.680,-0.034,-1.416,-0.081
1547474503939,2019-01-14T15:01:43.939,3.760,0.033,-1.471,-0.086
1547474504019,2019-01-14T15:01:44.019,3.840,0.008,-1.421,-0.082
1547474504099,2019-01-14T15:01:44.099,3.920,0.063,-1.347,-0.001
1547474504179,2019-01-14T15:01:44.179,4.000,0.139,-1.156,0.134
1547474504259,2019-01-14T15:01:44.259,4.080,0.196,-0.899,0.243
1547474504339,2019-01-14T15:01:44.339,4.160,0.136,-0.574,0.159
1547474504419,2019-01-14T15:01:44.419,4.240,0.049,-0.133,0.133
1547474504499,2019-01-14T15:01:44.499,4.320,0.014,-0.183,0.165
1547474504579,2019-01-14T15:01:44.579,4.400,0.146,-0.699,0.163
1547474504659,2019-01-14T15:01:44.659,4.480,0.176,-1.079,0.174
1547474504739,2019-01-14T15:01:44.739,4.560,0.108,-1.131,0.147
1547474504819,2019-01-14T15:01:44.819,4.640,0.080,-1.173,0.031
1547474504899,2019-01-14T15:01:44.899,4.720,0.033,-1.138,-0.047
1547474504979,2019-01-14T15:01:44.979,4.800,0.041,-1.138,-0.012
1547474505059,2019-01-14T15:01:45.059,4.880,0.004,-1.192,-0.065
