epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547579191816,2019-01-15T20:06:31.816,0.000,0.441,0.654,0.609
1547579191896,2019-01-15T20:06:31.896,0.080,0.413,0.658,0.557
1547579191976,2019-01-15T20:06:31.976,0.160,0.428,0.661,0.569
1547579192056,2019-01-15T20:06:32.056,0.240,0.442,0.660,0.605
1547579192136,2019-01-15T20:06:32.136,0.320,0.418,0.670,0.545
1547579192216,2019-01-15T20:06:32.216,0.400,0.437,0.646,0.594
1547579192296,2019-01-15T20:06:32.296,0.480,0.359,0.596,0.465
1547579192376,2019-01-15T20:06:32.376,0.560,0.381,0.570,0.503
1547579192456,2019-01-15T20:06:32.456,0.640,0.357,0.574,0.482
1547579192536,2019-01-15T20:06:32.536,0.720,0.392,0.606,0.533
1547579192616,2019-01-15T20:06:32.616,0.800,0.387,0.623,0.520
1547579192696,2019-01-15T20:06:32.696,0.880,0.425,0.662,0.526
1547579192776,2019-01-15T20:06:32.776,0.960,0.453,0.666,0.588
1547579192856,2019-01-15T20:06:32.856,1.040,0.458,0.679,0.561
1547579192936,2019-01-15T20:06:32.936,1.120,0.455,0.688,0.542
1547579193016,2019-01-15T20:06:33.016,1.200,0.475,0.685,0.633
1547579193096,2019-01-15T20:06:33.096,1.280,0.478,0.678,0.613
1547579193176,2019-01-15T20:06:33.176,1.360,0.441,0.641,0.556
1547579193256,2019-01-15T20:06:33.256,1.440,0.474,0.633,0.630
1547579193336,2019-01-15T20:06:33.336,1.520,0.468,0.645,0.636
1547579193416,2019-01-15T20:06:33.416,1.600,0.468,0.625,0.642
1547579193496,2019-01-15T20:06:33.496,1.680,0.457,0.613,0.632
1547579193576,2019-01-15T20:06:33.576,1.760,0.458,0.608,0.652
1547579193656,2019-01-15T20:06:33.656,1.840,0.534,0.670,0.713
1547579193736,2019-01-15T20:06:33.736,1.920,0.567,0.709,0.762
1547579193816,2019-01-15T20:06:33.816,2.000,0.595,0.751,0.833
1547579193896,2019-01-15T20:06:33.896,2.080,0.557,0.732,0.806
1547579193976,2019-01-15T20:06:33.976,2.160,0.559,0.680,0.812
1547579194056,2019-01-15T20:06:34.056,2.240,0.485,0.624,0.729
1547579194136,2019-01-15T20:06:34.136,2.320,0.493,0.561,0.747
1547579194216,2019-01-15T20:06:34.216,2.400,0.457,0.542,0.714
1547579194296,2019-01-15T20:06:34.296,2.480,0.475,0.535,0.829
1547579194376,2019-01-15T20:06:34.376,2.560,0.438,0.552,0.816
1547579194456,2019-01-15T20:06:34.456,2.640,0.458,0.588,0.824
1547579194536,2019-01-15T20:06:34.536,2.720,0.468,0.608,0.824
1547579194616,2019-01-15T20:06:34.616,2.800,0.424,0.561,0.720
1547579194696,2019-01-15T20:06:34.696,2.880,0.309,0.375,0.485
1547579194776,2019-01-15T20:06:34.776,2.960,0.223,0.220,0.300
1547579194856,2019-01-15T20:06:34.856,3.040,0.262,0.290,0.339
1547579194936,2019-01-15T20:06:34.936,3.120,0.299,0.551,0.414
1547579195016,2019-01-15T20:06:35.016,3.200,0.504,0.750,0.792
1547579195096,2019-01-15T20:06:35.096,3.280,0.500,0.732,0.823
1547579195176,2019-01-15T20:06:35.176,3.360,0.400,0.572,0.592
1547579195256,2019-01-15T20:06:35.256,3.440,0.350,0.568,0.507
1547579195336,2019-01-15T20:06:35.336,3.520,0.419,0.651,0.589
1547579195416,2019-01-15T20:06:35.416,3.600,0.437,0.659,0.586
1547579195496,2019-01-15T20:06:35.496,3.680,0.437,0.562,0.541
1547579195576,2019-01-15T20:06:35.576,3.760,0.346,0.488,0.410
1547579195656,2019-01-15T20:06:35.656,3.840,0.387,0.480,0.472
