epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547579848028,2019-01-15T20:17:28.028,0.000,-3.354,-8.049,-3.232
1547579848068,2019-01-15T20:17:28.068,0.040,-5.549,-5.732,-1.829
1547579848108,2019-01-15T20:17:28.108,0.080,-15.061,1.402,6.037
1547579848148,2019-01-15T20:17:28.148,0.120,-9.695,-0.244,4.451
1547579848188,2019-01-15T20:17:28.188,0.160,-11.463,-2.134,0.732
1547579848228,2019-01-15T20:17:28.228,0.200,-20.061,1.159,7.012
1547579848268,2019-01-15T20:17:28.268,0.240,-9.512,-3.598,3.049
1547579848308,2019-01-15T20:17:28.308,0.280,-2.866,-7.561,1.463
1547579848348,2019-01-15T20:17:28.348,0.320,-0.854,-8.049,1.402
1547579848388,2019-01-15T20:17:28.388,0.360,4.695,-6.951,-1.768
1547579848428,2019-01-15T20:17:28.428,0.400,4.390,-6.768,-4.573
1547579848468,2019-01-15T20:17:28.468,0.440,-0.427,-5.976,-3.049
1547579848508,2019-01-15T20:17:28.508,0.480,-3.902,-7.195,-0.549
1547579848548,2019-01-15T20:17:28.548,0.520,0.183,-7.256,-2.317
1547579848588,2019-01-15T20:17:28.588,0.560,-2.317,-4.695,-7.378
1547579848628,2019-01-15T20:17:28.628,0.600,-8.963,-3.720,-2.805
1547579848668,2019-01-15T20:17:28.668,0.640,-15.549,-6.585,3.659
1547579848708,2019-01-15T20:17:28.708,0.680,-1.951,-9.512,-6.829
1547579848748,2019-01-15T20:17:28.748,0.720,7.256,-9.573,-10.793
1547579848788,2019-01-15T20:17:28.788,0.760,-0.366,-3.780,-3.354
1547579848828,2019-01-15T20:17:28.828,0.800,-4.573,-5.793,0.122
1547579848868,2019-01-15T20:17:28.868,0.840,-0.183,-5.427,-4.512
1547579848908,2019-01-15T20:17:28.908,0.880,3.049,-6.646,-7.317
1547579848948,2019-01-15T20:17:28.948,0.920,-9.634,-0.671,0.671
1547579848988,2019-01-15T20:17:28.988,0.960,-12.256,-3.232,1.220
1547579849028,2019-01-15T20:17:29.028,1.000,-7.927,-3.354,-1.159
1547579849068,2019-01-15T20:17:29.068,1.040,-9.024,-4.146,-1.585
1547579849108,2019-01-15T20:17:29.108,1.080,-10.427,-1.098,1.646
1547579849148,2019-01-15T20:17:29.148,1.120,-8.476,-2.439,-0.549
1547579849188,2019-01-15T20:17:29.188,1.160,-8.659,-2.500,4.085
1547579849228,2019-01-15T20:17:29.228,1.200,-10.488,0.549,4.024
1547579849268,2019-01-15T20:17:29.268,1.240,-12.805,1.524,5.122
1547579849308,2019-01-15T20:17:29.308,1.280,-15.732,5.305,7.073
1547579849348,2019-01-15T20:17:29.348,1.320,-14.878,4.329,3.110
1547579849388,2019-01-15T20:17:29.388,1.360,-14.207,5.488,5.061
1547579849428,2019-01-15T20:17:29.428,1.400,-23.415,4.634,12.378
1547579849468,2019-01-15T20:17:29.468,1.440,-18.110,3.049,9.207
1547579849508,2019-01-15T20:17:29.508,1.480,-1.829,2.378,-0.732
1547579849548,2019-01-15T20:17:29.548,1.520,-5.915,8.354,8.171
1547579849588,2019-01-15T20:17:29.588,1.560,-8.537,10.305,11.280
1547579849628,2019-01-15T20:17:29.628,1.600,-4.573,8.659,5.183
1547579849668,2019-01-15T20:17:29.668,1.640,-0.915,10.610,8.171
1547579849708,2019-01-15T20:17:29.708,1.680,1.768,10.793,9.512
1547579849748,2019-01-15T20:17:29.748,1.720,4.207,2.561,8.841
1547579849788,2019-01-15T20:17:29.788,1.760,5.305,6.463,8.598
1547579849828,2019-01-15T20:17:29.828,1.800,11.768,6.707,4.939
1547579849868,2019-01-15T20:17:29.868,1.840,8.902,4.451,4.146
1547579849908,2019-01-15T20:17:29.908,1.880,16.951,0.610,-0.366
1547579849948,2019-01-15T20:17:29.948,1.920,15.549,7.683,1.098
1547579849988,2019-01-15T20:17:29.988,1.960,12.744,-1.098,-2.317
1547579850028,2019-01-15T20:17:30.028,2.000,-3.659,6.585,9.207
1547579850068,2019-01-15T20:17:30.068,2.040,-8.537,3.476,7.134
1547579850108,2019-01-15T20:17:30.108,2.080,7.439,-2.622,0.305
1547579850148,2019-01-15T20:17:30.148,2.120,9.268,-7.439,-2.988
1547579850188,2019-01-15T20:17:30.188,2.160,14.207,-10.366,-2.866
1547579850228,2019-01-15T20:17:30.228,2.200,35.854,-12.195,-9.512
1547579850268,2019-01-15T20:17:30.268,2.240,64.756,-24.329,-29.390
1547579850308,2019-01-15T20:17:30.308,2.280,51.280,-18.902,-20.793
1547579850348,2019-01-15T20:17:30.348,2.320,21.098,-5.183,-11.768
1547579850388,2019-01-15T20:17:30.388,2.360,22.683,-5.488,-13.598
1547579850428,2019-01-15T20:17:30.428,2.400,11.768,7.256,-0.976
1547579850468,2019-01-15T20:17:30.468,2.440,-10.244,21.768,17.500
1547579850508,2019-01-15T20:17:30.508,2.480,-29.573,24.512,42.378
1547579850548,2019-01-15T20:17:30.548,2.520,-22.927,-2.927,29.390
1547579850588,2019-01-15T20:17:30.588,2.560,6.646,-13.720,4.085
1547579850628,2019-01-15T20:17:30.628,2.600,23.598,-26.768,-9.451
1547579850668,2019-01-15T20:17:30.668,2.640,30.732,-19.268,-15.122
1547579850708,2019-01-15T20:17:30.708,2.680,31.341,-22.988,-26.402
