epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547831534175,2019-01-18T18:12:14.175,0.000,4.451,-6.098,0.244
1547831534215,2019-01-18T18:12:14.215,0.040,3.659,-6.037,0.732
1547831534255,2019-01-18T18:12:14.255,0.080,1.402,-3.902,0.915
1547831534295,2019-01-18T18:12:14.295,0.120,0.305,-2.195,-0.915
1547831534335,2019-01-18T18:12:14.335,0.160,-1.463,-1.524,-0.610
1547831534375,2019-01-18T18:12:14.375,0.200,-2.012,-0.427,-1.098
1547831534415,2019-01-18T18:12:14.415,0.240,-0.854,-0.610,-1.585
1547831534455,2019-01-18T18:12:14.455,0.280,-0.671,-1.646,0.610
1547831534495,2019-01-18T18:12:14.495,0.320,0.976,-2.561,0.793
1547831534535,2019-01-18T18:12:14.535,0.360,-0.915,-0.305,-0.671
1547831534575,2019-01-18T18:12:14.575,0.400,-2.866,1.890,-0.793
1547831534615,2019-01-18T18:12:14.615,0.440,-1.280,-0.793,0.427
1547831534655,2019-01-18T18:12:14.655,0.480,-0.671,-2.073,0.183
1547831534695,2019-01-18T18:12:14.695,0.520,0.671,-3.293,0.732
1547831534735,2019-01-18T18:12:14.735,0.560,-0.061,-3.720,1.524
1547831534775,2019-01-18T18:12:14.775,0.600,-0.061,-2.134,0.915
1547831534815,2019-01-18T18:12:14.815,0.640,-0.183,-1.829,0.244
1547831534855,2019-01-18T18:12:14.855,0.680,-0.305,-2.866,-0.061
1547831534895,2019-01-18T18:12:14.895,0.720,-0.732,-3.841,1.768
1547831534935,2019-01-18T18:12:14.935,0.760,-0.366,-1.585,0.305
1547831534975,2019-01-18T18:12:14.975,0.800,-0.915,-0.305,-0.549
1547831535015,2019-01-18T18:12:15.015,0.840,-0.427,-2.256,-1.220
1547831535055,2019-01-18T18:12:15.055,0.880,0.793,-4.878,0.671
1547831535095,2019-01-18T18:12:15.095,0.920,0.610,-3.537,0.000
1547831535135,2019-01-18T18:12:15.135,0.960,0.976,-3.780,-0.305
1547831535175,2019-01-18T18:12:15.175,1.000,0.549,-2.988,-0.244
1547831535215,2019-01-18T18:12:15.215,1.040,0.183,-2.927,0.000
1547831535255,2019-01-18T18:12:15.255,1.080,-0.854,-0.793,0.244
1547831535295,2019-01-18T18:12:15.295,1.120,-0.183,-2.195,0.000
1547831535335,2019-01-18T18:12:15.335,1.160,0.183,-2.195,0.305
1547831535375,2019-01-18T18:12:15.375,1.200,-0.610,-2.195,0.427
1547831535415,2019-01-18T18:12:15.415,1.240,-0.732,-1.707,0.610
1547831535455,2019-01-18T18:12:15.455,1.280,-0.427,-1.707,-0.183
1547831535495,2019-01-18T18:12:15.495,1.320,0.671,-3.232,-1.159
1547831535535,2019-01-18T18:12:15.535,1.360,0.671,-3.841,-1.524
1547831535575,2019-01-18T18:12:15.575,1.400,1.037,-2.622,-2.195
1547831535615,2019-01-18T18:12:15.615,1.440,2.012,-3.171,-1.524
1547831535655,2019-01-18T18:12:15.655,1.480,1.220,-2.256,-0.488
1547831535695,2019-01-18T18:12:15.695,1.520,0.549,-2.561,0.366
1547831535735,2019-01-18T18:12:15.735,1.560,-0.732,-1.159,0.427
1547831535775,2019-01-18T18:12:15.775,1.600,-0.549,-0.488,-0.549
1547831535815,2019-01-18T18:12:15.815,1.640,0.000,-1.829,-1.159
1547831535855,2019-01-18T18:12:15.855,1.680,0.427,-2.683,-0.488
