epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832089610,2019-01-18T18:21:29.610,0.000,0.066,0.959,-0.100
1547832089690,2019-01-18T18:21:29.690,0.080,0.063,0.970,-0.099
1547832089770,2019-01-18T18:21:29.770,0.160,0.064,0.972,-0.100
1547832089850,2019-01-18T18:21:29.850,0.240,0.063,0.974,-0.097
1547832089930,2019-01-18T18:21:29.930,0.320,0.066,0.967,-0.096
1547832090010,2019-01-18T18:21:30.010,0.400,0.069,0.965,-0.102
1547832090090,2019-01-18T18:21:30.090,0.480,0.068,0.967,-0.103
1547832090170,2019-01-18T18:21:30.170,0.560,0.067,0.970,-0.093
1547832090250,2019-01-18T18:21:30.250,0.640,0.070,0.975,-0.096
1547832090330,2019-01-18T18:21:30.330,0.720,0.069,0.971,-0.093
1547832090410,2019-01-18T18:21:30.410,0.800,0.070,0.964,-0.102
1547832090490,2019-01-18T18:21:30.490,0.880,0.068,0.968,-0.097
1547832090570,2019-01-18T18:21:30.570,0.960,0.066,0.975,-0.095
1547832090650,2019-01-18T18:21:30.650,1.040,0.064,0.970,-0.095
1547832090730,2019-01-18T18:21:30.730,1.120,0.065,0.963,-0.094
1547832090810,2019-01-18T18:21:30.810,1.200,0.065,0.971,-0.096
1547832090890,2019-01-18T18:21:30.890,1.280,0.063,0.979,-0.093
1547832090970,2019-01-18T18:21:30.970,1.360,0.061,0.972,-0.094
1547832091050,2019-01-18T18:21:31.050,1.440,0.060,0.956,-0.102
1547832091130,2019-01-18T18:21:31.130,1.520,0.058,0.921,-0.116
1547832091210,2019-01-18T18:21:31.210,1.600,0.052,0.872,-0.143
1547832091290,2019-01-18T18:21:31.290,1.680,0.039,0.868,-0.169
1547832091370,2019-01-18T18:21:31.370,1.760,0.022,0.869,-0.174
1547832091450,2019-01-18T18:21:31.450,1.840,0.002,0.866,-0.185
1547832091530,2019-01-18T18:21:31.530,1.920,-0.006,0.884,-0.220
1547832091610,2019-01-18T18:21:31.610,2.000,-0.018,0.913,-0.244
1547832091690,2019-01-18T18:21:31.690,2.080,-0.046,0.911,-0.246
1547832091770,2019-01-18T18:21:31.770,2.160,-0.045,0.910,-0.242
1547832091850,2019-01-18T18:21:31.850,2.240,-0.047,0.944,-0.249
1547832091930,2019-01-18T18:21:31.930,2.320,-0.031,0.995,-0.277
1547832092010,2019-01-18T18:21:32.010,2.400,-0.015,1.028,-0.260
1547832092090,2019-01-18T18:21:32.090,2.480,-0.007,1.055,-0.235
1547832092170,2019-01-18T18:21:32.170,2.560,-0.004,1.025,-0.207
1547832092250,2019-01-18T18:21:32.250,2.640,-0.008,1.153,-0.199
1547832092330,2019-01-18T18:21:32.330,2.720,-0.013,1.203,-0.185
1547832092410,2019-01-18T18:21:32.410,2.800,0.019,0.944,-0.153
1547832092490,2019-01-18T18:21:32.490,2.880,-0.002,0.999,-0.128
1547832092570,2019-01-18T18:21:32.570,2.960,-0.022,1.312,-0.206
1547832092650,2019-01-18T18:21:32.650,3.040,-0.032,1.271,-0.202
1547832092730,2019-01-18T18:21:32.730,3.120,-0.076,1.133,-0.212
1547832092810,2019-01-18T18:21:32.810,3.200,-0.082,1.042,-0.243
1547832092890,2019-01-18T18:21:32.890,3.280,-0.068,0.933,-0.192
1547832092970,2019-01-18T18:21:32.970,3.360,-0.045,0.891,-0.163
1547832093050,2019-01-18T18:21:33.050,3.440,-0.016,0.610,-0.131
1547832093130,2019-01-18T18:21:33.130,3.520,0.054,0.470,-0.192
1547832093210,2019-01-18T18:21:33.210,3.600,0.054,0.811,-0.143
1547832093290,2019-01-18T18:21:33.290,3.680,0.069,1.077,-0.125
1547832093370,2019-01-18T18:21:33.370,3.760,0.056,0.938,-0.100
1547832093450,2019-01-18T18:21:33.450,3.840,0.035,0.931,-0.083
1547832093530,2019-01-18T18:21:33.530,3.920,0.067,1.021,-0.107
1547832093610,2019-01-18T18:21:33.610,4.000,0.063,0.981,-0.102
1547832093690,2019-01-18T18:21:33.690,4.080,0.044,0.839,-0.141
1547832093770,2019-01-18T18:21:33.770,4.160,0.029,0.716,-0.156
1547832093850,2019-01-18T18:21:33.850,4.240,0.014,0.736,-0.166
1547832093930,2019-01-18T18:21:33.930,4.320,0.000,0.836,-0.199
1547832094010,2019-01-18T18:21:34.010,4.400,-0.016,0.937,-0.237
1547832094090,2019-01-18T18:21:34.090,4.480,-0.031,0.958,-0.241
1547832094170,2019-01-18T18:21:34.170,4.560,-0.021,0.968,-0.234
1547832094250,2019-01-18T18:21:34.250,4.640,-0.021,1.004,-0.208
1547832094330,2019-01-18T18:21:34.330,4.720,-0.008,1.077,-0.224
1547832094410,2019-01-18T18:21:34.410,4.800,-0.018,1.089,-0.193
1547832094490,2019-01-18T18:21:34.490,4.880,-0.001,1.194,-0.167
1547832094570,2019-01-18T18:21:34.570,4.960,0.008,1.302,-0.188
1547832094650,2019-01-18T18:21:34.650,5.040,0.012,0.957,-0.165
1547832094730,2019-01-18T18:21:34.730,5.120,0.007,0.885,-0.151
1547832094810,2019-01-18T18:21:34.810,5.200,-0.033,1.233,-0.176
1547832094890,2019-01-18T18:21:34.890,5.280,-0.043,1.335,-0.208
