epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832649220,2019-01-18T18:30:49.220,0.000,-0.051,-1.026,-0.088
1547832649300,2019-01-18T18:30:49.300,0.080,-0.054,-1.038,-0.093
1547832649380,2019-01-18T18:30:49.380,0.160,-0.052,-1.034,-0.095
1547832649460,2019-01-18T18:30:49.460,0.240,-0.063,-1.011,-0.095
1547832649540,2019-01-18T18:30:49.540,0.320,-0.052,-1.017,-0.090
1547832649620,2019-01-18T18:30:49.620,0.400,-0.061,-1.023,-0.104
1547832649700,2019-01-18T18:30:49.700,0.480,-0.063,-1.042,-0.074
1547832649780,2019-01-18T18:30:49.780,0.560,-0.056,-1.051,-0.107
1547832649860,2019-01-18T18:30:49.860,0.640,-0.059,-1.028,-0.086
1547832649940,2019-01-18T18:30:49.940,0.720,-0.058,-1.009,-0.075
1547832650020,2019-01-18T18:30:50.020,0.800,-0.047,-1.011,-0.096
1547832650100,2019-01-18T18:30:50.100,0.880,-0.060,-1.006,-0.083
1547832650180,2019-01-18T18:30:50.180,0.960,-0.055,-1.038,-0.101
1547832650260,2019-01-18T18:30:50.260,1.040,-0.059,-1.057,-0.091
1547832650340,2019-01-18T18:30:50.340,1.120,-0.063,-1.041,-0.099
1547832650420,2019-01-18T18:30:50.420,1.200,-0.063,-1.027,-0.087
1547832650500,2019-01-18T18:30:50.500,1.280,-0.059,-1.035,-0.084
1547832650580,2019-01-18T18:30:50.580,1.360,-0.061,-1.047,-0.089
1547832650660,2019-01-18T18:30:50.660,1.440,-0.059,-1.008,-0.075
1547832650740,2019-01-18T18:30:50.740,1.520,-0.049,-0.939,-0.067
1547832650820,2019-01-18T18:30:50.820,1.600,-0.038,-0.908,-0.054
1547832650900,2019-01-18T18:30:50.900,1.680,-0.049,-0.952,-0.059
1547832650980,2019-01-18T18:30:50.980,1.760,-0.059,-1.065,-0.102
1547832651060,2019-01-18T18:30:51.060,1.840,-0.072,-1.187,-0.097
1547832651140,2019-01-18T18:30:51.140,1.920,-0.077,-1.300,-0.162
1547832651220,2019-01-18T18:30:51.220,2.000,-0.077,-1.397,-0.151
1547832651300,2019-01-18T18:30:51.300,2.080,-0.031,-1.411,-0.030
1547832651380,2019-01-18T18:30:51.380,2.160,0.080,-1.323,-0.005
1547832651460,2019-01-18T18:30:51.460,2.240,0.109,-1.156,0.091
1547832651540,2019-01-18T18:30:51.540,2.320,0.099,-0.919,0.139
1547832651620,2019-01-18T18:30:51.620,2.400,0.091,-0.715,0.122
1547832651700,2019-01-18T18:30:51.700,2.480,-0.011,-0.428,0.127
1547832651780,2019-01-18T18:30:51.780,2.560,-0.042,-0.349,0.222
1547832651860,2019-01-18T18:30:51.860,2.640,0.013,-0.528,0.115
1547832651940,2019-01-18T18:30:51.940,2.720,0.046,-0.886,0.123
1547832652020,2019-01-18T18:30:52.020,2.800,0.051,-1.008,0.117
1547832652100,2019-01-18T18:30:52.100,2.880,0.060,-1.113,0.096
1547832652180,2019-01-18T18:30:52.180,2.960,0.041,-1.116,0.034
1547832652260,2019-01-18T18:30:52.260,3.040,0.017,-1.131,0.001
1547832652340,2019-01-18T18:30:52.340,3.120,-0.033,-1.149,-0.038
1547832652420,2019-01-18T18:30:52.420,3.200,-0.076,-1.236,-0.141
1547832652500,2019-01-18T18:30:52.500,3.280,-0.059,-1.237,-0.166
1547832652580,2019-01-18T18:30:52.580,3.360,-0.048,-1.136,-0.125
1547832652660,2019-01-18T18:30:52.660,3.440,-0.049,-1.044,-0.103
1547832652740,2019-01-18T18:30:52.740,3.520,-0.056,-1.071,-0.095
1547832652820,2019-01-18T18:30:52.820,3.600,-0.067,-1.218,-0.126
1547832652900,2019-01-18T18:30:52.900,3.680,-0.063,-1.383,-0.117
1547832652980,2019-01-18T18:30:52.980,3.760,-0.021,-1.417,-0.032
1547832653060,2019-01-18T18:30:53.060,3.840,0.047,-1.329,0.027
1547832653140,2019-01-18T18:30:53.140,3.920,0.041,-1.080,0.098
1547832653220,2019-01-18T18:30:53.220,4.000,0.080,-0.823,0.188
1547832653300,2019-01-18T18:30:53.300,4.080,0.015,-0.576,0.174
1547832653380,2019-01-18T18:30:53.380,4.160,-0.047,-0.316,0.110
1547832653460,2019-01-18T18:30:53.460,4.240,-0.012,-0.419,0.245
1547832653540,2019-01-18T18:30:53.540,4.320,0.019,-0.742,0.159
1547832653620,2019-01-18T18:30:53.620,4.400,0.045,-0.985,0.111
1547832653700,2019-01-18T18:30:53.700,4.480,0.054,-1.098,0.119
1547832653780,2019-01-18T18:30:53.780,4.560,0.048,-1.099,0.088
1547832653860,2019-01-18T18:30:53.860,4.640,0.013,-1.136,0.019
