epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832648985,2019-01-18T18:30:48.985,0.000,-0.732,0.976,-1.890
1547832649025,2019-01-18T18:30:49.025,0.040,-1.280,1.890,-1.341
1547832649065,2019-01-18T18:30:49.065,0.080,0.305,-1.707,0.732
1547832649105,2019-01-18T18:30:49.105,0.120,1.890,-1.585,1.707
1547832649145,2019-01-18T18:30:49.145,0.160,1.646,-1.646,1.524
1547832649185,2019-01-18T18:30:49.185,0.200,2.927,-3.110,0.732
1547832649225,2019-01-18T18:30:49.225,0.240,0.488,2.378,1.829
1547832649265,2019-01-18T18:30:49.265,0.280,2.683,-3.171,1.220
1547832649305,2019-01-18T18:30:49.305,0.320,1.463,-0.305,0.915
1547832649345,2019-01-18T18:30:49.345,0.360,1.646,-3.659,1.341
1547832649385,2019-01-18T18:30:49.385,0.400,2.378,-3.293,1.341
1547832649425,2019-01-18T18:30:49.425,0.440,0.549,0.488,0.000
1547832649465,2019-01-18T18:30:49.465,0.480,3.049,-3.293,-0.915
1547832649505,2019-01-18T18:30:49.505,0.520,1.707,-3.110,1.524
1547832649545,2019-01-18T18:30:49.545,0.560,-1.890,4.329,0.427
1547832649585,2019-01-18T18:30:49.585,0.600,-2.866,2.073,-1.280
1547832649625,2019-01-18T18:30:49.625,0.640,1.768,-8.171,1.585
1547832649665,2019-01-18T18:30:49.665,0.680,-3.780,-1.037,1.098
1547832649705,2019-01-18T18:30:49.705,0.720,-3.415,3.963,-1.829
1547832649745,2019-01-18T18:30:49.745,0.760,1.220,-7.622,2.073
1547832649785,2019-01-18T18:30:49.785,0.800,-0.183,-1.220,0.610
1547832649825,2019-01-18T18:30:49.825,0.840,-0.976,-0.366,-1.098
1547832649865,2019-01-18T18:30:49.865,0.880,2.622,-3.841,1.463
1547832649905,2019-01-18T18:30:49.905,0.920,2.256,-1.890,0.000
1547832649945,2019-01-18T18:30:49.945,0.960,-0.976,3.476,-1.341
1547832649985,2019-01-18T18:30:49.985,1.000,5.000,-4.634,1.037
1547832650025,2019-01-18T18:30:50.025,1.040,4.634,-5.549,1.524
1547832650065,2019-01-18T18:30:50.065,1.080,1.585,1.280,-1.768
1547832650105,2019-01-18T18:30:50.105,1.120,2.012,-3.110,0.610
1547832650145,2019-01-18T18:30:50.145,1.160,2.073,-5.366,2.317
1547832650185,2019-01-18T18:30:50.185,1.200,2.500,-4.207,1.037
1547832650225,2019-01-18T18:30:50.225,1.240,1.402,-3.110,1.341
1547832650265,2019-01-18T18:30:50.265,1.280,0.183,0.183,0.427
1547832650305,2019-01-18T18:30:50.305,1.320,0.000,0.244,1.280
1547832650345,2019-01-18T18:30:50.345,1.360,2.073,-4.939,2.378
1547832650385,2019-01-18T18:30:50.385,1.400,0.610,-0.732,0.549
1547832650425,2019-01-18T18:30:50.425,1.440,0.549,1.341,-0.305
1547832650465,2019-01-18T18:30:50.465,1.480,1.280,-2.256,0.671
1547832650505,2019-01-18T18:30:50.505,1.520,-0.671,0.854,0.549
1547832650545,2019-01-18T18:30:50.545,1.560,0.732,-1.463,-0.244
1547832650585,2019-01-18T18:30:50.585,1.600,2.256,-3.476,-0.061
1547832650625,2019-01-18T18:30:50.625,1.640,1.463,-3.049,-1.768
1547832650665,2019-01-18T18:30:50.665,1.680,-0.793,0.427,-2.134
1547832650705,2019-01-18T18:30:50.705,1.720,0.427,-2.927,-1.768
1547832650745,2019-01-18T18:30:50.745,1.760,3.049,-4.817,-0.305
1547832650785,2019-01-18T18:30:50.785,1.800,4.390,-7.927,1.220
1547832650825,2019-01-18T18:30:50.825,1.840,1.280,-0.671,1.585
1547832650865,2019-01-18T18:30:50.865,1.880,2.195,-3.049,2.439
1547832650905,2019-01-18T18:30:50.905,1.920,3.293,-3.232,3.110
1547832650945,2019-01-18T18:30:50.945,1.960,6.646,-5.244,2.500
1547832650985,2019-01-18T18:30:50.985,2.000,9.878,-10.671,4.268
1547832651025,2019-01-18T18:30:51.025,2.040,5.854,-1.159,0.793
1547832651065,2019-01-18T18:30:51.065,2.080,9.268,-4.695,-3.049
1547832651105,2019-01-18T18:30:51.105,2.120,10.610,-7.012,-1.829
1547832651145,2019-01-18T18:30:51.145,2.160,15.671,-7.561,-10.122
1547832651185,2019-01-18T18:30:51.185,2.200,23.415,-17.256,-18.110
1547832651225,2019-01-18T18:30:51.225,2.240,31.829,-27.012,-26.341
1547832651265,2019-01-18T18:30:51.265,2.280,27.683,-30.915,-33.841
1547832651305,2019-01-18T18:30:51.305,2.320,24.695,-17.622,-41.341
1547832651345,2019-01-18T18:30:51.345,2.360,25.976,-13.171,-28.476
1547832651385,2019-01-18T18:30:51.385,2.400,27.805,-8.537,-23.293
1547832651425,2019-01-18T18:30:51.425,2.440,24.451,0.915,-19.939
1547832651465,2019-01-18T18:30:51.465,2.480,18.720,2.988,-15.610
1547832651505,2019-01-18T18:30:51.505,2.520,16.951,3.049,-9.512
1547832651545,2019-01-18T18:30:51.545,2.560,17.378,4.878,5.854
1547832651585,2019-01-18T18:30:51.585,2.600,18.476,0.976,22.988
1547832651625,2019-01-18T18:30:51.625,2.640,21.341,0.671,39.390
1547832651665,2019-01-18T18:30:51.665,2.680,11.463,10.732,42.378
1547832651705,2019-01-18T18:30:51.705,2.720,-0.488,13.110,29.024
1547832651745,2019-01-18T18:30:51.745,2.760,-0.732,3.720,14.573
1547832651785,2019-01-18T18:30:51.785,2.800,-5.671,0.122,-0.854
1547832651825,2019-01-18T18:30:51.825,2.840,-6.037,8.415,-6.707
1547832651865,2019-01-18T18:30:51.865,2.880,-15.549,5.732,-10.488
1547832651905,2019-01-18T18:30:51.905,2.920,-14.451,2.988,-12.927
1547832651945,2019-01-18T18:30:51.945,2.960,-17.805,2.805,-9.268
1547832651985,2019-01-18T18:30:51.985,3.000,-25.915,7.317,-6.829
1547832652025,2019-01-18T18:30:52.025,3.040,-24.695,3.110,-8.963
1547832652065,2019-01-18T18:30:52.065,3.080,-27.134,4.451,1.524
1547832652105,2019-01-18T18:30:52.105,3.120,-24.512,4.573,3.476
1547832652145,2019-01-18T18:30:52.145,3.160,-27.439,12.317,8.293
1547832652185,2019-01-18T18:30:52.185,3.200,-18.293,-0.976,11.951
1547832652225,2019-01-18T18:30:52.225,3.240,-22.561,-3.354,29.451
1547832652265,2019-01-18T18:30:52.265,3.280,-20.549,2.439,16.524
1547832652305,2019-01-18T18:30:52.305,3.320,-35.427,16.829,24.024
1547832652345,2019-01-18T18:30:52.345,3.360,-20.488,0.244,21.890
1547832652385,2019-01-18T18:30:52.385,3.400,-15.488,5.610,12.378
1547832652425,2019-01-18T18:30:52.425,3.440,-5.671,3.476,2.622
1547832652465,2019-01-18T18:30:52.465,3.480,-0.366,-1.280,3.232
1547832652505,2019-01-18T18:30:52.505,3.520,1.220,1.463,-0.366
1547832652545,2019-01-18T18:30:52.545,3.560,2.866,-1.768,1.220
1547832652585,2019-01-18T18:30:52.585,3.600,5.976,-7.622,2.073
1547832652625,2019-01-18T18:30:52.625,3.640,2.317,-0.793,0.000
1547832652665,2019-01-18T18:30:52.665,3.680,5.915,-6.463,-0.061
1547832652705,2019-01-18T18:30:52.705,3.720,7.134,-8.171,-0.061
1547832652745,2019-01-18T18:30:52.745,3.760,8.780,-5.488,-3.598
1547832652785,2019-01-18T18:30:52.785,3.800,13.720,-8.415,-5.488
1547832652825,2019-01-18T18:30:52.825,3.840,22.683,-11.402,-10.793
1547832652865,2019-01-18T18:30:52.865,3.880,27.683,-16.524,-18.110
1547832652905,2019-01-18T18:30:52.905,3.920,32.561,-11.646,-20.610
1547832652945,2019-01-18T18:30:52.945,3.960,32.134,-8.841,-24.817
1547832652985,2019-01-18T18:30:52.985,4.000,33.659,-5.915,-29.512
1547832653025,2019-01-18T18:30:53.025,4.040,35.061,-10.366,-25.488
1547832653065,2019-01-18T18:30:53.065,4.080,34.878,-6.768,-11.829
1547832653105,2019-01-18T18:30:53.105,4.120,33.780,-13.780,-7.256
1547832653145,2019-01-18T18:30:53.145,4.160,26.646,-19.878,5.549
1547832653185,2019-01-18T18:30:53.185,4.200,22.195,-5.061,5.610
1547832653225,2019-01-18T18:30:53.225,4.240,13.049,3.415,16.220
1547832653265,2019-01-18T18:30:53.265,4.280,11.098,5.244,28.110
1547832653305,2019-01-18T18:30:53.305,4.320,7.256,-1.707,24.146
1547832653345,2019-01-18T18:30:53.345,4.360,4.451,-0.183,19.024
1547832653385,2019-01-18T18:30:53.385,4.400,6.524,1.707,8.415
1547832653425,2019-01-18T18:30:53.425,4.440,6.280,2.744,-6.220
1547832653465,2019-01-18T18:30:53.465,4.480,0.915,4.634,-16.220
1547832653505,2019-01-18T18:30:53.505,4.520,-8.780,4.939,-18.720
1547832653545,2019-01-18T18:30:53.545,4.560,-14.878,5.122,-14.207
1547832653585,2019-01-18T18:30:53.585,4.600,-19.695,6.402,-10.061
1547832653625,2019-01-18T18:30:53.625,4.640,-24.146,4.329,-9.451
1547832653665,2019-01-18T18:30:53.665,4.680,-23.780,3.293,-1.585
1547832653705,2019-01-18T18:30:53.705,4.720,-22.073,-2.317,9.451
1547832653745,2019-01-18T18:30:53.745,4.760,-17.439,6.037,12.561
1547832653785,2019-01-18T18:30:53.785,4.800,-39.268,7.622,17.927
1547832653825,2019-01-18T18:30:53.825,4.840,-30.610,-4.207,24.268
1547832653865,2019-01-18T18:30:53.865,4.880,-30.915,2.988,21.098
1547832653905,2019-01-18T18:30:53.905,4.920,-26.280,-2.744,19.146
1547832653945,2019-01-18T18:30:53.945,4.960,-32.622,6.220,18.659
1547832653985,2019-01-18T18:30:53.985,5.000,-32.500,5.732,16.280
1547832654025,2019-01-18T18:30:54.025,5.040,-32.622,11.707,7.683
1547832654065,2019-01-18T18:30:54.065,5.080,-13.963,5.061,-1.890
1547832654105,2019-01-18T18:30:54.105,5.120,-0.061,-15.244,-2.378
1547832654145,2019-01-18T18:30:54.145,5.160,-3.902,-2.561,0.610
1547832654185,2019-01-18T18:30:54.185,5.200,-3.659,3.049,-3.659
1547832654225,2019-01-18T18:30:54.225,5.240,-0.732,-2.317,-0.061
1547832654265,2019-01-18T18:30:54.265,5.280,-1.463,-0.610,1.037
1547832654305,2019-01-18T18:30:54.305,5.320,9.207,-10.183,-4.268
1547832654345,2019-01-18T18:30:54.345,5.360,7.988,-10.732,0.610
1547832654385,2019-01-18T18:30:54.385,5.400,7.805,-11.890,0.305
1547832654425,2019-01-18T18:30:54.425,5.440,5.244,-5.488,1.463
1547832654465,2019-01-18T18:30:54.465,5.480,2.927,3.963,1.402
