epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547831031632,2019-01-18T18:03:51.632,0.000,0.095,0.726,0.645
1547831031712,2019-01-18T18:03:51.712,0.080,0.100,0.735,0.655
1547831031792,2019-01-18T18:03:51.792,0.160,0.102,0.736,0.647
1547831031872,2019-01-18T18:03:51.872,0.240,0.097,0.738,0.629
1547831031952,2019-01-18T18:03:51.952,0.320,0.102,0.733,0.634
1547831032032,2019-01-18T18:03:52.032,0.400,0.102,0.749,0.619
1547831032112,2019-01-18T18:03:52.112,0.480,0.104,0.740,0.625
1547831032192,2019-01-18T18:03:52.192,0.560,0.093,0.728,0.586
1547831032272,2019-01-18T18:03:52.272,0.640,0.091,0.680,0.555
1547831032352,2019-01-18T18:03:52.352,0.720,0.089,0.644,0.536
1547831032432,2019-01-18T18:03:52.432,0.800,0.064,0.583,0.512
1547831032512,2019-01-18T18:03:52.512,0.880,0.053,0.533,0.481
1547831032592,2019-01-18T18:03:52.592,0.960,0.064,0.542,0.509
1547831032672,2019-01-18T18:03:52.672,1.040,0.067,0.640,0.592
1547831032752,2019-01-18T18:03:52.752,1.120,0.072,0.717,0.696
1547831032832,2019-01-18T18:03:52.832,1.200,0.072,0.722,0.699
1547831032912,2019-01-18T18:03:52.912,1.280,0.073,0.717,0.699
1547831032992,2019-01-18T18:03:52.992,1.360,0.068,0.758,0.745
1547831033072,2019-01-18T18:03:53.072,1.440,0.078,0.774,0.788
1547831033152,2019-01-18T18:03:53.152,1.520,0.082,0.774,0.776
1547831033232,2019-01-18T18:03:53.232,1.600,0.086,0.790,0.806
1547831033312,2019-01-18T18:03:53.312,1.680,0.084,0.822,0.864
1547831033392,2019-01-18T18:03:53.392,1.760,0.079,0.847,0.887
1547831033472,2019-01-18T18:03:53.472,1.840,0.083,0.876,0.906
1547831033552,2019-01-18T18:03:53.552,1.920,0.082,0.866,0.904
1547831033632,2019-01-18T18:03:53.632,2.000,0.073,0.833,0.837
1547831033712,2019-01-18T18:03:53.712,2.080,0.072,0.802,0.807
1547831033792,2019-01-18T18:03:53.792,2.160,0.073,0.786,0.780
1547831033872,2019-01-18T18:03:53.872,2.240,0.063,0.757,0.767
1547831033952,2019-01-18T18:03:53.952,2.320,0.052,0.744,0.746
1547831034032,2019-01-18T18:03:54.032,2.400,0.052,0.733,0.683
1547831034112,2019-01-18T18:03:54.112,2.480,0.054,0.698,0.628
1547831034192,2019-01-18T18:03:54.192,2.560,0.055,0.673,0.556
1547831034272,2019-01-18T18:03:54.272,2.640,0.058,0.612,0.459
1547831034352,2019-01-18T18:03:54.352,2.720,0.051,0.546,0.358
1547831034432,2019-01-18T18:03:54.432,2.800,0.057,0.535,0.335
1547831034512,2019-01-18T18:03:54.512,2.880,0.079,0.666,0.411
1547831034592,2019-01-18T18:03:54.592,2.960,0.082,0.868,0.500
1547831034672,2019-01-18T18:03:54.672,3.040,0.083,0.873,0.567
1547831034752,2019-01-18T18:03:54.752,3.120,0.078,0.805,0.512
1547831034832,2019-01-18T18:03:54.832,3.200,0.071,0.813,0.499
1547831034912,2019-01-18T18:03:54.912,3.280,0.071,0.828,0.521
1547831034992,2019-01-18T18:03:54.992,3.360,0.074,0.827,0.517
1547831035072,2019-01-18T18:03:55.072,3.440,0.077,0.812,0.499
1547831035152,2019-01-18T18:03:55.152,3.520,0.079,0.779,0.471
1547831035232,2019-01-18T18:03:55.232,3.600,0.057,0.698,0.409
1547831035312,2019-01-18T18:03:55.312,3.680,0.033,0.565,0.347
1547831035392,2019-01-18T18:03:55.392,3.760,0.046,0.587,0.365
1547831035472,2019-01-18T18:03:55.472,3.840,0.044,0.689,0.454
1547831035552,2019-01-18T18:03:55.552,3.920,0.078,0.689,0.521
1547831035632,2019-01-18T18:03:55.632,4.000,0.071,0.712,0.556
1547831035712,2019-01-18T18:03:55.712,4.080,0.063,0.764,0.616
