epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547829948168,2019-01-18T17:45:48.168,0.000,0.136,0.744,0.585
1547829948248,2019-01-18T17:45:48.248,0.080,0.134,0.750,0.597
1547829948328,2019-01-18T17:45:48.328,0.160,0.134,0.759,0.604
1547829948408,2019-01-18T17:45:48.408,0.240,0.134,0.768,0.605
1547829948488,2019-01-18T17:45:48.488,0.320,0.134,0.757,0.592
1547829948568,2019-01-18T17:45:48.568,0.400,0.139,0.754,0.593
1547829948648,2019-01-18T17:45:48.648,0.480,0.146,0.773,0.604
1547829948728,2019-01-18T17:45:48.728,0.560,0.149,0.769,0.609
1547829948808,2019-01-18T17:45:48.808,0.640,0.141,0.759,0.589
1547829948888,2019-01-18T17:45:48.888,0.720,0.140,0.767,0.602
1547829948968,2019-01-18T17:45:48.968,0.800,0.141,0.770,0.612
1547829949048,2019-01-18T17:45:49.048,0.880,0.133,0.756,0.593
1547829949128,2019-01-18T17:45:49.128,0.960,0.127,0.748,0.610
1547829949208,2019-01-18T17:45:49.208,1.040,0.128,0.762,0.595
1547829949288,2019-01-18T17:45:49.288,1.120,0.133,0.743,0.617
1547829949368,2019-01-18T17:45:49.368,1.200,0.135,0.749,0.603
1547829949448,2019-01-18T17:45:49.448,1.280,0.133,0.758,0.604
1547829949528,2019-01-18T17:45:49.528,1.360,0.134,0.756,0.602
1547829949608,2019-01-18T17:45:49.608,1.440,0.139,0.758,0.597
1547829949688,2019-01-18T17:45:49.688,1.520,0.145,0.763,0.603
1547829949768,2019-01-18T17:45:49.768,1.600,0.150,0.772,0.597
1547829949848,2019-01-18T17:45:49.848,1.680,0.159,0.779,0.619
1547829949928,2019-01-18T17:45:49.928,1.760,0.141,0.759,0.602
1547829950008,2019-01-18T17:45:50.008,1.840,0.127,0.753,0.563
1547829950088,2019-01-18T17:45:50.088,1.920,0.132,0.767,0.606
1547829950168,2019-01-18T17:45:50.168,2.000,0.133,0.771,0.618
1547829950248,2019-01-18T17:45:50.248,2.080,0.123,0.756,0.588
1547829950328,2019-01-18T17:45:50.328,2.160,0.124,0.749,0.590
1547829950408,2019-01-18T17:45:50.408,2.240,0.129,0.768,0.603
1547829950488,2019-01-18T17:45:50.488,2.320,0.131,0.770,0.605
1547829950568,2019-01-18T17:45:50.568,2.400,0.134,0.765,0.585
1547829950648,2019-01-18T17:45:50.648,2.480,0.138,0.762,0.594
1547829950728,2019-01-18T17:45:50.728,2.560,0.141,0.777,0.591
1547829950808,2019-01-18T17:45:50.808,2.640,0.147,0.773,0.598
1547829950888,2019-01-18T17:45:50.888,2.720,0.144,0.772,0.585
1547829950968,2019-01-18T17:45:50.968,2.800,0.138,0.768,0.581
1547829951048,2019-01-18T17:45:51.048,2.880,0.141,0.772,0.587
1547829951128,2019-01-18T17:45:51.128,2.960,0.143,0.784,0.579
1547829951208,2019-01-18T17:45:51.208,3.040,0.137,0.771,0.575
1547829951288,2019-01-18T17:45:51.288,3.120,0.130,0.767,0.560
1547829951368,2019-01-18T17:45:51.368,3.200,0.129,0.775,0.562
1547829951448,2019-01-18T17:45:51.448,3.280,0.142,0.788,0.568
1547829951528,2019-01-18T17:45:51.528,3.360,0.147,0.773,0.566
1547829951608,2019-01-18T17:45:51.608,3.440,0.145,0.765,0.541
1547829951688,2019-01-18T17:45:51.688,3.520,0.137,0.739,0.529
1547829951768,2019-01-18T17:45:51.768,3.600,0.131,0.701,0.513
1547829951848,2019-01-18T17:45:51.848,3.680,0.128,0.703,0.518
1547829951928,2019-01-18T17:45:51.928,3.760,0.118,0.720,0.553
1547829952008,2019-01-18T17:45:52.008,3.840,0.109,0.729,0.532
1547829952088,2019-01-18T17:45:52.088,3.920,0.111,0.728,0.522
1547829952168,2019-01-18T17:45:52.168,4.000,0.126,0.720,0.552
1547829952248,2019-01-18T17:45:52.248,4.080,0.134,0.737,0.572
1547829952328,2019-01-18T17:45:52.328,4.160,0.135,0.724,0.625
1547829952408,2019-01-18T17:45:52.408,4.240,0.118,0.692,0.609
1547829952488,2019-01-18T17:45:52.488,4.320,0.096,0.704,0.636
1547829952568,2019-01-18T17:45:52.568,4.400,0.100,0.740,0.645
1547829952648,2019-01-18T17:45:52.648,4.480,0.104,0.764,0.640
1547829952728,2019-01-18T17:45:52.728,4.560,0.106,0.761,0.648
1547829952808,2019-01-18T17:45:52.808,4.640,0.106,0.747,0.655
1547829952888,2019-01-18T17:45:52.888,4.720,0.113,0.750,0.667
1547829952968,2019-01-18T17:45:52.968,4.800,0.114,0.760,0.714
1547829953048,2019-01-18T17:45:53.048,4.880,0.112,0.765,0.725
1547829953128,2019-01-18T17:45:53.128,4.960,0.086,0.807,0.750
1547829953208,2019-01-18T17:45:53.208,5.040,0.107,0.846,0.784
1547829953288,2019-01-18T17:45:53.288,5.120,0.107,0.866,0.821
1547829953368,2019-01-18T17:45:53.368,5.200,0.104,0.889,0.821
1547829953448,2019-01-18T17:45:53.448,5.280,0.110,0.872,0.824
1547829953528,2019-01-18T17:45:53.528,5.360,0.106,0.862,0.761
1547829953608,2019-01-18T17:45:53.608,5.440,0.108,0.829,0.725
1547829953688,2019-01-18T17:45:53.688,5.520,0.129,0.834,0.706
1547829953768,2019-01-18T17:45:53.768,5.600,0.120,0.848,0.693
1547829953848,2019-01-18T17:45:53.848,5.680,0.121,0.837,0.669
1547829953928,2019-01-18T17:45:53.928,5.760,0.126,0.818,0.643
1547829954008,2019-01-18T17:45:54.008,5.840,0.115,0.781,0.581
1547829954088,2019-01-18T17:45:54.088,5.920,0.093,0.692,0.510
1547829954168,2019-01-18T17:45:54.168,6.000,0.073,0.596,0.435
1547829954248,2019-01-18T17:45:54.248,6.080,0.061,0.504,0.345
1547829954328,2019-01-18T17:45:54.328,6.160,0.032,0.507,0.292
1547829954408,2019-01-18T17:45:54.408,6.240,0.059,0.651,0.395
1547829954488,2019-01-18T17:45:54.488,6.320,0.083,0.911,0.521
1547829954568,2019-01-18T17:45:54.568,6.400,0.108,0.884,0.539
1547829954648,2019-01-18T17:45:54.648,6.480,0.120,0.788,0.469
1547829954728,2019-01-18T17:45:54.728,6.560,0.122,0.821,0.492
1547829954808,2019-01-18T17:45:54.808,6.640,0.126,0.841,0.534
