epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547829947773,2019-01-18T17:45:47.773,0.000,-2.073,-0.549,-0.305
1547829947813,2019-01-18T17:45:47.813,0.040,-1.707,-1.220,0.061
1547829947853,2019-01-18T17:45:47.853,0.080,0.122,-2.561,0.244
1547829947893,2019-01-18T17:45:47.893,0.120,1.829,-2.988,-1.341
1547829947933,2019-01-18T17:45:47.933,0.160,6.098,-2.439,-2.195
1547829947973,2019-01-18T17:45:47.973,0.200,3.354,-2.439,-0.610
1547829948013,2019-01-18T17:45:48.013,0.240,-1.707,-0.915,1.646
1547829948053,2019-01-18T17:45:48.053,0.280,-1.341,-0.732,0.732
1547829948093,2019-01-18T17:45:48.093,0.320,0.671,-1.768,-1.524
1547829948133,2019-01-18T17:45:48.133,0.360,1.037,-1.951,-0.732
1547829948173,2019-01-18T17:45:48.173,0.400,1.524,-2.988,-1.463
1547829948213,2019-01-18T17:45:48.213,0.440,3.537,-3.171,-0.488
1547829948253,2019-01-18T17:45:48.253,0.480,2.744,-2.683,0.671
1547829948293,2019-01-18T17:45:48.293,0.520,1.829,-3.354,0.793
1547829948333,2019-01-18T17:45:48.333,0.560,1.159,-3.110,1.037
1547829948373,2019-01-18T17:45:48.373,0.600,0.732,-2.561,0.732
1547829948413,2019-01-18T17:45:48.413,0.640,0.122,-2.988,0.366
1547829948453,2019-01-18T17:45:48.453,0.680,1.280,-2.561,0.244
1547829948493,2019-01-18T17:45:48.493,0.720,1.402,-3.354,0.854
1547829948533,2019-01-18T17:45:48.533,0.760,0.183,-2.927,1.037
1547829948573,2019-01-18T17:45:48.573,0.800,2.317,-3.537,1.890
1547829948613,2019-01-18T17:45:48.613,0.840,4.634,-3.720,0.183
1547829948653,2019-01-18T17:45:48.653,0.880,3.171,-2.439,0.427
1547829948693,2019-01-18T17:45:48.693,0.920,-1.220,-1.402,0.061
1547829948733,2019-01-18T17:45:48.733,0.960,-1.646,-2.439,-0.122
1547829948773,2019-01-18T17:45:48.773,1.000,-0.427,-2.134,-1.768
1547829948813,2019-01-18T17:45:48.813,1.040,1.159,-2.927,-1.707
1547829948853,2019-01-18T17:45:48.853,1.080,1.829,-1.524,-0.061
1547829948893,2019-01-18T17:45:48.893,1.120,1.585,-1.646,0.244
1547829948933,2019-01-18T17:45:48.933,1.160,-0.610,-0.854,-1.341
1547829948973,2019-01-18T17:45:48.973,1.200,-2.866,-0.610,-2.622
1547829949013,2019-01-18T17:45:49.013,1.240,-3.354,-0.610,-1.341
1547829949053,2019-01-18T17:45:49.053,1.280,-4.878,-2.561,0.488
1547829949093,2019-01-18T17:45:49.093,1.320,-11.646,-1.463,2.012
1547829949133,2019-01-18T17:45:49.133,1.360,-8.598,-0.427,1.585
1547829949173,2019-01-18T17:45:49.173,1.400,6.098,-2.195,-1.951
1547829949213,2019-01-18T17:45:49.213,1.440,12.561,-3.537,-2.195
1547829949253,2019-01-18T17:45:49.253,1.480,5.244,-2.561,0.244
1547829949293,2019-01-18T17:45:49.293,1.520,1.463,-1.646,0.671
1547829949333,2019-01-18T17:45:49.333,1.560,3.049,-3.293,1.341
1547829949373,2019-01-18T17:45:49.373,1.600,6.646,-3.293,-1.037
1547829949413,2019-01-18T17:45:49.413,1.640,5.610,-4.146,-0.549
1547829949453,2019-01-18T17:45:49.453,1.680,0.732,-2.561,0.671
1547829949493,2019-01-18T17:45:49.493,1.720,-0.427,-2.500,2.378
1547829949533,2019-01-18T17:45:49.533,1.760,2.500,-2.988,1.707
1547829949573,2019-01-18T17:45:49.573,1.800,2.439,-3.293,1.098
1547829949613,2019-01-18T17:45:49.613,1.840,2.317,-3.780,1.463
1547829949653,2019-01-18T17:45:49.653,1.880,1.646,-3.476,1.098
1547829949693,2019-01-18T17:45:49.693,1.920,2.012,-3.293,0.793
1547829949733,2019-01-18T17:45:49.733,1.960,4.451,-3.902,0.610
1547829949773,2019-01-18T17:45:49.773,2.000,5.183,-5.000,0.122
1547829949813,2019-01-18T17:45:49.813,2.040,0.854,-3.659,0.061
1547829949853,2019-01-18T17:45:49.853,2.080,-7.866,0.732,-0.427
1547829949893,2019-01-18T17:45:49.893,2.120,-9.329,1.341,-2.744
1547829949933,2019-01-18T17:45:49.933,2.160,-5.793,0.244,-1.890
1547829949973,2019-01-18T17:45:49.973,2.200,2.744,-2.500,-0.671
1547829950013,2019-01-18T17:45:50.013,2.240,8.902,-3.476,-1.280
1547829950053,2019-01-18T17:45:50.053,2.280,5.244,-2.317,-1.159
1547829950093,2019-01-18T17:45:50.093,2.320,-0.122,-1.037,0.854
1547829950133,2019-01-18T17:45:50.133,2.360,-4.634,1.159,-0.244
1547829950173,2019-01-18T17:45:50.173,2.400,-1.341,0.549,-2.256
1547829950213,2019-01-18T17:45:50.213,2.440,-0.183,1.829,-1.402
1547829950253,2019-01-18T17:45:50.253,2.480,0.183,-1.280,1.402
1547829950293,2019-01-18T17:45:50.293,2.520,0.427,-2.439,1.341
1547829950333,2019-01-18T17:45:50.333,2.560,4.512,-2.256,0.793
1547829950373,2019-01-18T17:45:50.373,2.600,7.073,-4.207,1.098
1547829950413,2019-01-18T17:45:50.413,2.640,4.451,-2.195,1.463
1547829950453,2019-01-18T17:45:50.453,2.680,1.159,-2.561,1.159
1547829950493,2019-01-18T17:45:50.493,2.720,1.890,-1.585,0.976
1547829950533,2019-01-18T17:45:50.533,2.760,3.354,-2.317,1.463
1547829950573,2019-01-18T17:45:50.573,2.800,2.500,-3.659,2.256
1547829950613,2019-01-18T17:45:50.613,2.840,-0.427,-1.524,1.585
1547829950653,2019-01-18T17:45:50.653,2.880,0.122,-2.622,1.707
1547829950693,2019-01-18T17:45:50.693,2.920,2.073,-1.951,0.793
1547829950733,2019-01-18T17:45:50.733,2.960,3.598,-2.744,0.854
1547829950773,2019-01-18T17:45:50.773,3.000,1.098,-2.439,2.073
1547829950813,2019-01-18T17:45:50.813,3.040,-1.159,-2.500,1.951
1547829950853,2019-01-18T17:45:50.853,3.080,1.890,-1.707,-0.793
1547829950893,2019-01-18T17:45:50.893,3.120,6.098,-3.171,-0.427
1547829950933,2019-01-18T17:45:50.933,3.160,6.402,-3.232,0.000
1547829950973,2019-01-18T17:45:50.973,3.200,6.585,-3.049,-0.061
1547829951013,2019-01-18T17:45:51.013,3.240,4.329,-2.622,1.402
1547829951053,2019-01-18T17:45:51.053,3.280,2.500,-2.134,0.000
1547829951093,2019-01-18T17:45:51.093,3.320,5.305,-3.049,-1.768
1547829951133,2019-01-18T17:45:51.133,3.360,3.171,-2.561,0.061
1547829951173,2019-01-18T17:45:51.173,3.400,-0.305,-1.463,-0.671
1547829951213,2019-01-18T17:45:51.213,3.440,0.244,-1.098,-0.915
1547829951253,2019-01-18T17:45:51.253,3.480,0.427,-2.073,-0.488
1547829951293,2019-01-18T17:45:51.293,3.520,0.915,-1.890,-0.305
1547829951333,2019-01-18T17:45:51.333,3.560,2.561,-3.171,2.073
1547829951373,2019-01-18T17:45:51.373,3.600,2.988,-1.890,3.476
1547829951413,2019-01-18T17:45:51.413,3.640,4.573,-2.012,2.073
1547829951453,2019-01-18T17:45:51.453,3.680,2.988,-1.951,0.732
1547829951493,2019-01-18T17:45:51.493,3.720,-2.500,0.610,1.220
1547829951533,2019-01-18T17:45:51.533,3.760,-1.585,-1.280,1.341
1547829951573,2019-01-18T17:45:51.573,3.800,0.610,-1.159,1.341
1547829951613,2019-01-18T17:45:51.613,3.840,1.220,-2.073,0.854
1547829951653,2019-01-18T17:45:51.653,3.880,0.183,-0.915,0.671
1547829951693,2019-01-18T17:45:51.693,3.920,-1.159,-1.768,0.732
1547829951733,2019-01-18T17:45:51.733,3.960,-0.488,-2.012,1.829
1547829951773,2019-01-18T17:45:51.773,4.000,-0.244,-0.061,1.585
1547829951813,2019-01-18T17:45:51.813,4.040,1.585,-1.707,2.012
1547829951853,2019-01-18T17:45:51.853,4.080,4.024,-2.256,-0.549
1547829951893,2019-01-18T17:45:51.893,4.120,-2.378,-0.915,0.183
1547829951933,2019-01-18T17:45:51.933,4.160,-9.939,4.451,0.183
1547829951973,2019-01-18T17:45:51.973,4.200,-9.329,4.146,1.280
1547829952013,2019-01-18T17:45:52.013,4.240,-5.305,-0.122,0.000
1547829952053,2019-01-18T17:45:52.053,4.280,-2.378,-0.549,0.671
1547829952093,2019-01-18T17:45:52.093,4.320,-5.671,-1.037,0.915
