epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832508779,2019-01-18T18:28:28.779,0.000,0.027,0.969,-0.113
1547832508859,2019-01-18T18:28:28.859,0.080,0.009,0.950,-0.087
1547832508939,2019-01-18T18:28:28.939,0.160,0.016,0.969,-0.106
1547832509019,2019-01-18T18:28:29.019,0.240,0.001,0.970,-0.098
1547832509099,2019-01-18T18:28:29.099,0.320,-0.002,0.971,-0.103
1547832509179,2019-01-18T18:28:29.179,0.400,0.002,0.975,-0.095
1547832509259,2019-01-18T18:28:29.259,0.480,0.013,0.970,-0.092
1547832509339,2019-01-18T18:28:29.339,0.560,0.020,0.968,-0.091
1547832509419,2019-01-18T18:28:29.419,0.640,0.027,0.966,-0.098
1547832509499,2019-01-18T18:28:29.499,0.720,0.026,0.967,-0.106
1547832509579,2019-01-18T18:28:29.579,0.800,0.023,0.976,-0.101
1547832509659,2019-01-18T18:28:29.659,0.880,0.028,0.985,-0.114
1547832509739,2019-01-18T18:28:29.739,0.960,0.035,0.972,-0.125
1547832509819,2019-01-18T18:28:29.819,1.040,0.037,0.971,-0.115
1547832509899,2019-01-18T18:28:29.899,1.120,0.033,0.975,-0.087
1547832509979,2019-01-18T18:28:29.979,1.200,0.036,0.973,-0.101
1547832510059,2019-01-18T18:28:30.059,1.280,0.038,0.972,-0.103
1547832510139,2019-01-18T18:28:30.139,1.360,0.030,0.972,-0.088
1547832510219,2019-01-18T18:28:30.219,1.440,0.027,0.979,-0.088
1547832510299,2019-01-18T18:28:30.299,1.520,0.031,0.973,-0.089
1547832510379,2019-01-18T18:28:30.379,1.600,0.032,0.970,-0.086
1547832510459,2019-01-18T18:28:30.459,1.680,0.032,0.977,-0.087
1547832510539,2019-01-18T18:28:30.539,1.760,0.028,0.973,-0.088
1547832510619,2019-01-18T18:28:30.619,1.840,0.027,0.974,-0.092
1547832510699,2019-01-18T18:28:30.699,1.920,0.023,0.974,-0.086
1547832510779,2019-01-18T18:28:30.779,2.000,0.024,0.978,-0.083
1547832510859,2019-01-18T18:28:30.859,2.080,0.026,0.976,-0.085
1547832510939,2019-01-18T18:28:30.939,2.160,0.024,0.967,-0.088
1547832511019,2019-01-18T18:28:31.019,2.240,0.026,0.962,-0.091
1547832511099,2019-01-18T18:28:31.099,2.320,0.029,0.974,-0.094
1547832511179,2019-01-18T18:28:31.179,2.400,0.027,0.979,-0.092
1547832511259,2019-01-18T18:28:31.259,2.480,0.028,0.975,-0.091
1547832511339,2019-01-18T18:28:31.339,2.560,0.021,0.967,-0.094
1547832511419,2019-01-18T18:28:31.419,2.640,0.024,0.966,-0.091
1547832511499,2019-01-18T18:28:31.499,2.720,0.023,0.960,-0.096
1547832511579,2019-01-18T18:28:31.579,2.800,0.020,0.938,-0.105
1547832511659,2019-01-18T18:28:31.659,2.880,0.014,0.915,-0.115
1547832511739,2019-01-18T18:28:31.739,2.960,0.005,0.911,-0.130
1547832511819,2019-01-18T18:28:31.819,3.040,-0.013,0.907,-0.148
1547832511899,2019-01-18T18:28:31.899,3.120,-0.028,0.894,-0.167
1547832511979,2019-01-18T18:28:31.979,3.200,-0.041,0.882,-0.191
1547832512059,2019-01-18T18:28:32.059,3.280,-0.063,0.890,-0.222
1547832512139,2019-01-18T18:28:32.139,3.360,-0.074,0.884,-0.213
1547832512219,2019-01-18T18:28:32.219,3.440,-0.079,0.909,-0.211
1547832512299,2019-01-18T18:28:32.299,3.520,-0.085,0.959,-0.225
1547832512379,2019-01-18T18:28:32.379,3.600,-0.091,0.980,-0.224
1547832512459,2019-01-18T18:28:32.459,3.680,-0.091,0.993,-0.261
1547832512539,2019-01-18T18:28:32.539,3.760,-0.087,1.017,-0.250
1547832512619,2019-01-18T18:28:32.619,3.840,-0.089,1.091,-0.250
1547832512699,2019-01-18T18:28:32.699,3.920,-0.099,1.152,-0.244
1547832512779,2019-01-18T18:28:32.779,4.000,-0.109,1.167,-0.238
1547832512859,2019-01-18T18:28:32.859,4.080,-0.100,1.132,-0.235
1547832512939,2019-01-18T18:28:32.939,4.160,-0.093,1.107,-0.228
1547832513019,2019-01-18T18:28:33.019,4.240,-0.097,1.084,-0.247
1547832513099,2019-01-18T18:28:33.099,4.320,-0.091,1.033,-0.242
1547832513179,2019-01-18T18:28:33.179,4.400,-0.099,0.979,-0.222
1547832513259,2019-01-18T18:28:33.259,4.480,-0.104,0.955,-0.209
1547832513339,2019-01-18T18:28:33.339,4.560,-0.094,0.968,-0.207
1547832513419,2019-01-18T18:28:33.419,4.640,-0.074,0.893,-0.139
1547832513499,2019-01-18T18:28:33.499,4.720,-0.055,0.547,-0.115
1547832513579,2019-01-18T18:28:33.579,4.800,-0.024,0.646,-0.138
1547832513659,2019-01-18T18:28:33.659,4.880,-0.052,1.042,-0.146
1547832513739,2019-01-18T18:28:33.739,4.960,-0.046,1.017,-0.146
1547832513819,2019-01-18T18:28:33.819,5.040,-0.040,0.838,-0.141
1547832513899,2019-01-18T18:28:33.899,5.120,-0.032,0.803,-0.164
1547832513979,2019-01-18T18:28:33.979,5.200,-0.044,0.828,-0.185
1547832514059,2019-01-18T18:28:34.059,5.280,-0.071,0.872,-0.216
1547832514139,2019-01-18T18:28:34.139,5.360,-0.064,0.858,-0.218
1547832514219,2019-01-18T18:28:34.219,5.440,-0.085,0.879,-0.228
1547832514299,2019-01-18T18:28:34.299,5.520,-0.087,0.917,-0.238
1547832514379,2019-01-18T18:28:34.379,5.600,-0.105,0.979,-0.288
1547832514459,2019-01-18T18:28:34.459,5.680,-0.114,0.999,-0.278
1547832514539,2019-01-18T18:28:34.539,5.760,-0.116,1.039,-0.271
1547832514619,2019-01-18T18:28:34.619,5.840,-0.119,1.152,-0.279
1547832514699,2019-01-18T18:28:34.699,5.920,-0.133,1.269,-0.293
1547832514779,2019-01-18T18:28:34.779,6.000,-0.121,1.243,-0.272
1547832514859,2019-01-18T18:28:34.859,6.080,-0.109,1.141,-0.264
1547832514939,2019-01-18T18:28:34.939,6.160,-0.114,1.048,-0.263
1547832515019,2019-01-18T18:28:35.019,6.240,-0.111,1.005,-0.260
1547832515099,2019-01-18T18:28:35.099,6.320,-0.114,0.969,-0.231
1547832515179,2019-01-18T18:28:35.179,6.400,-0.104,0.955,-0.206
1547832515259,2019-01-18T18:28:35.259,6.480,-0.087,0.967,-0.169
1547832515339,2019-01-18T18:28:35.339,6.560,-0.087,0.863,-0.072
1547832515419,2019-01-18T18:28:35.419,6.640,-0.028,0.553,-0.124
1547832515499,2019-01-18T18:28:35.499,6.720,-0.021,0.632,-0.126
1547832515579,2019-01-18T18:28:35.579,6.800,-0.026,1.057,-0.110
1547832515659,2019-01-18T18:28:35.659,6.880,-0.041,1.033,-0.095
1547832515739,2019-01-18T18:28:35.739,6.960,-0.033,0.863,-0.106
1547832515819,2019-01-18T18:28:35.819,7.040,-0.038,0.780,-0.116
1547832515899,2019-01-18T18:28:35.899,7.120,-0.041,0.823,-0.174
1547832515979,2019-01-18T18:28:35.979,7.200,-0.054,0.873,-0.198
1547832516059,2019-01-18T18:28:36.059,7.280,-0.079,0.882,-0.230
1547832516139,2019-01-18T18:28:36.139,7.360,-0.074,0.898,-0.255
1547832516219,2019-01-18T18:28:36.219,7.440,-0.089,0.914,-0.250
1547832516299,2019-01-18T18:28:36.299,7.520,-0.108,0.984,-0.274
1547832516379,2019-01-18T18:28:36.379,7.600,-0.103,0.985,-0.268
