epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832508414,2019-01-18T18:28:28.414,0.000,-0.732,-9.207,4.390
1547832508454,2019-01-18T18:28:28.454,0.040,0.061,-10.610,3.476
1547832508494,2019-01-18T18:28:28.494,0.080,-0.610,-8.171,-2.622
1547832508534,2019-01-18T18:28:28.534,0.120,-3.171,0.488,-7.622
1547832508574,2019-01-18T18:28:28.574,0.160,0.183,-8.598,-1.280
1547832508614,2019-01-18T18:28:28.614,0.200,4.268,-8.720,-0.671
1547832508654,2019-01-18T18:28:28.654,0.240,-0.061,0.488,-4.146
1547832508694,2019-01-18T18:28:28.694,0.280,-2.622,2.744,-2.378
1547832508734,2019-01-18T18:28:28.734,0.320,1.280,-2.317,7.134
1547832508774,2019-01-18T18:28:28.774,0.360,3.049,-3.720,4.573
1547832508814,2019-01-18T18:28:28.814,0.400,-0.061,1.402,0.000
1547832508854,2019-01-18T18:28:28.854,0.440,-1.463,2.439,-1.220
1547832508894,2019-01-18T18:28:28.894,0.480,3.354,-3.476,-1.159
1547832508934,2019-01-18T18:28:28.934,0.520,2.866,-5.122,2.622
1547832508974,2019-01-18T18:28:28.974,0.560,-0.549,0.366,-1.402
1547832509014,2019-01-18T18:28:29.014,0.600,-1.829,0.305,-1.890
1547832509054,2019-01-18T18:28:29.054,0.640,-1.524,0.488,-0.366
1547832509094,2019-01-18T18:28:29.094,0.680,1.037,-1.707,3.232
1547832509134,2019-01-18T18:28:29.134,0.720,1.280,-1.890,4.207
1547832509174,2019-01-18T18:28:29.174,0.760,0.427,0.671,2.012
1547832509214,2019-01-18T18:28:29.214,0.800,0.000,0.671,3.354
1547832509254,2019-01-18T18:28:29.254,0.840,1.524,0.305,3.415
1547832509294,2019-01-18T18:28:29.294,0.880,1.890,0.183,1.768
1547832509334,2019-01-18T18:28:29.334,0.920,-0.061,1.402,1.037
1547832509374,2019-01-18T18:28:29.374,0.960,1.768,-0.061,0.854
1547832509414,2019-01-18T18:28:29.414,1.000,3.720,-1.341,0.854
1547832509454,2019-01-18T18:28:29.454,1.040,4.695,-2.134,-0.549
1547832509494,2019-01-18T18:28:29.494,1.080,3.415,-2.073,-0.183
1547832509534,2019-01-18T18:28:29.534,1.120,1.829,-1.524,2.073
1547832509574,2019-01-18T18:28:29.574,1.160,-0.366,0.183,2.195
1547832509614,2019-01-18T18:28:29.614,1.200,-2.988,1.829,1.402
1547832509654,2019-01-18T18:28:29.654,1.240,-1.890,1.768,2.561
1547832509694,2019-01-18T18:28:29.694,1.280,0.000,0.000,0.061
1547832509734,2019-01-18T18:28:29.734,1.320,0.732,-2.927,-0.427
1547832509774,2019-01-18T18:28:29.774,1.360,1.646,-4.817,1.585
1547832509814,2019-01-18T18:28:29.814,1.400,2.317,-4.146,0.549
1547832509854,2019-01-18T18:28:29.854,1.440,-1.220,-0.610,2.073
1547832509894,2019-01-18T18:28:29.894,1.480,-2.683,1.402,0.427
1547832509934,2019-01-18T18:28:29.934,1.520,-0.671,-1.402,0.488
1547832509974,2019-01-18T18:28:29.974,1.560,-0.427,-2.744,1.585
1547832510014,2019-01-18T18:28:30.014,1.600,0.976,-3.720,0.854
1547832510054,2019-01-18T18:28:30.054,1.640,-0.122,-2.866,-0.305
1547832510094,2019-01-18T18:28:30.094,1.680,0.366,-3.171,0.061
1547832510134,2019-01-18T18:28:30.134,1.720,-1.159,-1.037,-0.183
1547832510174,2019-01-18T18:28:30.174,1.760,-1.098,-0.488,-0.549
1547832510214,2019-01-18T18:28:30.214,1.800,-0.061,-2.012,-0.183
1547832510254,2019-01-18T18:28:30.254,1.840,0.732,-2.744,1.220
1547832510294,2019-01-18T18:28:30.294,1.880,-0.122,-3.049,0.854
1547832510334,2019-01-18T18:28:30.334,1.920,-0.488,-1.585,-0.183
1547832510374,2019-01-18T18:28:30.374,1.960,0.976,-3.049,0.427
1547832510414,2019-01-18T18:28:30.414,2.000,0.549,-2.134,0.366
1547832510454,2019-01-18T18:28:30.454,2.040,-0.671,-1.220,-0.671
1547832510494,2019-01-18T18:28:30.494,2.080,-0.610,-1.890,-0.549
1547832510534,2019-01-18T18:28:30.534,2.120,1.341,-2.500,-0.793
1547832510574,2019-01-18T18:28:30.574,2.160,2.073,-2.744,-0.244
1547832510614,2019-01-18T18:28:30.614,2.200,1.524,-2.927,0.488
1547832510654,2019-01-18T18:28:30.654,2.240,1.951,-2.683,0.183
1547832510694,2019-01-18T18:28:30.694,2.280,1.585,-3.293,1.280
1547832510734,2019-01-18T18:28:30.734,2.320,1.159,-2.134,1.220
1547832510774,2019-01-18T18:28:30.774,2.360,0.671,-1.890,0.549
1547832510814,2019-01-18T18:28:30.814,2.400,0.488,-0.671,1.037
1547832510854,2019-01-18T18:28:30.854,2.440,0.854,-1.341,1.341
1547832510894,2019-01-18T18:28:30.894,2.480,0.183,-1.037,0.671
1547832510934,2019-01-18T18:28:30.934,2.520,0.244,-1.280,0.183
1547832510974,2019-01-18T18:28:30.974,2.560,1.341,-1.829,-0.183
